
Area
 ==================== 
Area,Unit,Category,Time,ID,
3.39829,µm^2,Surface,1,4,
5.78798,µm^2,Surface,1,5,
4.2302,µm^2,Surface,1,11,
7.33741,µm^2,Surface,1,14,
8.45976,µm^2,Surface,1,20,
8.73277,µm^2,Surface,1,21,
15.2883,µm^2,Surface,1,27,
3.16015,µm^2,Surface,1,32,
2.45371,µm^2,Surface,1,34,
3.00931,µm^2,Surface,1,38,
14.9691,µm^2,Surface,1,40,
2.2424,µm^2,Surface,1,41,
5.54057,µm^2,Surface,1,45,
4.80774,µm^2,Surface,1,50,
3.59693,µm^2,Surface,1,53,
3.15389,µm^2,Surface,1,55,
9.33627,µm^2,Surface,1,57,
26.8081,µm^2,Surface,1,58,
6.94695,µm^2,Surface,1,59,
3.09776,µm^2,Surface,1,62,
5.65185,µm^2,Surface,1,65,
14.3724,µm^2,Surface,1,70,
3.23468,µm^2,Surface,1,81,
4.41625,µm^2,Surface,1,83,
3.18802,µm^2,Surface,1,84,
7.00563,µm^2,Surface,1,90,
3.74996,µm^2,Surface,1,94,
3.53302,µm^2,Surface,1,95,
2.47031,µm^2,Surface,1,96,
23.8435,µm^2,Surface,1,98,
11.967,µm^2,Surface,1,100,
23.8167,µm^2,Surface,1,102,
7.90576,µm^2,Surface,1,104,
2.33292,µm^2,Surface,1,112,
8.64988,µm^2,Surface,1,113,
6.19601,µm^2,Surface,1,114,
3.95258,µm^2,Surface,1,118,
2.2991,µm^2,Surface,1,121,
7.34141,µm^2,Surface,1,124,
8.22262,µm^2,Surface,1,137,
6.71426,µm^2,Surface,1,138,
32.6333,µm^2,Surface,1,141,
3.52169,µm^2,Surface,1,145,
12.7564,µm^2,Surface,1,149,
2.60718,µm^2,Surface,1,150,
3.06808,µm^2,Surface,1,154,
3.58813,µm^2,Surface,1,155,
16.6318,µm^2,Surface,1,166,
4.40992,µm^2,Surface,1,171,
8.34961,µm^2,Surface,1,173,
10.657,µm^2,Surface,1,174,
2.83612,µm^2,Surface,1,176,
6.46114,µm^2,Surface,1,177,
6.54989,µm^2,Surface,1,190,
15.5179,µm^2,Surface,1,192,
2.25895,µm^2,Surface,1,193,
2.25696,µm^2,Surface,1,205,
7.50024,µm^2,Surface,1,206,
2.42429,µm^2,Surface,1,209,
16.0733,µm^2,Surface,1,210,
10.6764,µm^2,Surface,1,212,
4.50171,µm^2,Surface,1,225,
2.92969,µm^2,Surface,1,235,
15.2205,µm^2,Surface,1,237,
2.23066,µm^2,Surface,1,239,
10.9446,µm^2,Surface,1,245,
5.36895,µm^2,Surface,1,248,
9.6297,µm^2,Surface,1,251,
18.8275,µm^2,Surface,1,256,
3.72767,µm^2,Surface,1,258,
3.74993,µm^2,Surface,1,259,
6.83117,µm^2,Surface,1,260,
3.38358,µm^2,Surface,1,262,
21.3309,µm^2,Surface,1,263,
2.71265,µm^2,Surface,1,269,
38.5823,µm^2,Surface,1,271,
37.3894,µm^2,Surface,1,278,
34.8845,µm^2,Surface,1,280,
17.1276,µm^2,Surface,1,289,
12.4332,µm^2,Surface,1,292,
25.3323,µm^2,Surface,1,294,
10.6519,µm^2,Surface,1,295,
2.53683,µm^2,Surface,1,297,
7.99961,µm^2,Surface,1,298,
8.05222,µm^2,Surface,1,312,
4.62089,µm^2,Surface,1,318,
5.38304,µm^2,Surface,1,326,
7.83301,µm^2,Surface,1,332,
19.4944,µm^2,Surface,1,339,
11.6734,µm^2,Surface,1,343,
39.2544,µm^2,Surface,1,346,
10.1243,µm^2,Surface,1,348,
3.07264,µm^2,Surface,1,356,
3.96114,µm^2,Surface,1,357,
18.1748,µm^2,Surface,1,359,
2.72652,µm^2,Surface,1,361,
5.6023,µm^2,Surface,1,365,
9.97914,µm^2,Surface,1,370,
6.54067,µm^2,Surface,1,376,
3.39817,µm^2,Surface,1,377,
12.1041,µm^2,Surface,1,382,
4.9633,µm^2,Surface,1,384,
4.14011,µm^2,Surface,1,388,
3.62554,µm^2,Surface,1,389,
5.89119,µm^2,Surface,1,390,
8.83774,µm^2,Surface,1,401,
5.04513,µm^2,Surface,1,406,
5.6023,µm^2,Surface,1,409,
6.81485,µm^2,Surface,1,410,
37.2124,µm^2,Surface,1,411,
2.8779,µm^2,Surface,1,412,
8.50576,µm^2,Surface,1,418,
