
Cumulative Volume Img=1
 ==================== 
Distance to Surface,Cumulative Volume,Unit,Collection,Image,Time,ID,
-1.215,26.8177,µm^3,Cumulative Volume,Image 1,1,,
-0.945,123.949,µm^3,Cumulative Volume,Image 1,1,,
-0.675,415.05,µm^3,Cumulative Volume,Image 1,1,,
-0.405,1119.58,µm^3,Cumulative Volume,Image 1,1,,
-0.135,2544.9,µm^3,Cumulative Volume,Image 1,1,,
0.135,5096.33,µm^3,Cumulative Volume,Image 1,1,,
0.405,9033.17,µm^3,Cumulative Volume,Image 1,1,,
0.675,14668.8,µm^3,Cumulative Volume,Image 1,1,,
0.945,22219.4,µm^3,Cumulative Volume,Image 1,1,,
1.215,31962.1,µm^3,Cumulative Volume,Image 1,1,,
1.485,44248.7,µm^3,Cumulative Volume,Image 1,1,,
1.755,59307.6,µm^3,Cumulative Volume,Image 1,1,,
2.025,77367.5,µm^3,Cumulative Volume,Image 1,1,,
2.295,98727.8,µm^3,Cumulative Volume,Image 1,1,,
2.565,123630,µm^3,Cumulative Volume,Image 1,1,,
2.835,152344,µm^3,Cumulative Volume,Image 1,1,,
3.105,185137,µm^3,Cumulative Volume,Image 1,1,,
3.375,222261,µm^3,Cumulative Volume,Image 1,1,,
3.645,263746,µm^3,Cumulative Volume,Image 1,1,,
3.915,309954,µm^3,Cumulative Volume,Image 1,1,,
4.185,361206,µm^3,Cumulative Volume,Image 1,1,,
4.455,417678,µm^3,Cumulative Volume,Image 1,1,,
4.725,479118,µm^3,Cumulative Volume,Image 1,1,,
4.995,545813,µm^3,Cumulative Volume,Image 1,1,,
5.265,617983,µm^3,Cumulative Volume,Image 1,1,,
5.535,695763,µm^3,Cumulative Volume,Image 1,1,,
5.805,779339,µm^3,Cumulative Volume,Image 1,1,,
6.075,868779,µm^3,Cumulative Volume,Image 1,1,,
6.345,964455,µm^3,Cumulative Volume,Image 1,1,,
6.615,1.06668e+06,µm^3,Cumulative Volume,Image 1,1,,
6.885,1.17482e+06,µm^3,Cumulative Volume,Image 1,1,,
7.155,1.28891e+06,µm^3,Cumulative Volume,Image 1,1,,
7.425,1.40903e+06,µm^3,Cumulative Volume,Image 1,1,,
7.695,1.53546e+06,µm^3,Cumulative Volume,Image 1,1,,
7.965,1.6683e+06,µm^3,Cumulative Volume,Image 1,1,,
8.235,1.80781e+06,µm^3,Cumulative Volume,Image 1,1,,
8.505,1.95317e+06,µm^3,Cumulative Volume,Image 1,1,,
8.775,2.10582e+06,µm^3,Cumulative Volume,Image 1,1,,
9.045,2.2648e+06,µm^3,Cumulative Volume,Image 1,1,,
9.315,2.42901e+06,µm^3,Cumulative Volume,Image 1,1,,
9.585,2.59984e+06,µm^3,Cumulative Volume,Image 1,1,,
9.855,2.77639e+06,µm^3,Cumulative Volume,Image 1,1,,
10.125,2.95978e+06,µm^3,Cumulative Volume,Image 1,1,,
10.395,3.14883e+06,µm^3,Cumulative Volume,Image 1,1,,
10.665,3.34445e+06,µm^3,Cumulative Volume,Image 1,1,,
10.935,3.5453e+06,µm^3,Cumulative Volume,Image 1,1,,
11.205,3.75284e+06,µm^3,Cumulative Volume,Image 1,1,,
11.475,3.96566e+06,µm^3,Cumulative Volume,Image 1,1,,
11.745,4.18231e+06,µm^3,Cumulative Volume,Image 1,1,,
