
Cumulative Volume Outside Img=1
 ==================== 
Distance to Surface,Cumulative Volume Outside,Unit,Collection,Image,Time,ID,
0.135,2551.42,µm^3,Cumulative Volume Outside,Image 1,1,,
0.405,6488.27,µm^3,Cumulative Volume Outside,Image 1,1,,
0.675,12123.9,µm^3,Cumulative Volume Outside,Image 1,1,,
0.945,19674.5,µm^3,Cumulative Volume Outside,Image 1,1,,
1.215,29417.2,µm^3,Cumulative Volume Outside,Image 1,1,,
1.485,41703.8,µm^3,Cumulative Volume Outside,Image 1,1,,
1.755,56762.7,µm^3,Cumulative Volume Outside,Image 1,1,,
2.025,74822.5,µm^3,Cumulative Volume Outside,Image 1,1,,
2.295,96182.9,µm^3,Cumulative Volume Outside,Image 1,1,,
2.565,121085,µm^3,Cumulative Volume Outside,Image 1,1,,
2.835,149799,µm^3,Cumulative Volume Outside,Image 1,1,,
3.105,182592,µm^3,Cumulative Volume Outside,Image 1,1,,
3.375,219716,µm^3,Cumulative Volume Outside,Image 1,1,,
3.645,261201,µm^3,Cumulative Volume Outside,Image 1,1,,
3.915,307409,µm^3,Cumulative Volume Outside,Image 1,1,,
4.185,358661,µm^3,Cumulative Volume Outside,Image 1,1,,
4.455,415133,µm^3,Cumulative Volume Outside,Image 1,1,,
4.725,476573,µm^3,Cumulative Volume Outside,Image 1,1,,
4.995,543268,µm^3,Cumulative Volume Outside,Image 1,1,,
5.265,615438,µm^3,Cumulative Volume Outside,Image 1,1,,
5.535,693218,µm^3,Cumulative Volume Outside,Image 1,1,,
5.805,776794,µm^3,Cumulative Volume Outside,Image 1,1,,
6.075,866234,µm^3,Cumulative Volume Outside,Image 1,1,,
6.345,961910,µm^3,Cumulative Volume Outside,Image 1,1,,
6.615,1.06414e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
6.885,1.17228e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
7.155,1.28637e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
7.425,1.40649e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
7.695,1.53292e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
7.965,1.66576e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
8.235,1.80527e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
8.505,1.95062e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
8.775,2.10327e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
9.045,2.26226e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
9.315,2.42646e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
9.585,2.5973e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
9.855,2.77384e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
10.125,2.95724e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
10.395,3.14628e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
10.665,3.3419e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
10.935,3.54276e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
11.205,3.75029e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
11.475,3.96312e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
11.745,4.17976e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
12.015,4.40157e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
12.285,4.62705e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
12.555,4.85754e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
12.825,5.09154e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
13.095,5.33077e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
13.365,5.57361e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
13.635,5.81805e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
13.905,6.06567e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
14.175,6.31501e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
14.445,6.56735e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
14.715,6.82047e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
14.985,7.07583e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
15.255,7.33169e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
15.525,7.58984e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
15.795,7.84812e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
16.065,8.10498e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
16.335,8.36406e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
16.605,8.61974e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
16.875,8.87336e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
17.145,9.1277e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
17.415,9.38406e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
17.685,9.63644e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
17.955,9.8872e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
18.225,1.01382e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
18.495,1.03836e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
18.765,1.06249e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
19.035,1.08649e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
19.305,1.1105e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
19.575,1.1339e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
19.845,1.15682e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
20.115,1.17953e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
20.385,1.20211e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
20.655,1.22409e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
20.925,1.24566e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
21.195,1.26701e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
21.465,1.28761e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
21.735,1.30761e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
22.005,1.32722e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
22.275,1.34656e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
22.545,1.36523e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
22.815,1.38335e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
23.085,1.40115e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
23.355,1.41821e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
23.625,1.43465e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
23.895,1.45068e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
24.165,1.46642e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
24.435,1.4815e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
24.705,1.49609e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
