
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
348.853,µm,Surface,Distance from Origin,1,4,
371.478,µm,Surface,Distance from Origin,1,5,
325.184,µm,Surface,Distance from Origin,1,11,
327.677,µm,Surface,Distance from Origin,1,14,
309.978,µm,Surface,Distance from Origin,1,20,
346.106,µm,Surface,Distance from Origin,1,21,
319.726,µm,Surface,Distance from Origin,1,27,
300.613,µm,Surface,Distance from Origin,1,32,
307.361,µm,Surface,Distance from Origin,1,34,
275.201,µm,Surface,Distance from Origin,1,38,
269.961,µm,Surface,Distance from Origin,1,40,
270.183,µm,Surface,Distance from Origin,1,41,
267.306,µm,Surface,Distance from Origin,1,45,
257.043,µm,Surface,Distance from Origin,1,50,
285.96,µm,Surface,Distance from Origin,1,53,
299.717,µm,Surface,Distance from Origin,1,55,
302.069,µm,Surface,Distance from Origin,1,57,
282.526,µm,Surface,Distance from Origin,1,58,
328.559,µm,Surface,Distance from Origin,1,59,
282.93,µm,Surface,Distance from Origin,1,62,
288.53,µm,Surface,Distance from Origin,1,65,
245.606,µm,Surface,Distance from Origin,1,70,
244.616,µm,Surface,Distance from Origin,1,81,
292.114,µm,Surface,Distance from Origin,1,83,
250.204,µm,Surface,Distance from Origin,1,84,
232.552,µm,Surface,Distance from Origin,1,90,
258.862,µm,Surface,Distance from Origin,1,94,
256.724,µm,Surface,Distance from Origin,1,95,
212.789,µm,Surface,Distance from Origin,1,96,
252.63,µm,Surface,Distance from Origin,1,98,
227.745,µm,Surface,Distance from Origin,1,100,
194.066,µm,Surface,Distance from Origin,1,102,
245.925,µm,Surface,Distance from Origin,1,104,
160.418,µm,Surface,Distance from Origin,1,112,
165.965,µm,Surface,Distance from Origin,1,113,
211.247,µm,Surface,Distance from Origin,1,114,
157.799,µm,Surface,Distance from Origin,1,118,
170.372,µm,Surface,Distance from Origin,1,121,
168.06,µm,Surface,Distance from Origin,1,124,
144.641,µm,Surface,Distance from Origin,1,137,
197.632,µm,Surface,Distance from Origin,1,138,
167.479,µm,Surface,Distance from Origin,1,141,
157.841,µm,Surface,Distance from Origin,1,145,
139.965,µm,Surface,Distance from Origin,1,149,
188.461,µm,Surface,Distance from Origin,1,150,
138.535,µm,Surface,Distance from Origin,1,154,
138.631,µm,Surface,Distance from Origin,1,155,
130.045,µm,Surface,Distance from Origin,1,166,
146.316,µm,Surface,Distance from Origin,1,171,
147.822,µm,Surface,Distance from Origin,1,173,
122.783,µm,Surface,Distance from Origin,1,174,
137.023,µm,Surface,Distance from Origin,1,176,
136.87,µm,Surface,Distance from Origin,1,177,
91.8049,µm,Surface,Distance from Origin,1,190,
101.896,µm,Surface,Distance from Origin,1,192,
105.316,µm,Surface,Distance from Origin,1,193,
65.538,µm,Surface,Distance from Origin,1,205,
83.7107,µm,Surface,Distance from Origin,1,206,
68.9385,µm,Surface,Distance from Origin,1,209,
60.4355,µm,Surface,Distance from Origin,1,210,
53.827,µm,Surface,Distance from Origin,1,212,
40.8132,µm,Surface,Distance from Origin,1,225,
33.7398,µm,Surface,Distance from Origin,1,235,
730.869,µm,Surface,Distance from Origin,1,237,
703.173,µm,Surface,Distance from Origin,1,239,
689.138,µm,Surface,Distance from Origin,1,245,
649.507,µm,Surface,Distance from Origin,1,248,
630.363,µm,Surface,Distance from Origin,1,251,
655.049,µm,Surface,Distance from Origin,1,256,
639.149,µm,Surface,Distance from Origin,1,258,
621.457,µm,Surface,Distance from Origin,1,259,
699.216,µm,Surface,Distance from Origin,1,260,
651.402,µm,Surface,Distance from Origin,1,262,
699.177,µm,Surface,Distance from Origin,1,263,
611.556,µm,Surface,Distance from Origin,1,269,
602.413,µm,Surface,Distance from Origin,1,271,
579.11,µm,Surface,Distance from Origin,1,278,
669.814,µm,Surface,Distance from Origin,1,280,
575.489,µm,Surface,Distance from Origin,1,289,
615.521,µm,Surface,Distance from Origin,1,292,
615.258,µm,Surface,Distance from Origin,1,294,
587.993,µm,Surface,Distance from Origin,1,295,
627.103,µm,Surface,Distance from Origin,1,297,
697.383,µm,Surface,Distance from Origin,1,298,
679.67,µm,Surface,Distance from Origin,1,312,
598.404,µm,Surface,Distance from Origin,1,318,
543.883,µm,Surface,Distance from Origin,1,326,
570.032,µm,Surface,Distance from Origin,1,332,
597.871,µm,Surface,Distance from Origin,1,339,
585.204,µm,Surface,Distance from Origin,1,343,
575.009,µm,Surface,Distance from Origin,1,346,
622.759,µm,Surface,Distance from Origin,1,348,
521.776,µm,Surface,Distance from Origin,1,356,
582.035,µm,Surface,Distance from Origin,1,357,
564.245,µm,Surface,Distance from Origin,1,359,
551.219,µm,Surface,Distance from Origin,1,361,
504.653,µm,Surface,Distance from Origin,1,365,
564.704,µm,Surface,Distance from Origin,1,370,
446.645,µm,Surface,Distance from Origin,1,376,
503.961,µm,Surface,Distance from Origin,1,377,
564.174,µm,Surface,Distance from Origin,1,382,
488.64,µm,Surface,Distance from Origin,1,384,
489.875,µm,Surface,Distance from Origin,1,388,
491.1,µm,Surface,Distance from Origin,1,389,
501.039,µm,Surface,Distance from Origin,1,390,
482.917,µm,Surface,Distance from Origin,1,401,
463.379,µm,Surface,Distance from Origin,1,406,
483.569,µm,Surface,Distance from Origin,1,409,
421.711,µm,Surface,Distance from Origin,1,410,
499.263,µm,Surface,Distance from Origin,1,411,
408.477,µm,Surface,Distance from Origin,1,412,
480.932,µm,Surface,Distance from Origin,1,418,
447.971,µm,Surface,Distance from Origin,1,424,
475.123,µm,Surface,Distance from Origin,1,426,
479.831,µm,Surface,Distance from Origin,1,433,
457.082,µm,Surface,Distance from Origin,1,439,
425.033,µm,Surface,Distance from Origin,1,449,
393.57,µm,Surface,Distance from Origin,1,452,
410.433,µm,Surface,Distance from Origin,1,453,
425.755,µm,Surface,Distance from Origin,1,456,
383.235,µm,Surface,Distance from Origin,1,457,
433.983,µm,Surface,Distance from Origin,1,458,
392.176,µm,Surface,Distance from Origin,1,459,
376.927,µm,Surface,Distance from Origin,1,465,
413.084,µm,Surface,Distance from Origin,1,466,
379.281,µm,Surface,Distance from Origin,1,470,
482,µm,Surface,Distance from Origin,1,474,
453.241,µm,Surface,Distance from Origin,1,479,
457.334,µm,Surface,Distance from Origin,1,481,
457.149,µm,Surface,Distance from Origin,1,482,
447.169,µm,Surface,Distance from Origin,1,485,
440.464,µm,Surface,Distance from Origin,1,489,
434.29,µm,Surface,Distance from Origin,1,492,
423.272,µm,Surface,Distance from Origin,1,497,
424.111,µm,Surface,Distance from Origin,1,498,
406.715,µm,Surface,Distance from Origin,1,503,
407.424,µm,Surface,Distance from Origin,1,504,
403.664,µm,Surface,Distance from Origin,1,505,
414.196,µm,Surface,Distance from Origin,1,507,
407.98,µm,Surface,Distance from Origin,1,508,
395.583,µm,Surface,Distance from Origin,1,524,
388.727,µm,Surface,Distance from Origin,1,530,
383.545,µm,Surface,Distance from Origin,1,532,
379.246,µm,Surface,Distance from Origin,1,533,
389.089,µm,Surface,Distance from Origin,1,537,
371.286,µm,Surface,Distance from Origin,1,540,
383.958,µm,Surface,Distance from Origin,1,541,
384.403,µm,Surface,Distance from Origin,1,542,
372.851,µm,Surface,Distance from Origin,1,544,
359.335,µm,Surface,Distance from Origin,1,547,
361.89,µm,Surface,Distance from Origin,1,549,
385.058,µm,Surface,Distance from Origin,1,550,
363.862,µm,Surface,Distance from Origin,1,551,
348.931,µm,Surface,Distance from Origin,1,558,
345.874,µm,Surface,Distance from Origin,1,561,
348.858,µm,Surface,Distance from Origin,1,571,
328.35,µm,Surface,Distance from Origin,1,572,
366.242,µm,Surface,Distance from Origin,1,573,
326.863,µm,Surface,Distance from Origin,1,576,
347.609,µm,Surface,Distance from Origin,1,581,
320.752,µm,Surface,Distance from Origin,1,588,
316.73,µm,Surface,Distance from Origin,1,589,
309.419,µm,Surface,Distance from Origin,1,592,
321.054,µm,Surface,Distance from Origin,1,599,
334.053,µm,Surface,Distance from Origin,1,601,
332.391,µm,Surface,Distance from Origin,1,604,
302.17,µm,Surface,Distance from Origin,1,606,
305.451,µm,Surface,Distance from Origin,1,607,
298.366,µm,Surface,Distance from Origin,1,611,
328.668,µm,Surface,Distance from Origin,1,614,
312.612,µm,Surface,Distance from Origin,1,615,
290.739,µm,Surface,Distance from Origin,1,616,
345.023,µm,Surface,Distance from Origin,1,617,
312.527,µm,Surface,Distance from Origin,1,619,
336.072,µm,Surface,Distance from Origin,1,627,
267.62,µm,Surface,Distance from Origin,1,631,
332.959,µm,Surface,Distance from Origin,1,632,
280.607,µm,Surface,Distance from Origin,1,639,
300.413,µm,Surface,Distance from Origin,1,644,
323.959,µm,Surface,Distance from Origin,1,652,
237.685,µm,Surface,Distance from Origin,1,655,
239.245,µm,Surface,Distance from Origin,1,657,
318.933,µm,Surface,Distance from Origin,1,658,
236.171,µm,Surface,Distance from Origin,1,665,
224.783,µm,Surface,Distance from Origin,1,682,
216.719,µm,Surface,Distance from Origin,1,687,
208.164,µm,Surface,Distance from Origin,1,693,
775.062,µm,Surface,Distance from Origin,1,699,
768.65,µm,Surface,Distance from Origin,1,700,
733.367,µm,Surface,Distance from Origin,1,708,
739.97,µm,Surface,Distance from Origin,1,710,
738.957,µm,Surface,Distance from Origin,1,725,
731.469,µm,Surface,Distance from Origin,1,728,
731.54,µm,Surface,Distance from Origin,1,729,
732.3,µm,Surface,Distance from Origin,1,730,
733.518,µm,Surface,Distance from Origin,1,731,
693.396,µm,Surface,Distance from Origin,1,733,
