
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
161.658,µm,Surface,Image 1,1,4,
126.252,µm,Surface,Image 1,1,5,
160.446,µm,Surface,Image 1,1,11,
167.788,µm,Surface,Image 1,1,14,
178.613,µm,Surface,Image 1,1,20,
108.719,µm,Surface,Image 1,1,21,
134.22,µm,Surface,Image 1,1,27,
125.494,µm,Surface,Image 1,1,32,
117.967,µm,Surface,Image 1,1,34,
168.58,µm,Surface,Image 1,1,38,
142.966,µm,Surface,Image 1,1,40,
144.234,µm,Surface,Image 1,1,41,
135.872,µm,Surface,Image 1,1,45,
137.823,µm,Surface,Image 1,1,50,
90.3157,µm,Surface,Image 1,1,53,
47.0785,µm,Surface,Image 1,1,55,
47.0919,µm,Surface,Image 1,1,57,
75.2013,µm,Surface,Image 1,1,58,
20.482,µm,Surface,Image 1,1,59,
62.2512,µm,Surface,Image 1,1,62,
42.907,µm,Surface,Image 1,1,65,
71.3301,µm,Surface,Image 1,1,70,
63.1261,µm,Surface,Image 1,1,81,
10.4883,µm,Surface,Image 1,1,83,
59.7394,µm,Surface,Image 1,1,84,
66.7029,µm,Surface,Image 1,1,90,
37.4233,µm,Surface,Image 1,1,94,
38.6053,µm,Surface,Image 1,1,95,
93.8094,µm,Surface,Image 1,1,96,
19.1202,µm,Surface,Image 1,1,98,
49.8855,µm,Surface,Image 1,1,100,
77.1681,µm,Surface,Image 1,1,102,
15.0622,µm,Surface,Image 1,1,104,
107.424,µm,Surface,Image 1,1,112,
96.9047,µm,Surface,Image 1,1,113,
22.4768,µm,Surface,Image 1,1,114,
109.788,µm,Surface,Image 1,1,118,
61.0049,µm,Surface,Image 1,1,121,
56.1247,µm,Surface,Image 1,1,124,
97.0574,µm,Surface,Image 1,1,137,
3.83636,µm,Surface,Image 1,1,138,
45.4117,µm,Surface,Image 1,1,141,
46.4617,µm,Surface,Image 1,1,145,
73.542,µm,Surface,Image 1,1,149,
3.04646,µm,Surface,Image 1,1,150,
71.9401,µm,Surface,Image 1,1,154,
75.1933,µm,Surface,Image 1,1,155,
75.2688,µm,Surface,Image 1,1,166,
34.6428,µm,Surface,Image 1,1,171,
24.3947,µm,Surface,Image 1,1,173,
79.5711,µm,Surface,Image 1,1,174,
33.0858,µm,Surface,Image 1,1,176,
34.4126,µm,Surface,Image 1,1,177,
59.5679,µm,Surface,Image 1,1,190,
40.6792,µm,Surface,Image 1,1,192,
14.9834,µm,Surface,Image 1,1,193,
33.9798,µm,Surface,Image 1,1,205,
7.53605,µm,Surface,Image 1,1,206,
10.5075,µm,Surface,Image 1,1,209,
33.2322,µm,Surface,Image 1,1,210,
27.4725,µm,Surface,Image 1,1,212,
3.98814,µm,Surface,Image 1,1,225,
12.8026,µm,Surface,Image 1,1,235,
2.42047,µm,Surface,Image 1,1,237,
34.9658,µm,Surface,Image 1,1,239,
47.8951,µm,Surface,Image 1,1,245,
90.1418,µm,Surface,Image 1,1,248,
113.433,µm,Surface,Image 1,1,251,
71.2056,µm,Surface,Image 1,1,256,
91.043,µm,Surface,Image 1,1,258,
114.811,µm,Surface,Image 1,1,259,
20.2687,µm,Surface,Image 1,1,260,
74.447,µm,Surface,Image 1,1,262,
20.3522,µm,Surface,Image 1,1,263,
123.181,µm,Surface,Image 1,1,269,
135.814,µm,Surface,Image 1,1,271,
163.799,µm,Surface,Image 1,1,278,
50.1745,µm,Surface,Image 1,1,280,
168.262,µm,Surface,Image 1,1,289,
108.447,µm,Surface,Image 1,1,292,
105.454,µm,Surface,Image 1,1,294,
137.033,µm,Surface,Image 1,1,295,
89.4069,µm,Surface,Image 1,1,297,
15.3779,µm,Surface,Image 1,1,298,
7.50433,µm,Surface,Image 1,1,312,
88.6532,µm,Surface,Image 1,1,318,
159.18,µm,Surface,Image 1,1,326,
103.74,µm,Surface,Image 1,1,332,
61.0785,µm,Surface,Image 1,1,339,
78.3045,µm,Surface,Image 1,1,343,
85.2245,µm,Surface,Image 1,1,346,
22.8449,µm,Surface,Image 1,1,348,
112.106,µm,Surface,Image 1,1,356,
47.1335,µm,Surface,Image 1,1,357,
59.4313,µm,Surface,Image 1,1,359,
63.6523,µm,Surface,Image 1,1,361,
128.005,µm,Surface,Image 1,1,365,
43.5584,µm,Surface,Image 1,1,370,
163.942,µm,Surface,Image 1,1,376,
81.0373,µm,Surface,Image 1,1,377,
7.65509,µm,Surface,Image 1,1,382,
70.7629,µm,Surface,Image 1,1,384,
70.6609,µm,Surface,Image 1,1,388,
70.072,µm,Surface,Image 1,1,389,
47.5734,µm,Surface,Image 1,1,390,
68.6653,µm,Surface,Image 1,1,401,
81.7324,µm,Surface,Image 1,1,406,
51.7057,µm,Surface,Image 1,1,409,
128.575,µm,Surface,Image 1,1,410,
22.7157,µm,Surface,Image 1,1,411,
137.943,µm,Surface,Image 1,1,412,
36.7656,µm,Surface,Image 1,1,418,
79.5389,µm,Surface,Image 1,1,424,
34.8288,µm,Surface,Image 1,1,426,
35.2286,µm,Surface,Image 1,1,433,
40.4112,µm,Surface,Image 1,1,439,
56.1503,µm,Surface,Image 1,1,449,
76.241,µm,Surface,Image 1,1,452,
55.7688,µm,Surface,Image 1,1,453,
48.6823,µm,Surface,Image 1,1,456,
67.0198,µm,Surface,Image 1,1,457,
12.6493,µm,Surface,Image 1,1,458,
63.9314,µm,Surface,Image 1,1,459,
68.2865,µm,Surface,Image 1,1,465,
5.4431,µm,Surface,Image 1,1,466,
13.8384,µm,Surface,Image 1,1,470,
338.311,µm,Surface,Image 1,1,474,
309.989,µm,Surface,Image 1,1,479,
294.819,µm,Surface,Image 1,1,481,
314.098,µm,Surface,Image 1,1,482,
299.151,µm,Surface,Image 1,1,485,
271.259,µm,Surface,Image 1,1,489,
263.683,µm,Surface,Image 1,1,492,
235.223,µm,Surface,Image 1,1,497,
243.478,µm,Surface,Image 1,1,498,
242.032,µm,Surface,Image 1,1,503,
242.929,µm,Surface,Image 1,1,504,
278.139,µm,Surface,Image 1,1,505,
223.19,µm,Surface,Image 1,1,507,
268.85,µm,Surface,Image 1,1,508,
207.971,µm,Surface,Image 1,1,524,
193.667,µm,Surface,Image 1,1,530,
215.51,µm,Surface,Image 1,1,532,
230.213,µm,Surface,Image 1,1,533,
190.66,µm,Surface,Image 1,1,537,
207.825,µm,Surface,Image 1,1,540,
174.16,µm,Surface,Image 1,1,541,
179.843,µm,Surface,Image 1,1,542,
227.296,µm,Surface,Image 1,1,544,
229.949,µm,Surface,Image 1,1,547,
230.123,µm,Surface,Image 1,1,549,
167.24,µm,Surface,Image 1,1,550,
243.851,µm,Surface,Image 1,1,551,
209.971,µm,Surface,Image 1,1,558,
206.997,µm,Surface,Image 1,1,561,
134.52,µm,Surface,Image 1,1,571,
194.13,µm,Surface,Image 1,1,572,
113.433,µm,Surface,Image 1,1,573,
224.885,µm,Surface,Image 1,1,576,
133.313,µm,Surface,Image 1,1,581,
185.359,µm,Surface,Image 1,1,588,
221.798,µm,Surface,Image 1,1,589,
206.665,µm,Surface,Image 1,1,592,
166.603,µm,Surface,Image 1,1,599,
117.279,µm,Surface,Image 1,1,601,
109.502,µm,Surface,Image 1,1,604,
211.711,µm,Surface,Image 1,1,606,
178.284,µm,Surface,Image 1,1,607,
193.454,µm,Surface,Image 1,1,611,
82.8212,µm,Surface,Image 1,1,614,
106.025,µm,Surface,Image 1,1,615,
153.773,µm,Surface,Image 1,1,616,
58.4451,µm,Surface,Image 1,1,617,
98.3257,µm,Surface,Image 1,1,619,
49.4733,µm,Surface,Image 1,1,627,
173.639,µm,Surface,Image 1,1,631,
48.2178,µm,Surface,Image 1,1,632,
90.9464,µm,Surface,Image 1,1,639,
53.7094,µm,Surface,Image 1,1,644,
14.3676,µm,Surface,Image 1,1,652,
139.244,µm,Surface,Image 1,1,655,
140.812,µm,Surface,Image 1,1,657,
4.44681,µm,Surface,Image 1,1,658,
115.641,µm,Surface,Image 1,1,665,
37.1754,µm,Surface,Image 1,1,682,
44.7106,µm,Surface,Image 1,1,687,
39.7716,µm,Surface,Image 1,1,693,
7.40753,µm,Surface,Image 1,1,699,
21.53,µm,Surface,Image 1,1,700,
67.5687,µm,Surface,Image 1,1,708,
58.4942,µm,Surface,Image 1,1,710,
28.5829,µm,Surface,Image 1,1,725,
45.5333,µm,Surface,Image 1,1,728,
46.7661,µm,Surface,Image 1,1,729,
45.225,µm,Surface,Image 1,1,730,
43.1509,µm,Surface,Image 1,1,731,
112.296,µm,Surface,Image 1,1,733,
129.909,µm,Surface,Image 1,1,735,
43.8721,µm,Surface,Image 1,1,736,
101.511,µm,Surface,Image 1,1,742,
131.779,µm,Surface,Image 1,1,748,
148.759,µm,Surface,Image 1,1,750,
104.068,µm,Surface,Image 1,1,753,
142.479,µm,Surface,Image 1,1,756,
65.0332,µm,Surface,Image 1,1,760,
150.342,µm,Surface,Image 1,1,764,
136.671,µm,Surface,Image 1,1,766,
42.8538,µm,Surface,Image 1,1,771,
31.7249,µm,Surface,Image 1,1,772,
31.9322,µm,Surface,Image 1,1,782,
104.736,µm,Surface,Image 1,1,783,
139.803,µm,Surface,Image 1,1,784,
105.451,µm,Surface,Image 1,1,793,
91.4251,µm,Surface,Image 1,1,794,
168.937,µm,Surface,Image 1,1,800,
98.8339,µm,Surface,Image 1,1,802,
77.931,µm,Surface,Image 1,1,805,
78.2495,µm,Surface,Image 1,1,810,
105.546,µm,Surface,Image 1,1,817,
96.4796,µm,Surface,Image 1,1,821,
