
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.28808,,Surface,1,4,
0.340105,,Surface,1,5,
0.394125,,Surface,1,11,
0.319043,,Surface,1,14,
0.565416,,Surface,1,20,
0.340064,,Surface,1,21,
0.331945,,Surface,1,27,
0.687162,,Surface,1,32,
0.230043,,Surface,1,34,
0.535857,,Surface,1,38,
0.516744,,Surface,1,40,
0.307742,,Surface,1,41,
0.545988,,Surface,1,45,
0.36693,,Surface,1,50,
0.17179,,Surface,1,53,
0.681152,,Surface,1,55,
0.611507,,Surface,1,57,
0.309163,,Surface,1,58,
0.514847,,Surface,1,59,
0.346457,,Surface,1,62,
0.284408,,Surface,1,65,
0.296426,,Surface,1,70,
0.342384,,Surface,1,81,
0.236484,,Surface,1,83,
0.260888,,Surface,1,84,
0.297074,,Surface,1,90,
0.193956,,Surface,1,94,
0.632993,,Surface,1,95,
0.269673,,Surface,1,96,
0.494341,,Surface,1,98,
0.447962,,Surface,1,100,
0.314623,,Surface,1,102,
0.361893,,Surface,1,104,
0.284069,,Surface,1,112,
0.298362,,Surface,1,113,
0.306638,,Surface,1,114,
0.374176,,Surface,1,118,
0.256705,,Surface,1,121,
0.487694,,Surface,1,124,
0.478416,,Surface,1,137,
0.49387,,Surface,1,138,
0.647931,,Surface,1,141,
0.379384,,Surface,1,145,
0.26217,,Surface,1,149,
0.392418,,Surface,1,150,
0.176074,,Surface,1,154,
0.405777,,Surface,1,155,
0.450324,,Surface,1,166,
0.171424,,Surface,1,171,
0.357797,,Surface,1,173,
0.358863,,Surface,1,174,
0.524358,,Surface,1,176,
0.49074,,Surface,1,177,
0.410463,,Surface,1,190,
0.313244,,Surface,1,192,
0.194594,,Surface,1,193,
0.321341,,Surface,1,205,
0.436192,,Surface,1,206,
0.491102,,Surface,1,209,
0.639642,,Surface,1,210,
0.587556,,Surface,1,212,
0.243264,,Surface,1,225,
0.268679,,Surface,1,235,
0.191023,,Surface,1,237,
0.168789,,Surface,1,239,
0.199832,,Surface,1,245,
0.484073,,Surface,1,248,
0.391331,,Surface,1,251,
0.301899,,Surface,1,256,
0.225906,,Surface,1,258,
0.21663,,Surface,1,259,
0.365768,,Surface,1,260,
