
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.658146,,Surface,1,4,
0.544583,,Surface,1,5,
0.486597,,Surface,1,11,
0.592259,,Surface,1,14,
0.293136,,Surface,1,20,
0.526097,,Surface,1,21,
0.570087,,Surface,1,27,
0.189352,,Surface,1,32,
0.767902,,Surface,1,34,
0.307895,,Surface,1,38,
0.313948,,Surface,1,40,
0.528343,,Surface,1,41,
0.314796,,Surface,1,45,
0.502771,,Surface,1,50,
0.668924,,Surface,1,53,
0.203544,,Surface,1,55,
0.258526,,Surface,1,57,
0.615147,,Surface,1,58,
0.338885,,Surface,1,59,
0.53534,,Surface,1,62,
0.594733,,Surface,1,65,
0.638789,,Surface,1,70,
0.528858,,Surface,1,81,
0.38622,,Surface,1,83,
0.501877,,Surface,1,84,
0.594186,,Surface,1,90,
0.732736,,Surface,1,94,
0.241101,,Surface,1,95,
0.667183,,Surface,1,96,
0.332819,,Surface,1,98,
0.41059,,Surface,1,100,
0.583007,,Surface,1,102,
0.530899,,Surface,1,104,
0.640526,,Surface,1,112,
0.605516,,Surface,1,113,
0.588466,,Surface,1,114,
0.508997,,Surface,1,118,
0.694494,,Surface,1,121,
0.368878,,Surface,1,124,
0.3298,,Surface,1,137,
0.363161,,Surface,1,138,
0.22651,,Surface,1,141,
0.505563,,Surface,1,145,
0.686031,,Surface,1,149,
0.435618,,Surface,1,150,
0.837267,,Surface,1,154,
0.45022,,Surface,1,155,
0.405669,,Surface,1,166,
0.727691,,Surface,1,171,
0.536859,,Surface,1,173,
0.478481,,Surface,1,174,
0.331763,,Surface,1,176,
0.348169,,Surface,1,177,
0.463894,,Surface,1,190,
0.577717,,Surface,1,192,
0.673479,,Surface,1,193,
0.591314,,Surface,1,205,
0.427172,,Surface,1,206,
0.34057,,Surface,1,209,
0.224357,,Surface,1,210,
0.277805,,Surface,1,212,
0.707797,,Surface,1,225,
0.680359,,Surface,1,235,
0.834115,,Surface,1,237,
0.725547,,Surface,1,239,
0.802457,,Surface,1,245,
0.377083,,Surface,1,248,
0.459346,,Surface,1,251,
0.620553,,Surface,1,256,
0.609889,,Surface,1,258,
0.744404,,Surface,1,259,
0.510809,,Surface,1,260,
0.670929,,Surface,1,262,
0.67249,,Surface,1,263,
0.484494,,Surface,1,269,
0.289603,,Surface,1,271,
0.394591,,Surface,1,278,
0.666942,,Surface,1,280,
0.462597,,Surface,1,289,
0.407545,,Surface,1,292,
0.385191,,Surface,1,294,
0.398411,,Surface,1,295,
0.444382,,Surface,1,297,
0.701331,,Surface,1,298,
0.546769,,Surface,1,312,
0.63651,,Surface,1,318,
0.612856,,Surface,1,326,
0.327689,,Surface,1,332,
0.69103,,Surface,1,339,
0.719931,,Surface,1,343,
0.734413,,Surface,1,346,
0.53649,,Surface,1,348,
0.531654,,Surface,1,356,
0.569276,,Surface,1,357,
0.425815,,Surface,1,359,
0.801552,,Surface,1,361,
0.721863,,Surface,1,365,
0.638444,,Surface,1,370,
0.552134,,Surface,1,376,
0.431972,,Surface,1,377,
0.528701,,Surface,1,382,
0.317701,,Surface,1,384,
0.639416,,Surface,1,388,
0.621381,,Surface,1,389,
0.385778,,Surface,1,390,
0.702813,,Surface,1,401,
0.481326,,Surface,1,406,
0.558452,,Surface,1,409,
0.611567,,Surface,1,410,
0.300975,,Surface,1,411,
0.752581,,Surface,1,412,
0.471815,,Surface,1,418,
0.743683,,Surface,1,424,
0.646959,,Surface,1,426,
0.237998,,Surface,1,433,
0.652233,,Surface,1,439,
0.537116,,Surface,1,449,
0.714795,,Surface,1,452,
0.533885,,Surface,1,453,
0.7188,,Surface,1,456,
0.639387,,Surface,1,457,
0.527448,,Surface,1,458,
0.564453,,Surface,1,459,
0.717235,,Surface,1,465,
0.476271,,Surface,1,466,
0.770602,,Surface,1,470,
0.423762,,Surface,1,474,
0.43736,,Surface,1,479,
0.49845,,Surface,1,481,
0.661259,,Surface,1,482,
0.308278,,Surface,1,485,
0.765926,,Surface,1,489,
0.574106,,Surface,1,492,
0.359874,,Surface,1,497,
0.394549,,Surface,1,498,
0.807579,,Surface,1,503,
0.541079,,Surface,1,504,
0.393014,,Surface,1,505,
0.471964,,Surface,1,507,
0.516389,,Surface,1,508,
0.645226,,Surface,1,524,
0.220726,,Surface,1,530,
0.71002,,Surface,1,532,
0.544987,,Surface,1,533,
0.30986,,Surface,1,537,
0.521673,,Surface,1,540,
0.475486,,Surface,1,541,
0.424811,,Surface,1,542,
0.621974,,Surface,1,544,
0.616246,,Surface,1,547,
0.280993,,Surface,1,549,
0.589206,,Surface,1,550,
0.758504,,Surface,1,551,
0.312487,,Surface,1,558,
0.483352,,Surface,1,561,
0.758311,,Surface,1,571,
0.622069,,Surface,1,572,
0.657183,,Surface,1,573,
0.78373,,Surface,1,576,
0.631341,,Surface,1,581,
0.80854,,Surface,1,588,
0.186723,,Surface,1,589,
0.59556,,Surface,1,592,
0.443156,,Surface,1,599,
0.406494,,Surface,1,601,
0.500974,,Surface,1,604,
0.307718,,Surface,1,606,
0.764857,,Surface,1,607,
0.573721,,Surface,1,611,
0.556281,,Surface,1,614,
0.55387,,Surface,1,615,
0.675414,,Surface,1,616,
0.515533,,Surface,1,617,
0.605563,,Surface,1,619,
0.531973,,Surface,1,627,
0.67598,,Surface,1,631,
0.388467,,Surface,1,632,
0.724778,,Surface,1,639,
0.392497,,Surface,1,644,
0.58771,,Surface,1,652,
0.241368,,Surface,1,655,
0.560445,,Surface,1,657,
0.507365,,Surface,1,658,
0.743141,,Surface,1,665,
0.371829,,Surface,1,682,
0.616474,,Surface,1,687,
0.285907,,Surface,1,693,
0.455576,,Surface,1,699,
0.526685,,Surface,1,700,
0.696326,,Surface,1,708,
0.413443,,Surface,1,710,
0.674118,,Surface,1,725,
0.774947,,Surface,1,728,
0.434905,,Surface,1,729,
0.659691,,Surface,1,730,
0.571151,,Surface,1,731,
0.434744,,Surface,1,733,
0.467959,,Surface,1,735,
0.653347,,Surface,1,736,
0.531408,,Surface,1,742,
0.67786,,Surface,1,748,
0.341161,,Surface,1,750,
0.702887,,Surface,1,753,
0.604066,,Surface,1,756,
0.687386,,Surface,1,760,
0.399704,,Surface,1,764,
0.602436,,Surface,1,766,
0.489343,,Surface,1,771,
0.269364,,Surface,1,772,
0.758571,,Surface,1,782,
0.564794,,Surface,1,783,
0.456329,,Surface,1,784,
0.537173,,Surface,1,793,
0.450324,,Surface,1,794,
0.584673,,Surface,1,800,
0.355599,,Surface,1,802,
0.398683,,Surface,1,805,
0.748306,,Surface,1,810,
0.683132,,Surface,1,817,
0.717097,,Surface,1,821,
0.428223,,Surface,1,822,
0.815207,,Surface,1,827,
0.33547,,Surface,1,831,
0.442012,,Surface,1,834,
0.206948,,Surface,1,839,
0.452196,,Surface,1,850,
0.234806,,Surface,1,855,
0.647819,,Surface,1,868,
0.538501,,Surface,1,874,
0.481228,,Surface,1,875,
0.25145,,Surface,1,882,
0.472318,,Surface,1,883,
0.631069,,Surface,1,885,
0.344495,,Surface,1,891,
0.766216,,Surface,1,892,
0.698101,,Surface,1,895,
0.514136,,Surface,1,896,
0.416469,,Surface,1,897,
0.562666,,Surface,1,901,
0.502082,,Surface,1,905,
0.636442,,Surface,1,911,
0.589522,,Surface,1,912,
0.386139,,Surface,1,924,
0.345207,,Surface,1,925,
0.688967,,Surface,1,926,
0.460939,,Surface,1,935,
0.589465,,Surface,1,936,
0.606646,,Surface,1,946,
0.561242,,Surface,1,950,
0.289193,,Surface,1,955,
0.337598,,Surface,1,957,
0.253384,,Surface,1,962,
0.762606,,Surface,1,966,
0.460745,,Surface,1,977,
0.77813,,Surface,1,979,
0.586749,,Surface,1,986,
0.645091,,Surface,1,991,
0.354786,,Surface,1,993,
0.727944,,Surface,1,1011,
0.362192,,Surface,1,1013,
0.582059,,Surface,1,1016,
0.394851,,Surface,1,1017,
0.525474,,Surface,1,1023,
0.282443,,Surface,1,1024,
0.677475,,Surface,1,1030,
0.359772,,Surface,1,1033,
0.706102,,Surface,1,1041,
0.77075,,Surface,1,1043,
0.764444,,Surface,1,1046,
0.408384,,Surface,1,1048,
0.588435,,Surface,1,1049,
0.399023,,Surface,1,1051,
0.751004,,Surface,1,1052,
0.45476,,Surface,1,1053,
0.380516,,Surface,1,1055,
0.534,,Surface,1,1056,
0.88889,,Surface,1,1062,
0.646345,,Surface,1,1065,
0.257621,,Surface,1,1066,
0.50044,,Surface,1,1070,
0.613069,,Surface,1,1071,
