
Intensity Ch=10 Img=1
 ==================== 
Distance to Surface,Intensity Mean,Image Intensity Mean,Intensity Mean minus Std,Intensity Mean plus Std,Unit,Channel,Collection,Image,Time,ID,
-1.215,243.995,204.17,-248.622,656.963,,10,Intensity,Image 1,1,,
-0.945,243.995,173.215,-232.625,579.056,,10,Intensity,Image 1,1,,
-0.675,243.995,126.67,-200.401,453.741,,10,Intensity,Image 1,1,,
-0.405,243.995,84.3067,-168.351,336.965,,10,Intensity,Image 1,1,,
-0.135,243.995,55.2966,-138.234,248.828,,10,Intensity,Image 1,1,,
0.135,243.995,41.5499,-118.39,201.49,,10,Intensity,Image 1,1,,
0.405,243.995,37.0999,-116.394,190.593,,10,Intensity,Image 1,1,,
0.675,243.995,38.75,-136.185,213.685,,10,Intensity,Image 1,1,,
0.945,243.995,44.9636,-177.1,267.027,,10,Intensity,Image 1,1,,
1.215,243.995,54.7596,-229.423,338.942,,10,Intensity,Image 1,1,,
1.485,243.995,67.0586,-280.737,414.854,,10,Intensity,Image 1,1,,
1.755,243.995,81.1984,-327.158,489.555,,10,Intensity,Image 1,1,,
2.025,243.995,97.2369,-370.51,564.984,,10,Intensity,Image 1,1,,
2.295,243.995,115.09,-413.58,643.759,,10,Intensity,Image 1,1,,
2.565,243.995,134.525,-456.897,725.946,,10,Intensity,Image 1,1,,
2.835,243.995,154.808,-497.494,807.11,,10,Intensity,Image 1,1,,
3.105,243.995,175.269,-533.169,883.706,,10,Intensity,Image 1,1,,
3.375,243.995,195.43,-563.808,954.667,,10,Intensity,Image 1,1,,
3.645,243.995,215.189,-590.027,1020.4,,10,Intensity,Image 1,1,,
3.915,243.995,234.215,-611.362,1079.79,,10,Intensity,Image 1,1,,
4.185,243.995,251.84,-627.909,1131.59,,10,Intensity,Image 1,1,,
4.455,243.995,268.313,-641.952,1178.58,,10,Intensity,Image 1,1,,
4.725,243.995,283.693,-654.643,1222.03,,10,Intensity,Image 1,1,,
4.995,243.995,297.716,-665.861,1261.29,,10,Intensity,Image 1,1,,
5.265,243.995,309.5,-673.675,1292.68,,10,Intensity,Image 1,1,,
5.535,243.995,319.03,-678.239,1316.3,,10,Intensity,Image 1,1,,
5.805,243.995,326.667,-681.617,1334.95,,10,Intensity,Image 1,1,,
6.075,243.995,332.581,-684.643,1349.81,,10,Intensity,Image 1,1,,
6.345,243.995,336.935,-686.849,1360.72,,10,Intensity,Image 1,1,,
6.615,243.995,339.689,-687.442,1366.82,,10,Intensity,Image 1,1,,
6.885,243.995,341.119,-686.709,1368.95,,10,Intensity,Image 1,1,,
7.155,243.995,341.456,-684.847,1367.76,,10,Intensity,Image 1,1,,
7.425,243.995,340.957,-682.587,1364.5,,10,Intensity,Image 1,1,,
7.695,243.995,339.425,-680.083,1358.93,,10,Intensity,Image 1,1,,
7.965,243.995,337.255,-677.251,1351.76,,10,Intensity,Image 1,1,,
8.235,243.995,334.588,-673.923,1343.1,,10,Intensity,Image 1,1,,
8.505,243.995,331.712,-670.342,1333.76,,10,Intensity,Image 1,1,,
