
Intensity Max Ch=34 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
302,,Surface,34,Image 1,1,4,
94,,Surface,34,Image 1,1,5,
273,,Surface,34,Image 1,1,11,
107,,Surface,34,Image 1,1,14,
145,,Surface,34,Image 1,1,20,
259,,Surface,34,Image 1,1,21,
160,,Surface,34,Image 1,1,27,
77,,Surface,34,Image 1,1,32,
43,,Surface,34,Image 1,1,34,
402,,Surface,34,Image 1,1,38,
121,,Surface,34,Image 1,1,40,
47,,Surface,34,Image 1,1,41,
141,,Surface,34,Image 1,1,45,
77,,Surface,34,Image 1,1,50,
129,,Surface,34,Image 1,1,53,
201,,Surface,34,Image 1,1,55,
224,,Surface,34,Image 1,1,57,
262,,Surface,34,Image 1,1,58,
791,,Surface,34,Image 1,1,59,
412,,Surface,34,Image 1,1,62,
454,,Surface,34,Image 1,1,65,
92,,Surface,34,Image 1,1,70,
445,,Surface,34,Image 1,1,81,
29,,Surface,34,Image 1,1,83,
31,,Surface,34,Image 1,1,84,
46,,Surface,34,Image 1,1,90,
157,,Surface,34,Image 1,1,94,
170,,Surface,34,Image 1,1,95,
385,,Surface,34,Image 1,1,96,
264,,Surface,34,Image 1,1,98,
145,,Surface,34,Image 1,1,100,
162,,Surface,34,Image 1,1,102,
326,,Surface,34,Image 1,1,104,
0,,Surface,34,Image 1,1,112,
0,,Surface,34,Image 1,1,113,
196,,Surface,34,Image 1,1,114,
0,,Surface,34,Image 1,1,118,
0,,Surface,34,Image 1,1,121,
0,,Surface,34,Image 1,1,124,
0,,Surface,34,Image 1,1,137,
65,,Surface,34,Image 1,1,138,
0,,Surface,34,Image 1,1,141,
0,,Surface,34,Image 1,1,145,
0,,Surface,34,Image 1,1,149,
30,,Surface,34,Image 1,1,150,
0,,Surface,34,Image 1,1,154,
0,,Surface,34,Image 1,1,155,
0,,Surface,34,Image 1,1,166,
0,,Surface,34,Image 1,1,171,
0,,Surface,34,Image 1,1,173,
0,,Surface,34,Image 1,1,174,
0,,Surface,34,Image 1,1,176,
0,,Surface,34,Image 1,1,177,
0,,Surface,34,Image 1,1,190,
0,,Surface,34,Image 1,1,192,
0,,Surface,34,Image 1,1,193,
0,,Surface,34,Image 1,1,205,
0,,Surface,34,Image 1,1,206,
0,,Surface,34,Image 1,1,209,
0,,Surface,34,Image 1,1,210,
0,,Surface,34,Image 1,1,212,
