
Intensity Mean Ch=11 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
595.681,,Surface,11,Image 1,1,4,
578.932,,Surface,11,Image 1,1,5,
839.46,,Surface,11,Image 1,1,11,
633.005,,Surface,11,Image 1,1,14,
635.434,,Surface,11,Image 1,1,20,
1044.79,,Surface,11,Image 1,1,21,
1184.91,,Surface,11,Image 1,1,27,
310.071,,Surface,11,Image 1,1,32,
507.57,,Surface,11,Image 1,1,34,
425.823,,Surface,11,Image 1,1,38,
658.43,,Surface,11,Image 1,1,40,
357.782,,Surface,11,Image 1,1,41,
584.175,,Surface,11,Image 1,1,45,
595.198,,Surface,11,Image 1,1,50,
114.704,,Surface,11,Image 1,1,53,
515.497,,Surface,11,Image 1,1,55,
792.397,,Surface,11,Image 1,1,57,
38.7543,,Surface,11,Image 1,1,58,
737.236,,Surface,11,Image 1,1,59,
74.9622,,Surface,11,Image 1,1,62,
382.346,,Surface,11,Image 1,1,65,
263.907,,Surface,11,Image 1,1,70,
318.451,,Surface,11,Image 1,1,81,
783.084,,Surface,11,Image 1,1,83,
360.824,,Surface,11,Image 1,1,84,
323.031,,Surface,11,Image 1,1,90,
460.393,,Surface,11,Image 1,1,94,
320.075,,Surface,11,Image 1,1,95,
656.754,,Surface,11,Image 1,1,96,
509.571,,Surface,11,Image 1,1,98,
32.4367,,Surface,11,Image 1,1,100,
1100.64,,Surface,11,Image 1,1,102,
647.105,,Surface,11,Image 1,1,104,
666.449,,Surface,11,Image 1,1,112,
335.295,,Surface,11,Image 1,1,113,
613.847,,Surface,11,Image 1,1,114,
430.031,,Surface,11,Image 1,1,118,
243.626,,Surface,11,Image 1,1,121,
829.108,,Surface,11,Image 1,1,124,
389.236,,Surface,11,Image 1,1,137,
352.51,,Surface,11,Image 1,1,138,
663.132,,Surface,11,Image 1,1,141,
537.438,,Surface,11,Image 1,1,145,
374.051,,Surface,11,Image 1,1,149,
218.559,,Surface,11,Image 1,1,150,
108.265,,Surface,11,Image 1,1,154,
146.356,,Surface,11,Image 1,1,155,
728.755,,Surface,11,Image 1,1,166,
262.998,,Surface,11,Image 1,1,171,
324.589,,Surface,11,Image 1,1,173,
597.312,,Surface,11,Image 1,1,174,
321.37,,Surface,11,Image 1,1,176,
766.369,,Surface,11,Image 1,1,177,
433.614,,Surface,11,Image 1,1,190,
596.53,,Surface,11,Image 1,1,192,
168.559,,Surface,11,Image 1,1,193,
204.461,,Surface,11,Image 1,1,205,
678.555,,Surface,11,Image 1,1,206,
242.201,,Surface,11,Image 1,1,209,
743.621,,Surface,11,Image 1,1,210,
419.905,,Surface,11,Image 1,1,212,
231.369,,Surface,11,Image 1,1,225,
161.913,,Surface,11,Image 1,1,235,
106.581,,Surface,11,Image 1,1,237,
878.412,,Surface,11,Image 1,1,239,
208.136,,Surface,11,Image 1,1,245,
500.55,,Surface,11,Image 1,1,248,
604.428,,Surface,11,Image 1,1,251,
846.372,,Surface,11,Image 1,1,256,
207.467,,Surface,11,Image 1,1,258,
961.638,,Surface,11,Image 1,1,259,
879.38,,Surface,11,Image 1,1,260,
626.985,,Surface,11,Image 1,1,262,
1053,,Surface,11,Image 1,1,263,
910.114,,Surface,11,Image 1,1,269,
694.52,,Surface,11,Image 1,1,271,
720.441,,Surface,11,Image 1,1,278,
1097.07,,Surface,11,Image 1,1,280,
573.956,,Surface,11,Image 1,1,289,
604.193,,Surface,11,Image 1,1,292,
909.579,,Surface,11,Image 1,1,294,
506.151,,Surface,11,Image 1,1,295,
0.701613,,Surface,11,Image 1,1,297,
951.875,,Surface,11,Image 1,1,298,
531.357,,Surface,11,Image 1,1,312,
574.608,,Surface,11,Image 1,1,318,
817.199,,Surface,11,Image 1,1,326,
522.819,,Surface,11,Image 1,1,332,
813.047,,Surface,11,Image 1,1,339,
647.682,,Surface,11,Image 1,1,343,
1206.01,,Surface,11,Image 1,1,346,
537.64,,Surface,11,Image 1,1,348,
805.722,,Surface,11,Image 1,1,356,
169.994,,Surface,11,Image 1,1,357,
795.73,,Surface,11,Image 1,1,359,
60.9434,,Surface,11,Image 1,1,361,
624.504,,Surface,11,Image 1,1,365,
607.294,,Surface,11,Image 1,1,370,
611.893,,Surface,11,Image 1,1,376,
509.079,,Surface,11,Image 1,1,377,
391.862,,Surface,11,Image 1,1,382,
719.175,,Surface,11,Image 1,1,384,
690.254,,Surface,11,Image 1,1,388,
587.063,,Surface,11,Image 1,1,389,
239.373,,Surface,11,Image 1,1,390,
608.501,,Surface,11,Image 1,1,401,
967.575,,Surface,11,Image 1,1,406,
690.82,,Surface,11,Image 1,1,409,
884.05,,Surface,11,Image 1,1,410,
1030.56,,Surface,11,Image 1,1,411,
428.703,,Surface,11,Image 1,1,412,
934.215,,Surface,11,Image 1,1,418,
436.197,,Surface,11,Image 1,1,424,
312.152,,Surface,11,Image 1,1,426,
594.188,,Surface,11,Image 1,1,433,
212.057,,Surface,11,Image 1,1,439,
5.1342,,Surface,11,Image 1,1,449,
1492.78,,Surface,11,Image 1,1,452,
629.424,,Surface,11,Image 1,1,453,
689.989,,Surface,11,Image 1,1,456,
130.994,,Surface,11,Image 1,1,457,
854.386,,Surface,11,Image 1,1,458,
1216.42,,Surface,11,Image 1,1,459,
897.141,,Surface,11,Image 1,1,465,
94.4331,,Surface,11,Image 1,1,466,
314.957,,Surface,11,Image 1,1,470,
1119.93,,Surface,11,Image 1,1,474,
990.937,,Surface,11,Image 1,1,479,
673.453,,Surface,11,Image 1,1,481,
693.97,,Surface,11,Image 1,1,482,
310.855,,Surface,11,Image 1,1,485,
426.769,,Surface,11,Image 1,1,489,
1419.11,,Surface,11,Image 1,1,492,
779.048,,Surface,11,Image 1,1,497,
868.023,,Surface,11,Image 1,1,498,
402.217,,Surface,11,Image 1,1,503,
492.222,,Surface,11,Image 1,1,504,
707.395,,Surface,11,Image 1,1,505,
545.734,,Surface,11,Image 1,1,507,
1171.81,,Surface,11,Image 1,1,508,
557.364,,Surface,11,Image 1,1,524,
838.452,,Surface,11,Image 1,1,530,
167.22,,Surface,11,Image 1,1,532,
644.649,,Surface,11,Image 1,1,533,
696.245,,Surface,11,Image 1,1,537,
356.555,,Surface,11,Image 1,1,540,
14.0707,,Surface,11,Image 1,1,541,
377.48,,Surface,11,Image 1,1,542,
1079.41,,Surface,11,Image 1,1,544,
665.924,,Surface,11,Image 1,1,547,
554.34,,Surface,11,Image 1,1,549,
42.4876,,Surface,11,Image 1,1,550,
370.13,,Surface,11,Image 1,1,551,
292.978,,Surface,11,Image 1,1,558,
58.7951,,Surface,11,Image 1,1,561,
675.795,,Surface,11,Image 1,1,571,
876.799,,Surface,11,Image 1,1,572,
712.15,,Surface,11,Image 1,1,573,
566.488,,Surface,11,Image 1,1,576,
397.223,,Surface,11,Image 1,1,581,
488.338,,Surface,11,Image 1,1,588,
263.529,,Surface,11,Image 1,1,589,
101.753,,Surface,11,Image 1,1,592,
847.121,,Surface,11,Image 1,1,599,
412.75,,Surface,11,Image 1,1,601,
216.63,,Surface,11,Image 1,1,604,
684.192,,Surface,11,Image 1,1,606,
431.034,,Surface,11,Image 1,1,607,
597.247,,Surface,11,Image 1,1,611,
591.843,,Surface,11,Image 1,1,614,
468.908,,Surface,11,Image 1,1,615,
209.643,,Surface,11,Image 1,1,616,
554.519,,Surface,11,Image 1,1,617,
495.756,,Surface,11,Image 1,1,619,
996.673,,Surface,11,Image 1,1,627,
