
Intensity Median Ch=13 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
0.25,,Surface,13,Image 1,1,4,
89.25,,Surface,13,Image 1,1,5,
5.25,,Surface,13,Image 1,1,11,
0.5,,Surface,13,Image 1,1,14,
51.5,,Surface,13,Image 1,1,20,
0.25,,Surface,13,Image 1,1,21,
0.25,,Surface,13,Image 1,1,27,
0.25,,Surface,13,Image 1,1,32,
0.25,,Surface,13,Image 1,1,34,
96.25,,Surface,13,Image 1,1,38,
0.5,,Surface,13,Image 1,1,40,
0.125,,Surface,13,Image 1,1,41,
0.25,,Surface,13,Image 1,1,45,
0.125,,Surface,13,Image 1,1,50,
161.5,,Surface,13,Image 1,1,53,
0.125,,Surface,13,Image 1,1,55,
0.25,,Surface,13,Image 1,1,57,
798,,Surface,13,Image 1,1,58,
0.25,,Surface,13,Image 1,1,59,
37.25,,Surface,13,Image 1,1,62,
0.25,,Surface,13,Image 1,1,65,
229.5,,Surface,13,Image 1,1,70,
42.25,,Surface,13,Image 1,1,81,
63.25,,Surface,13,Image 1,1,83,
0.25,,Surface,13,Image 1,1,84,
148.5,,Surface,13,Image 1,1,90,
66.25,,Surface,13,Image 1,1,94,
23.25,,Surface,13,Image 1,1,95,
66.25,,Surface,13,Image 1,1,96,
0.5,,Surface,13,Image 1,1,98,
631,,Surface,13,Image 1,1,100,
82.5,,Surface,13,Image 1,1,102,
118.5,,Surface,13,Image 1,1,104,
113.25,,Surface,13,Image 1,1,112,
108.5,,Surface,13,Image 1,1,113,
0.25,,Surface,13,Image 1,1,114,
28.25,,Surface,13,Image 1,1,118,
0.125,,Surface,13,Image 1,1,121,
0.25,,Surface,13,Image 1,1,124,
82.25,,Surface,13,Image 1,1,137,
48.5,,Surface,13,Image 1,1,138,
129.5,,Surface,13,Image 1,1,141,
46.5,,Surface,13,Image 1,1,145,
56.5,,Surface,13,Image 1,1,149,
68.5,,Surface,13,Image 1,1,150,
100.25,,Surface,13,Image 1,1,154,
184.5,,Surface,13,Image 1,1,155,
70.5,,Surface,13,Image 1,1,166,
74.5,,Surface,13,Image 1,1,171,
175.5,,Surface,13,Image 1,1,173,
117.5,,Surface,13,Image 1,1,174,
22.25,,Surface,13,Image 1,1,176,
151.25,,Surface,13,Image 1,1,177,
294.5,,Surface,13,Image 1,1,190,
42.5,,Surface,13,Image 1,1,192,
146.25,,Surface,13,Image 1,1,193,
198.75,,Surface,13,Image 1,1,205,
165.5,,Surface,13,Image 1,1,206,
