
Intensity Min Ch=22 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
0,,Surface,22,Image 1,1,4,
0,,Surface,22,Image 1,1,5,
0,,Surface,22,Image 1,1,11,
0,,Surface,22,Image 1,1,14,
0,,Surface,22,Image 1,1,20,
0,,Surface,22,Image 1,1,21,
0,,Surface,22,Image 1,1,27,
0,,Surface,22,Image 1,1,32,
0,,Surface,22,Image 1,1,34,
611,,Surface,22,Image 1,1,38,
0,,Surface,22,Image 1,1,40,
0,,Surface,22,Image 1,1,41,
0,,Surface,22,Image 1,1,45,
0,,Surface,22,Image 1,1,50,
0,,Surface,22,Image 1,1,53,
0,,Surface,22,Image 1,1,55,
0,,Surface,22,Image 1,1,57,
0,,Surface,22,Image 1,1,58,
902,,Surface,22,Image 1,1,59,
854,,Surface,22,Image 1,1,62,
16,,Surface,22,Image 1,1,65,
0,,Surface,22,Image 1,1,70,
1142,,Surface,22,Image 1,1,81,
0,,Surface,22,Image 1,1,83,
0,,Surface,22,Image 1,1,84,
0,,Surface,22,Image 1,1,90,
313,,Surface,22,Image 1,1,94,
421,,Surface,22,Image 1,1,95,
1523,,Surface,22,Image 1,1,96,
0,,Surface,22,Image 1,1,98,
0,,Surface,22,Image 1,1,100,
0,,Surface,22,Image 1,1,102,
0,,Surface,22,Image 1,1,104,
0,,Surface,22,Image 1,1,112,
0,,Surface,22,Image 1,1,113,
1116,,Surface,22,Image 1,1,114,
0,,Surface,22,Image 1,1,118,
0,,Surface,22,Image 1,1,121,
0,,Surface,22,Image 1,1,124,
0,,Surface,22,Image 1,1,137,
0,,Surface,22,Image 1,1,138,
0,,Surface,22,Image 1,1,141,
0,,Surface,22,Image 1,1,145,
0,,Surface,22,Image 1,1,149,
0,,Surface,22,Image 1,1,150,
0,,Surface,22,Image 1,1,154,
0,,Surface,22,Image 1,1,155,
0,,Surface,22,Image 1,1,166,
0,,Surface,22,Image 1,1,171,
0,,Surface,22,Image 1,1,173,
0,,Surface,22,Image 1,1,174,
0,,Surface,22,Image 1,1,176,
0,,Surface,22,Image 1,1,177,
0,,Surface,22,Image 1,1,190,
0,,Surface,22,Image 1,1,192,
0,,Surface,22,Image 1,1,193,
0,,Surface,22,Image 1,1,205,
0,,Surface,22,Image 1,1,206,
0,,Surface,22,Image 1,1,209,
0,,Surface,22,Image 1,1,210,
0,,Surface,22,Image 1,1,212,
0,,Surface,22,Image 1,1,225,
0,,Surface,22,Image 1,1,235,
0,,Surface,22,Image 1,1,237,
0,,Surface,22,Image 1,1,239,
0,,Surface,22,Image 1,1,245,
0,,Surface,22,Image 1,1,248,
0,,Surface,22,Image 1,1,251,
0,,Surface,22,Image 1,1,256,
0,,Surface,22,Image 1,1,258,
0,,Surface,22,Image 1,1,259,
0,,Surface,22,Image 1,1,260,
78,,Surface,22,Image 1,1,262,
0,,Surface,22,Image 1,1,263,
1236,,Surface,22,Image 1,1,269,
0,,Surface,22,Image 1,1,271,
0,,Surface,22,Image 1,1,278,
0,,Surface,22,Image 1,1,280,
0,,Surface,22,Image 1,1,289,
0,,Surface,22,Image 1,1,292,
0,,Surface,22,Image 1,1,294,
0,,Surface,22,Image 1,1,295,
0,,Surface,22,Image 1,1,297,
0,,Surface,22,Image 1,1,298,
0,,Surface,22,Image 1,1,312,
0,,Surface,22,Image 1,1,318,
909,,Surface,22,Image 1,1,326,
908,,Surface,22,Image 1,1,332,
0,,Surface,22,Image 1,1,339,
0,,Surface,22,Image 1,1,343,
0,,Surface,22,Image 1,1,346,
164,,Surface,22,Image 1,1,348,
0,,Surface,22,Image 1,1,356,
0,,Surface,22,Image 1,1,357,
983,,Surface,22,Image 1,1,359,
