
Intensity Outside Ch=25 Img=1
 ==================== 
Distance to Surface,Image Intensity Mean Outside,Intensity Mean Outside,Intensity Mean minus Std Outside,Intensity Mean plus Std Outside,Unit,Channel,Collection,Image,Time,ID,
0.135,610.055,72.7725,-148.822,294.367,,25,Intensity Outside,Image 1,1,,
0.405,610.055,52.5833,-152.558,257.725,,25,Intensity Outside,Image 1,1,,
0.675,610.055,50.6251,-201.504,302.754,,25,Intensity Outside,Image 1,1,,
0.945,610.055,63.0718,-289.706,415.85,,25,Intensity Outside,Image 1,1,,
1.215,610.055,86.3863,-391.707,564.48,,25,Intensity Outside,Image 1,1,,
1.485,610.055,116.571,-484.097,717.239,,25,Intensity Outside,Image 1,1,,
1.755,610.055,150.434,-560.618,861.487,,25,Intensity Outside,Image 1,1,,
2.025,610.055,186.561,-622.597,995.72,,25,Intensity Outside,Image 1,1,,
2.295,610.055,223.646,-673.897,1121.19,,25,Intensity Outside,Image 1,1,,
2.565,610.055,261.288,-720.577,1243.15,,25,Intensity Outside,Image 1,1,,
2.835,610.055,298.65,-770.446,1367.75,,25,Intensity Outside,Image 1,1,,
3.105,610.055,334.979,-825.821,1495.78,,25,Intensity Outside,Image 1,1,,
3.375,610.055,369.473,-875.719,1614.67,,25,Intensity Outside,Image 1,1,,
3.645,610.055,402.715,-915.948,1721.38,,25,Intensity Outside,Image 1,1,,
3.915,610.055,434.484,-947.992,1816.96,,25,Intensity Outside,Image 1,1,,
4.185,610.055,464.381,-978.68,1907.44,,25,Intensity Outside,Image 1,1,,
4.455,610.055,492.89,-1013.56,1999.34,,25,Intensity Outside,Image 1,1,,
4.725,610.055,519.967,-1052.59,2092.52,,25,Intensity Outside,Image 1,1,,
4.995,610.055,544.836,-1089.7,2179.37,,25,Intensity Outside,Image 1,1,,
5.265,610.055,566.198,-1125.12,2257.52,,25,Intensity Outside,Image 1,1,,
5.535,610.055,584.412,-1163.57,2332.4,,25,Intensity Outside,Image 1,1,,
5.805,610.055,599.961,-1208.2,2408.12,,25,Intensity Outside,Image 1,1,,
6.075,610.055,613.49,-1264.04,2491.02,,25,Intensity Outside,Image 1,1,,
6.345,610.055,625.657,-1330.72,2582.03,,25,Intensity Outside,Image 1,1,,
6.615,610.055,635.802,-1398.61,2670.21,,25,Intensity Outside,Image 1,1,,
6.885,610.055,643.651,-1460.55,2747.86,,25,Intensity Outside,Image 1,1,,
7.155,610.055,649.578,-1521.13,2820.29,,25,Intensity Outside,Image 1,1,,
7.425,610.055,654.188,-1583.23,2891.6,,25,Intensity Outside,Image 1,1,,
7.695,610.055,657.448,-1649.52,2964.41,,25,Intensity Outside,Image 1,1,,
7.965,610.055,660.154,-1720.34,3040.65,,25,Intensity Outside,Image 1,1,,
8.235,610.055,661.862,-1791.22,3114.94,,25,Intensity Outside,Image 1,1,,
8.505,610.055,662.522,-1858.82,3183.86,,25,Intensity Outside,Image 1,1,,
