
Intensity StdDev Ch=12 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
38.3466,,Surface,12,Image 1,1,4,
112.067,,Surface,12,Image 1,1,5,
26.1557,,Surface,12,Image 1,1,11,
24.299,,Surface,12,Image 1,1,14,
41.3553,,Surface,12,Image 1,1,20,
33.262,,Surface,12,Image 1,1,21,
69.6273,,Surface,12,Image 1,1,27,
82.4336,,Surface,12,Image 1,1,32,
90.1451,,Surface,12,Image 1,1,34,
16.5463,,Surface,12,Image 1,1,38,
137.177,,Surface,12,Image 1,1,40,
70.743,,Surface,12,Image 1,1,41,
16.6073,,Surface,12,Image 1,1,45,
16.9649,,Surface,12,Image 1,1,50,
175.315,,Surface,12,Image 1,1,53,
1.77665,,Surface,12,Image 1,1,55,
51.4398,,Surface,12,Image 1,1,57,
91.7606,,Surface,12,Image 1,1,58,
62.3592,,Surface,12,Image 1,1,59,
16.7488,,Surface,12,Image 1,1,62,
43.6581,,Surface,12,Image 1,1,65,
1.52327,,Surface,12,Image 1,1,70,
72.9978,,Surface,12,Image 1,1,81,
161.257,,Surface,12,Image 1,1,83,
24.4278,,Surface,12,Image 1,1,84,
57.4486,,Surface,12,Image 1,1,90,
93.1133,,Surface,12,Image 1,1,94,
140.538,,Surface,12,Image 1,1,95,
13.4269,,Surface,12,Image 1,1,96,
108.518,,Surface,12,Image 1,1,98,
72.5582,,Surface,12,Image 1,1,100,
57.2157,,Surface,12,Image 1,1,102,
26.0935,,Surface,12,Image 1,1,104,
8.88868,,Surface,12,Image 1,1,112,
68.3574,,Surface,12,Image 1,1,113,
37.0727,,Surface,12,Image 1,1,114,
13.7724,,Surface,12,Image 1,1,118,
144.204,,Surface,12,Image 1,1,121,
155.158,,Surface,12,Image 1,1,124,
78.2355,,Surface,12,Image 1,1,137,
104.925,,Surface,12,Image 1,1,138,
195.801,,Surface,12,Image 1,1,141,
3.9767,,Surface,12,Image 1,1,145,
59.0006,,Surface,12,Image 1,1,149,
165.121,,Surface,12,Image 1,1,150,
22.3592,,Surface,12,Image 1,1,154,
0,,Surface,12,Image 1,1,155,
94.301,,Surface,12,Image 1,1,166,
25.4564,,Surface,12,Image 1,1,171,
42.887,,Surface,12,Image 1,1,173,
110.836,,Surface,12,Image 1,1,174,
0,,Surface,12,Image 1,1,176,
6.27279,,Surface,12,Image 1,1,177,
1.57129,,Surface,12,Image 1,1,190,
49.6481,,Surface,12,Image 1,1,192,
109.489,,Surface,12,Image 1,1,193,
