
Intensity Sum Ch=31 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
206246,,Surface,31,Image 1,1,4,
78,,Surface,31,Image 1,1,5,
1590,,Surface,31,Image 1,1,11,
2.12234e+06,,Surface,31,Image 1,1,14,
1134,,Surface,31,Image 1,1,20,
13003,,Surface,31,Image 1,1,21,
7194,,Surface,31,Image 1,1,27,
363,,Surface,31,Image 1,1,32,
46984,,Surface,31,Image 1,1,34,
4745,,Surface,31,Image 1,1,38,
8118,,Surface,31,Image 1,1,40,
72,,Surface,31,Image 1,1,41,
1695,,Surface,31,Image 1,1,45,
2237,,Surface,31,Image 1,1,50,
11363,,Surface,31,Image 1,1,53,
4450,,Surface,31,Image 1,1,55,
7210,,Surface,31,Image 1,1,57,
43162,,Surface,31,Image 1,1,58,
22661,,Surface,31,Image 1,1,59,
46144,,Surface,31,Image 1,1,62,
7610,,Surface,31,Image 1,1,65,
131395,,Surface,31,Image 1,1,70,
9837,,Surface,31,Image 1,1,81,
4431,,Surface,31,Image 1,1,83,
6005,,Surface,31,Image 1,1,84,
871477,,Surface,31,Image 1,1,90,
0,,Surface,31,Image 1,1,94,
53,,Surface,31,Image 1,1,95,
1600,,Surface,31,Image 1,1,96,
1.565e+06,,Surface,31,Image 1,1,98,
419,,Surface,31,Image 1,1,100,
96478,,Surface,31,Image 1,1,102,
691,,Surface,31,Image 1,1,104,
0,,Surface,31,Image 1,1,112,
0,,Surface,31,Image 1,1,113,
1202,,Surface,31,Image 1,1,114,
0,,Surface,31,Image 1,1,118,
0,,Surface,31,Image 1,1,121,
0,,Surface,31,Image 1,1,124,
0,,Surface,31,Image 1,1,137,
2686,,Surface,31,Image 1,1,138,
0,,Surface,31,Image 1,1,141,
0,,Surface,31,Image 1,1,145,
0,,Surface,31,Image 1,1,149,
56,,Surface,31,Image 1,1,150,
0,,Surface,31,Image 1,1,154,
0,,Surface,31,Image 1,1,155,
0,,Surface,31,Image 1,1,166,
0,,Surface,31,Image 1,1,171,
0,,Surface,31,Image 1,1,173,
0,,Surface,31,Image 1,1,174,
0,,Surface,31,Image 1,1,176,
0,,Surface,31,Image 1,1,177,
0,,Surface,31,Image 1,1,190,
0,,Surface,31,Image 1,1,192,
0,,Surface,31,Image 1,1,193,
0,,Surface,31,Image 1,1,205,
0,,Surface,31,Image 1,1,206,
0,,Surface,31,Image 1,1,209,
0,,Surface,31,Image 1,1,210,
0,,Surface,31,Image 1,1,212,
0,,Surface,31,Image 1,1,225,
0,,Surface,31,Image 1,1,235,
10148,,Surface,31,Image 1,1,237,
0,,Surface,31,Image 1,1,239,
560202,,Surface,31,Image 1,1,245,
18869,,Surface,31,Image 1,1,248,
124951,,Surface,31,Image 1,1,251,
4.56034e+06,,Surface,31,Image 1,1,256,
2134,,Surface,31,Image 1,1,258,
27501,,Surface,31,Image 1,1,259,
12645,,Surface,31,Image 1,1,260,
2178,,Surface,31,Image 1,1,262,
2.75119e+06,,Surface,31,Image 1,1,263,
19186,,Surface,31,Image 1,1,269,
2.3717e+06,,Surface,31,Image 1,1,271,
4.07799e+06,,Surface,31,Image 1,1,278,
3.64001e+07,,Surface,31,Image 1,1,280,
7.77275e+06,,Surface,31,Image 1,1,289,
6155,,Surface,31,Image 1,1,292,
8.33275e+06,,Surface,31,Image 1,1,294,
2.35918e+06,,Surface,31,Image 1,1,295,
2207,,Surface,31,Image 1,1,297,
1.35724e+06,,Surface,31,Image 1,1,298,
3.02195e+06,,Surface,31,Image 1,1,312,
698,,Surface,31,Image 1,1,318,
24274,,Surface,31,Image 1,1,326,
16138,,Surface,31,Image 1,1,332,
5.53856e+06,,Surface,31,Image 1,1,339,
157394,,Surface,31,Image 1,1,343,
7.7091e+06,,Surface,31,Image 1,1,346,
14796,,Surface,31,Image 1,1,348,
665055,,Surface,31,Image 1,1,356,
142,,Surface,31,Image 1,1,357,
175724,,Surface,31,Image 1,1,359,
506,,Surface,31,Image 1,1,361,
3721,,Surface,31,Image 1,1,365,
135621,,Surface,31,Image 1,1,370,
390992,,Surface,31,Image 1,1,376,
244,,Surface,31,Image 1,1,377,
113,,Surface,31,Image 1,1,382,
712570,,Surface,31,Image 1,1,384,
458110,,Surface,31,Image 1,1,388,
62879,,Surface,31,Image 1,1,389,
602453,,Surface,31,Image 1,1,390,
171707,,Surface,31,Image 1,1,401,
61974,,Surface,31,Image 1,1,406,
1.55853e+06,,Surface,31,Image 1,1,409,
262787,,Surface,31,Image 1,1,410,
1.43375e+07,,Surface,31,Image 1,1,411,
3818,,Surface,31,Image 1,1,412,
7972,,Surface,31,Image 1,1,418,
