
Intensity Sum of Square Ch=21 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
1.25689e+07,,Surface,21,Image 1,1,4,
1.80906e+07,,Surface,21,Image 1,1,5,
2.83901e+07,,Surface,21,Image 1,1,11,
5.42863e+07,,Surface,21,Image 1,1,14,
2.19758e+08,,Surface,21,Image 1,1,20,
3.57937e+07,,Surface,21,Image 1,1,21,
1.8475e+08,,Surface,21,Image 1,1,27,
1.09002e+07,,Surface,21,Image 1,1,32,
1.51814e+07,,Surface,21,Image 1,1,34,
1.19457e+07,,Surface,21,Image 1,1,38,
1.89346e+08,,Surface,21,Image 1,1,40,
3.90186e+06,,Surface,21,Image 1,1,41,
5.93695e+07,,Surface,21,Image 1,1,45,
2.24787e+07,,Surface,21,Image 1,1,50,
3.54215e+07,,Surface,21,Image 1,1,53,
3.84973e+06,,Surface,21,Image 1,1,55,
5.21052e+07,,Surface,21,Image 1,1,57,
2.00491e+10,,Surface,21,Image 1,1,58,
4.67568e+07,,Surface,21,Image 1,1,59,
2.82923e+07,,Surface,21,Image 1,1,62,
1.23959e+07,,Surface,21,Image 1,1,65,
5.05815e+08,,Surface,21,Image 1,1,70,
2.78866e+07,,Surface,21,Image 1,1,81,
2.12078e+07,,Surface,21,Image 1,1,83,
3.09261e+07,,Surface,21,Image 1,1,84,
6.47591e+07,,Surface,21,Image 1,1,90,
1.21881e+07,,Surface,21,Image 1,1,94,
2.92641e+07,,Surface,21,Image 1,1,95,
8.93759e+06,,Surface,21,Image 1,1,96,
4.06694e+08,,Surface,21,Image 1,1,98,
2.05788e+09,,Surface,21,Image 1,1,100,
1.40431e+08,,Surface,21,Image 1,1,102,
6.73749e+07,,Surface,21,Image 1,1,104,
0,,Surface,21,Image 1,1,112,
0,,Surface,21,Image 1,1,113,
5.30355e+07,,Surface,21,Image 1,1,114,
0,,Surface,21,Image 1,1,118,
0,,Surface,21,Image 1,1,121,
0,,Surface,21,Image 1,1,124,
0,,Surface,21,Image 1,1,137,
1.67304e+08,,Surface,21,Image 1,1,138,
0,,Surface,21,Image 1,1,141,
0,,Surface,21,Image 1,1,145,
0,,Surface,21,Image 1,1,149,
4.15442e+06,,Surface,21,Image 1,1,150,
0,,Surface,21,Image 1,1,154,
0,,Surface,21,Image 1,1,155,
0,,Surface,21,Image 1,1,166,
0,,Surface,21,Image 1,1,171,
0,,Surface,21,Image 1,1,173,
0,,Surface,21,Image 1,1,174,
0,,Surface,21,Image 1,1,176,
0,,Surface,21,Image 1,1,177,
0,,Surface,21,Image 1,1,190,
0,,Surface,21,Image 1,1,192,
0,,Surface,21,Image 1,1,193,
0,,Surface,21,Image 1,1,205,
0,,Surface,21,Image 1,1,206,
0,,Surface,21,Image 1,1,209,
0,,Surface,21,Image 1,1,210,
0,,Surface,21,Image 1,1,212,
0,,Surface,21,Image 1,1,225,
0,,Surface,21,Image 1,1,235,
4.24533e+09,,Surface,21,Image 1,1,237,
1.07217e+07,,Surface,21,Image 1,1,239,
4.9038e+09,,Surface,21,Image 1,1,245,
3.6892e+07,,Surface,21,Image 1,1,248,
1.68539e+08,,Surface,21,Image 1,1,251,
5.67132e+08,,Surface,21,Image 1,1,256,
8.19459e+06,,Surface,21,Image 1,1,258,
1.40782e+07,,Surface,21,Image 1,1,259,
1.88522e+07,,Surface,21,Image 1,1,260,
8.12221e+06,,Surface,21,Image 1,1,262,
3.97032e+08,,Surface,21,Image 1,1,263,
1.1971e+07,,Surface,21,Image 1,1,269,
