
Number of Disconnected Components
 ==================== 
Number of Disconnected Components,Unit,Category,Time,ID,
1,,Surface,1,4,
1,,Surface,1,5,
1,,Surface,1,11,
1,,Surface,1,14,
1,,Surface,1,20,
1,,Surface,1,21,
1,,Surface,1,27,
1,,Surface,1,32,
1,,Surface,1,34,
1,,Surface,1,38,
1,,Surface,1,40,
1,,Surface,1,41,
1,,Surface,1,45,
1,,Surface,1,50,
1,,Surface,1,53,
1,,Surface,1,55,
1,,Surface,1,57,
1,,Surface,1,58,
1,,Surface,1,59,
1,,Surface,1,62,
1,,Surface,1,65,
1,,Surface,1,70,
1,,Surface,1,81,
1,,Surface,1,83,
1,,Surface,1,84,
1,,Surface,1,90,
1,,Surface,1,94,
1,,Surface,1,95,
1,,Surface,1,96,
1,,Surface,1,98,
1,,Surface,1,100,
1,,Surface,1,102,
1,,Surface,1,104,
1,,Surface,1,112,
1,,Surface,1,113,
1,,Surface,1,114,
1,,Surface,1,118,
1,,Surface,1,121,
1,,Surface,1,124,
1,,Surface,1,137,
1,,Surface,1,138,
1,,Surface,1,141,
1,,Surface,1,145,
1,,Surface,1,149,
1,,Surface,1,150,
1,,Surface,1,154,
1,,Surface,1,155,
1,,Surface,1,166,
1,,Surface,1,171,
1,,Surface,1,173,
1,,Surface,1,174,
1,,Surface,1,176,
1,,Surface,1,177,
1,,Surface,1,190,
1,,Surface,1,192,
1,,Surface,1,193,
1,,Surface,1,205,
1,,Surface,1,206,
1,,Surface,1,209,
1,,Surface,1,210,
1,,Surface,1,212,
1,,Surface,1,225,
1,,Surface,1,235,
1,,Surface,1,237,
1,,Surface,1,239,
1,,Surface,1,245,
1,,Surface,1,248,
1,,Surface,1,251,
1,,Surface,1,256,
1,,Surface,1,258,
1,,Surface,1,259,
1,,Surface,1,260,
1,,Surface,1,262,
1,,Surface,1,263,
1,,Surface,1,269,
1,,Surface,1,271,
1,,Surface,1,278,
1,,Surface,1,280,
1,,Surface,1,289,
1,,Surface,1,292,
1,,Surface,1,294,
1,,Surface,1,295,
1,,Surface,1,297,
1,,Surface,1,298,
1,,Surface,1,312,
1,,Surface,1,318,
1,,Surface,1,326,
1,,Surface,1,332,
1,,Surface,1,339,
1,,Surface,1,343,
1,,Surface,1,346,
1,,Surface,1,348,
1,,Surface,1,356,
1,,Surface,1,357,
1,,Surface,1,359,
1,,Surface,1,361,
1,,Surface,1,365,
1,,Surface,1,370,
1,,Surface,1,376,
1,,Surface,1,377,
1,,Surface,1,382,
