
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
308.58,162.148,13.607,µm,Surface,Position,1,4,
348.561,126.847,20.279,µm,Surface,Position,1,5,
282.199,161.006,13.6116,µm,Surface,Position,1,11,
280.16,168.488,22.2393,µm,Surface,Position,1,14,
251.986,179.313,20.892,µm,Surface,Position,1,20,
328.078,109.314,14.2885,µm,Surface,Position,1,21,
288.623,135.095,25.905,µm,Surface,Position,1,27,
272.639,125.809,14.4216,µm,Surface,Position,1,32,
282.977,118.387,19.4835,µm,Surface,Position,1,34,
215.659,169.105,25.1025,µm,Surface,Position,1,38,
227.84,144.016,15.0791,µm,Surface,Position,1,40,
227.934,144.549,12.2856,µm,Surface,Position,1,41,
229.448,136.397,14.2251,µm,Surface,Position,1,45,
215.332,138.313,23.9334,µm,Surface,Position,1,50,
270.866,90.7356,13.1068,µm,Surface,Position,1,53,
295.431,47.5685,16.9702,µm,Surface,Position,1,55,
297.804,47.7219,16.7639,µm,Surface,Position,1,57,
271.013,76.2863,23.5162,µm,Surface,Position,1,58,
327.494,21.042,15.9954,µm,Surface,Position,1,59,
274.89,62.6712,23.6041,µm,Surface,Position,1,62,
284.274,43.397,23.5483,µm,Surface,Position,1,65,
234.013,72.4501,17.6423,µm,Surface,Position,1,70,
234.699,63.6861,26.4111,µm,Surface,Position,1,81,
291.58,11.1533,13.6882,µm,Surface,Position,1,83,
242.536,60.0544,13.1138,µm,Surface,Position,1,84,
222.114,67.3329,14.5585,µm,Surface,Position,1,90,
255.783,37.8433,12.3461,µm,Surface,Position,1,94,
252.877,38.9903,20.9795,µm,Surface,Position,1,95,
190.321,94.1945,13.5878,µm,Surface,Position,1,96,
250.482,20.3102,25.8574,µm,Surface,Position,1,98,
220.661,50.6205,24.7804,µm,Surface,Position,1,100,
78.3231,175.611,26.2315,µm,Surface,Position,1,102,
244.848,15.6572,16.8373,µm,Surface,Position,1,104,
107.774,116.498,23.3915,µm,Surface,Position,1,112,
97.4997,133.55,14.2276,µm,Surface,Position,1,113,
209.426,23.0718,15.2829,µm,Surface,Position,1,114,
110.208,110.945,21.1202,µm,Surface,Position,1,118,
158.363,61.4599,13.0578,µm,Surface,Position,1,121,
157.69,56.7897,12.3601,µm,Surface,Position,1,124,
97.8974,105.599,13.6372,µm,Surface,Position,1,137,
195.982,4.57136,25.0752,µm,Surface,Position,1,138,
160.433,46.3917,12.5767,µm,Surface,Position,1,141,
