
Position X
 ==================== 
Position X,Unit,Category,Collection,Time,ID,
308.58,µm,Surface,Position,1,4,
348.561,µm,Surface,Position,1,5,
282.199,µm,Surface,Position,1,11,
280.16,µm,Surface,Position,1,14,
251.986,µm,Surface,Position,1,20,
328.078,µm,Surface,Position,1,21,
288.623,µm,Surface,Position,1,27,
272.639,µm,Surface,Position,1,32,
282.977,µm,Surface,Position,1,34,
215.659,µm,Surface,Position,1,38,
227.84,µm,Surface,Position,1,40,
227.934,µm,Surface,Position,1,41,
229.448,µm,Surface,Position,1,45,
215.332,µm,Surface,Position,1,50,
270.866,µm,Surface,Position,1,53,
295.431,µm,Surface,Position,1,55,
297.804,µm,Surface,Position,1,57,
271.013,µm,Surface,Position,1,58,
327.494,µm,Surface,Position,1,59,
274.89,µm,Surface,Position,1,62,
284.274,µm,Surface,Position,1,65,
234.013,µm,Surface,Position,1,70,
234.699,µm,Surface,Position,1,81,
291.58,µm,Surface,Position,1,83,
242.536,µm,Surface,Position,1,84,
222.114,µm,Surface,Position,1,90,
255.783,µm,Surface,Position,1,94,
252.877,µm,Surface,Position,1,95,
190.321,µm,Surface,Position,1,96,
250.482,µm,Surface,Position,1,98,
220.661,µm,Surface,Position,1,100,
78.3231,µm,Surface,Position,1,102,
244.848,µm,Surface,Position,1,104,
107.774,µm,Surface,Position,1,112,
97.4997,µm,Surface,Position,1,113,
209.426,µm,Surface,Position,1,114,
110.208,µm,Surface,Position,1,118,
158.363,µm,Surface,Position,1,121,
157.69,µm,Surface,Position,1,124,
97.8974,µm,Surface,Position,1,137,
195.982,µm,Surface,Position,1,138,
160.433,µm,Surface,Position,1,141,
46.9167,µm,Surface,Position,1,145,
74.347,µm,Surface,Position,1,149,
187.563,µm,Surface,Position,1,150,
72.3601,µm,Surface,Position,1,154,
75.7533,µm,Surface,Position,1,155,
76.2138,µm,Surface,Position,1,166,
141.498,µm,Surface,Position,1,171,
25.0597,µm,Surface,Position,1,173,
80.6561,µm,Surface,Position,1,174,
132.137,µm,Surface,Position,1,176,
131.57,µm,Surface,Position,1,177,
60.4079,µm,Surface,Position,1,190,
41.7292,µm,Surface,Position,1,192,
15.3334,µm,Surface,Position,1,193,
53.4581,µm,Surface,Position,1,205,
8.13105,µm,Surface,Position,1,206,
66.0756,µm,Surface,Position,1,209,
48.0649,µm,Surface,Position,1,210,
28.3825,µm,Surface,Position,1,212,
4.47814,µm,Surface,Position,1,225,
13.2576,µm,Surface,Position,1,235,
715.5,µm,Surface,Position,1,237,
683.409,µm,Surface,Position,1,239,
670.13,µm,Surface,Position,1,245,
627.848,µm,Surface,Position,1,248,
604.417,µm,Surface,Position,1,251,
646.609,µm,Surface,Position,1,256,
627.157,µm,Surface,Position,1,258,
603.319,µm,Surface,Position,1,259,
697.721,µm,Surface,Position,1,260,
643.858,µm,Surface,Position,1,262,
697.428,µm,Surface,Position,1,263,
595.019,µm,Surface,Position,1,269,
580.916,µm,Surface,Position,1,271,
553.561,µm,Surface,Position,1,278,
667.115,µm,Surface,Position,1,280,
549.448,µm,Surface,Position,1,289,
605.497,µm,Surface,Position,1,292,
605.75,µm,Surface,Position,1,294,
571.081,µm,Surface,Position,1,295,
