
Position Y
 ==================== 
Position Y,Unit,Category,Collection,Time,ID,
162.148,µm,Surface,Position,1,4,
126.847,µm,Surface,Position,1,5,
161.006,µm,Surface,Position,1,11,
168.488,µm,Surface,Position,1,14,
179.313,µm,Surface,Position,1,20,
109.314,µm,Surface,Position,1,21,
135.095,µm,Surface,Position,1,27,
125.809,µm,Surface,Position,1,32,
118.387,µm,Surface,Position,1,34,
169.105,µm,Surface,Position,1,38,
144.016,µm,Surface,Position,1,40,
144.549,µm,Surface,Position,1,41,
136.397,µm,Surface,Position,1,45,
138.313,µm,Surface,Position,1,50,
90.7356,µm,Surface,Position,1,53,
47.5685,µm,Surface,Position,1,55,
47.7219,µm,Surface,Position,1,57,
76.2863,µm,Surface,Position,1,58,
21.042,µm,Surface,Position,1,59,
62.6712,µm,Surface,Position,1,62,
43.397,µm,Surface,Position,1,65,
72.4501,µm,Surface,Position,1,70,
63.6861,µm,Surface,Position,1,81,
11.1533,µm,Surface,Position,1,83,
60.0544,µm,Surface,Position,1,84,
67.3329,µm,Surface,Position,1,90,
37.8433,µm,Surface,Position,1,94,
38.9903,µm,Surface,Position,1,95,
94.1945,µm,Surface,Position,1,96,
20.3102,µm,Surface,Position,1,98,
50.6205,µm,Surface,Position,1,100,
175.611,µm,Surface,Position,1,102,
15.6572,µm,Surface,Position,1,104,
116.498,µm,Surface,Position,1,112,
133.55,µm,Surface,Position,1,113,
23.0718,µm,Surface,Position,1,114,
110.945,µm,Surface,Position,1,118,
61.4599,µm,Surface,Position,1,121,
56.7897,µm,Surface,Position,1,124,
105.599,µm,Surface,Position,1,137,
4.57136,µm,Surface,Position,1,138,
46.3917,µm,Surface,Position,1,141,
148.949,µm,Surface,Position,1,145,
117.018,µm,Surface,Position,1,149,
3.50146,µm,Surface,Position,1,150,
117.218,µm,Surface,Position,1,154,
115.31,µm,Surface,Position,1,155,
103.639,µm,Surface,Position,1,166,
35.1328,µm,Surface,Position,1,171,
144.823,µm,Surface,Position,1,173,
91.6692,µm,Surface,Position,1,174,
33.5758,µm,Surface,Position,1,176,
34.9376,µm,Surface,Position,1,177,
67.2242,µm,Surface,Position,1,190,
90.57,µm,Surface,Position,1,192,
103.029,µm,Surface,Position,1,193,
34.4348,µm,Surface,Position,1,205,
81.8418,µm,Surface,Position,1,206,
11.1025,µm,Surface,Position,1,209,
34.5272,µm,Surface,Position,1,210,
41.3368,µm,Surface,Position,1,212,
37.3553,µm,Surface,Position,1,225,
24.658,µm,Surface,Position,1,235,
148.322,µm,Surface,Position,1,237,
165.038,µm,Surface,Position,1,239,
159.828,µm,Surface,Position,1,245,
165.437,µm,Surface,Position,1,248,
178.499,µm,Surface,Position,1,251,
103.958,µm,Surface,Position,1,256,
120.572,µm,Surface,Position,1,258,
148.549,µm,Surface,Position,1,259,
43.4584,µm,Surface,Position,1,260,
97.7807,µm,Surface,Position,1,262,
45.7698,µm,Surface,Position,1,263,
140.376,µm,Surface,Position,1,269,
158.503,µm,Surface,Position,1,271,
168.494,µm,Surface,Position,1,278,
54.9508,µm,Surface,Position,1,280,
170.022,µm,Surface,Position,1,289,
109.322,µm,Surface,Position,1,292,
106.819,µm,Surface,Position,1,294,
138.048,µm,Surface,Position,1,295,
89.7919,µm,Surface,Position,1,297,
16.0779,µm,Surface,Position,1,298,
8.27433,µm,Surface,Position,1,312,
89.0382,µm,Surface,Position,1,318,
159.67,µm,Surface,Position,1,326,
104.335,µm,Surface,Position,1,332,
62.0935,µm,Surface,Position,1,339,
79.1795,µm,Surface,Position,1,343,
86.6245,µm,Surface,Position,1,346,
23.6149,µm,Surface,Position,1,348,
112.561,µm,Surface,Position,1,356,
47.5885,µm,Surface,Position,1,357,
60.4113,µm,Surface,Position,1,359,
64.0023,µm,Surface,Position,1,361,
128.565,µm,Surface,Position,1,365,
44.1884,µm,Surface,Position,1,370,
164.467,µm,Surface,Position,1,376,
81.4923,µm,Surface,Position,1,377,
8.49509,µm,Surface,Position,1,382,
71.3229,µm,Surface,Position,1,384,
71.1859,µm,Surface,Position,1,388,
70.492,µm,Surface,Position,1,389,
48.1334,µm,Surface,Position,1,390,
69.4353,µm,Surface,Position,1,401,
82.2574,µm,Surface,Position,1,406,
52.2657,µm,Surface,Position,1,409,
129.205,µm,Surface,Position,1,410,
24.1157,µm,Surface,Position,1,411,
138.363,µm,Surface,Position,1,412,
37.3956,µm,Surface,Position,1,418,
79.9589,µm,Surface,Position,1,424,
35.2138,µm,Surface,Position,1,426,
36.1036,µm,Surface,Position,1,433,
40.9012,µm,Surface,Position,1,439,
56.5353,µm,Surface,Position,1,449,
77.291,µm,Surface,Position,1,452,
56.5388,µm,Surface,Position,1,453,
49.8023,µm,Surface,Position,1,456,
67.4398,µm,Surface,Position,1,457,
13.8043,µm,Surface,Position,1,458,
65.1214,µm,Surface,Position,1,459,
69.8265,µm,Surface,Position,1,465,
5.8631,µm,Surface,Position,1,466,
14.2234,µm,Surface,Position,1,470,
339.431,µm,Surface,Position,1,474,
329.28,µm,Surface,Position,1,479,
348.789,µm,Surface,Position,1,481,
314.658,µm,Surface,Position,1,482,
331.467,µm,Surface,Position,1,485,
346.474,µm,Surface,Position,1,489,
265.048,µm,Surface,Position,1,492,
235.818,µm,Surface,Position,1,497,
346.483,µm,Surface,Position,1,498,
326.125,µm,Surface,Position,1,503,
326.348,µm,Surface,Position,1,504,
278.524,µm,Surface,Position,1,505,
348.255,µm,Surface,Position,1,507,
270.425,µm,Surface,Position,1,508,
335.505,µm,Surface,Position,1,524,
335.767,µm,Surface,Position,1,530,
316.778,µm,Surface,Position,1,532,
300.043,µm,Surface,Position,1,533,
338.271,µm,Surface,Position,1,537,
208.525,µm,Surface,Position,1,540,
340.626,µm,Surface,Position,1,541,
339.147,µm,Surface,Position,1,542,
228.521,µm,Surface,Position,1,544,
230.649,µm,Surface,Position,1,547,
230.858,µm,Surface,Position,1,549,
345.738,µm,Surface,Position,1,550,
244.271,µm,Surface,Position,1,551,
277.771,µm,Surface,Position,1,558,
207.557,µm,Surface,Position,1,561,
320.701,µm,Surface,Position,1,571,
263.676,µm,Surface,Position,1,572,
347.706,µm,Surface,Position,1,573,
236.273,µm,Surface,Position,1,576,
320.5,µm,Surface,Position,1,581,
260.715,µm,Surface,Position,1,588,
222.323,µm,Surface,Position,1,589,
207.05,µm,Surface,Position,1,592,
273.292,µm,Surface,Position,1,599,
312.006,µm,Surface,Position,1,601,
313.438,µm,Surface,Position,1,604,
213.999,µm,Surface,Position,1,606,
247.029,µm,Surface,Position,1,607,
225.981,µm,Surface,Position,1,611,
317.499,µm,Surface,Position,1,614,
293.605,µm,Surface,Position,1,615,
245.141,µm,Surface,Position,1,616,
338.856,µm,Surface,Position,1,617,
296.19,µm,Surface,Position,1,619,
331.954,µm,Surface,Position,1,627,
202.538,µm,Surface,Position,1,631,
328.961,µm,Surface,Position,1,632,
264.838,µm,Surface,Position,1,639,
294.248,µm,Surface,Position,1,644,
322.425,µm,Surface,Position,1,652,
191.405,µm,Surface,Position,1,655,
192.293,µm,Surface,Position,1,657,
317.981,µm,Surface,Position,1,658,
203.791,µm,Surface,Position,1,665,
221.108,µm,Surface,Position,1,682,
211.337,µm,Surface,Position,1,687,
203.544,µm,Surface,Position,1,693,
