
Position Z
 ==================== 
Position Z,Unit,Category,Collection,Time,ID,
13.607,µm,Surface,Position,1,4,
20.279,µm,Surface,Position,1,5,
13.6116,µm,Surface,Position,1,11,
22.2393,µm,Surface,Position,1,14,
20.892,µm,Surface,Position,1,20,
14.2885,µm,Surface,Position,1,21,
25.905,µm,Surface,Position,1,27,
14.4216,µm,Surface,Position,1,32,
19.4835,µm,Surface,Position,1,34,
25.1025,µm,Surface,Position,1,38,
15.0791,µm,Surface,Position,1,40,
12.2856,µm,Surface,Position,1,41,
14.2251,µm,Surface,Position,1,45,
23.9334,µm,Surface,Position,1,50,
13.1068,µm,Surface,Position,1,53,
16.9702,µm,Surface,Position,1,55,
16.7639,µm,Surface,Position,1,57,
23.5162,µm,Surface,Position,1,58,
15.9954,µm,Surface,Position,1,59,
23.6041,µm,Surface,Position,1,62,
23.5483,µm,Surface,Position,1,65,
17.6423,µm,Surface,Position,1,70,
26.4111,µm,Surface,Position,1,81,
13.6882,µm,Surface,Position,1,83,
13.1138,µm,Surface,Position,1,84,
14.5585,µm,Surface,Position,1,90,
12.3461,µm,Surface,Position,1,94,
20.9795,µm,Surface,Position,1,95,
13.5878,µm,Surface,Position,1,96,
25.8574,µm,Surface,Position,1,98,
24.7804,µm,Surface,Position,1,100,
26.2315,µm,Surface,Position,1,102,
16.8373,µm,Surface,Position,1,104,
23.3915,µm,Surface,Position,1,112,
14.2276,µm,Surface,Position,1,113,
15.2829,µm,Surface,Position,1,114,
21.1202,µm,Surface,Position,1,118,
13.0578,µm,Surface,Position,1,121,
12.3601,µm,Surface,Position,1,124,
13.6372,µm,Surface,Position,1,137,
25.0752,µm,Surface,Position,1,138,
12.5767,µm,Surface,Position,1,141,
22.953,µm,Surface,Position,1,145,
19.2219,µm,Surface,Position,1,149,
18.0375,µm,Surface,Position,1,150,
14.6984,µm,Surface,Position,1,154,
13.5548,µm,Surface,Position,1,155,
19.0266,µm,Surface,Position,1,166,
12.3415,µm,Surface,Position,1,171,
15.7963,µm,Surface,Position,1,173,
12.9192,µm,Surface,Position,1,174,
13.6954,µm,Surface,Position,1,176,
14.2233,µm,Surface,Position,1,177,
16.1225,µm,Surface,Position,1,190,
20.9425,µm,Surface,Position,1,192,
15.5376,µm,Surface,Position,1,193,
15.8652,µm,Surface,Position,1,205,
15.5974,µm,Surface,Position,1,206,
16.2254,µm,Surface,Position,1,209,
12.2512,µm,Surface,Position,1,210,
19.5715,µm,Surface,Position,1,212,
15.819,µm,Surface,Position,1,225,
18.8306,µm,Surface,Position,1,235,
15.195,µm,Surface,Position,1,237,
12.9046,µm,Surface,Position,1,239,
17.0794,µm,Surface,Position,1,245,
17.2245,µm,Surface,Position,1,248,
13.2657,µm,Surface,Position,1,251,
13.3533,µm,Surface,Position,1,256,
25.452,µm,Surface,Position,1,258,
12.1457,µm,Surface,Position,1,259,
14.1005,µm,Surface,Position,1,260,
14.4899,µm,Surface,Position,1,262,
18.6722,µm,Surface,Position,1,263,
15.7451,µm,Surface,Position,1,269,
17.7476,µm,Surface,Position,1,271,
23.4258,µm,Surface,Position,1,278,
24.2483,µm,Surface,Position,1,280,
19.6806,µm,Surface,Position,1,289,
16.96,µm,Surface,Position,1,292,
14.1085,µm,Surface,Position,1,294,
23.3476,µm,Surface,Position,1,295,
24.4919,µm,Surface,Position,1,297,
18.9285,µm,Surface,Position,1,298,
22.3298,µm,Surface,Position,1,312,
12.5656,µm,Surface,Position,1,318,
14.5755,µm,Surface,Position,1,326,
22.9729,µm,Surface,Position,1,332,
16.9234,µm,Surface,Position,1,339,
13.4472,µm,Surface,Position,1,343,
15.0718,µm,Surface,Position,1,346,
12.2293,µm,Surface,Position,1,348,
20.9536,µm,Surface,Position,1,356,
14.4684,µm,Surface,Position,1,357,
15.0279,µm,Surface,Position,1,359,
