
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,ID,
0.81704,,Surface,1,4,
0.834456,,Surface,1,5,
0.855278,,Surface,1,11,
0.807979,,Surface,1,14,
0.862949,,Surface,1,20,
0.809072,,Surface,1,21,
0.826719,,Surface,1,27,
0.784953,,Surface,1,32,
0.829097,,Surface,1,34,
0.800049,,Surface,1,38,
0.779526,,Surface,1,40,
0.789975,,Surface,1,41,
0.799667,,Surface,1,45,
0.795457,,Surface,1,50,
0.757923,,Surface,1,53,
0.829863,,Surface,1,55,
0.845275,,Surface,1,57,
0.883153,,Surface,1,58,
0.824857,,Surface,1,59,
0.901942,,Surface,1,62,
0.765592,,Surface,1,65,
0.755994,,Surface,1,70,
0.773398,,Surface,1,81,
0.912208,,Surface,1,83,
0.772472,,Surface,1,84,
0.810325,,Surface,1,90,
0.767685,,Surface,1,94,
0.755141,,Surface,1,95,
0.923572,,Surface,1,96,
0.826506,,Surface,1,98,
0.88037,,Surface,1,100,
0.854375,,Surface,1,102,
0.881887,,Surface,1,104,
0.836728,,Surface,1,112,
0.86074,,Surface,1,113,
0.83476,,Surface,1,114,
0.889987,,Surface,1,118,
0.871207,,Surface,1,121,
0.885579,,Surface,1,124,
0.814399,,Surface,1,137,
0.874263,,Surface,1,138,
0.777668,,Surface,1,141,
0.85697,,Surface,1,145,
0.817034,,Surface,1,149,
0.838304,,Surface,1,150,
0.799116,,Surface,1,154,
0.822059,,Surface,1,155,
0.831775,,Surface,1,166,
0.77091,,Surface,1,171,
0.801784,,Surface,1,173,
0.809955,,Surface,1,174,
0.808321,,Surface,1,176,
0.782469,,Surface,1,177,
0.763177,,Surface,1,190,
0.858711,,Surface,1,192,
0.783581,,Surface,1,193,
0.88379,,Surface,1,205,
0.850911,,Surface,1,206,
0.773851,,Surface,1,209,
0.830377,,Surface,1,210,
0.79617,,Surface,1,212,
0.766778,,Surface,1,225,
0.86156,,Surface,1,235,
0.831722,,Surface,1,237,
0.800814,,Surface,1,239,
0.857236,,Surface,1,245,
0.846486,,Surface,1,248,
0.780566,,Surface,1,251,
0.859382,,Surface,1,256,
0.796329,,Surface,1,258,
0.767374,,Surface,1,259,
0.860779,,Surface,1,260,
0.765483,,Surface,1,262,
0.819921,,Surface,1,263,
0.797061,,Surface,1,269,
0.834789,,Surface,1,271,
0.79138,,Surface,1,278,
0.832926,,Surface,1,280,
0.815182,,Surface,1,289,
0.820965,,Surface,1,292,
0.850567,,Surface,1,294,
0.859306,,Surface,1,295,
0.831662,,Surface,1,297,
0.818703,,Surface,1,298,
0.829753,,Surface,1,312,
0.786152,,Surface,1,318,
0.801663,,Surface,1,326,
0.855493,,Surface,1,332,
0.863698,,Surface,1,339,
0.777689,,Surface,1,343,
0.838309,,Surface,1,346,
0.839537,,Surface,1,348,
0.856917,,Surface,1,356,
0.880073,,Surface,1,357,
0.863288,,Surface,1,359,
0.832222,,Surface,1,361,
0.826308,,Surface,1,365,
0.847961,,Surface,1,370,
0.843928,,Surface,1,376,
0.807752,,Surface,1,377,
0.837427,,Surface,1,382,
0.796153,,Surface,1,384,
0.786966,,Surface,1,388,
0.76564,,Surface,1,389,
0.814345,,Surface,1,390,
0.75898,,Surface,1,401,
0.797615,,Surface,1,406,
0.842257,,Surface,1,409,
0.854231,,Surface,1,410,
0.841098,,Surface,1,411,
0.818709,,Surface,1,412,
0.819244,,Surface,1,418,
0.895741,,Surface,1,424,
0.826767,,Surface,1,426,
0.776599,,Surface,1,433,
0.846827,,Surface,1,439,
0.86809,,Surface,1,449,
0.800448,,Surface,1,452,
0.875337,,Surface,1,453,
0.767943,,Surface,1,456,
0.779974,,Surface,1,457,
0.843582,,Surface,1,458,
0.837458,,Surface,1,459,
0.778154,,Surface,1,465,
