
Volume
 ==================== 
Volume,Unit,Category,Time,ID,
0.435041,µm^3,Surface,1,4,
0.998091,µm^3,Surface,1,5,
0.647106,µm^3,Surface,1,11,
1.35734,µm^3,Surface,1,14,
1.85476,µm^3,Surface,1,20,
1.76597,µm^3,Surface,1,21,
4.22522,µm^3,Surface,1,27,
0.367367,µm^3,Surface,1,32,
0.272845,µm^3,Surface,1,34,
0.351276,µm^3,Surface,1,38,
3.74811,µm^3,Surface,1,40,
0.221699,µm^3,Surface,1,41,
0.876937,µm^3,Surface,1,45,
0.703251,µm^3,Surface,1,50,
0.423261,µm^3,Surface,1,53,
0.398156,µm^3,Surface,1,55,
2.08464,µm^3,Surface,1,57,
10.8324,µm^3,Surface,1,58,
1.28983,µm^3,Surface,1,59,
0.439152,µm^3,Surface,1,62,
0.846362,µm^3,Surface,1,65,
3.3678,µm^3,Surface,1,70,
0.37207,µm^3,Surface,1,81,
0.760317,µm^3,Surface,1,83,
0.363395,µm^3,Surface,1,84,
1.27184,µm^3,Surface,1,90,
0.459291,µm^3,Surface,1,94,
0.409766,µm^3,Surface,1,95,
0.324047,µm^3,Surface,1,96,
8.22618,µm^3,Surface,1,98,
3.2155,µm^3,Surface,1,100,
8.63117,µm^3,Surface,1,102,
1.73105,µm^3,Surface,1,104,
0.256449,µm^3,Surface,1,112,
1.91028,µm^3,Surface,1,113,
1.10607,µm^3,Surface,1,114,
0.620399,µm^3,Surface,1,118,
0.266558,µm^3,Surface,1,121,
1.55878,µm^3,Surface,1,124,
1.62947,µm^3,Surface,1,137,
1.33732,µm^3,Surface,1,138,
12.0215,µm^3,Surface,1,141,
0.493002,µm^3,Surface,1,145,
3.16391,µm^3,Surface,1,149,
0.303831,µm^3,Surface,1,150,
0.360984,µm^3,Surface,1,154,
0.476355,µm^3,Surface,1,155,
4.83829,µm^3,Surface,1,166,
0.589421,µm^3,Surface,1,171,
1.62877,µm^3,Surface,1,173,
2.38463,µm^3,Surface,1,174,
0.32639,µm^3,Surface,1,176,
1.0689,µm^3,Surface,1,177,
1.0509,µm^3,Surface,1,190,
4.574,µm^3,Surface,1,192,
0.221442,µm^3,Surface,1,193,
0.264901,µm^3,Surface,1,205,
1.51605,µm^3,Surface,1,206,
0.241621,µm^3,Surface,1,209,
4.58505,µm^3,Surface,1,210,
2.33035,µm^3,Surface,1,212,
0.603038,µm^3,Surface,1,225,
0.377082,µm^3,Surface,1,235,
4.23531,µm^3,Surface,1,237,
0.224503,µm^3,Surface,1,239,
2.70223,µm^3,Surface,1,245,
0.91104,µm^3,Surface,1,248,
1.93779,µm^3,Surface,1,251,
6.11988,µm^3,Surface,1,256,
0.480915,µm^3,Surface,1,258,
0.459007,µm^3,Surface,1,259,
1.34077,µm^3,Surface,1,260,
0.39196,µm^3,Surface,1,262,
6.87771,µm^3,Surface,1,263,
0.298953,µm^3,Surface,1,269,
17.1878,µm^3,Surface,1,271,
15.1347,µm^3,Surface,1,278,
14.7276,µm^3,Surface,1,280,
4.90569,µm^3,Surface,1,289,
3.06645,µm^3,Surface,1,292,
9.4048,µm^3,Surface,1,294,
2.60397,µm^3,Surface,1,295,
0.288159,µm^3,Surface,1,297,
1.57604,µm^3,Surface,1,298,
1.62394,µm^3,Surface,1,312,
0.651062,µm^3,Surface,1,318,
0.842954,µm^3,Surface,1,326,
1.63114,µm^3,Surface,1,332,
6.49651,µm^3,Surface,1,339,
2.57205,µm^3,Surface,1,343,
17.7505,µm^3,Surface,1,346,
2.33012,µm^3,Surface,1,348,
0.401743,µm^3,Surface,1,356,
0.612044,µm^3,Surface,1,357,
5.844,µm^3,Surface,1,359,
0.3214,µm^3,Surface,1,361,
0.93656,µm^3,Surface,1,365,
2.31461,µm^3,Surface,1,370,
1.21945,µm^3,Surface,1,376,
0.427621,µm^3,Surface,1,377,
3.03456,µm^3,Surface,1,382,
0.738626,µm^3,Surface,1,384,
0.553,µm^3,Surface,1,388,
0.434881,µm^3,Surface,1,389,
0.988078,µm^3,Surface,1,390,
1.63355,µm^3,Surface,1,401,
0.759054,µm^3,Surface,1,406,
0.963808,µm^3,Surface,1,409,
1.32075,µm^3,Surface,1,410,
16.4655,µm^3,Surface,1,411,
0.34008,µm^3,Surface,1,412,
1.72967,µm^3,Surface,1,418,
0.697283,µm^3,Surface,1,424,
0.246192,µm^3,Surface,1,426,
1.43072,µm^3,Surface,1,433,
0.792093,µm^3,Surface,1,439,
0.263885,µm^3,Surface,1,449,
11.2688,µm^3,Surface,1,452,
4.29708,µm^3,Surface,1,453,
11.9236,µm^3,Surface,1,456,
0.369325,µm^3,Surface,1,457,
8.57159,µm^3,Surface,1,458,
19.1491,µm^3,Surface,1,459,
12.1041,µm^3,Surface,1,465,
0.519851,µm^3,Surface,1,466,
0.273506,µm^3,Surface,1,470,
10.8791,µm^3,Surface,1,474,
0.46346,µm^3,Surface,1,479,
0.417343,µm^3,Surface,1,481,
0.964493,µm^3,Surface,1,482,
0.302003,µm^3,Surface,1,485,
0.465347,µm^3,Surface,1,489,
15.024,µm^3,Surface,1,492,
1.29207,µm^3,Surface,1,497,
0.242799,µm^3,Surface,1,498,
0.371059,µm^3,Surface,1,503,
0.762634,µm^3,Surface,1,504,
0.643941,µm^3,Surface,1,505,
0.371063,µm^3,Surface,1,507,
14.5815,µm^3,Surface,1,508,
3.06452,µm^3,Surface,1,524,
5.55976,µm^3,Surface,1,530,
0.236707,µm^3,Surface,1,532,
