
Volume Outside Img=1
 ==================== 
Distance to Surface,Volume Outside,Unit,Collection,Image,Time,ID,
0.135,2551.42,µm^3,Volume Outside,Image 1,1,,
0.405,3936.84,µm^3,Volume Outside,Image 1,1,,
0.675,5635.64,µm^3,Volume Outside,Image 1,1,,
0.945,7550.58,µm^3,Volume Outside,Image 1,1,,
1.215,9742.73,µm^3,Volume Outside,Image 1,1,,
1.485,12286.6,µm^3,Volume Outside,Image 1,1,,
1.755,15058.9,µm^3,Volume Outside,Image 1,1,,
2.025,18059.8,µm^3,Volume Outside,Image 1,1,,
2.295,21360.4,µm^3,Volume Outside,Image 1,1,,
2.565,24902,µm^3,Volume Outside,Image 1,1,,
2.835,28714,µm^3,Volume Outside,Image 1,1,,
3.105,32792.9,µm^3,Volume Outside,Image 1,1,,
3.375,37124.4,µm^3,Volume Outside,Image 1,1,,
3.645,41484.7,µm^3,Volume Outside,Image 1,1,,
3.915,46207.8,µm^3,Volume Outside,Image 1,1,,
4.185,51252.5,µm^3,Volume Outside,Image 1,1,,
4.455,56472,µm^3,Volume Outside,Image 1,1,,
4.725,61439.9,µm^3,Volume Outside,Image 1,1,,
4.995,66695.1,µm^3,Volume Outside,Image 1,1,,
5.265,72169.6,µm^3,Volume Outside,Image 1,1,,
5.535,77779.7,µm^3,Volume Outside,Image 1,1,,
5.805,83576.1,µm^3,Volume Outside,Image 1,1,,
6.075,89440.3,µm^3,Volume Outside,Image 1,1,,
6.345,95676.1,µm^3,Volume Outside,Image 1,1,,
6.615,102225,µm^3,Volume Outside,Image 1,1,,
6.885,108145,µm^3,Volume Outside,Image 1,1,,
7.155,114086,µm^3,Volume Outside,Image 1,1,,
7.425,120123,µm^3,Volume Outside,Image 1,1,,
7.695,126427,µm^3,Volume Outside,Image 1,1,,
7.965,132840,µm^3,Volume Outside,Image 1,1,,
8.235,139510,µm^3,Volume Outside,Image 1,1,,
8.505,145357,µm^3,Volume Outside,Image 1,1,,
8.775,152648,µm^3,Volume Outside,Image 1,1,,
9.045,158989,µm^3,Volume Outside,Image 1,1,,
9.315,164205,µm^3,Volume Outside,Image 1,1,,
9.585,170834,µm^3,Volume Outside,Image 1,1,,
9.855,176545,µm^3,Volume Outside,Image 1,1,,
10.125,183398,µm^3,Volume Outside,Image 1,1,,
10.395,189045,µm^3,Volume Outside,Image 1,1,,
10.665,195619,µm^3,Volume Outside,Image 1,1,,
10.935,200853,µm^3,Volume Outside,Image 1,1,,
11.205,207534,µm^3,Volume Outside,Image 1,1,,
11.475,212827,µm^3,Volume Outside,Image 1,1,,
11.745,216644,µm^3,Volume Outside,Image 1,1,,
12.015,221803,µm^3,Volume Outside,Image 1,1,,
12.285,225485,µm^3,Volume Outside,Image 1,1,,
12.555,230490,µm^3,Volume Outside,Image 1,1,,
12.825,233995,µm^3,Volume Outside,Image 1,1,,
13.095,239233,µm^3,Volume Outside,Image 1,1,,
13.365,242839,µm^3,Volume Outside,Image 1,1,,
13.635,244437,µm^3,Volume Outside,Image 1,1,,
13.905,247626,µm^3,Volume Outside,Image 1,1,,
14.175,249338,µm^3,Volume Outside,Image 1,1,,
14.445,252340,µm^3,Volume Outside,Image 1,1,,
14.715,253120,µm^3,Volume Outside,Image 1,1,,
14.985,255361,µm^3,Volume Outside,Image 1,1,,
15.255,255855,µm^3,Volume Outside,Image 1,1,,
15.525,258157,µm^3,Volume Outside,Image 1,1,,
15.795,258276,µm^3,Volume Outside,Image 1,1,,
16.065,256859,µm^3,Volume Outside,Image 1,1,,
16.335,259079,µm^3,Volume Outside,Image 1,1,,
16.605,255678,µm^3,Volume Outside,Image 1,1,,
16.875,253629,µm^3,Volume Outside,Image 1,1,,
17.145,254336,µm^3,Volume Outside,Image 1,1,,
17.415,256361,µm^3,Volume Outside,Image 1,1,,
17.685,252378,µm^3,Volume Outside,Image 1,1,,
17.955,250761,µm^3,Volume Outside,Image 1,1,,
18.225,250966,µm^3,Volume Outside,Image 1,1,,
18.495,245409,µm^3,Volume Outside,Image 1,1,,
18.765,241313,µm^3,Volume Outside,Image 1,1,,
19.035,240048,µm^3,Volume Outside,Image 1,1,,
19.305,240013,µm^3,Volume Outside,Image 1,1,,
19.575,234017,µm^3,Volume Outside,Image 1,1,,
19.845,229252,µm^3,Volume Outside,Image 1,1,,
20.115,227092,µm^3,Volume Outside,Image 1,1,,
20.385,225818,µm^3,Volume Outside,Image 1,1,,
20.655,219788,µm^3,Volume Outside,Image 1,1,,
20.925,215662,µm^3,Volume Outside,Image 1,1,,
21.195,213537,µm^3,Volume Outside,Image 1,1,,
21.465,206013,µm^3,Volume Outside,Image 1,1,,
21.735,199951,µm^3,Volume Outside,Image 1,1,,
22.005,196091,µm^3,Volume Outside,Image 1,1,,
22.275,193436,µm^3,Volume Outside,Image 1,1,,
22.545,186645,µm^3,Volume Outside,Image 1,1,,
22.815,181257,µm^3,Volume Outside,Image 1,1,,
23.085,178031,µm^3,Volume Outside,Image 1,1,,
23.355,170604,µm^3,Volume Outside,Image 1,1,,
23.625,164344,µm^3,Volume Outside,Image 1,1,,
23.895,160308,µm^3,Volume Outside,Image 1,1,,
24.165,157398,µm^3,Volume Outside,Image 1,1,,
24.435,150818,µm^3,Volume Outside,Image 1,1,,
24.705,145869,µm^3,Volume Outside,Image 1,1,,
24.975,142476,µm^3,Volume Outside,Image 1,1,,
25.245,136149,µm^3,Volume Outside,Image 1,1,,
25.515,130883,µm^3,Volume Outside,Image 1,1,,
25.785,126971,µm^3,Volume Outside,Image 1,1,,
26.055,123852,µm^3,Volume Outside,Image 1,1,,
26.325,118251,µm^3,Volume Outside,Image 1,1,,
26.595,113952,µm^3,Volume Outside,Image 1,1,,
26.865,110803,µm^3,Volume Outside,Image 1,1,,
27.135,105464,µm^3,Volume Outside,Image 1,1,,
27.405,100795,µm^3,Volume Outside,Image 1,1,,
27.675,97443.6,µm^3,Volume Outside,Image 1,1,,
27.945,94688.5,µm^3,Volume Outside,Image 1,1,,
28.215,90037.7,µm^3,Volume Outside,Image 1,1,,
28.485,86158.6,µm^3,Volume Outside,Image 1,1,,
28.755,83291.7,µm^3,Volume Outside,Image 1,1,,
29.025,81000.9,µm^3,Volume Outside,Image 1,1,,
29.295,77013.1,µm^3,Volume Outside,Image 1,1,,
29.565,73944.3,µm^3,Volume Outside,Image 1,1,,
29.835,71754.9,µm^3,Volume Outside,Image 1,1,,
30.105,68199.5,µm^3,Volume Outside,Image 1,1,,
30.375,65155.6,µm^3,Volume Outside,Image 1,1,,
30.645,62972,µm^3,Volume Outside,Image 1,1,,
30.915,61377,µm^3,Volume Outside,Image 1,1,,
31.185,58525.4,µm^3,Volume Outside,Image 1,1,,
31.455,56389.4,µm^3,Volume Outside,Image 1,1,,
31.725,55024.9,µm^3,Volume Outside,Image 1,1,,
31.995,52338.7,µm^3,Volume Outside,Image 1,1,,
32.265,49537.9,µm^3,Volume Outside,Image 1,1,,
32.535,48884.6,µm^3,Volume Outside,Image 1,1,,
32.805,47082.5,µm^3,Volume Outside,Image 1,1,,
33.075,44197.1,µm^3,Volume Outside,Image 1,1,,
33.345,42797.2,µm^3,Volume Outside,Image 1,1,,
33.615,40649.1,µm^3,Volume Outside,Image 1,1,,
33.885,40038.7,µm^3,Volume Outside,Image 1,1,,
34.155,38521.8,µm^3,Volume Outside,Image 1,1,,
34.425,36042.3,µm^3,Volume Outside,Image 1,1,,
34.695,35157,µm^3,Volume Outside,Image 1,1,,
34.965,33678.6,µm^3,Volume Outside,Image 1,1,,
35.235,31596.7,µm^3,Volume Outside,Image 1,1,,
35.505,30820,µm^3,Volume Outside,Image 1,1,,
35.775,29514.3,µm^3,Volume Outside,Image 1,1,,
