
Area
 ==================== 
Area,Unit,Category,Time,ID,
4.71786,µm^2,Surface,1,6721,
7.40159,µm^2,Surface,1,6722,
23.2218,µm^2,Surface,1,6723,
16.4202,µm^2,Surface,1,6724,
6.42009,µm^2,Surface,1,6725,
24.4766,µm^2,Surface,1,6726,
4.66146,µm^2,Surface,1,6728,
5.48035,µm^2,Surface,1,6729,
15.8021,µm^2,Surface,1,6730,
8.55386,µm^2,Surface,1,6731,
6.14857,µm^2,Surface,1,6732,
2.42492,µm^2,Surface,1,6733,
3.77818,µm^2,Surface,1,6734,
7.56182,µm^2,Surface,1,6735,
6.76058,µm^2,Surface,1,6736,
3.18142,µm^2,Surface,1,6737,
12.9137,µm^2,Surface,1,6738,
27.2073,µm^2,Surface,1,6739,
5.29217,µm^2,Surface,1,6740,
14.5929,µm^2,Surface,1,6741,
22.7022,µm^2,Surface,1,6742,
3.91592,µm^2,Surface,1,6743,
10.6924,µm^2,Surface,1,6744,
9.50714,µm^2,Surface,1,6745,
5.21213,µm^2,Surface,1,6746,
1.59593,µm^2,Surface,1,6747,
3.045,µm^2,Surface,1,6748,
5.20227,µm^2,Surface,1,6749,
4.04145,µm^2,Surface,1,6750,
13.7392,µm^2,Surface,1,6751,
6.36897,µm^2,Surface,1,6752,
21.2961,µm^2,Surface,1,6753,
7.15724,µm^2,Surface,1,6754,
1.60309,µm^2,Surface,1,6755,
15.5562,µm^2,Surface,1,6756,
9.38142,µm^2,Surface,1,6757,
1.88117,µm^2,Surface,1,6758,
10.7615,µm^2,Surface,1,6760,
9.15493,µm^2,Surface,1,6761,
4.80293,µm^2,Surface,1,6762,
26.7649,µm^2,Surface,1,6763,
1.47147,µm^2,Surface,1,6764,
23.6763,µm^2,Surface,1,6765,
11.2757,µm^2,Surface,1,6766,
17.0188,µm^2,Surface,1,6767,
10.4937,µm^2,Surface,1,6768,
15.3801,µm^2,Surface,1,6770,
5.39946,µm^2,Surface,1,6771,
5.49962,µm^2,Surface,1,6772,
13.6685,µm^2,Surface,1,6773,
27.1742,µm^2,Surface,1,6774,
40.5223,µm^2,Surface,1,6775,
6.83318,µm^2,Surface,1,6776,
2.11688,µm^2,Surface,1,6777,
15.2517,µm^2,Surface,1,6778,
3.70087,µm^2,Surface,1,6781,
4.37505,µm^2,Surface,1,6782,
16.5966,µm^2,Surface,1,6783,
9.48033,µm^2,Surface,1,6784,
1.06029,µm^2,Surface,1,6785,
5.87736,µm^2,Surface,1,6786,
2.94383,µm^2,Surface,1,6787,
13.3733,µm^2,Surface,1,6788,
10.2297,µm^2,Surface,1,6789,
21.9256,µm^2,Surface,1,6790,
13.4906,µm^2,Surface,1,6791,
5.08118,µm^2,Surface,1,6792,
5.74508,µm^2,Surface,1,6793,
33.2116,µm^2,Surface,1,6794,
4.89236,µm^2,Surface,1,6795,
8.05207,µm^2,Surface,1,6796,
11.5574,µm^2,Surface,1,6797,
7.57018,µm^2,Surface,1,6798,
9.61527,µm^2,Surface,1,6799,
13.0921,µm^2,Surface,1,6800,
5.36486,µm^2,Surface,1,6801,
3.2218,µm^2,Surface,1,6802,
15.8118,µm^2,Surface,1,6803,
11.4876,µm^2,Surface,1,6804,
7.37666,µm^2,Surface,1,6805,
13.223,µm^2,Surface,1,6806,
19.076,µm^2,Surface,1,6807,
5.48006,µm^2,Surface,1,6808,
9.04948,µm^2,Surface,1,6810,
2.50146,µm^2,Surface,1,6811,
25.5205,µm^2,Surface,1,6812,
21.6411,µm^2,Surface,1,6813,
9.83767,µm^2,Surface,1,6814,
5.96328,µm^2,Surface,1,6815,
1.19559,µm^2,Surface,1,6816,
11.9722,µm^2,Surface,1,6817,
1.66521,µm^2,Surface,1,6819,
3.01408,µm^2,Surface,1,6820,
4.31658,µm^2,Surface,1,6821,
10.6582,µm^2,Surface,1,6822,
7.20099,µm^2,Surface,1,6823,
