
Cumulative Volume Img=1
 ==================== 
Distance to Surface,Cumulative Volume,Unit,Collection,Image,Time,ID,
-2.2865,2.26012,µm^3,Cumulative Volume,Image 1,1,,
-2.0175,11.4648,µm^3,Cumulative Volume,Image 1,1,,
-1.7485,46.3883,µm^3,Cumulative Volume,Image 1,1,,
-1.4795,172.392,µm^3,Cumulative Volume,Image 1,1,,
-1.2105,598.209,µm^3,Cumulative Volume,Image 1,1,,
-0.9415,1889.34,µm^3,Cumulative Volume,Image 1,1,,
-0.6725,5257.16,µm^3,Cumulative Volume,Image 1,1,,
-0.4035,12587.8,µm^3,Cumulative Volume,Image 1,1,,
-0.1345,25494.3,µm^3,Cumulative Volume,Image 1,1,,
0.1345,43998.9,µm^3,Cumulative Volume,Image 1,1,,
0.4035,71875,µm^3,Cumulative Volume,Image 1,1,,
0.6725,111028,µm^3,Cumulative Volume,Image 1,1,,
0.9415,162539,µm^3,Cumulative Volume,Image 1,1,,
1.2105,227481,µm^3,Cumulative Volume,Image 1,1,,
1.4795,307354,µm^3,Cumulative Volume,Image 1,1,,
1.7485,403418,µm^3,Cumulative Volume,Image 1,1,,
2.0175,516887,µm^3,Cumulative Volume,Image 1,1,,
2.2865,647973,µm^3,Cumulative Volume,Image 1,1,,
2.5555,797796,µm^3,Cumulative Volume,Image 1,1,,
2.8245,966211,µm^3,Cumulative Volume,Image 1,1,,
3.0935,1.1535e+06,µm^3,Cumulative Volume,Image 1,1,,
3.3625,1.36071e+06,µm^3,Cumulative Volume,Image 1,1,,
3.6315,1.58844e+06,µm^3,Cumulative Volume,Image 1,1,,
3.9005,1.83525e+06,µm^3,Cumulative Volume,Image 1,1,,
4.1695,2.10119e+06,µm^3,Cumulative Volume,Image 1,1,,
4.4385,2.38539e+06,µm^3,Cumulative Volume,Image 1,1,,
4.7075,2.68719e+06,µm^3,Cumulative Volume,Image 1,1,,
4.9765,3.00604e+06,µm^3,Cumulative Volume,Image 1,1,,
5.2455,3.34017e+06,µm^3,Cumulative Volume,Image 1,1,,
5.5145,3.68893e+06,µm^3,Cumulative Volume,Image 1,1,,
5.7835,4.05066e+06,µm^3,Cumulative Volume,Image 1,1,,
6.0525,4.42399e+06,µm^3,Cumulative Volume,Image 1,1,,
6.3215,4.80892e+06,µm^3,Cumulative Volume,Image 1,1,,
6.5905,5.20376e+06,µm^3,Cumulative Volume,Image 1,1,,
6.8595,5.6074e+06,µm^3,Cumulative Volume,Image 1,1,,
7.1285,6.01882e+06,µm^3,Cumulative Volume,Image 1,1,,
7.3975,6.43586e+06,µm^3,Cumulative Volume,Image 1,1,,
7.6665,6.85585e+06,µm^3,Cumulative Volume,Image 1,1,,
7.9355,7.27727e+06,µm^3,Cumulative Volume,Image 1,1,,
8.2045,7.7022e+06,µm^3,Cumulative Volume,Image 1,1,,
8.4735,8.12684e+06,µm^3,Cumulative Volume,Image 1,1,,
8.7425,8.55203e+06,µm^3,Cumulative Volume,Image 1,1,,
9.0115,8.97332e+06,µm^3,Cumulative Volume,Image 1,1,,
9.2805,9.39204e+06,µm^3,Cumulative Volume,Image 1,1,,
9.5495,9.80418e+06,µm^3,Cumulative Volume,Image 1,1,,
9.8185,1.02111e+07,µm^3,Cumulative Volume,Image 1,1,,
10.0875,1.0614e+07,µm^3,Cumulative Volume,Image 1,1,,
10.3565,1.10092e+07,µm^3,Cumulative Volume,Image 1,1,,
10.6255,1.13981e+07,µm^3,Cumulative Volume,Image 1,1,,
10.8945,1.17768e+07,µm^3,Cumulative Volume,Image 1,1,,
11.1635,1.21469e+07,µm^3,Cumulative Volume,Image 1,1,,
11.4325,1.25054e+07,µm^3,Cumulative Volume,Image 1,1,,
11.7015,1.28536e+07,µm^3,Cumulative Volume,Image 1,1,,
11.9705,1.31886e+07,µm^3,Cumulative Volume,Image 1,1,,
12.2395,1.35117e+07,µm^3,Cumulative Volume,Image 1,1,,
12.5085,1.38248e+07,µm^3,Cumulative Volume,Image 1,1,,
12.7775,1.41249e+07,µm^3,Cumulative Volume,Image 1,1,,
13.0465,1.44132e+07,µm^3,Cumulative Volume,Image 1,1,,
13.3155,1.46881e+07,µm^3,Cumulative Volume,Image 1,1,,
13.5845,1.49509e+07,µm^3,Cumulative Volume,Image 1,1,,
13.8535,1.51996e+07,µm^3,Cumulative Volume,Image 1,1,,
14.1225,1.54358e+07,µm^3,Cumulative Volume,Image 1,1,,
14.3915,1.56609e+07,µm^3,Cumulative Volume,Image 1,1,,
14.6605,1.58734e+07,µm^3,Cumulative Volume,Image 1,1,,
14.9295,1.60744e+07,µm^3,Cumulative Volume,Image 1,1,,
15.1985,1.62631e+07,µm^3,Cumulative Volume,Image 1,1,,
15.4675,1.64408e+07,µm^3,Cumulative Volume,Image 1,1,,
15.7365,1.66064e+07,µm^3,Cumulative Volume,Image 1,1,,
16.0055,1.67618e+07,µm^3,Cumulative Volume,Image 1,1,,
16.2745,1.69091e+07,µm^3,Cumulative Volume,Image 1,1,,
16.5435,1.70453e+07,µm^3,Cumulative Volume,Image 1,1,,
16.8125,1.71716e+07,µm^3,Cumulative Volume,Image 1,1,,
17.0815,1.72896e+07,µm^3,Cumulative Volume,Image 1,1,,
17.3505,1.74005e+07,µm^3,Cumulative Volume,Image 1,1,,
17.6195,1.75023e+07,µm^3,Cumulative Volume,Image 1,1,,
17.8885,1.75958e+07,µm^3,Cumulative Volume,Image 1,1,,
18.1575,1.76824e+07,µm^3,Cumulative Volume,Image 1,1,,
18.4265,1.7763e+07,µm^3,Cumulative Volume,Image 1,1,,
18.6955,1.78383e+07,µm^3,Cumulative Volume,Image 1,1,,
18.9645,1.79071e+07,µm^3,Cumulative Volume,Image 1,1,,
19.2335,1.797e+07,µm^3,Cumulative Volume,Image 1,1,,
19.5025,1.80279e+07,µm^3,Cumulative Volume,Image 1,1,,
19.7715,1.80815e+07,µm^3,Cumulative Volume,Image 1,1,,
20.0405,1.81313e+07,µm^3,Cumulative Volume,Image 1,1,,
20.3095,1.81764e+07,µm^3,Cumulative Volume,Image 1,1,,
20.5785,1.82174e+07,µm^3,Cumulative Volume,Image 1,1,,
20.8475,1.82551e+07,µm^3,Cumulative Volume,Image 1,1,,
21.1165,1.82899e+07,µm^3,Cumulative Volume,Image 1,1,,
21.3855,1.83212e+07,µm^3,Cumulative Volume,Image 1,1,,
21.6545,1.83495e+07,µm^3,Cumulative Volume,Image 1,1,,
21.9235,1.83753e+07,µm^3,Cumulative Volume,Image 1,1,,
22.1925,1.83989e+07,µm^3,Cumulative Volume,Image 1,1,,
22.4615,1.84206e+07,µm^3,Cumulative Volume,Image 1,1,,
22.7305,1.84402e+07,µm^3,Cumulative Volume,Image 1,1,,
