
Cumulative Volume Outside Img=1
 ==================== 
Distance to Surface,Cumulative Volume Outside,Unit,Collection,Image,Time,ID,
0.1345,18504.6,µm^3,Cumulative Volume Outside,Image 1,1,,
0.4035,46380.7,µm^3,Cumulative Volume Outside,Image 1,1,,
0.6725,85533.5,µm^3,Cumulative Volume Outside,Image 1,1,,
0.9415,137044,µm^3,Cumulative Volume Outside,Image 1,1,,
1.2105,201987,µm^3,Cumulative Volume Outside,Image 1,1,,
1.4795,281859,µm^3,Cumulative Volume Outside,Image 1,1,,
1.7485,377923,µm^3,Cumulative Volume Outside,Image 1,1,,
2.0175,491392,µm^3,Cumulative Volume Outside,Image 1,1,,
2.2865,622479,µm^3,Cumulative Volume Outside,Image 1,1,,
2.5555,772302,µm^3,Cumulative Volume Outside,Image 1,1,,
2.8245,940717,µm^3,Cumulative Volume Outside,Image 1,1,,
3.0935,1.128e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
3.3625,1.33522e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
3.6315,1.56295e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
3.9005,1.80975e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
4.1695,2.0757e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
4.4385,2.3599e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
4.7075,2.6617e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
4.9765,2.98054e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
5.2455,3.31468e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
5.5145,3.66344e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
5.7835,4.02516e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
6.0525,4.3985e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
6.3215,4.78343e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
6.5905,5.17826e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
6.8595,5.58191e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
7.1285,5.99333e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
7.3975,6.41037e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
7.6665,6.83036e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
7.9355,7.25178e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
