
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
894.699,µm,Surface,Distance from Origin,1,6721,
900.465,µm,Surface,Distance from Origin,1,6722,
903.313,µm,Surface,Distance from Origin,1,6723,
908.547,µm,Surface,Distance from Origin,1,6724,
895.182,µm,Surface,Distance from Origin,1,6725,
898.617,µm,Surface,Distance from Origin,1,6726,
897.534,µm,Surface,Distance from Origin,1,6728,
898.146,µm,Surface,Distance from Origin,1,6729,
901.101,µm,Surface,Distance from Origin,1,6730,
899.763,µm,Surface,Distance from Origin,1,6731,
893.522,µm,Surface,Distance from Origin,1,6732,
903.129,µm,Surface,Distance from Origin,1,6733,
905.777,µm,Surface,Distance from Origin,1,6734,
896.368,µm,Surface,Distance from Origin,1,6735,
909.919,µm,Surface,Distance from Origin,1,6736,
913.688,µm,Surface,Distance from Origin,1,6737,
908.831,µm,Surface,Distance from Origin,1,6738,
910.683,µm,Surface,Distance from Origin,1,6739,
911.388,µm,Surface,Distance from Origin,1,6740,
907.609,µm,Surface,Distance from Origin,1,6741,
905.877,µm,Surface,Distance from Origin,1,6742,
899.029,µm,Surface,Distance from Origin,1,6743,
907.528,µm,Surface,Distance from Origin,1,6744,
905.292,µm,Surface,Distance from Origin,1,6745,
916.322,µm,Surface,Distance from Origin,1,6746,
907.362,µm,Surface,Distance from Origin,1,6747,
914.896,µm,Surface,Distance from Origin,1,6748,
918.487,µm,Surface,Distance from Origin,1,6749,
908.473,µm,Surface,Distance from Origin,1,6750,
918.237,µm,Surface,Distance from Origin,1,6751,
911.868,µm,Surface,Distance from Origin,1,6752,
923.056,µm,Surface,Distance from Origin,1,6753,
912.276,µm,Surface,Distance from Origin,1,6754,
914.763,µm,Surface,Distance from Origin,1,6755,
916.569,µm,Surface,Distance from Origin,1,6756,
911.543,µm,Surface,Distance from Origin,1,6757,
921.865,µm,Surface,Distance from Origin,1,6758,
922.942,µm,Surface,Distance from Origin,1,6760,
920.199,µm,Surface,Distance from Origin,1,6761,
918.179,µm,Surface,Distance from Origin,1,6762,
926.115,µm,Surface,Distance from Origin,1,6763,
919.12,µm,Surface,Distance from Origin,1,6764,
925.42,µm,Surface,Distance from Origin,1,6765,
915.145,µm,Surface,Distance from Origin,1,6766,
922.538,µm,Surface,Distance from Origin,1,6767,
915.214,µm,Surface,Distance from Origin,1,6768,
928.806,µm,Surface,Distance from Origin,1,6770,
927.404,µm,Surface,Distance from Origin,1,6771,
917.552,µm,Surface,Distance from Origin,1,6772,
924.832,µm,Surface,Distance from Origin,1,6773,
920.781,µm,Surface,Distance from Origin,1,6774,
930.055,µm,Surface,Distance from Origin,1,6775,
919.747,µm,Surface,Distance from Origin,1,6776,
928.866,µm,Surface,Distance from Origin,1,6777,
932.841,µm,Surface,Distance from Origin,1,6778,
933.91,µm,Surface,Distance from Origin,1,6781,
933.284,µm,Surface,Distance from Origin,1,6782,
938.51,µm,Surface,Distance from Origin,1,6783,
926.958,µm,Surface,Distance from Origin,1,6784,
922.995,µm,Surface,Distance from Origin,1,6785,
934.849,µm,Surface,Distance from Origin,1,6786,
936.491,µm,Surface,Distance from Origin,1,6787,
940.765,µm,Surface,Distance from Origin,1,6788,
928.086,µm,Surface,Distance from Origin,1,6789,
935.088,µm,Surface,Distance from Origin,1,6790,
941.632,µm,Surface,Distance from Origin,1,6791,
933.911,µm,Surface,Distance from Origin,1,6792,
936.151,µm,Surface,Distance from Origin,1,6793,
942.599,µm,Surface,Distance from Origin,1,6794,
937.782,µm,Surface,Distance from Origin,1,6795,
941.929,µm,Surface,Distance from Origin,1,6796,
946.427,µm,Surface,Distance from Origin,1,6797,
937.052,µm,Surface,Distance from Origin,1,6798,
939.276,µm,Surface,Distance from Origin,1,6799,
944.103,µm,Surface,Distance from Origin,1,6800,
941.919,µm,Surface,Distance from Origin,1,6801,
938.487,µm,Surface,Distance from Origin,1,6802,
949.683,µm,Surface,Distance from Origin,1,6803,
944.44,µm,Surface,Distance from Origin,1,6804,
948.554,µm,Surface,Distance from Origin,1,6805,
957.857,µm,Surface,Distance from Origin,1,6806,
947.412,µm,Surface,Distance from Origin,1,6807,
943.997,µm,Surface,Distance from Origin,1,6808,
959.143,µm,Surface,Distance from Origin,1,6810,
949.167,µm,Surface,Distance from Origin,1,6811,
963.93,µm,Surface,Distance from Origin,1,6812,
965.605,µm,Surface,Distance from Origin,1,6813,
954.592,µm,Surface,Distance from Origin,1,6814,
963.391,µm,Surface,Distance from Origin,1,6815,
953.846,µm,Surface,Distance from Origin,1,6816,
959.06,µm,Surface,Distance from Origin,1,6817,
958.786,µm,Surface,Distance from Origin,1,6819,
967.034,µm,Surface,Distance from Origin,1,6820,
966.018,µm,Surface,Distance from Origin,1,6821,
968.139,µm,Surface,Distance from Origin,1,6822,
965.211,µm,Surface,Distance from Origin,1,6823,
968.544,µm,Surface,Distance from Origin,1,6824,
965.66,µm,Surface,Distance from Origin,1,6825,
976.386,µm,Surface,Distance from Origin,1,6826,
976.718,µm,Surface,Distance from Origin,1,6827,
978.974,µm,Surface,Distance from Origin,1,6828,
983.948,µm,Surface,Distance from Origin,1,6829,
982.671,µm,Surface,Distance from Origin,1,6830,
862.353,µm,Surface,Distance from Origin,1,6831,
869,µm,Surface,Distance from Origin,1,6832,
863.236,µm,Surface,Distance from Origin,1,6833,
864.045,µm,Surface,Distance from Origin,1,6834,
870.128,µm,Surface,Distance from Origin,1,6836,
869.832,µm,Surface,Distance from Origin,1,6837,
871.602,µm,Surface,Distance from Origin,1,6838,
869.264,µm,Surface,Distance from Origin,1,6840,
880.3,µm,Surface,Distance from Origin,1,6841,
867.457,µm,Surface,Distance from Origin,1,6842,
872.353,µm,Surface,Distance from Origin,1,6843,
879.623,µm,Surface,Distance from Origin,1,6844,
883.801,µm,Surface,Distance from Origin,1,6845,
872.977,µm,Surface,Distance from Origin,1,6846,
867.537,µm,Surface,Distance from Origin,1,6847,
877.918,µm,Surface,Distance from Origin,1,6849,
886.456,µm,Surface,Distance from Origin,1,6850,
879.944,µm,Surface,Distance from Origin,1,6851,
869.83,µm,Surface,Distance from Origin,1,6852,
872.856,µm,Surface,Distance from Origin,1,6853,
874.94,µm,Surface,Distance from Origin,1,6855,
879.787,µm,Surface,Distance from Origin,1,6856,
881.425,µm,Surface,Distance from Origin,1,6857,
