
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
64.3145,µm,Surface,Image 1,1,6721,
22.6164,µm,Surface,Image 1,1,6722,
10.9678,µm,Surface,Image 1,1,6723,
23.7,µm,Surface,Image 1,1,6724,
75.1926,µm,Surface,Image 1,1,6725,
39.6653,µm,Surface,Image 1,1,6726,
17.7024,µm,Surface,Image 1,1,6728,
47.7584,µm,Surface,Image 1,1,6729,
45.8083,µm,Surface,Image 1,1,6730,
68.1116,µm,Surface,Image 1,1,6731,
67.6266,µm,Surface,Image 1,1,6732,
11.9345,µm,Surface,Image 1,1,6733,
74.8619,µm,Surface,Image 1,1,6734,
48.5688,µm,Surface,Image 1,1,6735,
25.9689,µm,Surface,Image 1,1,6736,
4.12439,µm,Surface,Image 1,1,6737,
34.5833,µm,Surface,Image 1,1,6738,
33.5655,µm,Surface,Image 1,1,6739,
9.14001,µm,Surface,Image 1,1,6740,
57.7285,µm,Surface,Image 1,1,6741,
31.6918,µm,Surface,Image 1,1,6742,
50.0613,µm,Surface,Image 1,1,6743,
38.4244,µm,Surface,Image 1,1,6744,
29.7852,µm,Surface,Image 1,1,6745,
27.7887,µm,Surface,Image 1,1,6746,
58.1693,µm,Surface,Image 1,1,6747,
21.6521,µm,Surface,Image 1,1,6748,
4.0351,µm,Surface,Image 1,1,6749,
36.255,µm,Surface,Image 1,1,6750,
20.586,µm,Surface,Image 1,1,6751,
45.5484,µm,Surface,Image 1,1,6752,
16.434,µm,Surface,Image 1,1,6753,
26.9505,µm,Surface,Image 1,1,6754,
5.18048,µm,Surface,Image 1,1,6755,
67.558,µm,Surface,Image 1,1,6756,
64.2184,µm,Surface,Image 1,1,6757,
65.5917,µm,Surface,Image 1,1,6758,
6.83698,µm,Surface,Image 1,1,6760,
7.90363,µm,Surface,Image 1,1,6761,
62.5807,µm,Surface,Image 1,1,6762,
29.9963,µm,Surface,Image 1,1,6763,
63.7169,µm,Surface,Image 1,1,6764,
9.92474,µm,Surface,Image 1,1,6765,
60.1447,µm,Surface,Image 1,1,6766,
33.7064,µm,Surface,Image 1,1,6767,
62.7902,µm,Surface,Image 1,1,6768,
32.0028,µm,Surface,Image 1,1,6770,
33.2074,µm,Surface,Image 1,1,6771,
41.862,µm,Surface,Image 1,1,6772,
52.3241,µm,Surface,Image 1,1,6773,
57.4966,µm,Surface,Image 1,1,6774,
42.2124,µm,Surface,Image 1,1,6775,
40.814,µm,Surface,Image 1,1,6776,
47.2834,µm,Surface,Image 1,1,6777,
30.4159,µm,Surface,Image 1,1,6778,
50.0752,µm,Surface,Image 1,1,6781,
29.0812,µm,Surface,Image 1,1,6782,
15.7924,µm,Surface,Image 1,1,6783,
63.3842,µm,Surface,Image 1,1,6784,
54.5599,µm,Surface,Image 1,1,6785,
32.916,µm,Surface,Image 1,1,6786,
47.6326,µm,Surface,Image 1,1,6787,
12.5687,µm,Surface,Image 1,1,6788,
23.4032,µm,Surface,Image 1,1,6789,
37.674,µm,Surface,Image 1,1,6790,
9.92157,µm,Surface,Image 1,1,6791,
32.6932,µm,Surface,Image 1,1,6792,
32.889,µm,Surface,Image 1,1,6793,
36.1373,µm,Surface,Image 1,1,6794,
32.0803,µm,Surface,Image 1,1,6795,
38.4253,µm,Surface,Image 1,1,6796,
42.77,µm,Surface,Image 1,1,6797,
18.068,µm,Surface,Image 1,1,6798,
23.6909,µm,Surface,Image 1,1,6799,
41.0005,µm,Surface,Image 1,1,6800,
38.1244,µm,Surface,Image 1,1,6801,
16.2696,µm,Surface,Image 1,1,6802,
9.20673,µm,Surface,Image 1,1,6803,
30.0864,µm,Surface,Image 1,1,6804,
40.2311,µm,Surface,Image 1,1,6805,
8.52844,µm,Surface,Image 1,1,6806,
32.6772,µm,Surface,Image 1,1,6807,
23.5773,µm,Surface,Image 1,1,6808,
10.0328,µm,Surface,Image 1,1,6810,
41.6504,µm,Surface,Image 1,1,6811,
31.6898,µm,Surface,Image 1,1,6812,
8.78302,µm,Surface,Image 1,1,6813,
2.53589,µm,Surface,Image 1,1,6814,
4.62042,µm,Surface,Image 1,1,6815,
41.5361,µm,Surface,Image 1,1,6816,
28.0468,µm,Surface,Image 1,1,6817,
23.1391,µm,Surface,Image 1,1,6819,
29.624,µm,Surface,Image 1,1,6820,
33.9632,µm,Surface,Image 1,1,6821,
32.0827,µm,Surface,Image 1,1,6822,
35.2869,µm,Surface,Image 1,1,6823,
33.452,µm,Surface,Image 1,1,6824,
35.6827,µm,Surface,Image 1,1,6825,
6.57007,µm,Surface,Image 1,1,6826,
22.0261,µm,Surface,Image 1,1,6827,
5.80078,µm,Surface,Image 1,1,6828,
16.6425,µm,Surface,Image 1,1,6829,
4.08649,µm,Surface,Image 1,1,6830,
107.194,µm,Surface,Image 1,1,6831,
51.434,µm,Surface,Image 1,1,6832,
52.7695,µm,Surface,Image 1,1,6833,
73.8943,µm,Surface,Image 1,1,6834,
71.8377,µm,Surface,Image 1,1,6836,
65.3993,µm,Surface,Image 1,1,6837,
63.0897,µm,Surface,Image 1,1,6838,
82.1456,µm,Surface,Image 1,1,6840,
49.4248,µm,Surface,Image 1,1,6841,
85.582,µm,Surface,Image 1,1,6842,
101.452,µm,Surface,Image 1,1,6843,
54.7973,µm,Surface,Image 1,1,6844,
38.9712,µm,Surface,Image 1,1,6845,
60.9584,µm,Surface,Image 1,1,6846,
72.7667,µm,Surface,Image 1,1,6847,
53.8041,µm,Surface,Image 1,1,6849,
11.6298,µm,Surface,Image 1,1,6850,
52.4389,µm,Surface,Image 1,1,6851,
90.0886,µm,Surface,Image 1,1,6852,
69.0776,µm,Surface,Image 1,1,6853,
70.1516,µm,Surface,Image 1,1,6855,
71.0888,µm,Surface,Image 1,1,6856,
31.0063,µm,Surface,Image 1,1,6857,
73.9116,µm,Surface,Image 1,1,6858,
20.46,µm,Surface,Image 1,1,6859,
37.6171,µm,Surface,Image 1,1,6860,
86.1016,µm,Surface,Image 1,1,6861,
71.794,µm,Surface,Image 1,1,6862,
60.38,µm,Surface,Image 1,1,6863,
62.5422,µm,Surface,Image 1,1,6864,
64.2462,µm,Surface,Image 1,1,6866,
35.14,µm,Surface,Image 1,1,6867,
72.6564,µm,Surface,Image 1,1,6868,
61.9505,µm,Surface,Image 1,1,6869,
60.6259,µm,Surface,Image 1,1,6870,
47.2429,µm,Surface,Image 1,1,6871,
27.8602,µm,Surface,Image 1,1,6872,
26.5391,µm,Surface,Image 1,1,6873,
20.3915,µm,Surface,Image 1,1,6874,
30.2829,µm,Surface,Image 1,1,6875,
49.3206,µm,Surface,Image 1,1,6877,
22.282,µm,Surface,Image 1,1,6878,
46.0344,µm,Surface,Image 1,1,6879,
91.6529,µm,Surface,Image 1,1,6880,
15.0098,µm,Surface,Image 1,1,6881,
18.2779,µm,Surface,Image 1,1,6882,
69.0779,µm,Surface,Image 1,1,6884,
31.9612,µm,Surface,Image 1,1,6885,
28.7538,µm,Surface,Image 1,1,6886,
65.1451,µm,Surface,Image 1,1,6887,
59.2454,µm,Surface,Image 1,1,6888,
41.2172,µm,Surface,Image 1,1,6889,
74.3105,µm,Surface,Image 1,1,6890,
17.6069,µm,Surface,Image 1,1,6891,
69.6005,µm,Surface,Image 1,1,6892,
56.1976,µm,Surface,Image 1,1,6894,
78.256,µm,Surface,Image 1,1,6895,
70.1534,µm,Surface,Image 1,1,6896,
40.2014,µm,Surface,Image 1,1,6897,
4.08002,µm,Surface,Image 1,1,6898,
72.7332,µm,Surface,Image 1,1,6899,
76.3019,µm,Surface,Image 1,1,6900,
81.0042,µm,Surface,Image 1,1,6901,
73.5421,µm,Surface,Image 1,1,6902,
12.2914,µm,Surface,Image 1,1,6904,
114.719,µm,Surface,Image 1,1,6905,
114.335,µm,Surface,Image 1,1,6906,
27.009,µm,Surface,Image 1,1,6907,
63.4802,µm,Surface,Image 1,1,6908,
22.451,µm,Surface,Image 1,1,6909,
42.0884,µm,Surface,Image 1,1,6910,
88.2749,µm,Surface,Image 1,1,6911,
13.5901,µm,Surface,Image 1,1,6912,
53.6417,µm,Surface,Image 1,1,6914,
43.4885,µm,Surface,Image 1,1,6915,
103.179,µm,Surface,Image 1,1,6917,
24.3961,µm,Surface,Image 1,1,6919,
116.911,µm,Surface,Image 1,1,6920,
115.808,µm,Surface,Image 1,1,6921,
59.2522,µm,Surface,Image 1,1,6922,
62.8759,µm,Surface,Image 1,1,6923,
25.0458,µm,Surface,Image 1,1,6924,
105.7,µm,Surface,Image 1,1,6925,
91.1641,µm,Surface,Image 1,1,6926,
65.9492,µm,Surface,Image 1,1,6927,
44.6848,µm,Surface,Image 1,1,6928,
87.5606,µm,Surface,Image 1,1,6929,
49.4166,µm,Surface,Image 1,1,6930,
111.702,µm,Surface,Image 1,1,6931,
109.382,µm,Surface,Image 1,1,6932,
98.9504,µm,Surface,Image 1,1,6933,
52.3865,µm,Surface,Image 1,1,6934,
55.6223,µm,Surface,Image 1,1,6935,
100.177,µm,Surface,Image 1,1,6936,
101.524,µm,Surface,Image 1,1,6937,
95.8578,µm,Surface,Image 1,1,6938,
89.2525,µm,Surface,Image 1,1,6939,
106.275,µm,Surface,Image 1,1,6941,
102.038,µm,Surface,Image 1,1,6942,
97.9548,µm,Surface,Image 1,1,6943,
79.9829,µm,Surface,Image 1,1,6944,
7.84674,µm,Surface,Image 1,1,6945,
15.8765,µm,Surface,Image 1,1,6946,
57.176,µm,Surface,Image 1,1,6947,
55.3677,µm,Surface,Image 1,1,6948,
77.3079,µm,Surface,Image 1,1,6949,
84.4996,µm,Surface,Image 1,1,6950,
11.6178,µm,Surface,Image 1,1,6951,
84.4117,µm,Surface,Image 1,1,6952,
54.239,µm,Surface,Image 1,1,6953,
53.9689,µm,Surface,Image 1,1,6954,
56.4637,µm,Surface,Image 1,1,6955,
84.0833,µm,Surface,Image 1,1,6956,
40.3392,µm,Surface,Image 1,1,6957,
97.5165,µm,Surface,Image 1,1,6958,
51.6478,µm,Surface,Image 1,1,6959,
82.3958,µm,Surface,Image 1,1,6960,
68.7018,µm,Surface,Image 1,1,6961,
78.0833,µm,Surface,Image 1,1,6962,
73.549,µm,Surface,Image 1,1,6963,
82.4864,µm,Surface,Image 1,1,6964,
88.3449,µm,Surface,Image 1,1,6967,
9.84528,µm,Surface,Image 1,1,6969,
7.5614,µm,Surface,Image 1,1,6970,
44.0668,µm,Surface,Image 1,1,6971,
87.2102,µm,Surface,Image 1,1,6973,
25.5909,µm,Surface,Image 1,1,6974,
42.698,µm,Surface,Image 1,1,6975,
114.96,µm,Surface,Image 1,1,6976,
132.305,µm,Surface,Image 1,1,6977,
58.006,µm,Surface,Image 1,1,6978,
107.314,µm,Surface,Image 1,1,6979,
122.052,µm,Surface,Image 1,1,6980,
51.8635,µm,Surface,Image 1,1,6981,
114.438,µm,Surface,Image 1,1,6982,
32.0505,µm,Surface,Image 1,1,6983,
17.858,µm,Surface,Image 1,1,6984,
67.0345,µm,Surface,Image 1,1,6985,
20.5335,µm,Surface,Image 1,1,6986,
86.6978,µm,Surface,Image 1,1,6987,
57.3382,µm,Surface,Image 1,1,6988,
91.9601,µm,Surface,Image 1,1,6989,
11.8412,µm,Surface,Image 1,1,6990,
99.1957,µm,Surface,Image 1,1,6991,
116.129,µm,Surface,Image 1,1,6992,
105.451,µm,Surface,Image 1,1,6993,
35.7202,µm,Surface,Image 1,1,6994,
63.9846,µm,Surface,Image 1,1,6995,
26.1634,µm,Surface,Image 1,1,6996,
117.733,µm,Surface,Image 1,1,6997,
82.434,µm,Surface,Image 1,1,6998,
22.5659,µm,Surface,Image 1,1,6999,
123.114,µm,Surface,Image 1,1,7000,
