
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.245529,,Surface,1,6721,
0.27201,,Surface,1,6722,
0.358818,,Surface,1,6723,
0.264975,,Surface,1,6724,
0.273402,,Surface,1,6725,
0.308231,,Surface,1,6726,
0.220313,,Surface,1,6728,
0.426439,,Surface,1,6729,
0.326265,,Surface,1,6730,
0.28041,,Surface,1,6731,
0.217326,,Surface,1,6732,
0.241064,,Surface,1,6733,
0.430339,,Surface,1,6734,
0.266246,,Surface,1,6735,
0.303122,,Surface,1,6736,
0.301714,,Surface,1,6737,
0.292337,,Surface,1,6738,
0.582388,,Surface,1,6739,
0.284162,,Surface,1,6740,
0.323653,,Surface,1,6741,
0.3187,,Surface,1,6742,
0.469408,,Surface,1,6743,
0.272586,,Surface,1,6744,
0.361386,,Surface,1,6745,
0.383248,,Surface,1,6746,
0.402011,,Surface,1,6747,
0.329914,,Surface,1,6748,
0.264923,,Surface,1,6749,
0.261071,,Surface,1,6750,
0.460086,,Surface,1,6751,
0.261271,,Surface,1,6752,
0.475456,,Surface,1,6753,
0.242571,,Surface,1,6754,
0.319277,,Surface,1,6755,
0.252902,,Surface,1,6756,
0.378464,,Surface,1,6757,
0.331178,,Surface,1,6758,
0.33048,,Surface,1,6760,
0.319472,,Surface,1,6761,
0.249815,,Surface,1,6762,
0.325241,,Surface,1,6763,
0.265074,,Surface,1,6764,
0.360494,,Surface,1,6765,
0.263958,,Surface,1,6766,
0.623493,,Surface,1,6767,
0.411907,,Surface,1,6768,
0.289237,,Surface,1,6770,
0.368079,,Surface,1,6771,
0.18576,,Surface,1,6772,
0.302359,,Surface,1,6773,
0.292087,,Surface,1,6774,
0.29999,,Surface,1,6775,
0.24263,,Surface,1,6776,
0.321067,,Surface,1,6777,
0.359599,,Surface,1,6778,
0.374622,,Surface,1,6781,
0.302711,,Surface,1,6782,
0.261862,,Surface,1,6783,
0.256065,,Surface,1,6784,
0.409484,,Surface,1,6785,
0.264811,,Surface,1,6786,
0.618847,,Surface,1,6787,
0.267222,,Surface,1,6788,
0.204101,,Surface,1,6789,
0.316355,,Surface,1,6790,
0.284329,,Surface,1,6791,
0.329182,,Surface,1,6792,
0.290088,,Surface,1,6793,
0.441237,,Surface,1,6794,
0.33195,,Surface,1,6795,
0.291996,,Surface,1,6796,
0.303243,,Surface,1,6797,
0.235165,,Surface,1,6798,
0.258041,,Surface,1,6799,
0.256175,,Surface,1,6800,
0.268729,,Surface,1,6801,
0.316959,,Surface,1,6802,
0.268025,,Surface,1,6803,
0.361944,,Surface,1,6804,
0.255017,,Surface,1,6805,
0.274142,,Surface,1,6806,
0.304938,,Surface,1,6807,
0.317061,,Surface,1,6808,
0.306142,,Surface,1,6810,
0.278259,,Surface,1,6811,
0.406779,,Surface,1,6812,
0.319401,,Surface,1,6813,
0.321415,,Surface,1,6814,
0.181387,,Surface,1,6815,
0.327514,,Surface,1,6816,
0.329498,,Surface,1,6817,
0.531309,,Surface,1,6819,
0.385833,,Surface,1,6820,
0.254657,,Surface,1,6821,
0.263272,,Surface,1,6822,
0.261062,,Surface,1,6823,
0.323847,,Surface,1,6824,
0.30521,,Surface,1,6825,
0.261934,,Surface,1,6826,
0.259949,,Surface,1,6827,
0.231044,,Surface,1,6828,
0.263037,,Surface,1,6829,
0.278306,,Surface,1,6830,
0.275965,,Surface,1,6831,
0.233839,,Surface,1,6832,
0.217944,,Surface,1,6833,
0.324834,,Surface,1,6834,
0.307016,,Surface,1,6836,
0.30953,,Surface,1,6837,
0.301576,,Surface,1,6838,
0.247254,,Surface,1,6840,
0.235564,,Surface,1,6841,
