
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.743979,,Surface,1,6721,
0.672735,,Surface,1,6722,
0.398207,,Surface,1,6723,
0.69924,,Surface,1,6724,
0.686842,,Surface,1,6725,
0.620876,,Surface,1,6726,
0.780365,,Surface,1,6728,
0.443871,,Surface,1,6729,
0.574506,,Surface,1,6730,
0.672045,,Surface,1,6731,
0.80961,,Surface,1,6732,
0.709736,,Surface,1,6733,
0.390471,,Surface,1,6734,
0.686014,,Surface,1,6735,
0.608637,,Surface,1,6736,
0.507366,,Surface,1,6737,
0.636895,,Surface,1,6738,
0.257301,,Surface,1,6739,
0.589763,,Surface,1,6740,
0.571131,,Surface,1,6741,
0.553147,,Surface,1,6742,
0.361951,,Surface,1,6743,
0.687511,,Surface,1,6744,
0.532696,,Surface,1,6745,
0.497718,,Surface,1,6746,
0.469238,,Surface,1,6747,
0.569406,,Surface,1,6748,
0.637459,,Surface,1,6749,
0.712538,,Surface,1,6750,
0.403588,,Surface,1,6751,
0.704612,,Surface,1,6752,
0.373423,,Surface,1,6753,
0.752565,,Surface,1,6754,
0.302528,,Surface,1,6755,
0.729095,,Surface,1,6756,
0.483212,,Surface,1,6757,
0.58081,,Surface,1,6758,
0.561355,,Surface,1,6760,
0.60007,,Surface,1,6761,
0.735601,,Surface,1,6762,
0.568197,,Surface,1,6763,
0.604063,,Surface,1,6764,
0.531699,,Surface,1,6765,
0.705969,,Surface,1,6766,
0.246316,,Surface,1,6767,
0.458249,,Surface,1,6768,
0.500233,,Surface,1,6770,
0.522067,,Surface,1,6771,
0.843146,,Surface,1,6772,
0.630439,,Surface,1,6773,
0.634348,,Surface,1,6774,
0.635984,,Surface,1,6775,
0.739486,,Surface,1,6776,
0.575918,,Surface,1,6777,
0.536336,,Surface,1,6778,
0.447329,,Surface,1,6781,
0.629618,,Surface,1,6782,
0.706645,,Surface,1,6783,
0.699139,,Surface,1,6784,
0.464096,,Surface,1,6785,
0.686426,,Surface,1,6786,
0.228739,,Surface,1,6787,
0.69747,,Surface,1,6788,
0.641692,,Surface,1,6789,
0.601653,,Surface,1,6790,
0.662041,,Surface,1,6791,
0.575268,,Surface,1,6792,
0.654481,,Surface,1,6793,
0.417062,,Surface,1,6794,
0.525918,,Surface,1,6795,
0.595946,,Surface,1,6796,
0.482578,,Surface,1,6797,
0.761917,,Surface,1,6798,
0.716039,,Surface,1,6799,
0.717069,,Surface,1,6800,
0.693251,,Surface,1,6801,
0.598998,,Surface,1,6802,
0.654429,,Surface,1,6803,
0.52302,,Surface,1,6804,
0.710529,,Surface,1,6805,
0.572229,,Surface,1,6806,
0.626117,,Surface,1,6807,
0.605536,,Surface,1,6808,
0.573806,,Surface,1,6810,
0.622111,,Surface,1,6811,
0.365341,,Surface,1,6812,
0.557201,,Surface,1,6813,
0.502266,,Surface,1,6814,
0.820854,,Surface,1,6815,
0.572628,,Surface,1,6816,
0.577111,,Surface,1,6817,
0.232175,,Surface,1,6819,
0.488404,,Surface,1,6820,
0.714296,,Surface,1,6821,
0.672264,,Surface,1,6822,
0.691991,,Surface,1,6823,
0.593832,,Surface,1,6824,
0.618116,,Surface,1,6825,
0.632031,,Surface,1,6826,
0.707419,,Surface,1,6827,
0.393859,,Surface,1,6828,
0.65432,,Surface,1,6829,
0.661521,,Surface,1,6830,
0.681999,,Surface,1,6831,
0.769406,,Surface,1,6832,
0.404596,,Surface,1,6833,
0.589715,,Surface,1,6834,
0.61357,,Surface,1,6836,
0.61457,,Surface,1,6837,
0.592681,,Surface,1,6838,
0.731387,,Surface,1,6840,
0.502585,,Surface,1,6841,
0.563749,,Surface,1,6842,
0.616812,,Surface,1,6843,
0.484129,,Surface,1,6844,
0.576305,,Surface,1,6845,
0.511039,,Surface,1,6846,
0.424648,,Surface,1,6847,
0.71401,,Surface,1,6849,
0.550614,,Surface,1,6850,
0.488694,,Surface,1,6851,
0.724052,,Surface,1,6852,
0.492697,,Surface,1,6853,
0.67821,,Surface,1,6855,
0.510267,,Surface,1,6856,
0.701884,,Surface,1,6857,
0.2311,,Surface,1,6858,
0.630869,,Surface,1,6859,
0.472736,,Surface,1,6860,
0.528938,,Surface,1,6861,
0.431261,,Surface,1,6862,
0.72462,,Surface,1,6863,
