
Intensity Ch=28 Img=1
 ==================== 
Distance to Surface,Intensity Mean,Image Intensity Mean,Intensity Mean minus Std,Intensity Mean plus Std,Unit,Channel,Collection,Image,Time,ID,
-2.2865,488.46,826.987,-564.641,2218.61,,28,Intensity,Image 1,1,,
-2.0175,488.46,903.321,-539.662,2346.3,,28,Intensity,Image 1,1,,
-1.7485,488.46,1005.91,-503.034,2514.85,,28,Intensity,Image 1,1,,
-1.4795,488.46,1092.91,-484.504,2670.33,,28,Intensity,Image 1,1,,
-1.2105,488.46,1146.84,-501.29,2794.97,,28,Intensity,Image 1,1,,
-0.9415,488.46,1167.2,-542.415,2876.81,,28,Intensity,Image 1,1,,
-0.6725,488.46,1138.91,-600.442,2878.26,,28,Intensity,Image 1,1,,
-0.4035,488.46,1064.72,-669.139,2798.59,,28,Intensity,Image 1,1,,
-0.1345,488.46,974.159,-733.454,2681.77,,28,Intensity,Image 1,1,,
0.1345,488.46,879.207,-785.274,2543.69,,28,Intensity,Image 1,1,,
0.4035,488.46,800.009,-833.603,2433.62,,28,Intensity,Image 1,1,,
0.6725,488.46,737.068,-883.011,2357.15,,28,Intensity,Image 1,1,,
0.9415,488.46,685.635,-933.456,2304.73,,28,Intensity,Image 1,1,,
1.2105,488.46,643.689,-986.977,2274.36,,28,Intensity,Image 1,1,,
1.4795,488.46,609.38,-1041.44,2260.2,,28,Intensity,Image 1,1,,
1.7485,488.46,580.66,-1095.33,2256.65,,28,Intensity,Image 1,1,,
2.0175,488.46,555.868,-1151.37,2263.11,,28,Intensity,Image 1,1,,
2.2865,488.46,533.431,-1208.94,2275.8,,28,Intensity,Image 1,1,,
2.5555,488.46,513.278,-1268.34,2294.9,,28,Intensity,Image 1,1,,
2.8245,488.46,495.795,-1331.98,2323.57,,28,Intensity,Image 1,1,,
3.0935,488.46,480.747,-1397.71,2359.21,,28,Intensity,Image 1,1,,
3.3625,488.46,467.239,-1464.19,2398.67,,28,Intensity,Image 1,1,,
3.6315,488.46,454.961,-1530.1,2440.02,,28,Intensity,Image 1,1,,
3.9005,488.46,444.256,-1593.93,2482.45,,28,Intensity,Image 1,1,,
4.1695,488.46,435.262,-1656.78,2527.31,,28,Intensity,Image 1,1,,
4.4385,488.46,427.884,-1720.59,2576.36,,28,Intensity,Image 1,1,,
4.7075,488.46,421.874,-1783.81,2627.56,,28,Intensity,Image 1,1,,
4.9765,488.46,417.285,-1846.34,2680.92,,28,Intensity,Image 1,1,,
5.2455,488.46,414.402,-1911.7,2740.51,,28,Intensity,Image 1,1,,
5.5145,488.46,413.144,-1979.12,2805.41,,28,Intensity,Image 1,1,,
5.7835,488.46,413.591,-2048.87,2876.05,,28,Intensity,Image 1,1,,
6.0525,488.46,415.515,-2120.23,2951.26,,28,Intensity,Image 1,1,,
6.3215,488.46,418.474,-2192.18,3029.13,,28,Intensity,Image 1,1,,
