
Intensity Max Ch=33 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
8142,,Surface,33,Image 1,1,6721,
9311,,Surface,33,Image 1,1,6722,
11094,,Surface,33,Image 1,1,6723,
10875,,Surface,33,Image 1,1,6724,
7704,,Surface,33,Image 1,1,6725,
9105,,Surface,33,Image 1,1,6726,
6198,,Surface,33,Image 1,1,6728,
7728,,Surface,33,Image 1,1,6729,
7805,,Surface,33,Image 1,1,6730,
8497,,Surface,33,Image 1,1,6731,
8144,,Surface,33,Image 1,1,6732,
3153,,Surface,33,Image 1,1,6733,
10368,,Surface,33,Image 1,1,6734,
6131,,Surface,33,Image 1,1,6735,
10072,,Surface,33,Image 1,1,6736,
6157,,Surface,33,Image 1,1,6737,
10363,,Surface,33,Image 1,1,6738,
12589,,Surface,33,Image 1,1,6739,
4771,,Surface,33,Image 1,1,6740,
10164,,Surface,33,Image 1,1,6741,
7774,,Surface,33,Image 1,1,6742,
6614,,Surface,33,Image 1,1,6743,
9665,,Surface,33,Image 1,1,6744,
5251,,Surface,33,Image 1,1,6745,
6424,,Surface,33,Image 1,1,6746,
2540,,Surface,33,Image 1,1,6747,
7505,,Surface,33,Image 1,1,6748,
5139,,Surface,33,Image 1,1,6749,
6233,,Surface,33,Image 1,1,6750,
15465,,Surface,33,Image 1,1,6751,
7032,,Surface,33,Image 1,1,6752,
10086,,Surface,33,Image 1,1,6753,
4353,,Surface,33,Image 1,1,6754,
4127,,Surface,33,Image 1,1,6755,
10825,,Surface,33,Image 1,1,6756,
8908,,Surface,33,Image 1,1,6757,
13778,,Surface,33,Image 1,1,6758,
7124,,Surface,33,Image 1,1,6760,
6161,,Surface,33,Image 1,1,6761,
11973,,Surface,33,Image 1,1,6762,
6066,,Surface,33,Image 1,1,6763,
9573,,Surface,33,Image 1,1,6764,
8530,,Surface,33,Image 1,1,6765,
5979,,Surface,33,Image 1,1,6766,
8767,,Surface,33,Image 1,1,6767,
3633,,Surface,33,Image 1,1,6768,
8104,,Surface,33,Image 1,1,6770,
6922,,Surface,33,Image 1,1,6771,
6357,,Surface,33,Image 1,1,6772,
7764,,Surface,33,Image 1,1,6773,
5151,,Surface,33,Image 1,1,6774,
9610,,Surface,33,Image 1,1,6775,
5254,,Surface,33,Image 1,1,6776,
3782,,Surface,33,Image 1,1,6777,
11647,,Surface,33,Image 1,1,6778,
559,,Surface,33,Image 1,1,6781,
3290,,Surface,33,Image 1,1,6782,
9291,,Surface,33,Image 1,1,6783,
3809,,Surface,33,Image 1,1,6784,
0,,Surface,33,Image 1,1,6785,
9676,,Surface,33,Image 1,1,6786,
911,,Surface,33,Image 1,1,6787,
15527,,Surface,33,Image 1,1,6788,
4552,,Surface,33,Image 1,1,6789,
11408,,Surface,33,Image 1,1,6790,
8628,,Surface,33,Image 1,1,6791,
7579,,Surface,33,Image 1,1,6792,
6073,,Surface,33,Image 1,1,6793,
9505,,Surface,33,Image 1,1,6794,
8484,,Surface,33,Image 1,1,6795,
4520,,Surface,33,Image 1,1,6796,
6041,,Surface,33,Image 1,1,6797,
1933,,Surface,33,Image 1,1,6798,
5506,,Surface,33,Image 1,1,6799,
8777,,Surface,33,Image 1,1,6800,
7444,,Surface,33,Image 1,1,6801,
628,,Surface,33,Image 1,1,6802,
7277,,Surface,33,Image 1,1,6803,
5866,,Surface,33,Image 1,1,6804,
10851,,Surface,33,Image 1,1,6805,
7162,,Surface,33,Image 1,1,6806,
8730,,Surface,33,Image 1,1,6807,
5526,,Surface,33,Image 1,1,6808,
9432,,Surface,33,Image 1,1,6810,
6379,,Surface,33,Image 1,1,6811,
7925,,Surface,33,Image 1,1,6812,
11611,,Surface,33,Image 1,1,6813,
1876,,Surface,33,Image 1,1,6814,
8939,,Surface,33,Image 1,1,6815,
2247,,Surface,33,Image 1,1,6816,
8076,,Surface,33,Image 1,1,6817,
2230,,Surface,33,Image 1,1,6819,
5467,,Surface,33,Image 1,1,6820,
9960,,Surface,33,Image 1,1,6821,
1928,,Surface,33,Image 1,1,6822,
6415,,Surface,33,Image 1,1,6823,
7309,,Surface,33,Image 1,1,6824,
5713,,Surface,33,Image 1,1,6825,
6056,,Surface,33,Image 1,1,6826,
8597,,Surface,33,Image 1,1,6827,
7894,,Surface,33,Image 1,1,6828,
894,,Surface,33,Image 1,1,6829,
4660,,Surface,33,Image 1,1,6830,
11711,,Surface,33,Image 1,1,6831,
9027,,Surface,33,Image 1,1,6832,
2732,,Surface,33,Image 1,1,6833,
8810,,Surface,33,Image 1,1,6834,
6878,,Surface,33,Image 1,1,6836,
8001,,Surface,33,Image 1,1,6837,
9826,,Surface,33,Image 1,1,6838,
8151,,Surface,33,Image 1,1,6840,
1515,,Surface,33,Image 1,1,6841,
9259,,Surface,33,Image 1,1,6842,
9342,,Surface,33,Image 1,1,6843,
10664,,Surface,33,Image 1,1,6844,
8130,,Surface,33,Image 1,1,6845,
6159,,Surface,33,Image 1,1,6846,
2339,,Surface,33,Image 1,1,6847,
6762,,Surface,33,Image 1,1,6849,
7986,,Surface,33,Image 1,1,6850,
3573,,Surface,33,Image 1,1,6851,
7416,,Surface,33,Image 1,1,6852,
