
Intensity Mean Ch=11 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
548.747,,Surface,11,Image 1,1,6721,
523.518,,Surface,11,Image 1,1,6722,
418.54,,Surface,11,Image 1,1,6723,
564.225,,Surface,11,Image 1,1,6724,
307.968,,Surface,11,Image 1,1,6725,
309.443,,Surface,11,Image 1,1,6726,
96.223,,Surface,11,Image 1,1,6728,
28.457,,Surface,11,Image 1,1,6729,
26.1056,,Surface,11,Image 1,1,6730,
679.762,,Surface,11,Image 1,1,6731,
1005.37,,Surface,11,Image 1,1,6732,
155.003,,Surface,11,Image 1,1,6733,
682.948,,Surface,11,Image 1,1,6734,
129.685,,Surface,11,Image 1,1,6735,
225.148,,Surface,11,Image 1,1,6736,
819.53,,Surface,11,Image 1,1,6737,
310.343,,Surface,11,Image 1,1,6738,
149.135,,Surface,11,Image 1,1,6739,
511.342,,Surface,11,Image 1,1,6740,
451.02,,Surface,11,Image 1,1,6741,
628.136,,Surface,11,Image 1,1,6742,
176.182,,Surface,11,Image 1,1,6743,
988.53,,Surface,11,Image 1,1,6744,
793.522,,Surface,11,Image 1,1,6745,
405.04,,Surface,11,Image 1,1,6746,
96.6193,,Surface,11,Image 1,1,6747,
127.319,,Surface,11,Image 1,1,6748,
604.944,,Surface,11,Image 1,1,6749,
609.847,,Surface,11,Image 1,1,6750,
195.134,,Surface,11,Image 1,1,6751,
35.2973,,Surface,11,Image 1,1,6752,
524.217,,Surface,11,Image 1,1,6753,
19.1897,,Surface,11,Image 1,1,6754,
136.312,,Surface,11,Image 1,1,6755,
419.707,,Surface,11,Image 1,1,6756,
263.458,,Surface,11,Image 1,1,6757,
207.167,,Surface,11,Image 1,1,6758,
212.846,,Surface,11,Image 1,1,6760,
26.3435,,Surface,11,Image 1,1,6761,
86.9038,,Surface,11,Image 1,1,6762,
290.713,,Surface,11,Image 1,1,6763,
137.274,,Surface,11,Image 1,1,6764,
352.616,,Surface,11,Image 1,1,6765,
20.1786,,Surface,11,Image 1,1,6766,
378.958,,Surface,11,Image 1,1,6767,
68.0815,,Surface,11,Image 1,1,6768,
95.9389,,Surface,11,Image 1,1,6770,
61.2565,,Surface,11,Image 1,1,6771,
433.209,,Surface,11,Image 1,1,6772,
322.827,,Surface,11,Image 1,1,6773,
5.28448,,Surface,11,Image 1,1,6774,
24.3222,,Surface,11,Image 1,1,6775,
79.9227,,Surface,11,Image 1,1,6776,
136.213,,Surface,11,Image 1,1,6777,
121.35,,Surface,11,Image 1,1,6778,
200.238,,Surface,11,Image 1,1,6781,
145.454,,Surface,11,Image 1,1,6782,
1862.24,,Surface,11,Image 1,1,6783,
24.4781,,Surface,11,Image 1,1,6784,
2.65625,,Surface,11,Image 1,1,6785,
581.647,,Surface,11,Image 1,1,6786,
228.13,,Surface,11,Image 1,1,6787,
1337.42,,Surface,11,Image 1,1,6788,
1.87613,,Surface,11,Image 1,1,6789,
344.043,,Surface,11,Image 1,1,6790,
487.972,,Surface,11,Image 1,1,6791,
416.681,,Surface,11,Image 1,1,6792,
571.031,,Surface,11,Image 1,1,6793,
233.194,,Surface,11,Image 1,1,6794,
434.408,,Surface,11,Image 1,1,6795,
729.594,,Surface,11,Image 1,1,6796,
182.364,,Surface,11,Image 1,1,6797,
250.24,,Surface,11,Image 1,1,6798,
16.231,,Surface,11,Image 1,1,6799,
401.537,,Surface,11,Image 1,1,6800,
57.8159,,Surface,11,Image 1,1,6801,
59.1771,,Surface,11,Image 1,1,6802,
143.152,,Surface,11,Image 1,1,6803,
329.772,,Surface,11,Image 1,1,6804,
334.171,,Surface,11,Image 1,1,6805,
530.539,,Surface,11,Image 1,1,6806,
425.503,,Surface,11,Image 1,1,6807,
146.99,,Surface,11,Image 1,1,6808,
135.478,,Surface,11,Image 1,1,6810,
175.013,,Surface,11,Image 1,1,6811,
281.856,,Surface,11,Image 1,1,6812,
