
Intensity Median Ch=9 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
2616,,Surface,9,Image 1,1,6721,
4180,,Surface,9,Image 1,1,6722,
6364,,Surface,9,Image 1,1,6723,
7764,,Surface,9,Image 1,1,6724,
1728,,Surface,9,Image 1,1,6725,
3120,,Surface,9,Image 1,1,6726,
3366,,Surface,9,Image 1,1,6728,
4892,,Surface,9,Image 1,1,6729,
1708,,Surface,9,Image 1,1,6730,
2928,,Surface,9,Image 1,1,6731,
5636,,Surface,9,Image 1,1,6732,
1276,,Surface,9,Image 1,1,6733,
7556,,Surface,9,Image 1,1,6734,
1340,,Surface,9,Image 1,1,6735,
1324,,Surface,9,Image 1,1,6736,
2512,,Surface,9,Image 1,1,6737,
1816,,Surface,9,Image 1,1,6738,
5264,,Surface,9,Image 1,1,6739,
1930,,Surface,9,Image 1,1,6740,
1516,,Surface,9,Image 1,1,6741,
1712,,Surface,9,Image 1,1,6742,
3942,,Surface,9,Image 1,1,6743,
5644,,Surface,9,Image 1,1,6744,
1798,,Surface,9,Image 1,1,6745,
1080,,Surface,9,Image 1,1,6746,
813,,Surface,9,Image 1,1,6747,
864,,Surface,9,Image 1,1,6748,
2908,,Surface,9,Image 1,1,6749,
3960,,Surface,9,Image 1,1,6750,
3712,,Surface,9,Image 1,1,6751,
6268,,Surface,9,Image 1,1,6752,
2884,,Surface,9,Image 1,1,6753,
342,,Surface,9,Image 1,1,6754,
2234,,Surface,9,Image 1,1,6755,
4696,,Surface,9,Image 1,1,6756,
5242,,Surface,9,Image 1,1,6757,
13488,,Surface,9,Image 1,1,6758,
1596,,Surface,9,Image 1,1,6760,
1828,,Surface,9,Image 1,1,6761,
7280,,Surface,9,Image 1,1,6762,
3468,,Surface,9,Image 1,1,6763,
6028,,Surface,9,Image 1,1,6764,
3428,,Surface,9,Image 1,1,6765,
2012,,Surface,9,Image 1,1,6766,
2172,,Surface,9,Image 1,1,6767,
744,,Surface,9,Image 1,1,6768,
4656,,Surface,9,Image 1,1,6770,
5120,,Surface,9,Image 1,1,6771,
2218,,Surface,9,Image 1,1,6772,
2268,,Surface,9,Image 1,1,6773,
1970,,Surface,9,Image 1,1,6774,
2756,,Surface,9,Image 1,1,6775,
984,,Surface,9,Image 1,1,6776,
1687,,Surface,9,Image 1,1,6777,
1844,,Surface,9,Image 1,1,6778,
3328,,Surface,9,Image 1,1,6781,
4968,,Surface,9,Image 1,1,6782,
5544,,Surface,9,Image 1,1,6783,
1112,,Surface,9,Image 1,1,6784,
579,,Surface,9,Image 1,1,6785,
4456,,Surface,9,Image 1,1,6786,
1960,,Surface,9,Image 1,1,6787,
7032,,Surface,9,Image 1,1,6788,
1,,Surface,9,Image 1,1,6789,
1180,,Surface,9,Image 1,1,6790,
388,,Surface,9,Image 1,1,6791,
4448,,Surface,9,Image 1,1,6792,
4460,,Surface,9,Image 1,1,6793,
3076,,Surface,9,Image 1,1,6794,
850,,Surface,9,Image 1,1,6795,
4364,,Surface,9,Image 1,1,6796,
592,,Surface,9,Image 1,1,6797,
3684,,Surface,9,Image 1,1,6798,
902,,Surface,9,Image 1,1,6799,
4300,,Surface,9,Image 1,1,6800,
1668,,Surface,9,Image 1,1,6801,
612,,Surface,9,Image 1,1,6802,
2872,,Surface,9,Image 1,1,6803,
4716,,Surface,9,Image 1,1,6804,
7924,,Surface,9,Image 1,1,6805,
3292,,Surface,9,Image 1,1,6806,
3004,,Surface,9,Image 1,1,6807,
0.5,,Surface,9,Image 1,1,6808,
796,,Surface,9,Image 1,1,6810,
1990,,Surface,9,Image 1,1,6811,
332,,Surface,9,Image 1,1,6812,
3900,,Surface,9,Image 1,1,6813,
1,,Surface,9,Image 1,1,6814,
2068,,Surface,9,Image 1,1,6815,
414,,Surface,9,Image 1,1,6816,
2584,,Surface,9,Image 1,1,6817,
750,,Surface,9,Image 1,1,6819,
5192,,Surface,9,Image 1,1,6820,
3976,,Surface,9,Image 1,1,6821,
1606,,Surface,9,Image 1,1,6822,
2074,,Surface,9,Image 1,1,6823,
1854,,Surface,9,Image 1,1,6824,
3400,,Surface,9,Image 1,1,6825,
244,,Surface,9,Image 1,1,6826,
7392,,Surface,9,Image 1,1,6827,
2804,,Surface,9,Image 1,1,6828,
4100,,Surface,9,Image 1,1,6829,
1612,,Surface,9,Image 1,1,6830,
3852,,Surface,9,Image 1,1,6831,
1628,,Surface,9,Image 1,1,6832,
1118,,Surface,9,Image 1,1,6833,
4092,,Surface,9,Image 1,1,6834,
5288,,Surface,9,Image 1,1,6836,
4344,,Surface,9,Image 1,1,6837,
4280,,Surface,9,Image 1,1,6838,
4636,,Surface,9,Image 1,1,6840,
462,,Surface,9,Image 1,1,6841,
4548,,Surface,9,Image 1,1,6842,
6896,,Surface,9,Image 1,1,6843,
4740,,Surface,9,Image 1,1,6844,
1676,,Surface,9,Image 1,1,6845,
690,,Surface,9,Image 1,1,6846,
907,,Surface,9,Image 1,1,6847,
1988,,Surface,9,Image 1,1,6849,
1148,,Surface,9,Image 1,1,6850,
1644,,Surface,9,Image 1,1,6851,
3180,,Surface,9,Image 1,1,6852,
1256,,Surface,9,Image 1,1,6853,
4732,,Surface,9,Image 1,1,6855,
6280,,Surface,9,Image 1,1,6856,
2472,,Surface,9,Image 1,1,6857,
1010,,Surface,9,Image 1,1,6858,
5752,,Surface,9,Image 1,1,6859,
105,,Surface,9,Image 1,1,6860,
4124,,Surface,9,Image 1,1,6861,
4422,,Surface,9,Image 1,1,6862,
2556,,Surface,9,Image 1,1,6863,
2276,,Surface,9,Image 1,1,6864,
1128,,Surface,9,Image 1,1,6866,
0.5,,Surface,9,Image 1,1,6867,
1244,,Surface,9,Image 1,1,6868,
692,,Surface,9,Image 1,1,6869,
2368,,Surface,9,Image 1,1,6870,
1970,,Surface,9,Image 1,1,6871,
1778,,Surface,9,Image 1,1,6872,
1036,,Surface,9,Image 1,1,6873,
488,,Surface,9,Image 1,1,6874,
606,,Surface,9,Image 1,1,6875,
2028,,Surface,9,Image 1,1,6877,
1610,,Surface,9,Image 1,1,6878,
870,,Surface,9,Image 1,1,6879,
1180,,Surface,9,Image 1,1,6880,
5328,,Surface,9,Image 1,1,6881,
5220,,Surface,9,Image 1,1,6882,
2988,,Surface,9,Image 1,1,6884,
6828,,Surface,9,Image 1,1,6885,
3232,,Surface,9,Image 1,1,6886,
3084,,Surface,9,Image 1,1,6887,
6416,,Surface,9,Image 1,1,6888,
153,,Surface,9,Image 1,1,6889,
670,,Surface,9,Image 1,1,6890,
299,,Surface,9,Image 1,1,6891,
9784,,Surface,9,Image 1,1,6892,
3848,,Surface,9,Image 1,1,6894,
5152,,Surface,9,Image 1,1,6895,
1,,Surface,9,Image 1,1,6896,
3852,,Surface,9,Image 1,1,6897,
85,,Surface,9,Image 1,1,6898,
2728,,Surface,9,Image 1,1,6899,
6916,,Surface,9,Image 1,1,6900,
6416,,Surface,9,Image 1,1,6901,
2727,,Surface,9,Image 1,1,6902,
2950,,Surface,9,Image 1,1,6904,
2904,,Surface,9,Image 1,1,6905,
