
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
109,,Surface,2,Image 1,1,6721,
138,,Surface,2,Image 1,1,6722,
104,,Surface,2,Image 1,1,6723,
0,,Surface,2,Image 1,1,6724,
141,,Surface,2,Image 1,1,6725,
137,,Surface,2,Image 1,1,6726,
121,,Surface,2,Image 1,1,6728,
178,,Surface,2,Image 1,1,6729,
117,,Surface,2,Image 1,1,6730,
161,,Surface,2,Image 1,1,6731,
220,,Surface,2,Image 1,1,6732,
139,,Surface,2,Image 1,1,6733,
165,,Surface,2,Image 1,1,6734,
126,,Surface,2,Image 1,1,6735,
42,,Surface,2,Image 1,1,6736,
97,,Surface,2,Image 1,1,6737,
107,,Surface,2,Image 1,1,6738,
151,,Surface,2,Image 1,1,6739,
118,,Surface,2,Image 1,1,6740,
0,,Surface,2,Image 1,1,6741,
81,,Surface,2,Image 1,1,6742,
201,,Surface,2,Image 1,1,6743,
120,,Surface,2,Image 1,1,6744,
123,,Surface,2,Image 1,1,6745,
98,,Surface,2,Image 1,1,6746,
96,,Surface,2,Image 1,1,6747,
72,,Surface,2,Image 1,1,6748,
143,,Surface,2,Image 1,1,6749,
151,,Surface,2,Image 1,1,6750,
195,,Surface,2,Image 1,1,6751,
164,,Surface,2,Image 1,1,6752,
50,,Surface,2,Image 1,1,6753,
77,,Surface,2,Image 1,1,6754,
499,,Surface,2,Image 1,1,6755,
0,,Surface,2,Image 1,1,6756,
233,,Surface,2,Image 1,1,6757,
234,,Surface,2,Image 1,1,6758,
128,,Surface,2,Image 1,1,6760,
128,,Surface,2,Image 1,1,6761,
134,,Surface,2,Image 1,1,6762,
133,,Surface,2,Image 1,1,6763,
305,,Surface,2,Image 1,1,6764,
53,,Surface,2,Image 1,1,6765,
175,,Surface,2,Image 1,1,6766,
133,,Surface,2,Image 1,1,6767,
114,,Surface,2,Image 1,1,6768,
191,,Surface,2,Image 1,1,6770,
171,,Surface,2,Image 1,1,6771,
150,,Surface,2,Image 1,1,6772,
118,,Surface,2,Image 1,1,6773,
135,,Surface,2,Image 1,1,6774,
114,,Surface,2,Image 1,1,6775,
130,,Surface,2,Image 1,1,6776,
124,,Surface,2,Image 1,1,6777,
68,,Surface,2,Image 1,1,6778,
130,,Surface,2,Image 1,1,6781,
139,,Surface,2,Image 1,1,6782,
0,,Surface,2,Image 1,1,6783,
112,,Surface,2,Image 1,1,6784,
188,,Surface,2,Image 1,1,6785,
35,,Surface,2,Image 1,1,6786,
290,,Surface,2,Image 1,1,6787,
11,,Surface,2,Image 1,1,6788,
87,,Surface,2,Image 1,1,6789,
27,,Surface,2,Image 1,1,6790,
0,,Surface,2,Image 1,1,6791,
167,,Surface,2,Image 1,1,6792,
83,,Surface,2,Image 1,1,6793,
96,,Surface,2,Image 1,1,6794,
91,,Surface,2,Image 1,1,6795,
117,,Surface,2,Image 1,1,6796,
60,,Surface,2,Image 1,1,6797,
146,,Surface,2,Image 1,1,6798,
78,,Surface,2,Image 1,1,6799,
174,,Surface,2,Image 1,1,6800,
136,,Surface,2,Image 1,1,6801,
136,,Surface,2,Image 1,1,6802,
159,,Surface,2,Image 1,1,6803,
169,,Surface,2,Image 1,1,6804,
73,,Surface,2,Image 1,1,6805,
83,,Surface,2,Image 1,1,6806,
47,,Surface,2,Image 1,1,6807,
118,,Surface,2,Image 1,1,6808,
33,,Surface,2,Image 1,1,6810,
194,,Surface,2,Image 1,1,6811,
37,,Surface,2,Image 1,1,6812,
0,,Surface,2,Image 1,1,6813,
0,,Surface,2,Image 1,1,6814,
65,,Surface,2,Image 1,1,6815,
132,,Surface,2,Image 1,1,6816,
188,,Surface,2,Image 1,1,6817,
252,,Surface,2,Image 1,1,6819,
231,,Surface,2,Image 1,1,6820,
144,,Surface,2,Image 1,1,6821,
0,,Surface,2,Image 1,1,6822,
136,,Surface,2,Image 1,1,6823,
96,,Surface,2,Image 1,1,6824,
165,,Surface,2,Image 1,1,6825,
0,,Surface,2,Image 1,1,6826,
157,,Surface,2,Image 1,1,6827,
44,,Surface,2,Image 1,1,6828,
44,,Surface,2,Image 1,1,6829,
114,,Surface,2,Image 1,1,6830,
128,,Surface,2,Image 1,1,6831,
40,,Surface,2,Image 1,1,6832,
234,,Surface,2,Image 1,1,6833,
285,,Surface,2,Image 1,1,6834,
