
Intensity Outside Ch=27 Img=1
 ==================== 
Distance to Surface,Image Intensity Mean Outside,Intensity Mean Outside,Intensity Mean minus Std Outside,Intensity Mean plus Std Outside,Unit,Channel,Collection,Image,Time,ID,
0.1345,407.524,891.475,-855.356,2638.31,,27,Intensity Outside,Image 1,1,,
0.4035,407.524,801.564,-903.741,2506.87,,27,Intensity Outside,Image 1,1,,
0.6725,407.524,730.786,-953.511,2415.08,,27,Intensity Outside,Image 1,1,,
0.9415,407.524,673.194,-1003.75,2350.13,,27,Intensity Outside,Image 1,1,,
1.2105,407.524,626.515,-1057.68,2310.71,,27,Intensity Outside,Image 1,1,,
1.4795,407.524,587.896,-1112.96,2288.76,,27,Intensity Outside,Image 1,1,,
1.7485,407.524,554.734,-1165.23,2274.7,,27,Intensity Outside,Image 1,1,,
2.0175,407.524,525.782,-1218.03,2269.6,,27,Intensity Outside,Image 1,1,,
2.2865,407.524,499.75,-1275.17,2274.67,,27,Intensity Outside,Image 1,1,,
2.5555,407.524,476.117,-1335.68,2287.92,,27,Intensity Outside,Image 1,1,,
2.8245,407.524,454.891,-1400.11,2309.89,,27,Intensity Outside,Image 1,1,,
3.0935,407.524,435.813,-1467.29,2338.91,,27,Intensity Outside,Image 1,1,,
3.3625,407.524,418.265,-1535.53,2372.06,,27,Intensity Outside,Image 1,1,,
3.6315,407.524,402.285,-1604.34,2408.91,,27,Intensity Outside,Image 1,1,,
3.9005,407.524,388.034,-1671.19,2447.26,,27,Intensity Outside,Image 1,1,,
4.1695,407.524,375.469,-1737.69,2488.62,,27,Intensity Outside,Image 1,1,,
4.4385,407.524,364.286,-1803.7,2532.27,,27,Intensity Outside,Image 1,1,,
4.7075,407.524,354.525,-1870.35,2579.4,,27,Intensity Outside,Image 1,1,,
4.9765,407.524,346.366,-1937.07,2629.8,,27,Intensity Outside,Image 1,1,,
5.2455,407.524,340.212,-2006.98,2687.4,,27,Intensity Outside,Image 1,1,,
5.5145,407.524,336.144,-2080.85,2753.14,,27,Intensity Outside,Image 1,1,,
5.7835,407.524,334.128,-2158,2826.25,,27,Intensity Outside,Image 1,1,,
6.0525,407.524,333.893,-2236.73,2904.52,,27,Intensity Outside,Image 1,1,,
6.3215,407.524,334.968,-2316.53,2986.47,,27,Intensity Outside,Image 1,1,,
6.5905,407.524,336.901,-2395.99,3069.8,,27,Intensity Outside,Image 1,1,,
6.8595,407.524,339.704,-2474.01,3153.42,,27,Intensity Outside,Image 1,1,,
7.1285,407.524,343.557,-2551.63,3238.74,,27,Intensity Outside,Image 1,1,,
7.3975,407.524,347.812,-2625.38,3321,,27,Intensity Outside,Image 1,1,,
7.6665,407.524,352.413,-2697.48,3402.3,,27,Intensity Outside,Image 1,1,,
7.9355,407.524,357.569,-2769.73,3484.87,,27,Intensity Outside,Image 1,1,,
8.2045,407.524,363.53,-2843.84,3570.9,,27,Intensity Outside,Image 1,1,,
8.4735,407.524,370.036,-2917.4,3657.48,,27,Intensity Outside,Image 1,1,,
8.7425,407.524,376.436,-2985.78,3738.66,,27,Intensity Outside,Image 1,1,,
9.0115,407.524,382.848,-3050.61,3816.31,,27,Intensity Outside,Image 1,1,,
9.2805,407.524,389.185,-3111.76,3890.13,,27,Intensity Outside,Image 1,1,,
9.5495,407.524,395.772,-3171.95,3963.49,,27,Intensity Outside,Image 1,1,,
9.8185,407.524,402.802,-3231.78,4037.38,,27,Intensity Outside,Image 1,1,,
10.0875,407.524,410.17,-3291.36,4111.7,,27,Intensity Outside,Image 1,1,,
10.3565,407.524,417.987,-3352.91,4188.89,,27,Intensity Outside,Image 1,1,,
10.6255,407.524,426.064,-3414.55,4266.67,,27,Intensity Outside,Image 1,1,,
10.8945,407.524,434.886,-3477.5,4347.27,,27,Intensity Outside,Image 1,1,,
11.1635,407.524,443.842,-3538.71,4426.39,,27,Intensity Outside,Image 1,1,,
11.4325,407.524,452.167,-3595.4,4499.73,,27,Intensity Outside,Image 1,1,,
11.7015,407.524,459.704,-3647.35,4566.76,,27,Intensity Outside,Image 1,1,,
11.9705,407.524,466.409,-3694.75,4627.57,,27,Intensity Outside,Image 1,1,,
12.2395,407.524,472.883,-3740.14,4685.91,,27,Intensity Outside,Image 1,1,,
12.5085,407.524,479.054,-3782.59,4740.69,,27,Intensity Outside,Image 1,1,,
12.7775,407.524,484.519,-3820.82,4789.86,,27,Intensity Outside,Image 1,1,,
13.0465,407.524,488.72,-3853.11,4830.54,,27,Intensity Outside,Image 1,1,,
13.3155,407.524,491.453,-3879.18,4862.09,,27,Intensity Outside,Image 1,1,,
13.5845,407.524,493.355,-3901.35,4888.06,,27,Intensity Outside,Image 1,1,,
13.8535,407.524,494.049,-3917.28,4905.37,,27,Intensity Outside,Image 1,1,,
14.1225,407.524,493.13,-3925.59,4911.85,,27,Intensity Outside,Image 1,1,,
14.3915,407.524,490.869,-3927.4,4909.14,,27,Intensity Outside,Image 1,1,,
14.6605,407.524,487.376,-3923.93,4898.68,,27,Intensity Outside,Image 1,1,,
14.9295,407.524,483.247,-3918.72,4885.21,,27,Intensity Outside,Image 1,1,,
15.1985,407.524,478.345,-3909.91,4866.6,,27,Intensity Outside,Image 1,1,,
15.4675,407.524,472.44,-3895.54,4840.42,,27,Intensity Outside,Image 1,1,,
