
Intensity StdDev Ch=40 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
754.894,,Surface,40,Image 1,1,6721,
408.024,,Surface,40,Image 1,1,6722,
491.368,,Surface,40,Image 1,1,6723,
938.196,,Surface,40,Image 1,1,6724,
474.612,,Surface,40,Image 1,1,6725,
378.165,,Surface,40,Image 1,1,6726,
431.117,,Surface,40,Image 1,1,6728,
479.947,,Surface,40,Image 1,1,6729,
816.251,,Surface,40,Image 1,1,6730,
639.272,,Surface,40,Image 1,1,6731,
318.396,,Surface,40,Image 1,1,6732,
608.016,,Surface,40,Image 1,1,6733,
374.094,,Surface,40,Image 1,1,6734,
623.604,,Surface,40,Image 1,1,6735,
1156.4,,Surface,40,Image 1,1,6736,
776.089,,Surface,40,Image 1,1,6737,
603.851,,Surface,40,Image 1,1,6738,
315.901,,Surface,40,Image 1,1,6739,
689.377,,Surface,40,Image 1,1,6740,
1000.94,,Surface,40,Image 1,1,6741,
539.08,,Surface,40,Image 1,1,6742,
683.696,,Surface,40,Image 1,1,6743,
536.221,,Surface,40,Image 1,1,6744,
677.772,,Surface,40,Image 1,1,6745,
278.932,,Surface,40,Image 1,1,6746,
258.918,,Surface,40,Image 1,1,6747,
179.854,,Surface,40,Image 1,1,6748,
574.903,,Surface,40,Image 1,1,6749,
817.718,,Surface,40,Image 1,1,6750,
285.393,,Surface,40,Image 1,1,6751,
328.944,,Surface,40,Image 1,1,6752,
412.231,,Surface,40,Image 1,1,6753,
803.687,,Surface,40,Image 1,1,6754,
61.0148,,Surface,40,Image 1,1,6755,
915.18,,Surface,40,Image 1,1,6756,
592.741,,Surface,40,Image 1,1,6757,
126.713,,Surface,40,Image 1,1,6758,
427.937,,Surface,40,Image 1,1,6760,
412.287,,Surface,40,Image 1,1,6761,
364.018,,Surface,40,Image 1,1,6762,
559.177,,Surface,40,Image 1,1,6763,
216.725,,Surface,40,Image 1,1,6764,
699.925,,Surface,40,Image 1,1,6765,
459.105,,Surface,40,Image 1,1,6766,
638.538,,Surface,40,Image 1,1,6767,
398.846,,Surface,40,Image 1,1,6768,
334.735,,Surface,40,Image 1,1,6770,
238.02,,Surface,40,Image 1,1,6771,
388.789,,Surface,40,Image 1,1,6772,
1156.99,,Surface,40,Image 1,1,6773,
634.333,,Surface,40,Image 1,1,6774,
809.526,,Surface,40,Image 1,1,6775,
282.41,,Surface,40,Image 1,1,6776,
235.15,,Surface,40,Image 1,1,6777,
352.99,,Surface,40,Image 1,1,6778,
436.894,,Surface,40,Image 1,1,6781,
265.07,,Surface,40,Image 1,1,6782,
711.892,,Surface,40,Image 1,1,6783,
730.079,,Surface,40,Image 1,1,6784,
51.5642,,Surface,40,Image 1,1,6785,
574.771,,Surface,40,Image 1,1,6786,
431.409,,Surface,40,Image 1,1,6787,
1068.26,,Surface,40,Image 1,1,6788,
111.963,,Surface,40,Image 1,1,6789,
1050.02,,Surface,40,Image 1,1,6790,
884.422,,Surface,40,Image 1,1,6791,
349.087,,Surface,40,Image 1,1,6792,
415.313,,Surface,40,Image 1,1,6793,
790.278,,Surface,40,Image 1,1,6794,
338.676,,Surface,40,Image 1,1,6795,
127.934,,Surface,40,Image 1,1,6796,
674.494,,Surface,40,Image 1,1,6797,
384.943,,Surface,40,Image 1,1,6798,
532.323,,Surface,40,Image 1,1,6799,
657.48,,Surface,40,Image 1,1,6800,
117.143,,Surface,40,Image 1,1,6801,
468.707,,Surface,40,Image 1,1,6802,
424.851,,Surface,40,Image 1,1,6803,
419.554,,Surface,40,Image 1,1,6804,
541.596,,Surface,40,Image 1,1,6805,
421.923,,Surface,40,Image 1,1,6806,
773.992,,Surface,40,Image 1,1,6807,
272.364,,Surface,40,Image 1,1,6808,
520.24,,Surface,40,Image 1,1,6810,
278.068,,Surface,40,Image 1,1,6811,
87.9271,,Surface,40,Image 1,1,6812,
502.507,,Surface,40,Image 1,1,6813,
241.934,,Surface,40,Image 1,1,6814,
492.37,,Surface,40,Image 1,1,6815,
46.1104,,Surface,40,Image 1,1,6816,
317.837,,Surface,40,Image 1,1,6817,
538.531,,Surface,40,Image 1,1,6819,
426.818,,Surface,40,Image 1,1,6820,
502.48,,Surface,40,Image 1,1,6821,
620.341,,Surface,40,Image 1,1,6822,
630.206,,Surface,40,Image 1,1,6823,
565.97,,Surface,40,Image 1,1,6824,
352.576,,Surface,40,Image 1,1,6825,
674.894,,Surface,40,Image 1,1,6826,
584.205,,Surface,40,Image 1,1,6827,
594.206,,Surface,40,Image 1,1,6828,
1159.65,,Surface,40,Image 1,1,6829,
391.439,,Surface,40,Image 1,1,6830,
635.028,,Surface,40,Image 1,1,6831,
606.477,,Surface,40,Image 1,1,6832,
135.608,,Surface,40,Image 1,1,6833,
423.518,,Surface,40,Image 1,1,6834,
305.307,,Surface,40,Image 1,1,6836,
564.078,,Surface,40,Image 1,1,6837,
810.96,,Surface,40,Image 1,1,6838,
334.816,,Surface,40,Image 1,1,6840,
130.398,,Surface,40,Image 1,1,6841,
1168.88,,Surface,40,Image 1,1,6842,
529.797,,Surface,40,Image 1,1,6843,
942.104,,Surface,40,Image 1,1,6844,
579.793,,Surface,40,Image 1,1,6845,
1103.76,,Surface,40,Image 1,1,6846,
456.785,,Surface,40,Image 1,1,6847,
60.7663,,Surface,40,Image 1,1,6849,
1115.29,,Surface,40,Image 1,1,6850,
665.661,,Surface,40,Image 1,1,6851,
565.064,,Surface,40,Image 1,1,6852,
690.089,,Surface,40,Image 1,1,6853,
413.209,,Surface,40,Image 1,1,6855,
417.659,,Surface,40,Image 1,1,6856,
973.272,,Surface,40,Image 1,1,6857,
523.21,,Surface,40,Image 1,1,6858,
635.27,,Surface,40,Image 1,1,6859,
648.535,,Surface,40,Image 1,1,6860,
936.281,,Surface,40,Image 1,1,6861,
838.422,,Surface,40,Image 1,1,6862,
654.009,,Surface,40,Image 1,1,6863,
1136.52,,Surface,40,Image 1,1,6864,
377.31,,Surface,40,Image 1,1,6866,
494.839,,Surface,40,Image 1,1,6867,
342.813,,Surface,40,Image 1,1,6868,
484.863,,Surface,40,Image 1,1,6869,
185.09,,Surface,40,Image 1,1,6870,
793.695,,Surface,40,Image 1,1,6871,
643.766,,Surface,40,Image 1,1,6872,
884.513,,Surface,40,Image 1,1,6873,
321.066,,Surface,40,Image 1,1,6874,
571.888,,Surface,40,Image 1,1,6875,
645.986,,Surface,40,Image 1,1,6877,
32.5665,,Surface,40,Image 1,1,6878,
645.555,,Surface,40,Image 1,1,6879,
567.069,,Surface,40,Image 1,1,6880,
278.582,,Surface,40,Image 1,1,6881,
962.506,,Surface,40,Image 1,1,6882,
126.715,,Surface,40,Image 1,1,6884,
855.078,,Surface,40,Image 1,1,6885,
926.178,,Surface,40,Image 1,1,6886,
481.484,,Surface,40,Image 1,1,6887,
616.016,,Surface,40,Image 1,1,6888,
53.5053,,Surface,40,Image 1,1,6889,
636.019,,Surface,40,Image 1,1,6890,
932.966,,Surface,40,Image 1,1,6891,
752.525,,Surface,40,Image 1,1,6892,
827.014,,Surface,40,Image 1,1,6894,
1389.56,,Surface,40,Image 1,1,6895,
922.055,,Surface,40,Image 1,1,6896,
496.313,,Surface,40,Image 1,1,6897,
741.896,,Surface,40,Image 1,1,6898,
369.486,,Surface,40,Image 1,1,6899,
637.438,,Surface,40,Image 1,1,6900,
217.167,,Surface,40,Image 1,1,6901,
159.626,,Surface,40,Image 1,1,6902,
224.55,,Surface,40,Image 1,1,6904,
349.71,,Surface,40,Image 1,1,6905,
83.2741,,Surface,40,Image 1,1,6906,
427.71,,Surface,40,Image 1,1,6907,
497.313,,Surface,40,Image 1,1,6908,
38.6312,,Surface,40,Image 1,1,6909,
306.164,,Surface,40,Image 1,1,6910,
