
Intensity Sum Ch=2 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
1.72186e+06,,Surface,2,Image 1,1,6721,
2.66223e+06,,Surface,2,Image 1,1,6722,
1.18573e+07,,Surface,2,Image 1,1,6723,
1.34768e+07,,Surface,2,Image 1,1,6724,
2.72285e+06,,Surface,2,Image 1,1,6725,
1.7069e+07,,Surface,2,Image 1,1,6726,
1.57457e+06,,Surface,2,Image 1,1,6728,
1.88961e+06,,Surface,2,Image 1,1,6729,
1.13915e+07,,Surface,2,Image 1,1,6730,
4.07811e+06,,Surface,2,Image 1,1,6731,
2.31178e+06,,Surface,2,Image 1,1,6732,
486332,,Surface,2,Image 1,1,6733,
1.06504e+06,,Surface,2,Image 1,1,6734,
3.97285e+06,,Surface,2,Image 1,1,6735,
5.54182e+06,,Surface,2,Image 1,1,6736,
1.51482e+06,,Surface,2,Image 1,1,6737,
8.87683e+06,,Surface,2,Image 1,1,6738,
2.79315e+07,,Surface,2,Image 1,1,6739,
2.28294e+06,,Surface,2,Image 1,1,6740,
1.24125e+07,,Surface,2,Image 1,1,6741,
2.19705e+07,,Surface,2,Image 1,1,6742,
1.07816e+06,,Surface,2,Image 1,1,6743,
5.80108e+06,,Surface,2,Image 1,1,6744,
4.53923e+06,,Surface,2,Image 1,1,6745,
1.83944e+06,,Surface,2,Image 1,1,6746,
375519,,Surface,2,Image 1,1,6747,
1.07844e+06,,Surface,2,Image 1,1,6748,
2.00789e+06,,Surface,2,Image 1,1,6749,
1.28081e+06,,Surface,2,Image 1,1,6750,
5.56492e+06,,Surface,2,Image 1,1,6751,
2.26033e+06,,Surface,2,Image 1,1,6752,
1.94972e+07,,Surface,2,Image 1,1,6753,
3.26037e+06,,Surface,2,Image 1,1,6754,
331320,,Surface,2,Image 1,1,6755,
1.1665e+07,,Surface,2,Image 1,1,6756,
3.62292e+06,,Surface,2,Image 1,1,6757,
475859,,Surface,2,Image 1,1,6758,
4.82505e+06,,Surface,2,Image 1,1,6760,
4.02488e+06,,Surface,2,Image 1,1,6761,
1.66067e+06,,Surface,2,Image 1,1,6762,
3.48526e+07,,Surface,2,Image 1,1,6763,
421184,,Surface,2,Image 1,1,6764,
2.88855e+07,,Surface,2,Image 1,1,6765,
5.45556e+06,,Surface,2,Image 1,1,6766,
1.06775e+07,,Surface,2,Image 1,1,6767,
6.15611e+06,,Surface,2,Image 1,1,6768,
1.12308e+07,,Surface,2,Image 1,1,6770,
2.06347e+06,,Surface,2,Image 1,1,6771,
1.9016e+06,,Surface,2,Image 1,1,6772,
9.37339e+06,,Surface,2,Image 1,1,6773,
3.99344e+07,,Surface,2,Image 1,1,6774,
1.02001e+08,,Surface,2,Image 1,1,6775,
2.48358e+06,,Surface,2,Image 1,1,6776,
913054,,Surface,2,Image 1,1,6777,
9.91025e+06,,Surface,2,Image 1,1,6778,
738253,,Surface,2,Image 1,1,6781,
1.28199e+06,,Surface,2,Image 1,1,6782,
1.45255e+07,,Surface,2,Image 1,1,6783,
4.48105e+06,,Surface,2,Image 1,1,6784,
288090,,Surface,2,Image 1,1,6785,
2.31217e+06,,Surface,2,Image 1,1,6786,
856377,,Surface,2,Image 1,1,6787,
9.02875e+06,,Surface,2,Image 1,1,6788,
4.14426e+06,,Surface,2,Image 1,1,6789,
2.69443e+07,,Surface,2,Image 1,1,6790,
1.03443e+07,,Surface,2,Image 1,1,6791,
1.42393e+06,,Surface,2,Image 1,1,6792,
2.17164e+06,,Surface,2,Image 1,1,6793,
4.1957e+07,,Surface,2,Image 1,1,6794,
2.22304e+06,,Surface,2,Image 1,1,6795,
5.19159e+06,,Surface,2,Image 1,1,6796,
1.30419e+07,,Surface,2,Image 1,1,6797,
3.22268e+06,,Surface,2,Image 1,1,6798,
5.76834e+06,,Surface,2,Image 1,1,6799,
8.95968e+06,,Surface,2,Image 1,1,6800,
2.19118e+06,,Surface,2,Image 1,1,6801,
993633,,Surface,2,Image 1,1,6802,
1.25469e+07,,Surface,2,Image 1,1,6803,
5.94903e+06,,Surface,2,Image 1,1,6804,
3.20072e+06,,Surface,2,Image 1,1,6805,
1.08193e+07,,Surface,2,Image 1,1,6806,
1.70995e+07,,Surface,2,Image 1,1,6807,
3.41674e+06,,Surface,2,Image 1,1,6808,
6.9744e+06,,Surface,2,Image 1,1,6810,
595237,,Surface,2,Image 1,1,6811,
4.56813e+07,,Surface,2,Image 1,1,6812,
2.30859e+07,,Surface,2,Image 1,1,6813,
5.97121e+06,,Surface,2,Image 1,1,6814,
3.24213e+06,,Surface,2,Image 1,1,6815,
285569,,Surface,2,Image 1,1,6816,
6.62551e+06,,Surface,2,Image 1,1,6817,
498681,,Surface,2,Image 1,1,6819,
901493,,Surface,2,Image 1,1,6820,
1.41394e+06,,Surface,2,Image 1,1,6821,
7.04101e+06,,Surface,2,Image 1,1,6822,
2.9993e+06,,Surface,2,Image 1,1,6823,
1.69047e+06,,Surface,2,Image 1,1,6824,
9.67849e+06,,Surface,2,Image 1,1,6825,
8.17458e+06,,Surface,2,Image 1,1,6826,
1.78344e+07,,Surface,2,Image 1,1,6827,
2.67211e+07,,Surface,2,Image 1,1,6828,
3.87352e+06,,Surface,2,Image 1,1,6829,
2.44193e+06,,Surface,2,Image 1,1,6830,
1.8901e+06,,Surface,2,Image 1,1,6831,
1.40743e+07,,Surface,2,Image 1,1,6832,
317986,,Surface,2,Image 1,1,6833,
1.89764e+07,,Surface,2,Image 1,1,6834,
384622,,Surface,2,Image 1,1,6836,
2.26982e+06,,Surface,2,Image 1,1,6837,
2.31699e+06,,Surface,2,Image 1,1,6838,
4.38135e+06,,Surface,2,Image 1,1,6840,
1.57586e+06,,Surface,2,Image 1,1,6841,
2.12263e+07,,Surface,2,Image 1,1,6842,
703487,,Surface,2,Image 1,1,6843,
1.66104e+07,,Surface,2,Image 1,1,6844,
5.38255e+07,,Surface,2,Image 1,1,6845,
1.54653e+06,,Surface,2,Image 1,1,6846,
3.74845e+06,,Surface,2,Image 1,1,6847,
1.44077e+06,,Surface,2,Image 1,1,6849,
3.65135e+06,,Surface,2,Image 1,1,6850,
669238,,Surface,2,Image 1,1,6851,
5.88009e+06,,Surface,2,Image 1,1,6852,
7.28491e+06,,Surface,2,Image 1,1,6853,
6.50227e+06,,Surface,2,Image 1,1,6855,
2.16159e+07,,Surface,2,Image 1,1,6856,
9.5479e+06,,Surface,2,Image 1,1,6857,
7.968e+06,,Surface,2,Image 1,1,6858,
2.66673e+06,,Surface,2,Image 1,1,6859,
552225,,Surface,2,Image 1,1,6860,
1.22812e+07,,Surface,2,Image 1,1,6861,
459518,,Surface,2,Image 1,1,6862,
8.73227e+06,,Surface,2,Image 1,1,6863,
3.52796e+07,,Surface,2,Image 1,1,6864,
781838,,Surface,2,Image 1,1,6866,
2.10315e+06,,Surface,2,Image 1,1,6867,
6.10717e+06,,Surface,2,Image 1,1,6868,
4.02719e+06,,Surface,2,Image 1,1,6869,
5.94818e+06,,Surface,2,Image 1,1,6870,
5.58811e+06,,Surface,2,Image 1,1,6871,
3.6514e+06,,Surface,2,Image 1,1,6872,
2.22583e+08,,Surface,2,Image 1,1,6873,
3.63159e+06,,Surface,2,Image 1,1,6874,
6.76847e+06,,Surface,2,Image 1,1,6875,
983192,,Surface,2,Image 1,1,6877,
568607,,Surface,2,Image 1,1,6878,
3.48553e+06,,Surface,2,Image 1,1,6879,
7.78062e+06,,Surface,2,Image 1,1,6880,
6.5614e+06,,Surface,2,Image 1,1,6881,
1.63041e+07,,Surface,2,Image 1,1,6882,
2.34689e+06,,Surface,2,Image 1,1,6884,
1.54408e+07,,Surface,2,Image 1,1,6885,
8.69874e+06,,Surface,2,Image 1,1,6886,
1.87699e+07,,Surface,2,Image 1,1,6887,
1.85819e+07,,Surface,2,Image 1,1,6888,
1.07334e+07,,Surface,2,Image 1,1,6889,
8.00541e+06,,Surface,2,Image 1,1,6890,
4.09615e+06,,Surface,2,Image 1,1,6891,
1.78636e+07,,Surface,2,Image 1,1,6892,
7.2581e+06,,Surface,2,Image 1,1,6894,
1.34994e+07,,Surface,2,Image 1,1,6895,
3.93905e+06,,Surface,2,Image 1,1,6896,
2.69962e+07,,Surface,2,Image 1,1,6897,
3.61784e+06,,Surface,2,Image 1,1,6898,
4.48743e+06,,Surface,2,Image 1,1,6899,
4.16374e+06,,Surface,2,Image 1,1,6900,
292364,,Surface,2,Image 1,1,6901,
278756,,Surface,2,Image 1,1,6902,
4.1739e+06,,Surface,2,Image 1,1,6904,
4.54558e+06,,Surface,2,Image 1,1,6905,
453306,,Surface,2,Image 1,1,6906,
1.7368e+07,,Surface,2,Image 1,1,6907,
1.32969e+07,,Surface,2,Image 1,1,6908,
7.85719e+06,,Surface,2,Image 1,1,6909,
3.04969e+06,,Surface,2,Image 1,1,6910,
644888,,Surface,2,Image 1,1,6911,
1.42488e+06,,Surface,2,Image 1,1,6912,
5.33023e+06,,Surface,2,Image 1,1,6914,
8.99205e+06,,Surface,2,Image 1,1,6915,
2.23641e+07,,Surface,2,Image 1,1,6917,
3.80212e+06,,Surface,2,Image 1,1,6919,
2.46081e+06,,Surface,2,Image 1,1,6920,
1.12624e+07,,Surface,2,Image 1,1,6921,
8.86351e+06,,Surface,2,Image 1,1,6922,
3.38136e+06,,Surface,2,Image 1,1,6923,
429627,,Surface,2,Image 1,1,6924,
7.18816e+06,,Surface,2,Image 1,1,6925,
9.01561e+06,,Surface,2,Image 1,1,6926,
1.95643e+07,,Surface,2,Image 1,1,6927,
5.13486e+07,,Surface,2,Image 1,1,6928,
1.88182e+06,,Surface,2,Image 1,1,6929,
677064,,Surface,2,Image 1,1,6930,
2.20722e+06,,Surface,2,Image 1,1,6931,
1.58803e+07,,Surface,2,Image 1,1,6932,
1.98088e+06,,Surface,2,Image 1,1,6933,
1.83158e+07,,Surface,2,Image 1,1,6934,
5.00436e+06,,Surface,2,Image 1,1,6935,
4.15622e+06,,Surface,2,Image 1,1,6936,
1.20663e+07,,Surface,2,Image 1,1,6937,
2.70055e+07,,Surface,2,Image 1,1,6938,
1.1727e+07,,Surface,2,Image 1,1,6939,
2.46812e+06,,Surface,2,Image 1,1,6941,
1.85958e+07,,Surface,2,Image 1,1,6942,
