
Intensity Sum of Square Ch=39 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
6.91929e+08,,Surface,39,Image 1,1,6721,
1.32244e+07,,Surface,39,Image 1,1,6722,
1.09636e+09,,Surface,39,Image 1,1,6723,
1.82889e+10,,Surface,39,Image 1,1,6724,
1.75192e+08,,Surface,39,Image 1,1,6725,
1.40594e+08,,Surface,39,Image 1,1,6726,
6.42255e+06,,Surface,39,Image 1,1,6728,
4.7888e+06,,Surface,39,Image 1,1,6729,
1.95039e+08,,Surface,39,Image 1,1,6730,
2.05538e+07,,Surface,39,Image 1,1,6731,
1.56255e+07,,Surface,39,Image 1,1,6732,
436927,,Surface,39,Image 1,1,6733,
2.44277e+09,,Surface,39,Image 1,1,6734,
1.03229e+07,,Surface,39,Image 1,1,6735,
3.29929e+09,,Surface,39,Image 1,1,6736,
1.5207e+09,,Surface,39,Image 1,1,6737,
5.2164e+07,,Surface,39,Image 1,1,6738,
2.44596e+08,,Surface,39,Image 1,1,6739,
1.05997e+09,,Surface,39,Image 1,1,6740,
2.45464e+09,,Surface,39,Image 1,1,6741,
1.53816e+08,,Surface,39,Image 1,1,6742,
1.71882e+07,,Surface,39,Image 1,1,6743,
3.19023e+07,,Surface,39,Image 1,1,6744,
1.23981e+07,,Surface,39,Image 1,1,6745,
6.7725e+06,,Surface,39,Image 1,1,6746,
1.66158e+07,,Surface,39,Image 1,1,6747,
7.1502e+07,,Surface,39,Image 1,1,6748,
1.89168e+07,,Surface,39,Image 1,1,6749,
3.66538e+06,,Surface,39,Image 1,1,6750,
1.93225e+08,,Surface,39,Image 1,1,6751,
3.16334e+07,,Surface,39,Image 1,1,6752,
1.05802e+09,,Surface,39,Image 1,1,6753,
1.9141e+06,,Surface,39,Image 1,1,6754,
366022,,Surface,39,Image 1,1,6755,
7.89861e+08,,Surface,39,Image 1,1,6756,
9.00563e+07,,Surface,39,Image 1,1,6757,
9.08585e+06,,Surface,39,Image 1,1,6758,
3.29955e+08,,Surface,39,Image 1,1,6760,
1.72407e+07,,Surface,39,Image 1,1,6761,
5.91312e+06,,Surface,39,Image 1,1,6762,
1.46151e+09,,Surface,39,Image 1,1,6763,
1.14032e+06,,Surface,39,Image 1,1,6764,
1.38937e+09,,Surface,39,Image 1,1,6765,
8.93758e+07,,Surface,39,Image 1,1,6766,
2.56354e+09,,Surface,39,Image 1,1,6767,
3.40555e+08,,Surface,39,Image 1,1,6768,
7.98536e+08,,Surface,39,Image 1,1,6770,
1.22804e+08,,Surface,39,Image 1,1,6771,
9.66343e+07,,Surface,39,Image 1,1,6772,
1.18096e+08,,Surface,39,Image 1,1,6773,
7.81815e+07,,Surface,39,Image 1,1,6774,
4.49894e+08,,Surface,39,Image 1,1,6775,
4.88682e+06,,Surface,39,Image 1,1,6776,
151494,,Surface,39,Image 1,1,6777,
1.35946e+08,,Surface,39,Image 1,1,6778,
1.28237e+09,,Surface,39,Image 1,1,6781,
1.91885e+08,,Surface,39,Image 1,1,6782,
7.19748e+08,,Surface,39,Image 1,1,6783,
4.31882e+07,,Surface,39,Image 1,1,6784,
164998,,Surface,39,Image 1,1,6785,
2.78425e+07,,Surface,39,Image 1,1,6786,
2.50293e+08,,Surface,39,Image 1,1,6787,
6.53359e+08,,Surface,39,Image 1,1,6788,
1.85983e+06,,Surface,39,Image 1,1,6789,
7.23928e+09,,Surface,39,Image 1,1,6790,
6.46637e+08,,Surface,39,Image 1,1,6791,
1.35452e+07,,Surface,39,Image 1,1,6792,
1.18515e+08,,Surface,39,Image 1,1,6793,
5.83761e+09,,Surface,39,Image 1,1,6794,
1.05e+07,,Surface,39,Image 1,1,6795,
1.03759e+07,,Surface,39,Image 1,1,6796,
7.36432e+07,,Surface,39,Image 1,1,6797,
6.4025e+07,,Surface,39,Image 1,1,6798,
1.38978e+09,,Surface,39,Image 1,1,6799,
6.54761e+07,,Surface,39,Image 1,1,6800,
6.52709e+06,,Surface,39,Image 1,1,6801,
1.49672e+06,,Surface,39,Image 1,1,6802,
2.51876e+08,,Surface,39,Image 1,1,6803,
3.8977e+07,,Surface,39,Image 1,1,6804,
3.0137e+07,,Surface,39,Image 1,1,6805,
8.81042e+08,,Surface,39,Image 1,1,6806,
7.14097e+08,,Surface,39,Image 1,1,6807,
317037,,Surface,39,Image 1,1,6808,
3.76744e+08,,Surface,39,Image 1,1,6810,
1.01635e+06,,Surface,39,Image 1,1,6811,
2.46517e+08,,Surface,39,Image 1,1,6812,
1.43627e+09,,Surface,39,Image 1,1,6813,
4.55657e+06,,Surface,39,Image 1,1,6814,
1.64856e+07,,Surface,39,Image 1,1,6815,
1.01568e+06,,Surface,39,Image 1,1,6816,
3.65638e+07,,Surface,39,Image 1,1,6817,
1.68704e+06,,Surface,39,Image 1,1,6819,
2.15436e+07,,Surface,39,Image 1,1,6820,
1.8676e+07,,Surface,39,Image 1,1,6821,
1.3252e+09,,Surface,39,Image 1,1,6822,
3.80682e+08,,Surface,39,Image 1,1,6823,
2.36799e+06,,Surface,39,Image 1,1,6824,
4.03145e+08,,Surface,39,Image 1,1,6825,
2.71147e+09,,Surface,39,Image 1,1,6826,
6.14975e+08,,Surface,39,Image 1,1,6827,
2.27148e+10,,Surface,39,Image 1,1,6828,
2.68699e+08,,Surface,39,Image 1,1,6829,
7.78318e+08,,Surface,39,Image 1,1,6830,
2.73652e+08,,Surface,39,Image 1,1,6831,
6.94357e+09,,Surface,39,Image 1,1,6832,
2.83794e+06,,Surface,39,Image 1,1,6833,
2.71951e+08,,Surface,39,Image 1,1,6834,
1.24606e+07,,Surface,39,Image 1,1,6836,
9.20009e+06,,Surface,39,Image 1,1,6837,
2.21262e+09,,Surface,39,Image 1,1,6838,
2.65028e+07,,Surface,39,Image 1,1,6840,
7.41668e+06,,Surface,39,Image 1,1,6841,
2.31309e+10,,Surface,39,Image 1,1,6842,
8.55138e+06,,Surface,39,Image 1,1,6843,
4.51883e+08,,Surface,39,Image 1,1,6844,
1.04888e+10,,Surface,39,Image 1,1,6845,
1.45425e+09,,Surface,39,Image 1,1,6846,
4.2427e+08,,Surface,39,Image 1,1,6847,
4.94824e+06,,Surface,39,Image 1,1,6849,
2.58048e+08,,Surface,39,Image 1,1,6850,
1.1354e+08,,Surface,39,Image 1,1,6851,
2.05584e+08,,Surface,39,Image 1,1,6852,
1.50966e+08,,Surface,39,Image 1,1,6853,
6.22627e+08,,Surface,39,Image 1,1,6855,
9.31644e+08,,Surface,39,Image 1,1,6856,
9.60781e+08,,Surface,39,Image 1,1,6857,
4.91192e+07,,Surface,39,Image 1,1,6858,
1.14953e+08,,Surface,39,Image 1,1,6859,
6.3691e+06,,Surface,39,Image 1,1,6860,
1.00876e+10,,Surface,39,Image 1,1,6861,
1.89821e+07,,Surface,39,Image 1,1,6862,
7.04999e+08,,Surface,39,Image 1,1,6863,
4.83033e+08,,Surface,39,Image 1,1,6864,
1.67314e+07,,Surface,39,Image 1,1,6866,
2.14662e+08,,Surface,39,Image 1,1,6867,
2.7794e+08,,Surface,39,Image 1,1,6868,
1.25869e+08,,Surface,39,Image 1,1,6869,
1.48568e+07,,Surface,39,Image 1,1,6870,
7.87945e+06,,Surface,39,Image 1,1,6871,
1.23519e+08,,Surface,39,Image 1,1,6872,
2.8841e+10,,Surface,39,Image 1,1,6873,
7.80202e+06,,Surface,39,Image 1,1,6874,
1.76274e+08,,Surface,39,Image 1,1,6875,
3.97814e+06,,Surface,39,Image 1,1,6877,
5.87086e+06,,Surface,39,Image 1,1,6878,
2.23289e+08,,Surface,39,Image 1,1,6879,
2.65467e+07,,Surface,39,Image 1,1,6880,
1.9431e+08,,Surface,39,Image 1,1,6881,
3.38515e+08,,Surface,39,Image 1,1,6882,
2.92611e+07,,Surface,39,Image 1,1,6884,
9.14088e+08,,Surface,39,Image 1,1,6885,
2.43419e+09,,Surface,39,Image 1,1,6886,
1.71454e+09,,Surface,39,Image 1,1,6887,
4.61739e+08,,Surface,39,Image 1,1,6888,
1.54168e+06,,Surface,39,Image 1,1,6889,
4.02398e+09,,Surface,39,Image 1,1,6890,
