
Number of Disconnected Components
 ==================== 
Number of Disconnected Components,Unit,Category,Time,ID,
1,,Surface,1,6721,
1,,Surface,1,6722,
1,,Surface,1,6723,
1,,Surface,1,6724,
1,,Surface,1,6725,
1,,Surface,1,6726,
1,,Surface,1,6728,
1,,Surface,1,6729,
1,,Surface,1,6730,
1,,Surface,1,6731,
1,,Surface,1,6732,
1,,Surface,1,6733,
1,,Surface,1,6734,
1,,Surface,1,6735,
1,,Surface,1,6736,
1,,Surface,1,6737,
1,,Surface,1,6738,
1,,Surface,1,6739,
1,,Surface,1,6740,
1,,Surface,1,6741,
1,,Surface,1,6742,
1,,Surface,1,6743,
1,,Surface,1,6744,
1,,Surface,1,6745,
1,,Surface,1,6746,
1,,Surface,1,6747,
1,,Surface,1,6748,
1,,Surface,1,6749,
1,,Surface,1,6750,
1,,Surface,1,6751,
1,,Surface,1,6752,
1,,Surface,1,6753,
1,,Surface,1,6754,
1,,Surface,1,6755,
1,,Surface,1,6756,
1,,Surface,1,6757,
1,,Surface,1,6758,
1,,Surface,1,6760,
1,,Surface,1,6761,
1,,Surface,1,6762,
1,,Surface,1,6763,
1,,Surface,1,6764,
1,,Surface,1,6765,
1,,Surface,1,6766,
1,,Surface,1,6767,
1,,Surface,1,6768,
1,,Surface,1,6770,
1,,Surface,1,6771,
1,,Surface,1,6772,
1,,Surface,1,6773,
1,,Surface,1,6774,
1,,Surface,1,6775,
1,,Surface,1,6776,
1,,Surface,1,6777,
1,,Surface,1,6778,
1,,Surface,1,6781,
1,,Surface,1,6782,
1,,Surface,1,6783,
1,,Surface,1,6784,
1,,Surface,1,6785,
1,,Surface,1,6786,
1,,Surface,1,6787,
1,,Surface,1,6788,
1,,Surface,1,6789,
1,,Surface,1,6790,
1,,Surface,1,6791,
1,,Surface,1,6792,
1,,Surface,1,6793,
1,,Surface,1,6794,
1,,Surface,1,6795,
1,,Surface,1,6796,
1,,Surface,1,6797,
1,,Surface,1,6798,
1,,Surface,1,6799,
1,,Surface,1,6800,
1,,Surface,1,6801,
1,,Surface,1,6802,
1,,Surface,1,6803,
1,,Surface,1,6804,
1,,Surface,1,6805,
1,,Surface,1,6806,
1,,Surface,1,6807,
1,,Surface,1,6808,
1,,Surface,1,6810,
1,,Surface,1,6811,
1,,Surface,1,6812,
1,,Surface,1,6813,
1,,Surface,1,6814,
1,,Surface,1,6815,
1,,Surface,1,6816,
1,,Surface,1,6817,
1,,Surface,1,6819,
1,,Surface,1,6820,
1,,Surface,1,6821,
1,,Surface,1,6822,
1,,Surface,1,6823,
1,,Surface,1,6824,
1,,Surface,1,6825,
1,,Surface,1,6826,
1,,Surface,1,6827,
1,,Surface,1,6828,
1,,Surface,1,6829,
1,,Surface,1,6830,
1,,Surface,1,6831,
1,,Surface,1,6832,
1,,Surface,1,6833,
1,,Surface,1,6834,
1,,Surface,1,6836,
1,,Surface,1,6837,
1,,Surface,1,6838,
1,,Surface,1,6840,
1,,Surface,1,6841,
1,,Surface,1,6842,
1,,Surface,1,6843,
1,,Surface,1,6844,
1,,Surface,1,6845,
1,,Surface,1,6846,
1,,Surface,1,6847,
1,,Surface,1,6849,
1,,Surface,1,6850,
1,,Surface,1,6851,
1,,Surface,1,6852,
1,,Surface,1,6853,
1,,Surface,1,6855,
1,,Surface,1,6856,
1,,Surface,1,6857,
1,,Surface,1,6858,
1,,Surface,1,6859,
1,,Surface,1,6860,
1,,Surface,1,6861,
1,,Surface,1,6862,
1,,Surface,1,6863,
1,,Surface,1,6864,
1,,Surface,1,6866,
1,,Surface,1,6867,
1,,Surface,1,6868,
1,,Surface,1,6869,
1,,Surface,1,6870,
1,,Surface,1,6871,
1,,Surface,1,6872,
1,,Surface,1,6873,
1,,Surface,1,6874,
1,,Surface,1,6875,
1,,Surface,1,6877,
1,,Surface,1,6878,
1,,Surface,1,6879,
1,,Surface,1,6880,
1,,Surface,1,6881,
1,,Surface,1,6882,
1,,Surface,1,6884,
1,,Surface,1,6885,
1,,Surface,1,6886,
1,,Surface,1,6887,
1,,Surface,1,6888,
1,,Surface,1,6889,
1,,Surface,1,6890,
1,,Surface,1,6891,
1,,Surface,1,6892,
1,,Surface,1,6894,
1,,Surface,1,6895,
1,,Surface,1,6896,
1,,Surface,1,6897,
1,,Surface,1,6898,
1,,Surface,1,6899,
1,,Surface,1,6900,
1,,Surface,1,6901,
1,,Surface,1,6902,
1,,Surface,1,6904,
1,,Surface,1,6905,
1,,Surface,1,6906,
1,,Surface,1,6907,
1,,Surface,1,6908,
1,,Surface,1,6909,
1,,Surface,1,6910,
1,,Surface,1,6911,
1,,Surface,1,6912,
1,,Surface,1,6914,
1,,Surface,1,6915,
1,,Surface,1,6917,
1,,Surface,1,6919,
1,,Surface,1,6920,
1,,Surface,1,6921,
1,,Surface,1,6922,
1,,Surface,1,6923,
1,,Surface,1,6924,
1,,Surface,1,6925,
1,,Surface,1,6926,
1,,Surface,1,6927,
1,,Surface,1,6928,
1,,Surface,1,6929,
1,,Surface,1,6930,
1,,Surface,1,6931,
1,,Surface,1,6932,
1,,Surface,1,6933,
1,,Surface,1,6934,
1,,Surface,1,6935,
1,,Surface,1,6936,
1,,Surface,1,6937,
1,,Surface,1,6938,
1,,Surface,1,6939,
1,,Surface,1,6941,
1,,Surface,1,6942,
1,,Surface,1,6943,
1,,Surface,1,6944,
1,,Surface,1,6945,
1,,Surface,1,6946,
1,,Surface,1,6947,
1,,Surface,1,6948,
1,,Surface,1,6949,
1,,Surface,1,6950,
1,,Surface,1,6951,
1,,Surface,1,6952,
1,,Surface,1,6953,
1,,Surface,1,6954,
1,,Surface,1,6955,
1,,Surface,1,6956,
1,,Surface,1,6957,
1,,Surface,1,6958,
1,,Surface,1,6959,
1,,Surface,1,6960,
1,,Surface,1,6961,
1,,Surface,1,6962,
1,,Surface,1,6963,
1,,Surface,1,6964,
1,,Surface,1,6967,
1,,Surface,1,6969,
1,,Surface,1,6970,
1,,Surface,1,6971,
1,,Surface,1,6973,
1,,Surface,1,6974,
1,,Surface,1,6975,
1,,Surface,1,6976,
1,,Surface,1,6977,
1,,Surface,1,6978,
1,,Surface,1,6979,
1,,Surface,1,6980,
1,,Surface,1,6981,
1,,Surface,1,6982,
1,,Surface,1,6983,
1,,Surface,1,6984,
1,,Surface,1,6985,
1,,Surface,1,6986,
1,,Surface,1,6987,
1,,Surface,1,6988,
1,,Surface,1,6989,
1,,Surface,1,6990,
1,,Surface,1,6991,
1,,Surface,1,6992,
1,,Surface,1,6993,
1,,Surface,1,6994,
1,,Surface,1,6995,
1,,Surface,1,6996,
1,,Surface,1,6997,
1,,Surface,1,6998,
1,,Surface,1,6999,
1,,Surface,1,7000,
1,,Surface,1,7001,
1,,Surface,1,7002,
1,,Surface,1,7003,
1,,Surface,1,7004,
1,,Surface,1,7005,
1,,Surface,1,7006,
1,,Surface,1,7007,
1,,Surface,1,7008,
1,,Surface,1,7009,
1,,Surface,1,7011,
1,,Surface,1,7012,
1,,Surface,1,7013,
1,,Surface,1,7014,
1,,Surface,1,7015,
1,,Surface,1,7016,
1,,Surface,1,7017,
1,,Surface,1,7018,
1,,Surface,1,7019,
1,,Surface,1,7020,
1,,Surface,1,7021,
1,,Surface,1,7022,
1,,Surface,1,7023,
1,,Surface,1,7024,
1,,Surface,1,7025,
1,,Surface,1,7026,
1,,Surface,1,7027,
1,,Surface,1,7028,
1,,Surface,1,7029,
1,,Surface,1,7030,
1,,Surface,1,7031,
1,,Surface,1,7032,
1,,Surface,1,7033,
1,,Surface,1,7035,
1,,Surface,1,7036,
1,,Surface,1,7037,
1,,Surface,1,7038,
1,,Surface,1,7039,
1,,Surface,1,7040,
1,,Surface,1,7041,
1,,Surface,1,7042,
1,,Surface,1,7043,
1,,Surface,1,7044,
1,,Surface,1,7045,
1,,Surface,1,7046,
1,,Surface,1,7047,
1,,Surface,1,7048,
1,,Surface,1,7049,
1,,Surface,1,7050,
1,,Surface,1,7051,
1,,Surface,1,7052,
1,,Surface,1,7053,
1,,Surface,1,7056,
1,,Surface,1,7057,
1,,Surface,1,7058,
1,,Surface,1,7060,
1,,Surface,1,7061,
1,,Surface,1,7062,
1,,Surface,1,7063,
1,,Surface,1,7064,
1,,Surface,1,7065,
1,,Surface,1,7066,
1,,Surface,1,7067,
1,,Surface,1,7068,
1,,Surface,1,7069,
1,,Surface,1,7070,
1,,Surface,1,7071,
1,,Surface,1,7072,
1,,Surface,1,7073,
1,,Surface,1,7075,
1,,Surface,1,7076,
1,,Surface,1,7077,
1,,Surface,1,7078,
1,,Surface,1,7079,
1,,Surface,1,7080,
1,,Surface,1,7081,
1,,Surface,1,7082,
1,,Surface,1,7083,
1,,Surface,1,7084,
1,,Surface,1,7085,
1,,Surface,1,7087,
1,,Surface,1,7088,
1,,Surface,1,7089,
1,,Surface,1,7090,
1,,Surface,1,7091,
1,,Surface,1,7092,
1,,Surface,1,7093,
1,,Surface,1,7094,
1,,Surface,1,7095,
1,,Surface,1,7096,
1,,Surface,1,7097,
1,,Surface,1,7098,
1,,Surface,1,7099,
1,,Surface,1,7101,
1,,Surface,1,7103,
1,,Surface,1,7104,
1,,Surface,1,7105,
1,,Surface,1,7106,
1,,Surface,1,7107,
1,,Surface,1,7108,
1,,Surface,1,7109,
1,,Surface,1,7110,
1,,Surface,1,7112,
1,,Surface,1,7114,
1,,Surface,1,7115,
1,,Surface,1,7116,
1,,Surface,1,7117,
1,,Surface,1,7119,
1,,Surface,1,7120,
1,,Surface,1,7121,
1,,Surface,1,7122,
1,,Surface,1,7123,
1,,Surface,1,7124,
1,,Surface,1,7125,
1,,Surface,1,7126,
1,,Surface,1,7127,
1,,Surface,1,7128,
1,,Surface,1,7130,
1,,Surface,1,7132,
1,,Surface,1,7133,
1,,Surface,1,7134,
1,,Surface,1,7136,
1,,Surface,1,7137,
1,,Surface,1,7138,
1,,Surface,1,7139,
1,,Surface,1,7140,
1,,Surface,1,7141,
1,,Surface,1,7142,
1,,Surface,1,7143,
1,,Surface,1,7144,
1,,Surface,1,7145,
1,,Surface,1,7146,
1,,Surface,1,7147,
1,,Surface,1,7148,
1,,Surface,1,7149,
1,,Surface,1,7151,
1,,Surface,1,7152,
1,,Surface,1,7154,
1,,Surface,1,7155,
1,,Surface,1,7156,
1,,Surface,1,7157,
1,,Surface,1,7158,
1,,Surface,1,7159,
1,,Surface,1,7161,
1,,Surface,1,7162,
1,,Surface,1,7163,
1,,Surface,1,7164,
1,,Surface,1,7165,
1,,Surface,1,7166,
1,,Surface,1,7168,
1,,Surface,1,7169,
1,,Surface,1,7170,
1,,Surface,1,7171,
1,,Surface,1,7172,
1,,Surface,1,7173,
1,,Surface,1,7174,
1,,Surface,1,7175,
1,,Surface,1,7176,
1,,Surface,1,7177,
1,,Surface,1,7178,
1,,Surface,1,7179,
1,,Surface,1,7181,
1,,Surface,1,7182,
1,,Surface,1,7183,
1,,Surface,1,7184,
1,,Surface,1,7185,
1,,Surface,1,7187,
1,,Surface,1,7188,
1,,Surface,1,7189,
1,,Surface,1,7190,
1,,Surface,1,7191,
1,,Surface,1,7192,
1,,Surface,1,7193,
1,,Surface,1,7194,
1,,Surface,1,7195,
1,,Surface,1,7196,
1,,Surface,1,7197,
1,,Surface,1,7198,
1,,Surface,1,7199,
1,,Surface,1,7200,
