
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
653.815,610.337,22.3856,µm,Surface,Position,1,6721,
569.638,697.054,21.619,µm,Surface,Position,1,6722,
560.714,707.862,22.4813,µm,Surface,Position,1,6723,
694.01,586.239,11.5119,µm,Surface,Position,1,6724,
642.797,622.573,23.755,µm,Surface,Position,1,6725,
677.764,589.533,24.4779,µm,Surface,Position,1,6726,
700.427,560.506,28.3011,µm,Surface,Position,1,6728,
595.553,671.911,22.7561,µm,Surface,Position,1,6729,
598.059,673.722,20.1877,µm,Surface,Position,1,6730,
649.738,622.08,20.7421,µm,Surface,Position,1,6731,
609.869,652.323,30.252,µm,Surface,Position,1,6732,
706.335,562.263,24.3472,µm,Surface,Position,1,6733,
635.964,644.808,14.2804,µm,Surface,Position,1,6734,
593.322,671.241,29.6705,µm,Surface,Position,1,6735,
588.507,693.841,14.0395,µm,Surface,Position,1,6736,
714.005,569.968,12.5444,µm,Surface,Position,1,6737,
683.126,599.217,15.8444,µm,Surface,Position,1,6738,
599.286,685.544,15.1197,µm,Surface,Position,1,6739,
708.85,572.632,15.8792,µm,Surface,Position,1,6740,
659.981,622.816,16.6763,µm,Surface,Position,1,6741,
685.738,591.488,22.7587,µm,Surface,Position,1,6742,
668.069,600.938,28.4702,µm,Surface,Position,1,6743,
679.425,601.304,20.5284,µm,Surface,Position,1,6744,
688.065,587.796,24.8304,µm,Surface,Position,1,6745,
600.699,691.881,10.375,µm,Surface,Position,1,6746,
620.343,661.921,18.4659,µm,Surface,Position,1,6747,
590.933,698.298,14.6161,µm,Surface,Position,1,6748,
713.955,577.67,13.6081,µm,Surface,Position,1,6749,
681.875,599.881,22.6736,µm,Surface,Position,1,6750,
595.342,698.944,14.3321,µm,Surface,Position,1,6751,
613.603,674.262,19.1393,µm,Surface,Position,1,6752,
700.856,600.591,11.1683,µm,Surface,Position,1,6753,
691.039,595.046,25.1603,µm,Surface,Position,1,6754,
569.982,715.049,24.8194,µm,Surface,Position,1,6755,
643.973,651.972,18.1708,µm,Surface,Position,1,6756,
653.631,634.882,24.5231,µm,Surface,Position,1,6757,
649.239,654.358,11.775,µm,Surface,Position,1,6758,
711.153,588.012,18.0588,µm,Surface,Position,1,6760,
709.946,584.973,23.4411,µm,Surface,Position,1,6761,
640.666,657.369,21.601,µm,Surface,Position,1,6762,
618.501,689.114,16.3518,µm,Surface,Position,1,6763,
643.079,656.373,20.1635,µm,Surface,Position,1,6764,
707.645,596.012,20.246,µm,Surface,Position,1,6765,
657.565,635.812,29.0185,µm,Surface,Position,1,6766,
616.646,685.823,21.6592,µm,Surface,Position,1,6767,
636.602,656.88,29.3944,µm,Surface,Position,1,6768,
624.47,687.387,14.7217,µm,Surface,Position,1,6770,
623.346,686.463,16.9526,µm,Surface,Position,1,6771,
676.268,619.392,30.2795,µm,Surface,Position,1,6772,
665.386,641.981,20.881,µm,Surface,Position,1,6773,
659.933,641.529,27.7013,µm,Surface,Position,1,6774,
674.937,639.631,18.2586,µm,Surface,Position,1,6775,
619.648,678.996,30.5822,µm,Surface,Position,1,6776,
640.325,672.667,17.1985,µm,Surface,Position,1,6777,
628.691,688.974,15.9652,µm,Surface,Position,1,6778,
650.879,669.595,13.6976,µm,Surface,Position,1,6781,
627.266,690.869,16.0507,µm,Surface,Position,1,6782,
701.917,622.846,13.2372,µm,Surface,Position,1,6783,
654.08,656.286,26.825,µm,Surface,Position,1,6784,
663.71,640.674,30.75,µm,Surface,Position,1,6785,
633.88,686.894,17.7462,µm,Surface,Position,1,6786,
651.767,672.317,14.275,µm,Surface,Position,1,6787,
705.141,622.621,12.555,µm,Surface,Position,1,6788,
694.307,615.143,29.6993,µm,Surface,Position,1,6789,
639.742,681.716,19.5951,µm,Surface,Position,1,6790,
707.928,620.76,12.8774,µm,Surface,Position,1,6791,
632.156,687.117,20.9635,µm,Surface,Position,1,6792,
635.575,687.061,19.2564,µm,Surface,Position,1,6793,
681.152,651.398,14.3108,µm,Surface,Position,1,6794,
637.132,687.87,18.2628,µm,Surface,Position,1,6795,
650.305,681.245,15.4575,µm,Surface,Position,1,6796,
674.94,663.376,10.6395,µm,Surface,Position,1,6797,
620.375,701.742,27.5528,µm,Surface,Position,1,6798,
694.159,632.264,24.9824,µm,Surface,Position,1,6799,
676.849,657.905,19.1556,µm,Surface,Position,1,6800,
649.64,681.686,22.0205,µm,Surface,Position,1,6801,
620.279,703.68,29.0833,µm,Surface,Position,1,6802,
708.363,632.289,18.1811,µm,Surface,Position,1,6803,
644.898,689.583,23.4176,µm,Surface,Position,1,6804,
677.759,663.333,19.6756,µm,Surface,Position,1,6805,
641.746,711.001,11.3797,µm,Surface,Position,1,6806,
652.383,686.573,24.5921,µm,Surface,Position,1,6807,
636.736,696.233,30.942,µm,Surface,Position,1,6808,
645.134,709.637,13.1025,µm,Surface,Position,1,6810,
663.359,678.44,24.3487,µm,Surface,Position,1,6811,
685.74,677.353,10.736,µm,Surface,Position,1,6812,
653.662,710.607,12.5152,µm,Surface,Position,1,6813,
715.174,631.643,28.2703,µm,Surface,Position,1,6814,
645.069,715.33,17.6419,µm,Surface,Position,1,6815,
676.734,671.589,28.65,µm,Surface,Position,1,6816,
663.989,691.623,23.9026,µm,Surface,Position,1,6817,
695.131,659.841,25.9712,µm,Surface,Position,1,6819,
688.506,678.851,16.625,µm,Surface,Position,1,6820,
684.167,681.733,18.6071,µm,Surface,Position,1,6821,
681.342,687.587,17.0518,µm,Surface,Position,1,6822,
680.069,684.523,23.7744,µm,Surface,Position,1,6823,
683.041,686.358,21.09,µm,Surface,Position,1,6824,
681.887,683.241,26.6789,µm,Surface,Position,1,6825,
666.733,713.1,16.8939,µm,Surface,Position,1,6826,
683.57,697.364,19.8404,µm,Surface,Position,1,6827,
670.981,712.469,23.703,µm,Surface,Position,1,6828,
688.177,703.027,17.821,µm,Surface,Position,1,6829,
672.887,715.723,24.5869,µm,Surface,Position,1,6830,
610.795,608.15,27.1054,µm,Surface,Position,1,6831,
555.131,668.096,25.266,µm,Surface,Position,1,6832,
546.704,667.32,31.2083,µm,Surface,Position,1,6833,
573.588,645.496,30.0998,µm,Surface,Position,1,6834,
580.082,648.252,19.9327,µm,Surface,Position,1,6836,
572.425,654.551,22.3981,µm,Surface,Position,1,6837,
654.9,574.72,22.2068,µm,Surface,Position,1,6838,
590.423,637.524,24.1691,µm,Surface,Position,1,6840,
570.247,670.525,11.9583,µm,Surface,Position,1,6841,
631.988,593.537,28.0493,µm,Surface,Position,1,6842,
614.896,618.498,19.0312,µm,Surface,Position,1,6843,
