
Position X
 ==================== 
Position X,Unit,Category,Collection,Time,ID,
653.815,µm,Surface,Position,1,6721,
569.638,µm,Surface,Position,1,6722,
560.714,µm,Surface,Position,1,6723,
694.01,µm,Surface,Position,1,6724,
642.797,µm,Surface,Position,1,6725,
677.764,µm,Surface,Position,1,6726,
700.427,µm,Surface,Position,1,6728,
595.553,µm,Surface,Position,1,6729,
598.059,µm,Surface,Position,1,6730,
649.738,µm,Surface,Position,1,6731,
609.869,µm,Surface,Position,1,6732,
706.335,µm,Surface,Position,1,6733,
635.964,µm,Surface,Position,1,6734,
593.322,µm,Surface,Position,1,6735,
588.507,µm,Surface,Position,1,6736,
714.005,µm,Surface,Position,1,6737,
683.126,µm,Surface,Position,1,6738,
599.286,µm,Surface,Position,1,6739,
708.85,µm,Surface,Position,1,6740,
659.981,µm,Surface,Position,1,6741,
685.738,µm,Surface,Position,1,6742,
668.069,µm,Surface,Position,1,6743,
679.425,µm,Surface,Position,1,6744,
688.065,µm,Surface,Position,1,6745,
600.699,µm,Surface,Position,1,6746,
620.343,µm,Surface,Position,1,6747,
590.933,µm,Surface,Position,1,6748,
713.955,µm,Surface,Position,1,6749,
681.875,µm,Surface,Position,1,6750,
595.342,µm,Surface,Position,1,6751,
613.603,µm,Surface,Position,1,6752,
700.856,µm,Surface,Position,1,6753,
691.039,µm,Surface,Position,1,6754,
569.982,µm,Surface,Position,1,6755,
643.973,µm,Surface,Position,1,6756,
653.631,µm,Surface,Position,1,6757,
649.239,µm,Surface,Position,1,6758,
711.153,µm,Surface,Position,1,6760,
709.946,µm,Surface,Position,1,6761,
640.666,µm,Surface,Position,1,6762,
618.501,µm,Surface,Position,1,6763,
643.079,µm,Surface,Position,1,6764,
707.645,µm,Surface,Position,1,6765,
657.565,µm,Surface,Position,1,6766,
616.646,µm,Surface,Position,1,6767,
636.602,µm,Surface,Position,1,6768,
624.47,µm,Surface,Position,1,6770,
623.346,µm,Surface,Position,1,6771,
676.268,µm,Surface,Position,1,6772,
665.386,µm,Surface,Position,1,6773,
659.933,µm,Surface,Position,1,6774,
674.937,µm,Surface,Position,1,6775,
619.648,µm,Surface,Position,1,6776,
640.325,µm,Surface,Position,1,6777,
628.691,µm,Surface,Position,1,6778,
650.879,µm,Surface,Position,1,6781,
627.266,µm,Surface,Position,1,6782,
701.917,µm,Surface,Position,1,6783,
654.08,µm,Surface,Position,1,6784,
663.71,µm,Surface,Position,1,6785,
633.88,µm,Surface,Position,1,6786,
651.767,µm,Surface,Position,1,6787,
705.141,µm,Surface,Position,1,6788,
694.307,µm,Surface,Position,1,6789,
639.742,µm,Surface,Position,1,6790,
707.928,µm,Surface,Position,1,6791,
632.156,µm,Surface,Position,1,6792,
635.575,µm,Surface,Position,1,6793,
681.152,µm,Surface,Position,1,6794,
637.132,µm,Surface,Position,1,6795,
650.305,µm,Surface,Position,1,6796,
674.94,µm,Surface,Position,1,6797,
620.375,µm,Surface,Position,1,6798,
694.159,µm,Surface,Position,1,6799,
676.849,µm,Surface,Position,1,6800,
649.64,µm,Surface,Position,1,6801,
620.279,µm,Surface,Position,1,6802,
708.363,µm,Surface,Position,1,6803,
644.898,µm,Surface,Position,1,6804,
677.759,µm,Surface,Position,1,6805,
641.746,µm,Surface,Position,1,6806,
652.383,µm,Surface,Position,1,6807,
636.736,µm,Surface,Position,1,6808,
645.134,µm,Surface,Position,1,6810,
663.359,µm,Surface,Position,1,6811,
685.74,µm,Surface,Position,1,6812,
653.662,µm,Surface,Position,1,6813,
715.174,µm,Surface,Position,1,6814,
645.069,µm,Surface,Position,1,6815,
676.734,µm,Surface,Position,1,6816,
663.989,µm,Surface,Position,1,6817,
695.131,µm,Surface,Position,1,6819,
688.506,µm,Surface,Position,1,6820,
684.167,µm,Surface,Position,1,6821,
681.342,µm,Surface,Position,1,6822,
680.069,µm,Surface,Position,1,6823,
683.041,µm,Surface,Position,1,6824,
681.887,µm,Surface,Position,1,6825,
666.733,µm,Surface,Position,1,6826,
683.57,µm,Surface,Position,1,6827,
670.981,µm,Surface,Position,1,6828,
688.177,µm,Surface,Position,1,6829,
672.887,µm,Surface,Position,1,6830,
610.795,µm,Surface,Position,1,6831,
555.131,µm,Surface,Position,1,6832,
546.704,µm,Surface,Position,1,6833,
573.588,µm,Surface,Position,1,6834,
580.082,µm,Surface,Position,1,6836,
572.425,µm,Surface,Position,1,6837,
654.9,µm,Surface,Position,1,6838,
590.423,µm,Surface,Position,1,6840,
570.247,µm,Surface,Position,1,6841,
631.988,µm,Surface,Position,1,6842,
614.896,µm,Surface,Position,1,6843,
662.632,µm,Surface,Position,1,6844,
564.364,µm,Surface,Position,1,6845,
657.031,µm,Surface,Position,1,6846,
645.083,µm,Surface,Position,1,6847,
571.523,µm,Surface,Position,1,6849,
706.36,µm,Surface,Position,1,6850,
665.691,µm,Surface,Position,1,6851,
599.549,µm,Surface,Position,1,6852,
581.499,µm,Surface,Position,1,6853,
585.745,µm,Surface,Position,1,6855,
594.615,µm,Surface,Position,1,6856,
686.703,µm,Surface,Position,1,6857,
596.783,µm,Surface,Position,1,6858,
549.588,µm,Surface,Position,1,6859,
680.653,µm,Surface,Position,1,6860,
607.72,µm,Surface,Position,1,6861,
602.992,µm,Surface,Position,1,6862,
589.191,µm,Surface,Position,1,6863,
654.747,µm,Surface,Position,1,6864,
584.251,µm,Surface,Position,1,6866,
682.99,µm,Surface,Position,1,6867,
590.206,µm,Surface,Position,1,6868,
585.461,µm,Surface,Position,1,6869,
578.276,µm,Surface,Position,1,6870,
670.607,µm,Surface,Position,1,6871,
689.99,µm,Surface,Position,1,6872,
564.243,µm,Surface,Position,1,6873,
556.135,µm,Surface,Position,1,6874,
687.567,µm,Surface,Position,1,6875,
668.809,µm,Surface,Position,1,6877,
695.848,µm,Surface,Position,1,6878,
569.19,µm,Surface,Position,1,6879,
619.767,µm,Surface,Position,1,6880,
544.935,µm,Surface,Position,1,6881,
699.292,µm,Surface,Position,1,6882,
615.382,µm,Surface,Position,1,6884,
572.163,µm,Surface,Position,1,6885,
689.096,µm,Surface,Position,1,6886,
652.425,µm,Surface,Position,1,6887,
605.237,µm,Surface,Position,1,6888,
676.492,µm,Surface,Position,1,6889,
643.399,µm,Surface,Position,1,6890,
700.383,µm,Surface,Position,1,6891,
621.327,µm,Surface,Position,1,6892,
602.522,µm,Surface,Position,1,6894,
639.314,µm,Surface,Position,1,6895,
647.696,µm,Surface,Position,1,6896,
580.922,µm,Surface,Position,1,6897,
713.91,µm,Surface,Position,1,6898,
626.711,µm,Surface,Position,1,6899,
641.688,µm,Surface,Position,1,6900,
629.56,µm,Surface,Position,1,6901,
625.353,µm,Surface,Position,1,6902,
705.418,µm,Surface,Position,1,6904,
590.693,µm,Surface,Position,1,6905,
595.006,µm,Surface,Position,1,6906,
509.769,µm,Surface,Position,1,6907,
654.23,µm,Surface,Position,1,6908,
695.259,µm,Surface,Position,1,6909,
507.777,µm,Surface,Position,1,6910,
560.761,µm,Surface,Position,1,6911,
704.54,µm,Surface,Position,1,6912,
664.068,µm,Surface,Position,1,6914,
522.68,µm,Surface,Position,1,6915,
586.539,µm,Surface,Position,1,6917,
693.454,µm,Surface,Position,1,6919,
586.921,µm,Surface,Position,1,6920,
597.493,µm,Surface,Position,1,6921,
542.246,µm,Surface,Position,1,6922,
654.974,µm,Surface,Position,1,6923,
693.084,µm,Surface,Position,1,6924,
588.215,µm,Surface,Position,1,6925,
580.075,µm,Surface,Position,1,6926,
651.62,µm,Surface,Position,1,6927,
672.325,µm,Surface,Position,1,6928,
630.429,µm,Surface,Position,1,6929,
542.23,µm,Surface,Position,1,6930,
589.922,µm,Surface,Position,1,6931,
589.625,µm,Surface,Position,1,6932,
586.099,µm,Surface,Position,1,6933,
664.903,µm,Surface,Position,1,6934,
662.227,µm,Surface,Position,1,6935,
588.265,µm,Surface,Position,1,6936,
591.13,µm,Surface,Position,1,6937,
594.513,µm,Surface,Position,1,6938,
583.666,µm,Surface,Position,1,6939,
601.131,µm,Surface,Position,1,6941,
599.441,µm,Surface,Position,1,6942,
596.992,µm,Surface,Position,1,6943,
586.808,µm,Surface,Position,1,6944,
708.463,µm,Surface,Position,1,6945,
508.158,µm,Surface,Position,1,6946,
660.674,µm,Surface,Position,1,6947,
662.342,µm,Surface,Position,1,6948,
