
Position Y
 ==================== 
Position Y,Unit,Category,Collection,Time,ID,
610.337,µm,Surface,Position,1,6721,
697.054,µm,Surface,Position,1,6722,
707.862,µm,Surface,Position,1,6723,
586.239,µm,Surface,Position,1,6724,
622.573,µm,Surface,Position,1,6725,
589.533,µm,Surface,Position,1,6726,
560.506,µm,Surface,Position,1,6728,
671.911,µm,Surface,Position,1,6729,
673.722,µm,Surface,Position,1,6730,
622.08,µm,Surface,Position,1,6731,
652.323,µm,Surface,Position,1,6732,
562.263,µm,Surface,Position,1,6733,
644.808,µm,Surface,Position,1,6734,
671.241,µm,Surface,Position,1,6735,
693.841,µm,Surface,Position,1,6736,
569.968,µm,Surface,Position,1,6737,
599.217,µm,Surface,Position,1,6738,
685.544,µm,Surface,Position,1,6739,
572.632,µm,Surface,Position,1,6740,
622.816,µm,Surface,Position,1,6741,
591.488,µm,Surface,Position,1,6742,
600.938,µm,Surface,Position,1,6743,
601.304,µm,Surface,Position,1,6744,
587.796,µm,Surface,Position,1,6745,
691.881,µm,Surface,Position,1,6746,
661.921,µm,Surface,Position,1,6747,
698.298,µm,Surface,Position,1,6748,
577.67,µm,Surface,Position,1,6749,
599.881,µm,Surface,Position,1,6750,
698.944,µm,Surface,Position,1,6751,
674.262,µm,Surface,Position,1,6752,
600.591,µm,Surface,Position,1,6753,
595.046,µm,Surface,Position,1,6754,
715.049,µm,Surface,Position,1,6755,
651.972,µm,Surface,Position,1,6756,
634.882,µm,Surface,Position,1,6757,
654.358,µm,Surface,Position,1,6758,
588.012,µm,Surface,Position,1,6760,
584.973,µm,Surface,Position,1,6761,
657.369,µm,Surface,Position,1,6762,
689.114,µm,Surface,Position,1,6763,
656.373,µm,Surface,Position,1,6764,
596.012,µm,Surface,Position,1,6765,
635.812,µm,Surface,Position,1,6766,
685.823,µm,Surface,Position,1,6767,
656.88,µm,Surface,Position,1,6768,
687.387,µm,Surface,Position,1,6770,
686.463,µm,Surface,Position,1,6771,
619.392,µm,Surface,Position,1,6772,
641.981,µm,Surface,Position,1,6773,
641.529,µm,Surface,Position,1,6774,
639.631,µm,Surface,Position,1,6775,
678.996,µm,Surface,Position,1,6776,
672.667,µm,Surface,Position,1,6777,
688.974,µm,Surface,Position,1,6778,
669.595,µm,Surface,Position,1,6781,
690.869,µm,Surface,Position,1,6782,
622.846,µm,Surface,Position,1,6783,
656.286,µm,Surface,Position,1,6784,
640.674,µm,Surface,Position,1,6785,
686.894,µm,Surface,Position,1,6786,
672.317,µm,Surface,Position,1,6787,
622.621,µm,Surface,Position,1,6788,
615.143,µm,Surface,Position,1,6789,
681.716,µm,Surface,Position,1,6790,
620.76,µm,Surface,Position,1,6791,
687.117,µm,Surface,Position,1,6792,
687.061,µm,Surface,Position,1,6793,
651.398,µm,Surface,Position,1,6794,
687.87,µm,Surface,Position,1,6795,
681.245,µm,Surface,Position,1,6796,
663.376,µm,Surface,Position,1,6797,
701.742,µm,Surface,Position,1,6798,
632.264,µm,Surface,Position,1,6799,
657.905,µm,Surface,Position,1,6800,
681.686,µm,Surface,Position,1,6801,
703.68,µm,Surface,Position,1,6802,
632.289,µm,Surface,Position,1,6803,
689.583,µm,Surface,Position,1,6804,
663.333,µm,Surface,Position,1,6805,
711.001,µm,Surface,Position,1,6806,
686.573,µm,Surface,Position,1,6807,
696.233,µm,Surface,Position,1,6808,
709.637,µm,Surface,Position,1,6810,
678.44,µm,Surface,Position,1,6811,
677.353,µm,Surface,Position,1,6812,
710.607,µm,Surface,Position,1,6813,
631.643,µm,Surface,Position,1,6814,
715.33,µm,Surface,Position,1,6815,
671.589,µm,Surface,Position,1,6816,
691.623,µm,Surface,Position,1,6817,
659.841,µm,Surface,Position,1,6819,
678.851,µm,Surface,Position,1,6820,
681.733,µm,Surface,Position,1,6821,
687.587,µm,Surface,Position,1,6822,
684.523,µm,Surface,Position,1,6823,
686.358,µm,Surface,Position,1,6824,
683.241,µm,Surface,Position,1,6825,
713.1,µm,Surface,Position,1,6826,
697.364,µm,Surface,Position,1,6827,
712.469,µm,Surface,Position,1,6828,
703.027,µm,Surface,Position,1,6829,
715.723,µm,Surface,Position,1,6830,
608.15,µm,Surface,Position,1,6831,
668.096,µm,Surface,Position,1,6832,
667.32,µm,Surface,Position,1,6833,
645.496,µm,Surface,Position,1,6834,
648.252,µm,Surface,Position,1,6836,
654.551,µm,Surface,Position,1,6837,
574.72,µm,Surface,Position,1,6838,
637.524,µm,Surface,Position,1,6840,
670.525,µm,Surface,Position,1,6841,
593.537,µm,Surface,Position,1,6842,
618.498,µm,Surface,Position,1,6843,
578.297,µm,Surface,Position,1,6844,
679.999,µm,Surface,Position,1,6845,
574.322,µm,Surface,Position,1,6846,
579.253,µm,Surface,Position,1,6847,
666.146,µm,Surface,Position,1,6849,
535.38,µm,Surface,Position,1,6850,
575.24,µm,Surface,Position,1,6851,
629.581,µm,Surface,Position,1,6852,
650.452,µm,Surface,Position,1,6853,
649.518,µm,Surface,Position,1,6855,
648.161,µm,Surface,Position,1,6856,
552.187,µm,Surface,Position,1,6857,
645.198,µm,Surface,Position,1,6858,
699.35,µm,Surface,Position,1,6859,
560.733,µm,Surface,Position,1,6860,
633.428,µm,Surface,Position,1,6861,
648.156,µm,Surface,Position,1,6862,
659.29,µm,Surface,Position,1,6863,
591.252,µm,Surface,Position,1,6864,
655.844,µm,Surface,Position,1,6866,
554.086,µm,Surface,Position,1,6867,
647.014,µm,Surface,Position,1,6868,
657.719,µm,Surface,Position,1,6869,
659.044,µm,Surface,Position,1,6870,
568.663,µm,Surface,Position,1,6871,
569.078,µm,Surface,Position,1,6872,
692.011,µm,Surface,Position,1,6873,
699.418,µm,Surface,Position,1,6874,
555.674,µm,Surface,Position,1,6875,
570.214,µm,Surface,Position,1,6877,
