
Position Z
 ==================== 
Position Z,Unit,Category,Collection,Time,ID,
22.3856,µm,Surface,Position,1,6721,
21.619,µm,Surface,Position,1,6722,
22.4813,µm,Surface,Position,1,6723,
11.5119,µm,Surface,Position,1,6724,
23.755,µm,Surface,Position,1,6725,
24.4779,µm,Surface,Position,1,6726,
28.3011,µm,Surface,Position,1,6728,
22.7561,µm,Surface,Position,1,6729,
20.1877,µm,Surface,Position,1,6730,
20.7421,µm,Surface,Position,1,6731,
30.252,µm,Surface,Position,1,6732,
24.3472,µm,Surface,Position,1,6733,
14.2804,µm,Surface,Position,1,6734,
29.6705,µm,Surface,Position,1,6735,
14.0395,µm,Surface,Position,1,6736,
12.5444,µm,Surface,Position,1,6737,
15.8444,µm,Surface,Position,1,6738,
15.1197,µm,Surface,Position,1,6739,
15.8792,µm,Surface,Position,1,6740,
16.6763,µm,Surface,Position,1,6741,
22.7587,µm,Surface,Position,1,6742,
28.4702,µm,Surface,Position,1,6743,
20.5284,µm,Surface,Position,1,6744,
24.8304,µm,Surface,Position,1,6745,
10.375,µm,Surface,Position,1,6746,
18.4659,µm,Surface,Position,1,6747,
14.6161,µm,Surface,Position,1,6748,
13.6081,µm,Surface,Position,1,6749,
22.6736,µm,Surface,Position,1,6750,
14.3321,µm,Surface,Position,1,6751,
19.1393,µm,Surface,Position,1,6752,
11.1683,µm,Surface,Position,1,6753,
25.1603,µm,Surface,Position,1,6754,
24.8194,µm,Surface,Position,1,6755,
18.1708,µm,Surface,Position,1,6756,
24.5231,µm,Surface,Position,1,6757,
11.775,µm,Surface,Position,1,6758,
18.0588,µm,Surface,Position,1,6760,
23.4411,µm,Surface,Position,1,6761,
21.601,µm,Surface,Position,1,6762,
16.3518,µm,Surface,Position,1,6763,
20.1635,µm,Surface,Position,1,6764,
20.246,µm,Surface,Position,1,6765,
29.0185,µm,Surface,Position,1,6766,
21.6592,µm,Surface,Position,1,6767,
29.3944,µm,Surface,Position,1,6768,
14.7217,µm,Surface,Position,1,6770,
16.9526,µm,Surface,Position,1,6771,
30.2795,µm,Surface,Position,1,6772,
20.881,µm,Surface,Position,1,6773,
27.7013,µm,Surface,Position,1,6774,
18.2586,µm,Surface,Position,1,6775,
30.5822,µm,Surface,Position,1,6776,
17.1985,µm,Surface,Position,1,6777,
15.9652,µm,Surface,Position,1,6778,
13.6976,µm,Surface,Position,1,6781,
16.0507,µm,Surface,Position,1,6782,
13.2372,µm,Surface,Position,1,6783,
26.825,µm,Surface,Position,1,6784,
30.75,µm,Surface,Position,1,6785,
17.7462,µm,Surface,Position,1,6786,
14.275,µm,Surface,Position,1,6787,
12.555,µm,Surface,Position,1,6788,
29.6993,µm,Surface,Position,1,6789,
19.5951,µm,Surface,Position,1,6790,
12.8774,µm,Surface,Position,1,6791,
20.9635,µm,Surface,Position,1,6792,
19.2564,µm,Surface,Position,1,6793,
14.3108,µm,Surface,Position,1,6794,
18.2628,µm,Surface,Position,1,6795,
15.4575,µm,Surface,Position,1,6796,
10.6395,µm,Surface,Position,1,6797,
27.5528,µm,Surface,Position,1,6798,
24.9824,µm,Surface,Position,1,6799,
19.1556,µm,Surface,Position,1,6800,
22.0205,µm,Surface,Position,1,6801,
29.0833,µm,Surface,Position,1,6802,
18.1811,µm,Surface,Position,1,6803,
23.4176,µm,Surface,Position,1,6804,
19.6756,µm,Surface,Position,1,6805,
11.3797,µm,Surface,Position,1,6806,
24.5921,µm,Surface,Position,1,6807,
30.942,µm,Surface,Position,1,6808,
13.1025,µm,Surface,Position,1,6810,
24.3487,µm,Surface,Position,1,6811,
10.736,µm,Surface,Position,1,6812,
12.5152,µm,Surface,Position,1,6813,
28.2703,µm,Surface,Position,1,6814,
17.6419,µm,Surface,Position,1,6815,
28.65,µm,Surface,Position,1,6816,
23.9026,µm,Surface,Position,1,6817,
25.9712,µm,Surface,Position,1,6819,
16.625,µm,Surface,Position,1,6820,
18.6071,µm,Surface,Position,1,6821,
17.0518,µm,Surface,Position,1,6822,
23.7744,µm,Surface,Position,1,6823,
21.09,µm,Surface,Position,1,6824,
26.6789,µm,Surface,Position,1,6825,
16.8939,µm,Surface,Position,1,6826,
19.8404,µm,Surface,Position,1,6827,
23.703,µm,Surface,Position,1,6828,
17.821,µm,Surface,Position,1,6829,
24.5869,µm,Surface,Position,1,6830,
27.1054,µm,Surface,Position,1,6831,
25.266,µm,Surface,Position,1,6832,
31.2083,µm,Surface,Position,1,6833,
30.0998,µm,Surface,Position,1,6834,
19.9327,µm,Surface,Position,1,6836,
22.3981,µm,Surface,Position,1,6837,
22.2068,µm,Surface,Position,1,6838,
24.1691,µm,Surface,Position,1,6840,
11.9583,µm,Surface,Position,1,6841,
28.0493,µm,Surface,Position,1,6842,
19.0312,µm,Surface,Position,1,6843,
15.0878,µm,Surface,Position,1,6844,
14.1148,µm,Surface,Position,1,6845,
23.4879,µm,Surface,Position,1,6846,
30.9047,µm,Surface,Position,1,6847,
18.7708,µm,Surface,Position,1,6849,
15.125,µm,Surface,Position,1,6850,
16,µm,Surface,Position,1,6851,
27.8137,µm,Surface,Position,1,6852,
25.4578,µm,Surface,Position,1,6853,
23.4176,µm,Surface,Position,1,6855,
18.5925,µm,Surface,Position,1,6856,
20.9328,µm,Surface,Position,1,6857,
18.7736,µm,Surface,Position,1,6858,
12.7379,µm,Surface,Position,1,6859,
19.0288,µm,Surface,Position,1,6860,
23.3223,µm,Surface,Position,1,6861,
12.4779,µm,Surface,Position,1,6862,
17.842,µm,Surface,Position,1,6863,
22.3335,µm,Surface,Position,1,6864,
25.0536,µm,Surface,Position,1,6866,
28.4954,µm,Surface,Position,1,6867,
30.2572,µm,Surface,Position,1,6868,
24.6671,µm,Surface,Position,1,6869,
30.6637,µm,Surface,Position,1,6870,
28.5776,µm,Surface,Position,1,6871,
11.3917,µm,Surface,Position,1,6872,
18.2506,µm,Surface,Position,1,6873,
15.8381,µm,Surface,Position,1,6874,
27.8986,µm,Surface,Position,1,6875,
31.1328,µm,Surface,Position,1,6877,
11.5139,µm,Surface,Position,1,6878,
29.3304,µm,Surface,Position,1,6879,
26.3788,µm,Surface,Position,1,6880,
25.0944,µm,Surface,Position,1,6881,
19.4611,µm,Surface,Position,1,6882,
10.1052,µm,Surface,Position,1,6884,
18.5424,µm,Surface,Position,1,6885,
14.3086,µm,Surface,Position,1,6886,
19.2029,µm,Surface,Position,1,6887,
14.1378,µm,Surface,Position,1,6888,
10.7944,µm,Surface,Position,1,6889,
30.3391,µm,Surface,Position,1,6890,
25.375,µm,Surface,Position,1,6891,
11.8345,µm,Surface,Position,1,6892,
16.0907,µm,Surface,Position,1,6894,
20.4167,µm,Surface,Position,1,6895,
28.7263,µm,Surface,Position,1,6896,
26.2891,µm,Surface,Position,1,6897,
27.2444,µm,Surface,Position,1,6898,
13.0614,µm,Surface,Position,1,6899,
21.3341,µm,Surface,Position,1,6900,
16.875,µm,Surface,Position,1,6901,
14.1562,µm,Surface,Position,1,6902,
13.9447,µm,Surface,Position,1,6904,
18.7188,µm,Surface,Position,1,6905,
13.3,µm,Surface,Position,1,6906,
15.3577,µm,Surface,Position,1,6907,
16.9601,µm,Surface,Position,1,6908,
30.8948,µm,Surface,Position,1,6909,
