
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,ID,
0.884624,,Surface,1,6721,
0.869265,,Surface,1,6722,
0.735901,,Surface,1,6723,
0.915602,,Surface,1,6724,
0.90238,,Surface,1,6725,
0.86284,,Surface,1,6726,
0.85653,,Surface,1,6728,
0.914891,,Surface,1,6729,
0.936251,,Surface,1,6730,
0.919272,,Surface,1,6731,
0.892213,,Surface,1,6732,
0.849688,,Surface,1,6733,
0.895292,,Surface,1,6734,
0.880881,,Surface,1,6735,
0.926145,,Surface,1,6736,
0.929675,,Surface,1,6737,
0.929662,,Surface,1,6738,
0.933457,,Surface,1,6739,
0.931867,,Surface,1,6740,
0.942046,,Surface,1,6741,
0.953936,,Surface,1,6742,
0.925277,,Surface,1,6743,
0.901806,,Surface,1,6744,
0.911775,,Surface,1,6745,
0.864408,,Surface,1,6746,
0.871995,,Surface,1,6747,
0.907323,,Surface,1,6748,
0.923311,,Surface,1,6749,
0.873403,,Surface,1,6750,
0.865565,,Surface,1,6751,
0.906929,,Surface,1,6752,
0.935995,,Surface,1,6753,
0.88128,,Surface,1,6754,
0.851457,,Surface,1,6755,
0.903925,,Surface,1,6756,
0.941643,,Surface,1,6757,
0.87888,,Surface,1,6758,
0.888811,,Surface,1,6760,
0.907904,,Surface,1,6761,
0.906404,,Surface,1,6762,
0.941533,,Surface,1,6763,
0.886532,,Surface,1,6764,
0.931497,,Surface,1,6765,
0.903102,,Surface,1,6766,
0.897641,,Surface,1,6767,
0.930929,,Surface,1,6768,
0.960634,,Surface,1,6770,
0.917282,,Surface,1,6771,
0.853379,,Surface,1,6772,
0.903754,,Surface,1,6773,
0.92789,,Surface,1,6774,
0.913126,,Surface,1,6775,
0.883791,,Surface,1,6776,
0.922648,,Surface,1,6777,
0.918586,,Surface,1,6778,
0.812324,,Surface,1,6781,
0.91273,,Surface,1,6782,
0.919477,,Surface,1,6783,
0.878907,,Surface,1,6784,
0.824482,,Surface,1,6785,
0.905848,,Surface,1,6786,
0.891219,,Surface,1,6787,
0.922179,,Surface,1,6788,
0.776123,,Surface,1,6789,
0.927129,,Surface,1,6790,
0.921696,,Surface,1,6791,
0.885136,,Surface,1,6792,
0.907124,,Surface,1,6793,
0.873534,,Surface,1,6794,
0.943696,,Surface,1,6795,
0.932216,,Surface,1,6796,
0.957773,,Surface,1,6797,
0.854808,,Surface,1,6798,
0.91033,,Surface,1,6799,
0.930158,,Surface,1,6800,
0.916263,,Surface,1,6801,
0.888722,,Surface,1,6802,
0.932366,,Surface,1,6803,
0.930982,,Surface,1,6804,
0.921481,,Surface,1,6805,
0.956627,,Surface,1,6806,
0.914384,,Surface,1,6807,
0.909354,,Surface,1,6808,
0.945872,,Surface,1,6810,
0.772855,,Surface,1,6811,
0.965969,,Surface,1,6812,
0.945834,,Surface,1,6813,
0.946894,,Surface,1,6814,
0.817988,,Surface,1,6815,
0.830533,,Surface,1,6816,
0.900232,,Surface,1,6817,
0.937887,,Surface,1,6819,
0.911863,,Surface,1,6820,
0.910001,,Surface,1,6821,
0.931963,,Surface,1,6822,
0.877583,,Surface,1,6823,
0.899993,,Surface,1,6824,
0.930436,,Surface,1,6825,
0.944001,,Surface,1,6826,
0.923403,,Surface,1,6827,
0.709456,,Surface,1,6828,
0.914034,,Surface,1,6829,
0.894309,,Surface,1,6830,
0.883954,,Surface,1,6831,
0.893389,,Surface,1,6832,
0.826772,,Surface,1,6833,
0.916129,,Surface,1,6834,
0.889088,,Surface,1,6836,
0.909653,,Surface,1,6837,
0.935344,,Surface,1,6838,
0.917364,,Surface,1,6840,
0.952965,,Surface,1,6841,
0.91622,,Surface,1,6842,
0.892942,,Surface,1,6843,
0.956311,,Surface,1,6844,
0.912636,,Surface,1,6845,
0.937333,,Surface,1,6846,
0.928648,,Surface,1,6847,
0.872509,,Surface,1,6849,
0.942366,,Surface,1,6850,
0.920081,,Surface,1,6851,
0.897634,,Surface,1,6852,
0.953885,,Surface,1,6853,
0.919387,,Surface,1,6855,
0.932209,,Surface,1,6856,
0.897665,,Surface,1,6857,
0.867866,,Surface,1,6858,
0.927459,,Surface,1,6859,
0.892598,,Surface,1,6860,
0.905521,,Surface,1,6861,
0.844044,,Surface,1,6862,
0.906392,,Surface,1,6863,
0.932154,,Surface,1,6864,
0.918358,,Surface,1,6866,
0.886671,,Surface,1,6867,
0.862755,,Surface,1,6868,
0.93423,,Surface,1,6869,
0.904227,,Surface,1,6870,
0.923146,,Surface,1,6871,
0.963865,,Surface,1,6872,
0.958896,,Surface,1,6873,
0.9323,,Surface,1,6874,
0.906847,,Surface,1,6875,
0.880272,,Surface,1,6877,
0.904915,,Surface,1,6878,
0.957546,,Surface,1,6879,
0.917847,,Surface,1,6880,
0.901984,,Surface,1,6881,
0.907895,,Surface,1,6882,
0.953844,,Surface,1,6884,
0.905494,,Surface,1,6885,
0.93913,,Surface,1,6886,
0.945752,,Surface,1,6887,
0.936263,,Surface,1,6888,
0.950623,,Surface,1,6889,
0.924016,,Surface,1,6890,
0.888781,,Surface,1,6891,
0.967408,,Surface,1,6892,
0.934889,,Surface,1,6894,
0.929318,,Surface,1,6895,
0.910151,,Surface,1,6896,
0.91677,,Surface,1,6897,
0.957982,,Surface,1,6898,
0.918078,,Surface,1,6899,
0.893473,,Surface,1,6900,
0.843285,,Surface,1,6901,
0.858354,,Surface,1,6902,
0.872996,,Surface,1,6904,
0.91086,,Surface,1,6905,
0.858009,,Surface,1,6906,
0.93037,,Surface,1,6907,
0.923064,,Surface,1,6908,
0.91502,,Surface,1,6909,
0.885882,,Surface,1,6910,
0.91003,,Surface,1,6911,
0.923149,,Surface,1,6912,
0.944221,,Surface,1,6914,
0.920328,,Surface,1,6915,
0.925004,,Surface,1,6917,
0.948474,,Surface,1,6919,
0.895227,,Surface,1,6920,
0.914977,,Surface,1,6921,
0.892268,,Surface,1,6922,
0.951328,,Surface,1,6923,
0.851743,,Surface,1,6924,
0.923599,,Surface,1,6925,
0.940351,,Surface,1,6926,
0.91009,,Surface,1,6927,
0.917205,,Surface,1,6928,
0.895746,,Surface,1,6929,
0.905368,,Surface,1,6930,
0.946178,,Surface,1,6931,
0.951936,,Surface,1,6932,
0.88582,,Surface,1,6933,
0.874089,,Surface,1,6934,
0.97601,,Surface,1,6935,
0.886173,,Surface,1,6936,
0.906871,,Surface,1,6937,
0.807223,,Surface,1,6938,
0.782572,,Surface,1,6939,
0.923462,,Surface,1,6941,
0.913454,,Surface,1,6942,
0.918774,,Surface,1,6943,
0.798058,,Surface,1,6944,
0.899648,,Surface,1,6945,
0.891392,,Surface,1,6946,
