
Volume Img=1
 ==================== 
Distance to Surface,Volume,Unit,Collection,Image,Time,ID,
-2.2865,2.26012,µm^3,Volume,Image 1,1,,
-2.0175,9.20465,µm^3,Volume,Image 1,1,,
-1.7485,34.9235,µm^3,Volume,Image 1,1,,
-1.4795,126.004,µm^3,Volume,Image 1,1,,
-1.2105,425.817,µm^3,Volume,Image 1,1,,
-0.9415,1291.13,µm^3,Volume,Image 1,1,,
-0.6725,3367.83,µm^3,Volume,Image 1,1,,
-0.4035,7330.68,µm^3,Volume,Image 1,1,,
-0.1345,12906.5,µm^3,Volume,Image 1,1,,
0.1345,18504.6,µm^3,Volume,Image 1,1,,
0.4035,27876.1,µm^3,Volume,Image 1,1,,
0.6725,39152.8,µm^3,Volume,Image 1,1,,
0.9415,51510.7,µm^3,Volume,Image 1,1,,
1.2105,64942.7,µm^3,Volume,Image 1,1,,
1.4795,79872.2,µm^3,Volume,Image 1,1,,
1.7485,96064,µm^3,Volume,Image 1,1,,
2.0175,113469,µm^3,Volume,Image 1,1,,
2.2865,131087,µm^3,Volume,Image 1,1,,
2.5555,149823,µm^3,Volume,Image 1,1,,
2.8245,168415,µm^3,Volume,Image 1,1,,
3.0935,187286,µm^3,Volume,Image 1,1,,
3.3625,207212,µm^3,Volume,Image 1,1,,
3.6315,227734,µm^3,Volume,Image 1,1,,
3.9005,246802,µm^3,Volume,Image 1,1,,
4.1695,265944,µm^3,Volume,Image 1,1,,
4.4385,284204,µm^3,Volume,Image 1,1,,
4.7075,301798,µm^3,Volume,Image 1,1,,
4.9765,318844,µm^3,Volume,Image 1,1,,
5.2455,334138,µm^3,Volume,Image 1,1,,
5.5145,348757,µm^3,Volume,Image 1,1,,
5.7835,361727,µm^3,Volume,Image 1,1,,
6.0525,373335,µm^3,Volume,Image 1,1,,
6.3215,384927,µm^3,Volume,Image 1,1,,
6.5905,394836,µm^3,Volume,Image 1,1,,
6.8595,403647,µm^3,Volume,Image 1,1,,
7.1285,411418,µm^3,Volume,Image 1,1,,
7.3975,417042,µm^3,Volume,Image 1,1,,
7.6665,419989,µm^3,Volume,Image 1,1,,
7.9355,421420,µm^3,Volume,Image 1,1,,
8.2045,424928,µm^3,Volume,Image 1,1,,
8.4735,424644,µm^3,Volume,Image 1,1,,
8.7425,425187,µm^3,Volume,Image 1,1,,
9.0115,421283,µm^3,Volume,Image 1,1,,
9.2805,418724,µm^3,Volume,Image 1,1,,
9.5495,412143,µm^3,Volume,Image 1,1,,
9.8185,406870,µm^3,Volume,Image 1,1,,
10.0875,402954,µm^3,Volume,Image 1,1,,
10.3565,395182,µm^3,Volume,Image 1,1,,
10.6255,388906,µm^3,Volume,Image 1,1,,
10.8945,378748,µm^3,Volume,Image 1,1,,
11.1635,370076,µm^3,Volume,Image 1,1,,
11.4325,358503,µm^3,Volume,Image 1,1,,
11.7015,348230,µm^3,Volume,Image 1,1,,
11.9705,334948,µm^3,Volume,Image 1,1,,
12.2395,323119,µm^3,Volume,Image 1,1,,
12.5085,313047,µm^3,Volume,Image 1,1,,
12.7775,300093,µm^3,Volume,Image 1,1,,
13.0465,288333,µm^3,Volume,Image 1,1,,
13.3155,274921,µm^3,Volume,Image 1,1,,
13.5845,262819,µm^3,Volume,Image 1,1,,
13.8535,248676,µm^3,Volume,Image 1,1,,
14.1225,236150,µm^3,Volume,Image 1,1,,
14.3915,225135,µm^3,Volume,Image 1,1,,
14.6605,212478,µm^3,Volume,Image 1,1,,
14.9295,201069,µm^3,Volume,Image 1,1,,
15.1985,188709,µm^3,Volume,Image 1,1,,
15.4675,177624,µm^3,Volume,Image 1,1,,
15.7365,165665,µm^3,Volume,Image 1,1,,
16.0055,155372,µm^3,Volume,Image 1,1,,
16.2745,147333,µm^3,Volume,Image 1,1,,
16.5435,136180,µm^3,Volume,Image 1,1,,
16.8125,126279,µm^3,Volume,Image 1,1,,
17.0815,118033,µm^3,Volume,Image 1,1,,
17.3505,110907,µm^3,Volume,Image 1,1,,
17.6195,101790,µm^3,Volume,Image 1,1,,
17.8885,93490.1,µm^3,Volume,Image 1,1,,
18.1575,86550.1,µm^3,Volume,Image 1,1,,
18.4265,80595.6,µm^3,Volume,Image 1,1,,
18.6955,75362.3,µm^3,Volume,Image 1,1,,
18.9645,68762.6,µm^3,Volume,Image 1,1,,
19.2335,62883.2,µm^3,Volume,Image 1,1,,
19.5025,57911.8,µm^3,Volume,Image 1,1,,
19.7715,53617.2,µm^3,Volume,Image 1,1,,
20.0405,49803.6,µm^3,Volume,Image 1,1,,
20.3095,45122.1,µm^3,Volume,Image 1,1,,
20.5785,40993.4,µm^3,Volume,Image 1,1,,
20.8475,37658.8,µm^3,Volume,Image 1,1,,
21.1165,34778.1,µm^3,Volume,Image 1,1,,
21.3855,31347.8,µm^3,Volume,Image 1,1,,
21.6545,28298.6,µm^3,Volume,Image 1,1,,
21.9235,25758.5,µm^3,Volume,Image 1,1,,
22.1925,23604.6,µm^3,Volume,Image 1,1,,
22.4615,21733.1,µm^3,Volume,Image 1,1,,
22.7305,19574.4,µm^3,Volume,Image 1,1,,
