
Area
 ==================== 
Area,Unit,Category,Time,ID,
547.406,µm^2,Surface,1,26181,
169.865,µm^2,Surface,1,26182,
597.908,µm^2,Surface,1,26183,
412.708,µm^2,Surface,1,26184,
372.189,µm^2,Surface,1,26185,
250.226,µm^2,Surface,1,26186,
286.058,µm^2,Surface,1,26189,
277.187,µm^2,Surface,1,26190,
370.249,µm^2,Surface,1,26192,
455.778,µm^2,Surface,1,26193,
301.554,µm^2,Surface,1,26194,
287.929,µm^2,Surface,1,26195,
208.793,µm^2,Surface,1,26196,
298.445,µm^2,Surface,1,26197,
262.757,µm^2,Surface,1,26198,
334.897,µm^2,Surface,1,26199,
303.561,µm^2,Surface,1,26200,
228.6,µm^2,Surface,1,26201,
430.661,µm^2,Surface,1,26203,
324.333,µm^2,Surface,1,26204,
241.293,µm^2,Surface,1,26205,
525.005,µm^2,Surface,1,26206,
261.442,µm^2,Surface,1,26207,
166.593,µm^2,Surface,1,26208,
294.674,µm^2,Surface,1,26209,
252.863,µm^2,Surface,1,26211,
188.616,µm^2,Surface,1,26212,
278.013,µm^2,Surface,1,26213,
217.926,µm^2,Surface,1,26214,
380.351,µm^2,Surface,1,26215,
281.203,µm^2,Surface,1,26216,
393.8,µm^2,Surface,1,26217,
526.138,µm^2,Surface,1,26218,
176.849,µm^2,Surface,1,26219,
582.11,µm^2,Surface,1,26220,
688.04,µm^2,Surface,1,26221,
285.374,µm^2,Surface,1,26222,
177.004,µm^2,Surface,1,26225,
341.636,µm^2,Surface,1,26226,
603.596,µm^2,Surface,1,26227,
247.307,µm^2,Surface,1,26228,
485.177,µm^2,Surface,1,26229,
154.208,µm^2,Surface,1,26230,
292.71,µm^2,Surface,1,26231,
265.086,µm^2,Surface,1,26232,
199.871,µm^2,Surface,1,26233,
414.888,µm^2,Surface,1,26235,
653.605,µm^2,Surface,1,26236,
183.952,µm^2,Surface,1,26237,
239.964,µm^2,Surface,1,26238,
220.13,µm^2,Surface,1,26241,
263.319,µm^2,Surface,1,26242,
281.37,µm^2,Surface,1,26245,
314.995,µm^2,Surface,1,26246,
264.071,µm^2,Surface,1,26247,
358.643,µm^2,Surface,1,26248,
364.293,µm^2,Surface,1,26249,
319.528,µm^2,Surface,1,26250,
204.232,µm^2,Surface,1,26251,
312.666,µm^2,Surface,1,26252,
238.72,µm^2,Surface,1,26253,
264.646,µm^2,Surface,1,26254,
264.93,µm^2,Surface,1,26255,
158.656,µm^2,Surface,1,26256,
437.377,µm^2,Surface,1,26258,
491.199,µm^2,Surface,1,26259,
223.821,µm^2,Surface,1,26260,
238.886,µm^2,Surface,1,26261,
271.739,µm^2,Surface,1,26262,
