
Cumulative Volume Img=1
 ==================== 
Distance to Surface,Cumulative Volume,Unit,Collection,Image,Time,ID,
-5.2455,7.59133,µm^3,Cumulative Volume,Image 1,1,,
-4.9765,39.3311,µm^3,Cumulative Volume,Image 1,1,,
-4.7075,161.402,µm^3,Cumulative Volume,Image 1,1,,
-4.4385,580.013,µm^3,Cumulative Volume,Image 1,1,,
-4.1695,1832.68,µm^3,Cumulative Volume,Image 1,1,,
-3.9005,5126.78,µm^3,Cumulative Volume,Image 1,1,,
-3.6315,12874.6,µm^3,Cumulative Volume,Image 1,1,,
-3.3625,29221.4,µm^3,Cumulative Volume,Image 1,1,,
-3.0935,60436.5,µm^3,Cumulative Volume,Image 1,1,,
-2.8245,114698,µm^3,Cumulative Volume,Image 1,1,,
-2.5555,201092,µm^3,Cumulative Volume,Image 1,1,,
-2.2865,328442,µm^3,Cumulative Volume,Image 1,1,,
-2.0175,505731,µm^3,Cumulative Volume,Image 1,1,,
-1.7485,739745,µm^3,Cumulative Volume,Image 1,1,,
-1.4795,1.03754e+06,µm^3,Cumulative Volume,Image 1,1,,
-1.2105,1.40459e+06,µm^3,Cumulative Volume,Image 1,1,,
-0.9415,1.84301e+06,µm^3,Cumulative Volume,Image 1,1,,
-0.6725,2.34598e+06,µm^3,Cumulative Volume,Image 1,1,,
-0.4035,2.89869e+06,µm^3,Cumulative Volume,Image 1,1,,
-0.1345,3.49048e+06,µm^3,Cumulative Volume,Image 1,1,,
0.1345,4.1538e+06,µm^3,Cumulative Volume,Image 1,1,,
0.4035,4.82941e+06,µm^3,Cumulative Volume,Image 1,1,,
0.6725,5.51446e+06,µm^3,Cumulative Volume,Image 1,1,,
0.9415,6.20696e+06,µm^3,Cumulative Volume,Image 1,1,,
1.2105,6.8999e+06,µm^3,Cumulative Volume,Image 1,1,,
1.4795,7.59024e+06,µm^3,Cumulative Volume,Image 1,1,,
1.7485,8.27181e+06,µm^3,Cumulative Volume,Image 1,1,,
2.0175,8.94096e+06,µm^3,Cumulative Volume,Image 1,1,,
2.2865,9.58981e+06,µm^3,Cumulative Volume,Image 1,1,,
2.5555,1.02178e+07,µm^3,Cumulative Volume,Image 1,1,,
2.8245,1.08202e+07,µm^3,Cumulative Volume,Image 1,1,,
3.0935,1.13961e+07,µm^3,Cumulative Volume,Image 1,1,,
3.3625,1.19471e+07,µm^3,Cumulative Volume,Image 1,1,,
3.6315,1.24701e+07,µm^3,Cumulative Volume,Image 1,1,,
3.9005,1.29514e+07,µm^3,Cumulative Volume,Image 1,1,,
4.1695,1.3395e+07,µm^3,Cumulative Volume,Image 1,1,,
4.4385,1.38056e+07,µm^3,Cumulative Volume,Image 1,1,,
4.7075,1.41872e+07,µm^3,Cumulative Volume,Image 1,1,,
4.9765,1.45428e+07,µm^3,Cumulative Volume,Image 1,1,,
5.2455,1.48742e+07,µm^3,Cumulative Volume,Image 1,1,,
5.5145,1.51836e+07,µm^3,Cumulative Volume,Image 1,1,,
5.7835,1.54729e+07,µm^3,Cumulative Volume,Image 1,1,,
6.0525,1.57443e+07,µm^3,Cumulative Volume,Image 1,1,,
6.3215,1.60007e+07,µm^3,Cumulative Volume,Image 1,1,,
6.5905,1.6244e+07,µm^3,Cumulative Volume,Image 1,1,,
6.8595,1.64772e+07,µm^3,Cumulative Volume,Image 1,1,,
7.1285,1.67026e+07,µm^3,Cumulative Volume,Image 1,1,,
7.3975,1.69156e+07,µm^3,Cumulative Volume,Image 1,1,,
7.6665,1.71164e+07,µm^3,Cumulative Volume,Image 1,1,,
7.9355,1.73063e+07,µm^3,Cumulative Volume,Image 1,1,,
8.2045,1.74863e+07,µm^3,Cumulative Volume,Image 1,1,,
8.4735,1.7653e+07,µm^3,Cumulative Volume,Image 1,1,,
8.7425,1.78038e+07,µm^3,Cumulative Volume,Image 1,1,,
9.0115,1.79352e+07,µm^3,Cumulative Volume,Image 1,1,,
9.2805,1.8048e+07,µm^3,Cumulative Volume,Image 1,1,,
9.5495,1.81434e+07,µm^3,Cumulative Volume,Image 1,1,,
9.8185,1.82242e+07,µm^3,Cumulative Volume,Image 1,1,,
10.0875,1.82931e+07,µm^3,Cumulative Volume,Image 1,1,,
10.3565,1.83513e+07,µm^3,Cumulative Volume,Image 1,1,,
10.6255,1.84008e+07,µm^3,Cumulative Volume,Image 1,1,,
10.8945,1.84424e+07,µm^3,Cumulative Volume,Image 1,1,,
