
Cumulative Volume Inside Img=1
 ==================== 
Distance to Surface,Cumulative Volume Inside,Unit,Collection,Image,Time,ID,
-5.2455,7.59133,µm^3,Cumulative Volume Inside,Image 1,1,,
-4.9765,39.3311,µm^3,Cumulative Volume Inside,Image 1,1,,
-4.7075,161.402,µm^3,Cumulative Volume Inside,Image 1,1,,
-4.4385,580.013,µm^3,Cumulative Volume Inside,Image 1,1,,
-4.1695,1832.68,µm^3,Cumulative Volume Inside,Image 1,1,,
-3.9005,5126.78,µm^3,Cumulative Volume Inside,Image 1,1,,
-3.6315,12874.6,µm^3,Cumulative Volume Inside,Image 1,1,,
-3.3625,29221.4,µm^3,Cumulative Volume Inside,Image 1,1,,
-3.0935,60436.5,µm^3,Cumulative Volume Inside,Image 1,1,,
-2.8245,114698,µm^3,Cumulative Volume Inside,Image 1,1,,
-2.5555,201092,µm^3,Cumulative Volume Inside,Image 1,1,,
-2.2865,328442,µm^3,Cumulative Volume Inside,Image 1,1,,
-2.0175,505731,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.7485,739745,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.4795,1.03754e+06,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.2105,1.40459e+06,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.9415,1.84301e+06,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.6725,2.34598e+06,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.4035,2.89869e+06,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.1345,3.49048e+06,µm^3,Cumulative Volume Inside,Image 1,1,,
