
Cumulative Volume Outside Img=1
 ==================== 
Distance to Surface,Cumulative Volume Outside,Unit,Collection,Image,Time,ID,
0.1345,663314,µm^3,Cumulative Volume Outside,Image 1,1,,
0.4035,1.33893e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
0.6725,2.02398e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
0.9415,2.71648e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
1.2105,3.40942e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
1.4795,4.09976e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
1.7485,4.78133e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
2.0175,5.45048e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
2.2865,6.09933e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
2.5555,6.72731e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
2.8245,7.32975e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
3.0935,7.90567e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
3.3625,8.45659e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
3.6315,8.97961e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
3.9005,9.46095e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
4.1695,9.90447e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
4.4385,1.03151e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
4.7075,1.06968e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
4.9765,1.10524e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
5.2455,1.13837e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
5.5145,1.16931e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
5.7835,1.19824e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
6.0525,1.22538e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
6.3215,1.25102e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
6.5905,1.27536e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
6.8595,1.29867e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
7.1285,1.32121e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
7.3975,1.34251e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
7.6665,1.3626e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
7.9355,1.38158e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
8.2045,1.39958e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
8.4735,1.41625e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
8.7425,1.43133e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
9.0115,1.44447e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
9.2805,1.45575e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
9.5495,1.46529e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
9.8185,1.47337e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
10.0875,1.48026e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
10.3565,1.48609e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
10.6255,1.49104e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
10.8945,1.49519e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
