
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
913.466,µm,Surface,Distance from Origin,1,26181,
897.785,µm,Surface,Distance from Origin,1,26182,
911.539,µm,Surface,Distance from Origin,1,26183,
914.275,µm,Surface,Distance from Origin,1,26184,
903.446,µm,Surface,Distance from Origin,1,26185,
914.958,µm,Surface,Distance from Origin,1,26186,
914.437,µm,Surface,Distance from Origin,1,26189,
911.304,µm,Surface,Distance from Origin,1,26190,
916.028,µm,Surface,Distance from Origin,1,26192,
912.468,µm,Surface,Distance from Origin,1,26193,
910.894,µm,Surface,Distance from Origin,1,26194,
911.37,µm,Surface,Distance from Origin,1,26195,
908.353,µm,Surface,Distance from Origin,1,26196,
906.915,µm,Surface,Distance from Origin,1,26197,
909.058,µm,Surface,Distance from Origin,1,26198,
914.714,µm,Surface,Distance from Origin,1,26199,
917.96,µm,Surface,Distance from Origin,1,26200,
905.338,µm,Surface,Distance from Origin,1,26201,
922.056,µm,Surface,Distance from Origin,1,26203,
918.495,µm,Surface,Distance from Origin,1,26204,
905.329,µm,Surface,Distance from Origin,1,26205,
918.615,µm,Surface,Distance from Origin,1,26206,
906.424,µm,Surface,Distance from Origin,1,26207,
908.084,µm,Surface,Distance from Origin,1,26208,
908.989,µm,Surface,Distance from Origin,1,26209,
913.481,µm,Surface,Distance from Origin,1,26211,
908.561,µm,Surface,Distance from Origin,1,26212,
917.03,µm,Surface,Distance from Origin,1,26213,
907.616,µm,Surface,Distance from Origin,1,26214,
914.71,µm,Surface,Distance from Origin,1,26215,
919.628,µm,Surface,Distance from Origin,1,26216,
913.198,µm,Surface,Distance from Origin,1,26217,
920.784,µm,Surface,Distance from Origin,1,26218,
915.849,µm,Surface,Distance from Origin,1,26219,
922.348,µm,Surface,Distance from Origin,1,26220,
925.069,µm,Surface,Distance from Origin,1,26221,
919.279,µm,Surface,Distance from Origin,1,26222,
912.497,µm,Surface,Distance from Origin,1,26225,
923.755,µm,Surface,Distance from Origin,1,26226,
926.935,µm,Surface,Distance from Origin,1,26227,
925.331,µm,Surface,Distance from Origin,1,26228,
919.671,µm,Surface,Distance from Origin,1,26229,
923.222,µm,Surface,Distance from Origin,1,26230,
928.92,µm,Surface,Distance from Origin,1,26231,
923.114,µm,Surface,Distance from Origin,1,26232,
915.883,µm,Surface,Distance from Origin,1,26233,
928.799,µm,Surface,Distance from Origin,1,26235,
929.522,µm,Surface,Distance from Origin,1,26236,
912.223,µm,Surface,Distance from Origin,1,26237,
921.416,µm,Surface,Distance from Origin,1,26238,
920.108,µm,Surface,Distance from Origin,1,26241,
918.945,µm,Surface,Distance from Origin,1,26242,
932.801,µm,Surface,Distance from Origin,1,26245,
932.471,µm,Surface,Distance from Origin,1,26246,
927.112,µm,Surface,Distance from Origin,1,26247,
926.811,µm,Surface,Distance from Origin,1,26248,
936.033,µm,Surface,Distance from Origin,1,26249,
929.971,µm,Surface,Distance from Origin,1,26250,
917.961,µm,Surface,Distance from Origin,1,26251,
927.909,µm,Surface,Distance from Origin,1,26252,
929.979,µm,Surface,Distance from Origin,1,26253,
920.68,µm,Surface,Distance from Origin,1,26254,
925.923,µm,Surface,Distance from Origin,1,26255,
919.498,µm,Surface,Distance from Origin,1,26256,
927.06,µm,Surface,Distance from Origin,1,26258,
933.939,µm,Surface,Distance from Origin,1,26259,
922.438,µm,Surface,Distance from Origin,1,26260,
928.808,µm,Surface,Distance from Origin,1,26261,
923.458,µm,Surface,Distance from Origin,1,26262,
922.15,µm,Surface,Distance from Origin,1,26263,
936.433,µm,Surface,Distance from Origin,1,26264,
932.318,µm,Surface,Distance from Origin,1,26265,
930.611,µm,Surface,Distance from Origin,1,26266,
940.962,µm,Surface,Distance from Origin,1,26267,
932.666,µm,Surface,Distance from Origin,1,26268,
927.3,µm,Surface,Distance from Origin,1,26269,
929.384,µm,Surface,Distance from Origin,1,26270,
929.018,µm,Surface,Distance from Origin,1,26271,
925.775,µm,Surface,Distance from Origin,1,26272,
941.397,µm,Surface,Distance from Origin,1,26273,
940.627,µm,Surface,Distance from Origin,1,26274,
941.887,µm,Surface,Distance from Origin,1,26275,
937.206,µm,Surface,Distance from Origin,1,26276,
935.161,µm,Surface,Distance from Origin,1,26277,
937.443,µm,Surface,Distance from Origin,1,26279,
942.45,µm,Surface,Distance from Origin,1,26280,
936.41,µm,Surface,Distance from Origin,1,26281,
936.253,µm,Surface,Distance from Origin,1,26282,
940.347,µm,Surface,Distance from Origin,1,26283,
934.729,µm,Surface,Distance from Origin,1,26284,
947.057,µm,Surface,Distance from Origin,1,26285,
944.418,µm,Surface,Distance from Origin,1,26286,
941.09,µm,Surface,Distance from Origin,1,26287,
944.114,µm,Surface,Distance from Origin,1,26289,
947.076,µm,Surface,Distance from Origin,1,26290,
939.329,µm,Surface,Distance from Origin,1,26291,
947.598,µm,Surface,Distance from Origin,1,26292,
932.033,µm,Surface,Distance from Origin,1,26294,
945.975,µm,Surface,Distance from Origin,1,26295,
947.048,µm,Surface,Distance from Origin,1,26296,
947.957,µm,Surface,Distance from Origin,1,26297,
945.182,µm,Surface,Distance from Origin,1,26298,
949.713,µm,Surface,Distance from Origin,1,26299,
950.788,µm,Surface,Distance from Origin,1,26301,
953.528,µm,Surface,Distance from Origin,1,26304,
943.545,µm,Surface,Distance from Origin,1,26305,
940.388,µm,Surface,Distance from Origin,1,26307,
946.954,µm,Surface,Distance from Origin,1,26308,
947.133,µm,Surface,Distance from Origin,1,26309,
951.09,µm,Surface,Distance from Origin,1,26310,
951.375,µm,Surface,Distance from Origin,1,26311,
952.476,µm,Surface,Distance from Origin,1,26312,
951.744,µm,Surface,Distance from Origin,1,26313,
942.717,µm,Surface,Distance from Origin,1,26315,
961.592,µm,Surface,Distance from Origin,1,26317,
956.873,µm,Surface,Distance from Origin,1,26318,
961.721,µm,Surface,Distance from Origin,1,26319,
958.757,µm,Surface,Distance from Origin,1,26320,
944.476,µm,Surface,Distance from Origin,1,26321,
962.582,µm,Surface,Distance from Origin,1,26322,
952.437,µm,Surface,Distance from Origin,1,26323,
960.375,µm,Surface,Distance from Origin,1,26324,
962.954,µm,Surface,Distance from Origin,1,26326,
957.408,µm,Surface,Distance from Origin,1,26327,
960.799,µm,Surface,Distance from Origin,1,26328,
951.505,µm,Surface,Distance from Origin,1,26329,
953.943,µm,Surface,Distance from Origin,1,26330,
958.978,µm,Surface,Distance from Origin,1,26331,
952.436,µm,Surface,Distance from Origin,1,26332,
961.663,µm,Surface,Distance from Origin,1,26334,
969.245,µm,Surface,Distance from Origin,1,26336,
970.859,µm,Surface,Distance from Origin,1,26338,
961.481,µm,Surface,Distance from Origin,1,26339,
961.658,µm,Surface,Distance from Origin,1,26340,
961.537,µm,Surface,Distance from Origin,1,26342,
969.304,µm,Surface,Distance from Origin,1,26343,
966.308,µm,Surface,Distance from Origin,1,26344,
968.961,µm,Surface,Distance from Origin,1,26345,
972.683,µm,Surface,Distance from Origin,1,26348,
971.873,µm,Surface,Distance from Origin,1,26349,
964.624,µm,Surface,Distance from Origin,1,26350,
974.254,µm,Surface,Distance from Origin,1,26351,
961.25,µm,Surface,Distance from Origin,1,26352,
963.92,µm,Surface,Distance from Origin,1,26353,
962.299,µm,Surface,Distance from Origin,1,26354,
966.404,µm,Surface,Distance from Origin,1,26355,
977.275,µm,Surface,Distance from Origin,1,26357,
980.211,µm,Surface,Distance from Origin,1,26359,
988.241,µm,Surface,Distance from Origin,1,26362,
988.134,µm,Surface,Distance from Origin,1,26364,
988.93,µm,Surface,Distance from Origin,1,26365,
984.014,µm,Surface,Distance from Origin,1,26366,
996.959,µm,Surface,Distance from Origin,1,26368,
989.058,µm,Surface,Distance from Origin,1,26369,
997.947,µm,Surface,Distance from Origin,1,26370,
996.036,µm,Surface,Distance from Origin,1,26371,
990.155,µm,Surface,Distance from Origin,1,26375,
886.479,µm,Surface,Distance from Origin,1,26382,
878.59,µm,Surface,Distance from Origin,1,26383,
881.406,µm,Surface,Distance from Origin,1,26384,
863.935,µm,Surface,Distance from Origin,1,26385,
