
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
27.7162,µm,Surface,Image 1,1,26181,
27.0023,µm,Surface,Image 1,1,26182,
31.3228,µm,Surface,Image 1,1,26183,
19.9833,µm,Surface,Image 1,1,26184,
59.7166,µm,Surface,Image 1,1,26185,
1.56342,µm,Surface,Image 1,1,26186,
6.54205,µm,Surface,Image 1,1,26189,
25.1521,µm,Surface,Image 1,1,26190,
22.1223,µm,Surface,Image 1,1,26192,
6.33655,µm,Surface,Image 1,1,26193,
27.1207,µm,Surface,Image 1,1,26194,
42.1864,µm,Surface,Image 1,1,26195,
5.53802,µm,Surface,Image 1,1,26196,
15.7365,µm,Surface,Image 1,1,26197,
18.5865,µm,Surface,Image 1,1,26198,
51.2109,µm,Surface,Image 1,1,26199,
7.96545,µm,Surface,Image 1,1,26200,
26.2086,µm,Surface,Image 1,1,26201,
1.85944,µm,Surface,Image 1,1,26203,
22.7567,µm,Surface,Image 1,1,26204,
54.1718,µm,Surface,Image 1,1,26205,
64.3387,µm,Surface,Image 1,1,26206,
70.6554,µm,Surface,Image 1,1,26207,
70.0513,µm,Surface,Image 1,1,26208,
31.6092,µm,Surface,Image 1,1,26209,
11.7135,µm,Surface,Image 1,1,26211,
57.6815,µm,Surface,Image 1,1,26212,
60.2237,µm,Surface,Image 1,1,26213,
46.1145,µm,Surface,Image 1,1,26214,
27.1614,µm,Surface,Image 1,1,26215,
19.3262,µm,Surface,Image 1,1,26216,
50.825,µm,Surface,Image 1,1,26217,
12.1881,µm,Surface,Image 1,1,26218,
1.91577,µm,Surface,Image 1,1,26219,
21.3293,µm,Surface,Image 1,1,26220,
1.69775,µm,Surface,Image 1,1,26221,
30.3889,µm,Surface,Image 1,1,26222,
55.3431,µm,Surface,Image 1,1,26225,
15.4536,µm,Surface,Image 1,1,26226,
38.9208,µm,Surface,Image 1,1,26227,
10.9714,µm,Surface,Image 1,1,26228,
29.7527,µm,Surface,Image 1,1,26229,
34.6456,µm,Surface,Image 1,1,26230,
12.1886,µm,Surface,Image 1,1,26231,
40.4108,µm,Surface,Image 1,1,26232,
55.9313,µm,Surface,Image 1,1,26233,
24.5481,µm,Surface,Image 1,1,26235,
4.06543,µm,Surface,Image 1,1,26236,
63.1111,µm,Surface,Image 1,1,26237,
3.61902,µm,Surface,Image 1,1,26238,
59.483,µm,Surface,Image 1,1,26241,
16.6577,µm,Surface,Image 1,1,26242,
4.67206,µm,Surface,Image 1,1,26245,
1.59729,µm,Surface,Image 1,1,26246,
12.5502,µm,Surface,Image 1,1,26247,
47.9168,µm,Surface,Image 1,1,26248,
6.82507,µm,Surface,Image 1,1,26249,
28.4736,µm,Surface,Image 1,1,26250,
38.2318,µm,Surface,Image 1,1,26251,
47.8916,µm,Surface,Image 1,1,26252,
57.9471,µm,Surface,Image 1,1,26253,
57.2927,µm,Surface,Image 1,1,26254,
23.9468,µm,Surface,Image 1,1,26255,
38.4203,µm,Surface,Image 1,1,26256,
48.9081,µm,Surface,Image 1,1,26258,
29.9015,µm,Surface,Image 1,1,26259,
52.02,µm,Surface,Image 1,1,26260,
51.5394,µm,Surface,Image 1,1,26261,
62.3756,µm,Surface,Image 1,1,26262,
48.647,µm,Surface,Image 1,1,26263,
45.1456,µm,Surface,Image 1,1,26264,
21.0599,µm,Surface,Image 1,1,26265,
13.1932,µm,Surface,Image 1,1,26266,
11.0584,µm,Surface,Image 1,1,26267,
38.9344,µm,Surface,Image 1,1,26268,
26.1155,µm,Surface,Image 1,1,26269,
20.2899,µm,Surface,Image 1,1,26270,
20.6068,µm,Surface,Image 1,1,26271,
23.5013,µm,Surface,Image 1,1,26272,
6.4212,µm,Surface,Image 1,1,26273,
25.195,µm,Surface,Image 1,1,26274,
1.51874,µm,Surface,Image 1,1,26275,
38.8301,µm,Surface,Image 1,1,26276,
3.41449,µm,Surface,Image 1,1,26277,
47.6199,µm,Surface,Image 1,1,26279,
13.5926,µm,Surface,Image 1,1,26280,
26.2756,µm,Surface,Image 1,1,26281,
2.33392,µm,Surface,Image 1,1,26282,
1.69989,µm,Surface,Image 1,1,26283,
25.4477,µm,Surface,Image 1,1,26284,
33.1663,µm,Surface,Image 1,1,26285,
25.1429,µm,Surface,Image 1,1,26286,
39.6134,µm,Surface,Image 1,1,26287,
34.0234,µm,Surface,Image 1,1,26289,
13.1667,µm,Surface,Image 1,1,26290,
12.9076,µm,Surface,Image 1,1,26291,
41.5903,µm,Surface,Image 1,1,26292,
44.8403,µm,Surface,Image 1,1,26294,
30.8953,µm,Surface,Image 1,1,26295,
40.9942,µm,Surface,Image 1,1,26296,
33.2222,µm,Surface,Image 1,1,26297,
28.1585,µm,Surface,Image 1,1,26298,
11.7609,µm,Surface,Image 1,1,26299,
18.1299,µm,Surface,Image 1,1,26301,
2.88397,µm,Surface,Image 1,1,26304,
6.40491,µm,Surface,Image 1,1,26305,
27.6475,µm,Surface,Image 1,1,26307,
3.46368,µm,Surface,Image 1,1,26308,
23.5589,µm,Surface,Image 1,1,26309,
38.1661,µm,Surface,Image 1,1,26310,
16.3172,µm,Surface,Image 1,1,26311,
22.9051,µm,Surface,Image 1,1,26312,
31.0712,µm,Surface,Image 1,1,26313,
18.1584,µm,Surface,Image 1,1,26315,
1.69232,µm,Surface,Image 1,1,26317,
30.5913,µm,Surface,Image 1,1,26318,
30.5463,µm,Surface,Image 1,1,26319,
7.47052,µm,Surface,Image 1,1,26320,
44.7057,µm,Surface,Image 1,1,26321,
2.2453,µm,Surface,Image 1,1,26322,
35.1841,µm,Surface,Image 1,1,26323,
10.7018,µm,Surface,Image 1,1,26324,
5.84106,µm,Surface,Image 1,1,26326,
22.0689,µm,Surface,Image 1,1,26327,
14.8715,µm,Surface,Image 1,1,26328,
20.0067,µm,Surface,Image 1,1,26329,
11.2062,µm,Surface,Image 1,1,26330,
32.5541,µm,Surface,Image 1,1,26331,
2.05243,µm,Surface,Image 1,1,26332,
17.5882,µm,Surface,Image 1,1,26334,
24.6912,µm,Surface,Image 1,1,26336,
24.1641,µm,Surface,Image 1,1,26338,
1.638,µm,Surface,Image 1,1,26339,
20.5096,µm,Surface,Image 1,1,26340,
34.7818,µm,Surface,Image 1,1,26342,
11.286,µm,Surface,Image 1,1,26343,
23.3059,µm,Surface,Image 1,1,26344,
8.6214,µm,Surface,Image 1,1,26345,
10.1126,µm,Surface,Image 1,1,26348,
4.1272,µm,Surface,Image 1,1,26349,
28.8394,µm,Surface,Image 1,1,26350,
15.3901,µm,Surface,Image 1,1,26351,
28.8839,µm,Surface,Image 1,1,26352,
2.25293,µm,Surface,Image 1,1,26353,
25.9857,µm,Surface,Image 1,1,26354,
22.1724,µm,Surface,Image 1,1,26355,
19.5524,µm,Surface,Image 1,1,26357,
2.94604,µm,Surface,Image 1,1,26359,
3.69238,µm,Surface,Image 1,1,26362,
10.4236,µm,Surface,Image 1,1,26364,
9.98279,µm,Surface,Image 1,1,26365,
11.6206,µm,Surface,Image 1,1,26366,
2.66669,µm,Surface,Image 1,1,26368,
15.5751,µm,Surface,Image 1,1,26369,
3.45813,µm,Surface,Image 1,1,26370,
8.73657,µm,Surface,Image 1,1,26371,
5.53601,µm,Surface,Image 1,1,26375,
3.72089,µm,Surface,Image 1,1,26382,
78.0288,µm,Surface,Image 1,1,26383,
26.0459,µm,Surface,Image 1,1,26384,
72.3293,µm,Surface,Image 1,1,26385,
6.35712,µm,Surface,Image 1,1,26386,
59.8189,µm,Surface,Image 1,1,26387,
37.0735,µm,Surface,Image 1,1,26388,
37.5162,µm,Surface,Image 1,1,26389,
24.037,µm,Surface,Image 1,1,26390,
3.16467,µm,Surface,Image 1,1,26391,
69.2071,µm,Surface,Image 1,1,26392,
43.7339,µm,Surface,Image 1,1,26393,
72.6227,µm,Surface,Image 1,1,26394,
88.0879,µm,Surface,Image 1,1,26395,
48.669,µm,Surface,Image 1,1,26396,
66.7474,µm,Surface,Image 1,1,26397,
57.4598,µm,Surface,Image 1,1,26398,
66.9005,µm,Surface,Image 1,1,26399,
57.3343,µm,Surface,Image 1,1,26401,
41.5454,µm,Surface,Image 1,1,26402,
50.1929,µm,Surface,Image 1,1,26404,
63.7435,µm,Surface,Image 1,1,26406,
26.6224,µm,Surface,Image 1,1,26407,
75.1264,µm,Surface,Image 1,1,26408,
62.6699,µm,Surface,Image 1,1,26409,
14.3662,µm,Surface,Image 1,1,26410,
32.786,µm,Surface,Image 1,1,26411,
46.3527,µm,Surface,Image 1,1,26412,
71.9116,µm,Surface,Image 1,1,26413,
60.7363,µm,Surface,Image 1,1,26414,
59.6452,µm,Surface,Image 1,1,26415,
38.5565,µm,Surface,Image 1,1,26417,
36.5153,µm,Surface,Image 1,1,26418,
14.466,µm,Surface,Image 1,1,26419,
15.5016,µm,Surface,Image 1,1,26420,
9.07318,µm,Surface,Image 1,1,26421,
38.559,µm,Surface,Image 1,1,26423,
54.3247,µm,Surface,Image 1,1,26425,
12.2949,µm,Surface,Image 1,1,26426,
65.0469,µm,Surface,Image 1,1,26427,
7.5177,µm,Surface,Image 1,1,26428,
89.4771,µm,Surface,Image 1,1,26429,
31.6467,µm,Surface,Image 1,1,26430,
5.85297,µm,Surface,Image 1,1,26431,
20.3928,µm,Surface,Image 1,1,26432,
20.743,µm,Surface,Image 1,1,26433,
80.7181,µm,Surface,Image 1,1,26434,
27.033,µm,Surface,Image 1,1,26435,
56.5315,µm,Surface,Image 1,1,26436,
88.1703,µm,Surface,Image 1,1,26437,
69.4262,µm,Surface,Image 1,1,26438,
56.2729,µm,Surface,Image 1,1,26439,
66.3983,µm,Surface,Image 1,1,26440,
59.4678,µm,Surface,Image 1,1,26441,
69.0104,µm,Surface,Image 1,1,26442,
76.4205,µm,Surface,Image 1,1,26443,
35.2483,µm,Surface,Image 1,1,26444,
76.1044,µm,Surface,Image 1,1,26446,
39.6188,µm,Surface,Image 1,1,26448,
30.5117,µm,Surface,Image 1,1,26451,
23.8543,µm,Surface,Image 1,1,26452,
64.5143,µm,Surface,Image 1,1,26453,
36.9325,µm,Surface,Image 1,1,26456,
71.9973,µm,Surface,Image 1,1,26457,
32.7914,µm,Surface,Image 1,1,26458,
56.4125,µm,Surface,Image 1,1,26459,
10.7106,µm,Surface,Image 1,1,26460,
43.8722,µm,Surface,Image 1,1,26461,
26.2133,µm,Surface,Image 1,1,26462,
19.6946,µm,Surface,Image 1,1,26463,
7.93768,µm,Surface,Image 1,1,26464,
84.0428,µm,Surface,Image 1,1,26465,
61.6586,µm,Surface,Image 1,1,26466,
62.9247,µm,Surface,Image 1,1,26467,
67.5913,µm,Surface,Image 1,1,26468,
24.5266,µm,Surface,Image 1,1,26469,
53.5946,µm,Surface,Image 1,1,26471,
39.3215,µm,Surface,Image 1,1,26472,
48.5796,µm,Surface,Image 1,1,26473,
9.1084,µm,Surface,Image 1,1,26474,
41.9731,µm,Surface,Image 1,1,26475,
2.74713,µm,Surface,Image 1,1,26476,
33.8762,µm,Surface,Image 1,1,26477,
55.6689,µm,Surface,Image 1,1,26478,
1.88892,µm,Surface,Image 1,1,26480,
21.119,µm,Surface,Image 1,1,26481,
2.55121,µm,Surface,Image 1,1,26482,
23.1993,µm,Surface,Image 1,1,26483,
38.1313,µm,Surface,Image 1,1,26484,
1.52032,µm,Surface,Image 1,1,26485,
28.3522,µm,Surface,Image 1,1,26486,
38.235,µm,Surface,Image 1,1,26487,
41.1664,µm,Surface,Image 1,1,26488,
16.7601,µm,Surface,Image 1,1,26489,
45.3279,µm,Surface,Image 1,1,26490,
20.0676,µm,Surface,Image 1,1,26491,
29.3157,µm,Surface,Image 1,1,26492,
80.8253,µm,Surface,Image 1,1,26493,
50.6659,µm,Surface,Image 1,1,26494,
55.2384,µm,Surface,Image 1,1,26495,
57.5862,µm,Surface,Image 1,1,26497,
53.6924,µm,Surface,Image 1,1,26498,
15.2255,µm,Surface,Image 1,1,26499,
40.9016,µm,Surface,Image 1,1,26502,
53.465,µm,Surface,Image 1,1,26503,
72.2357,µm,Surface,Image 1,1,26504,
74.1965,µm,Surface,Image 1,1,26506,
45.7062,µm,Surface,Image 1,1,26507,
63.6975,µm,Surface,Image 1,1,26509,
56.3522,µm,Surface,Image 1,1,26510,
11.5605,µm,Surface,Image 1,1,26512,
66.1459,µm,Surface,Image 1,1,26513,
62.8712,µm,Surface,Image 1,1,26514,
80.6442,µm,Surface,Image 1,1,26515,
41.525,µm,Surface,Image 1,1,26516,
4.60687,µm,Surface,Image 1,1,26517,
9.93182,µm,Surface,Image 1,1,26518,
24.7717,µm,Surface,Image 1,1,26521,
69.7004,µm,Surface,Image 1,1,26522,
8.39575,µm,Surface,Image 1,1,26523,
23.4794,µm,Surface,Image 1,1,26524,
42.5723,µm,Surface,Image 1,1,26525,
36.9539,µm,Surface,Image 1,1,26526,
85.055,µm,Surface,Image 1,1,26527,
5.8313,µm,Surface,Image 1,1,26528,
50.409,µm,Surface,Image 1,1,26529,
95.4724,µm,Surface,Image 1,1,26530,
109.203,µm,Surface,Image 1,1,26531,
28.105,µm,Surface,Image 1,1,26532,
69.2891,µm,Surface,Image 1,1,26533,
48.5886,µm,Surface,Image 1,1,26534,
58.0291,µm,Surface,Image 1,1,26535,
66.7579,µm,Surface,Image 1,1,26536,
103.196,µm,Surface,Image 1,1,26537,
20.8115,µm,Surface,Image 1,1,26538,
91.4911,µm,Surface,Image 1,1,26539,
32.347,µm,Surface,Image 1,1,26541,
72.5588,µm,Surface,Image 1,1,26542,
82.9835,µm,Surface,Image 1,1,26543,
21.8049,µm,Surface,Image 1,1,26544,
14.9448,µm,Surface,Image 1,1,26545,
76.3977,µm,Surface,Image 1,1,26546,
12.5474,µm,Surface,Image 1,1,26547,
5.51453,µm,Surface,Image 1,1,26548,
40.7974,µm,Surface,Image 1,1,26549,
116.219,µm,Surface,Image 1,1,26550,
30.8676,µm,Surface,Image 1,1,26551,
2.93634,µm,Surface,Image 1,1,26552,
84.6771,µm,Surface,Image 1,1,26553,
13.7612,µm,Surface,Image 1,1,26554,
5.46448,µm,Surface,Image 1,1,26555,
111.063,µm,Surface,Image 1,1,26556,
62.3871,µm,Surface,Image 1,1,26557,
101.84,µm,Surface,Image 1,1,26558,
76.8528,µm,Surface,Image 1,1,26559,
83.8998,µm,Surface,Image 1,1,26560,
20.5754,µm,Surface,Image 1,1,26561,
77.4633,µm,Surface,Image 1,1,26562,
66.1423,µm,Surface,Image 1,1,26563,
16.9055,µm,Surface,Image 1,1,26564,
56.7339,µm,Surface,Image 1,1,26565,
51.8188,µm,Surface,Image 1,1,26567,
46.5401,µm,Surface,Image 1,1,26568,
5.15021,µm,Surface,Image 1,1,26569,
34.0862,µm,Surface,Image 1,1,26570,
14.5459,µm,Surface,Image 1,1,26571,
41.6783,µm,Surface,Image 1,1,26572,
25.6317,µm,Surface,Image 1,1,26573,
85.1599,µm,Surface,Image 1,1,26574,
104.643,µm,Surface,Image 1,1,26575,
5.99493,µm,Surface,Image 1,1,26576,
65.4143,µm,Surface,Image 1,1,26577,
11.4064,µm,Surface,Image 1,1,26578,
23.7239,µm,Surface,Image 1,1,26580,
80.3295,µm,Surface,Image 1,1,26581,
91.9937,µm,Surface,Image 1,1,26582,
23.1708,µm,Surface,Image 1,1,26583,
42.5784,µm,Surface,Image 1,1,26584,
15.2769,µm,Surface,Image 1,1,26585,
66.7607,µm,Surface,Image 1,1,26586,
70.4912,µm,Surface,Image 1,1,26587,
42.3496,µm,Surface,Image 1,1,26589,
77.2302,µm,Surface,Image 1,1,26591,
95.6462,µm,Surface,Image 1,1,26592,
48.933,µm,Surface,Image 1,1,26593,
45.985,µm,Surface,Image 1,1,26594,
76.7428,µm,Surface,Image 1,1,26595,
77.6352,µm,Surface,Image 1,1,26597,
33.1774,µm,Surface,Image 1,1,26598,
82.2366,µm,Surface,Image 1,1,26599,
47.6035,µm,Surface,Image 1,1,26600,
2.0592,µm,Surface,Image 1,1,26601,
49.2832,µm,Surface,Image 1,1,26602,
72.9135,µm,Surface,Image 1,1,26603,
42.7819,µm,Surface,Image 1,1,26604,
81.321,µm,Surface,Image 1,1,26606,
105.122,µm,Surface,Image 1,1,26607,
30.6263,µm,Surface,Image 1,1,26608,
74.9077,µm,Surface,Image 1,1,26609,
48.2045,µm,Surface,Image 1,1,26610,
96.175,µm,Surface,Image 1,1,26611,
52.5609,µm,Surface,Image 1,1,26612,
9.79272,µm,Surface,Image 1,1,26614,
92.3329,µm,Surface,Image 1,1,26616,
56.6444,µm,Surface,Image 1,1,26617,
23.3173,µm,Surface,Image 1,1,26621,
42.1859,µm,Surface,Image 1,1,26622,
14.9921,µm,Surface,Image 1,1,26624,
81.3889,µm,Surface,Image 1,1,26626,
39.6407,µm,Surface,Image 1,1,26627,
8.98309,µm,Surface,Image 1,1,26628,
33.8101,µm,Surface,Image 1,1,26630,
78.6404,µm,Surface,Image 1,1,26632,
94.8534,µm,Surface,Image 1,1,26633,
69.2708,µm,Surface,Image 1,1,26635,
