
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.38939,,Surface,1,26181,
0.309334,,Surface,1,26182,
0.487795,,Surface,1,26183,
0.347594,,Surface,1,26184,
0.712883,,Surface,1,26185,
0.388021,,Surface,1,26186,
0.400913,,Surface,1,26189,
0.32875,,Surface,1,26190,
0.390973,,Surface,1,26192,
0.182623,,Surface,1,26193,
0.341669,,Surface,1,26194,
0.333673,,Surface,1,26195,
0.288278,,Surface,1,26196,
0.255929,,Surface,1,26197,
0.523108,,Surface,1,26198,
0.319477,,Surface,1,26199,
0.504703,,Surface,1,26200,
0.35876,,Surface,1,26201,
0.386233,,Surface,1,26203,
0.42297,,Surface,1,26204,
0.305294,,Surface,1,26205,
0.290307,,Surface,1,26206,
0.353776,,Surface,1,26207,
0.356008,,Surface,1,26208,
0.344123,,Surface,1,26209,
0.370438,,Surface,1,26211,
0.399004,,Surface,1,26212,
0.276751,,Surface,1,26213,
0.407761,,Surface,1,26214,
0.46558,,Surface,1,26215,
0.278051,,Surface,1,26216,
0.318773,,Surface,1,26217,
0.346086,,Surface,1,26218,
0.456465,,Surface,1,26219,
0.435133,,Surface,1,26220,
0.330606,,Surface,1,26221,
0.330198,,Surface,1,26222,
0.311853,,Surface,1,26225,
0.150919,,Surface,1,26226,
0.585752,,Surface,1,26227,
0.323075,,Surface,1,26228,
0.435898,,Surface,1,26229,
0.440384,,Surface,1,26230,
0.24363,,Surface,1,26231,
0.269951,,Surface,1,26232,
0.3062,,Surface,1,26233,
0.360604,,Surface,1,26235,
0.554161,,Surface,1,26236,
0.443142,,Surface,1,26237,
0.435582,,Surface,1,26238,
0.243144,,Surface,1,26241,
0.336449,,Surface,1,26242,
0.329985,,Surface,1,26245,
0.527321,,Surface,1,26246,
0.428853,,Surface,1,26247,
0.494927,,Surface,1,26248,
0.233876,,Surface,1,26249,
0.435331,,Surface,1,26250,
0.388048,,Surface,1,26251,
0.441216,,Surface,1,26252,
0.264888,,Surface,1,26253,
0.37703,,Surface,1,26254,
0.558584,,Surface,1,26255,
0.37001,,Surface,1,26256,
0.445599,,Surface,1,26258,
0.313195,,Surface,1,26259,
0.275752,,Surface,1,26260,
0.257657,,Surface,1,26261,
0.245952,,Surface,1,26262,
0.258078,,Surface,1,26263,
0.279646,,Surface,1,26264,
0.250947,,Surface,1,26265,
0.319727,,Surface,1,26266,
0.346146,,Surface,1,26267,
0.459257,,Surface,1,26268,
0.304493,,Surface,1,26269,
0.361282,,Surface,1,26270,
0.471802,,Surface,1,26271,
0.376423,,Surface,1,26272,
0.355573,,Surface,1,26273,
0.360472,,Surface,1,26274,
0.32978,,Surface,1,26275,
0.324046,,Surface,1,26276,
0.376534,,Surface,1,26277,
0.346213,,Surface,1,26279,
0.349846,,Surface,1,26280,
0.431523,,Surface,1,26281,
0.388407,,Surface,1,26282,
0.26786,,Surface,1,26283,
0.325096,,Surface,1,26284,
0.202926,,Surface,1,26285,
0.459275,,Surface,1,26286,
0.288324,,Surface,1,26287,
0.381819,,Surface,1,26289,
0.313482,,Surface,1,26290,
