
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.314135,,Surface,1,26181,
0.285322,,Surface,1,26182,
0.36612,,Surface,1,26183,
0.447516,,Surface,1,26184,
0.18163,,Surface,1,26185,
0.354079,,Surface,1,26186,
0.468435,,Surface,1,26189,
0.5203,,Surface,1,26190,
0.450144,,Surface,1,26192,
0.695439,,Surface,1,26193,
0.516136,,Surface,1,26194,
0.389996,,Surface,1,26195,
0.335963,,Surface,1,26196,
0.257691,,Surface,1,26197,
0.336376,,Surface,1,26198,
0.564869,,Surface,1,26199,
0.353976,,Surface,1,26200,
0.530015,,Surface,1,26201,
0.424794,,Surface,1,26203,
0.371024,,Surface,1,26204,
0.57645,,Surface,1,26205,
0.652289,,Surface,1,26206,
0.303028,,Surface,1,26207,
0.305195,,Surface,1,26208,
0.473888,,Surface,1,26209,
0.515177,,Surface,1,26211,
0.424582,,Surface,1,26212,
0.536083,,Surface,1,26213,
0.458345,,Surface,1,26214,
0.396657,,Surface,1,26215,
0.35429,,Surface,1,26216,
0.584706,,Surface,1,26217,
0.392647,,Surface,1,26218,
0.263244,,Surface,1,26219,
0.433235,,Surface,1,26220,
0.503753,,Surface,1,26221,
0.530031,,Surface,1,26222,
0.55348,,Surface,1,26225,
0.839062,,Surface,1,26226,
0.253181,,Surface,1,26227,
0.432065,,Surface,1,26228,
0.36729,,Surface,1,26229,
0.341837,,Surface,1,26230,
0.691904,,Surface,1,26231,
0.591835,,Surface,1,26232,
0.605415,,Surface,1,26233,
0.50732,,Surface,1,26235,
0.298248,,Surface,1,26236,
0.300132,,Surface,1,26237,
0.42415,,Surface,1,26238,
0.471304,,Surface,1,26241,
0.528343,,Surface,1,26242,
0.462174,,Surface,1,26245,
0.306125,,Surface,1,26246,
0.439331,,Surface,1,26247,
0.360374,,Surface,1,26248,
0.638444,,Surface,1,26249,
0.339407,,Surface,1,26250,
0.415964,,Surface,1,26251,
0.415927,,Surface,1,26252,
0.538999,,Surface,1,26253,
0.4065,,Surface,1,26254,
0.302937,,Surface,1,26255,
0.379012,,Surface,1,26256,
0.41458,,Surface,1,26258,
0.473829,,Surface,1,26259,
0.39323,,Surface,1,26260,
0.360423,,Surface,1,26261,
0.283936,,Surface,1,26262,
0.712615,,Surface,1,26263,
0.577778,,Surface,1,26264,
0.184568,,Surface,1,26265,
0.599587,,Surface,1,26266,
0.552042,,Surface,1,26267,
0.298878,,Surface,1,26268,
0.529651,,Surface,1,26269,
0.29425,,Surface,1,26270,
0.362629,,Surface,1,26271,
0.398168,,Surface,1,26272,
0.541908,,Surface,1,26273,
0.462069,,Surface,1,26274,
0.48683,,Surface,1,26275,
0.550025,,Surface,1,26276,
0.357447,,Surface,1,26277,
0.53778,,Surface,1,26279,
0.537238,,Surface,1,26280,
0.290262,,Surface,1,26281,
0.480487,,Surface,1,26282,
0.698422,,Surface,1,26283,
0.583919,,Surface,1,26284,
0.754678,,Surface,1,26285,
0.404672,,Surface,1,26286,
0.343741,,Surface,1,26287,
0.189446,,Surface,1,26289,
0.531812,,Surface,1,26290,
0.522646,,Surface,1,26291,
0.442653,,Surface,1,26292,
0.349035,,Surface,1,26294,
0.493195,,Surface,1,26295,
0.428787,,Surface,1,26296,
0.535503,,Surface,1,26297,
0.209892,,Surface,1,26298,
0.286351,,Surface,1,26299,
0.383095,,Surface,1,26301,
0.497591,,Surface,1,26304,
0.277744,,Surface,1,26305,
0.61652,,Surface,1,26307,
0.488822,,Surface,1,26308,
0.566291,,Surface,1,26309,
0.44188,,Surface,1,26310,
0.390148,,Surface,1,26311,
0.31356,,Surface,1,26312,
0.329261,,Surface,1,26313,
0.530371,,Surface,1,26315,
