
Intensity Ch=35 Img=1
 ==================== 
Distance to Surface,Intensity Mean,Image Intensity Mean,Intensity Mean minus Std,Intensity Mean plus Std,Unit,Channel,Collection,Image,Time,ID,
-5.2455,251.155,4.14492,-59.7004,67.9902,,35,Intensity,Image 1,1,,
-4.9765,251.155,4.24655,-62.2877,70.7808,,35,Intensity,Image 1,1,,
-4.7075,251.155,4.39119,-66.4464,75.2287,,35,Intensity,Image 1,1,,
-4.4385,251.155,4.65191,-73.0301,82.334,,35,Intensity,Image 1,1,,
-4.1695,251.155,5.05821,-82.6156,92.7321,,35,Intensity,Image 1,1,,
-3.9005,251.155,5.4868,-95.2756,106.249,,35,Intensity,Image 1,1,,
-3.6315,251.155,6.02844,-110.701,122.757,,35,Intensity,Image 1,1,,
-3.3625,251.155,6.72214,-127.355,140.8,,35,Intensity,Image 1,1,,
-3.0935,251.155,7.60483,-141.149,156.359,,35,Intensity,Image 1,1,,
-2.8245,251.155,8.81081,-149.914,167.535,,35,Intensity,Image 1,1,,
-2.5555,251.155,10.705,-165.014,186.424,,35,Intensity,Image 1,1,,
-2.2865,251.155,13.7565,-194.801,222.314,,35,Intensity,Image 1,1,,
-2.0175,251.155,18.2641,-237.824,274.352,,35,Intensity,Image 1,1,,
-1.7485,251.155,24.4658,-291.607,340.539,,35,Intensity,Image 1,1,,
-1.4795,251.155,32.4382,-354.476,419.353,,35,Intensity,Image 1,1,,
-1.2105,251.155,42.2413,-427.401,511.883,,35,Intensity,Image 1,1,,
-0.9415,251.155,53.6708,-510.01,617.351,,35,Intensity,Image 1,1,,
-0.6725,251.155,65.2572,-595.601,726.115,,35,Intensity,Image 1,1,,
-0.4035,251.155,74.7368,-680.139,829.613,,35,Intensity,Image 1,1,,
-0.1345,251.155,81.7954,-769.688,933.279,,35,Intensity,Image 1,1,,
0.1345,251.155,87.0342,-846.577,1020.65,,35,Intensity,Image 1,1,,
0.4035,251.155,90.7798,-887.219,1068.78,,35,Intensity,Image 1,1,,
0.6725,251.155,94.1898,-948.668,1137.05,,35,Intensity,Image 1,1,,
0.9415,251.155,97.7998,-1035.07,1230.67,,35,Intensity,Image 1,1,,
1.2105,251.155,102.366,-1146.68,1351.41,,35,Intensity,Image 1,1,,
1.4795,251.155,108.414,-1278.95,1495.78,,35,Intensity,Image 1,1,,
1.7485,251.155,116.036,-1426.46,1658.53,,35,Intensity,Image 1,1,,
2.0175,251.155,124.944,-1580.64,1830.52,,35,Intensity,Image 1,1,,
2.2865,251.155,135.41,-1744.81,2015.63,,35,Intensity,Image 1,1,,
2.5555,251.155,147.615,-1917.08,2212.31,,35,Intensity,Image 1,1,,
2.8245,251.155,162.678,-2106.13,2431.49,,35,Intensity,Image 1,1,,
3.0935,251.155,182.278,-2320.29,2684.84,,35,Intensity,Image 1,1,,
3.3625,251.155,209.009,-2572.29,2990.31,,35,Intensity,Image 1,1,,
3.6315,251.155,243.835,-2854.52,3342.19,,35,Intensity,Image 1,1,,
3.9005,251.155,278.314,-3099.4,3656.03,,35,Intensity,Image 1,1,,
4.1695,251.155,318.051,-3356.39,3992.49,,35,Intensity,Image 1,1,,
4.4385,251.155,362.354,-3618.4,4343.11,,35,Intensity,Image 1,1,,
4.7075,251.155,408.625,-3868.85,4686.1,,35,Intensity,Image 1,1,,
4.9765,251.155,456.29,-4105.98,5018.56,,35,Intensity,Image 1,1,,
5.2455,251.155,504.233,-4327.53,5336,,35,Intensity,Image 1,1,,
5.5145,251.155,550.32,-4526.59,5627.23,,35,Intensity,Image 1,1,,
5.7835,251.155,593.295,-4701.19,5887.78,,35,Intensity,Image 1,1,,
6.0525,251.155,630.672,-4846.82,6108.16,,35,Intensity,Image 1,1,,
6.3215,251.155,661.174,-4963.01,6285.36,,35,Intensity,Image 1,1,,
6.5905,251.155,682.481,-5045.31,6410.27,,35,Intensity,Image 1,1,,
6.8595,251.155,691.238,-5085.39,6467.87,,35,Intensity,Image 1,1,,
7.1285,251.155,687.329,-5083.11,6457.77,,35,Intensity,Image 1,1,,
7.3975,251.155,686.713,-5088.35,6461.78,,35,Intensity,Image 1,1,,
7.6665,251.155,681.758,-5078.82,6442.34,,35,Intensity,Image 1,1,,
7.9355,251.155,671.566,-5051.92,6395.05,,35,Intensity,Image 1,1,,
8.2045,251.155,660.312,-5020.55,6341.18,,35,Intensity,Image 1,1,,
8.4735,251.155,654.952,-5007.78,6317.69,,35,Intensity,Image 1,1,,
8.7425,251.155,658.84,-5024.61,6342.29,,35,Intensity,Image 1,1,,
9.0115,251.155,674.453,-5078.22,6427.12,,35,Intensity,Image 1,1,,
9.2805,251.155,698.074,-5155.83,6551.97,,35,Intensity,Image 1,1,,
9.5495,251.155,719.119,-5223.77,6662.01,,35,Intensity,Image 1,1,,
9.8185,251.155,731.05,-5262.6,6724.7,,35,Intensity,Image 1,1,,
10.0875,251.155,731.019,-5263.29,6725.33,,35,Intensity,Image 1,1,,
10.3565,251.155,721.031,-5231.95,6674.02,,35,Intensity,Image 1,1,,
10.6255,251.155,702.618,-5172.6,6577.84,,35,Intensity,Image 1,1,,
10.8945,251.155,673.474,-5077.42,6424.37,,35,Intensity,Image 1,1,,
