
Intensity Inside Ch=26 Img=1
 ==================== 
Distance to Surface,Image Intensity Mean Inside,Intensity Mean Inside,Intensity Mean minus Std Inside,Intensity Mean plus Std Inside,Unit,Channel,Collection,Image,Time,ID,
-5.2455,47.8906,156.971,-287.821,601.763,,26,Intensity Inside,Image 1,1,,
-4.9765,47.8906,151.176,-285.344,587.697,,26,Intensity Inside,Image 1,1,,
-4.7075,47.8906,141.216,-280.767,563.2,,26,Intensity Inside,Image 1,1,,
-4.4385,47.8906,128.33,-279.908,536.569,,26,Intensity Inside,Image 1,1,,
-4.1695,47.8906,115.181,-292.398,522.759,,26,Intensity Inside,Image 1,1,,
-3.9005,47.8906,100.387,-319.798,520.572,,26,Intensity Inside,Image 1,1,,
-3.6315,47.8906,85.9704,-368.567,540.508,,26,Intensity Inside,Image 1,1,,
-3.3625,47.8906,73.5059,-427.471,574.483,,26,Intensity Inside,Image 1,1,,
-3.0935,47.8906,63.5663,-468.501,595.634,,26,Intensity Inside,Image 1,1,,
-2.8245,47.8906,56.2888,-502.308,614.886,,26,Intensity Inside,Image 1,1,,
-2.5555,47.8906,51.4621,-545.741,648.665,,26,Intensity Inside,Image 1,1,,
-2.2865,47.8906,48.3728,-601.359,698.105,,26,Intensity Inside,Image 1,1,,
-2.0175,47.8906,46.2798,-659.901,752.461,,26,Intensity Inside,Image 1,1,,
-1.7485,47.8906,45.2163,-729.143,819.575,,26,Intensity Inside,Image 1,1,,
-1.4795,47.8906,45.0884,-804.972,895.149,,26,Intensity Inside,Image 1,1,,
-1.2105,47.8906,45.5104,-878.221,969.242,,26,Intensity Inside,Image 1,1,,
-0.9415,47.8906,46.0967,-947.711,1039.9,,26,Intensity Inside,Image 1,1,,
-0.6725,47.8906,46.5565,-1023.49,1116.61,,26,Intensity Inside,Image 1,1,,
-0.4035,47.8906,47.4017,-1114.05,1208.86,,26,Intensity Inside,Image 1,1,,
-0.1345,47.8906,51.2908,-1245.1,1347.68,,26,Intensity Inside,Image 1,1,,
