
Intensity Max Ch=29 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
15418,,Surface,29,Image 1,1,26181,
7269,,Surface,29,Image 1,1,26182,
12221,,Surface,29,Image 1,1,26183,
12731,,Surface,29,Image 1,1,26184,
9627,,Surface,29,Image 1,1,26185,
9044,,Surface,29,Image 1,1,26186,
12252,,Surface,29,Image 1,1,26189,
11355,,Surface,29,Image 1,1,26190,
13813,,Surface,29,Image 1,1,26192,
7382,,Surface,29,Image 1,1,26193,
12293,,Surface,29,Image 1,1,26194,
14426,,Surface,29,Image 1,1,26195,
10967,,Surface,29,Image 1,1,26196,
6804,,Surface,29,Image 1,1,26197,
10450,,Surface,29,Image 1,1,26198,
11660,,Surface,29,Image 1,1,26199,
12270,,Surface,29,Image 1,1,26200,
6145,,Surface,29,Image 1,1,26201,
10130,,Surface,29,Image 1,1,26203,
15059,,Surface,29,Image 1,1,26204,
7697,,Surface,29,Image 1,1,26205,
16872,,Surface,29,Image 1,1,26206,
9208,,Surface,29,Image 1,1,26207,
7925,,Surface,29,Image 1,1,26208,
8321,,Surface,29,Image 1,1,26209,
8760,,Surface,29,Image 1,1,26211,
8307,,Surface,29,Image 1,1,26212,
15520,,Surface,29,Image 1,1,26213,
7176,,Surface,29,Image 1,1,26214,
9044,,Surface,29,Image 1,1,26215,
10439,,Surface,29,Image 1,1,26216,
9492,,Surface,29,Image 1,1,26217,
10465,,Surface,29,Image 1,1,26218,
6733,,Surface,29,Image 1,1,26219,
12132,,Surface,29,Image 1,1,26220,
12533,,Surface,29,Image 1,1,26221,
14421,,Surface,29,Image 1,1,26222,
8370,,Surface,29,Image 1,1,26225,
12873,,Surface,29,Image 1,1,26226,
14439,,Surface,29,Image 1,1,26227,
9536,,Surface,29,Image 1,1,26228,
9443,,Surface,29,Image 1,1,26229,
9658,,Surface,29,Image 1,1,26230,
13471,,Surface,29,Image 1,1,26231,
17753,,Surface,29,Image 1,1,26232,
11506,,Surface,29,Image 1,1,26233,
14495,,Surface,29,Image 1,1,26235,
11886,,Surface,29,Image 1,1,26236,
5993,,Surface,29,Image 1,1,26237,
7971,,Surface,29,Image 1,1,26238,
11503,,Surface,29,Image 1,1,26241,
7017,,Surface,29,Image 1,1,26242,
11352,,Surface,29,Image 1,1,26245,
11943,,Surface,29,Image 1,1,26246,
8775,,Surface,29,Image 1,1,26247,
11146,,Surface,29,Image 1,1,26248,
4580,,Surface,29,Image 1,1,26249,
10613,,Surface,29,Image 1,1,26250,
7337,,Surface,29,Image 1,1,26251,
10865,,Surface,29,Image 1,1,26252,
18053,,Surface,29,Image 1,1,26253,
8538,,Surface,29,Image 1,1,26254,
8364,,Surface,29,Image 1,1,26255,
6454,,Surface,29,Image 1,1,26256,
10129,,Surface,29,Image 1,1,26258,
12080,,Surface,29,Image 1,1,26259,
8066,,Surface,29,Image 1,1,26260,
13388,,Surface,29,Image 1,1,26261,
8264,,Surface,29,Image 1,1,26262,
6179,,Surface,29,Image 1,1,26263,
13346,,Surface,29,Image 1,1,26264,
10767,,Surface,29,Image 1,1,26265,
8641,,Surface,29,Image 1,1,26266,
11641,,Surface,29,Image 1,1,26267,
10214,,Surface,29,Image 1,1,26268,
7767,,Surface,29,Image 1,1,26269,
7679,,Surface,29,Image 1,1,26270,
10264,,Surface,29,Image 1,1,26271,
5759,,Surface,29,Image 1,1,26272,
13912,,Surface,29,Image 1,1,26273,
11595,,Surface,29,Image 1,1,26274,
9649,,Surface,29,Image 1,1,26275,
7920,,Surface,29,Image 1,1,26276,
3001,,Surface,29,Image 1,1,26277,
15133,,Surface,29,Image 1,1,26279,
11128,,Surface,29,Image 1,1,26280,
10473,,Surface,29,Image 1,1,26281,
7315,,Surface,29,Image 1,1,26282,
8158,,Surface,29,Image 1,1,26283,
6922,,Surface,29,Image 1,1,26284,
13154,,Surface,29,Image 1,1,26285,
11992,,Surface,29,Image 1,1,26286,
10075,,Surface,29,Image 1,1,26287,
11198,,Surface,29,Image 1,1,26289,
15439,,Surface,29,Image 1,1,26290,
7932,,Surface,29,Image 1,1,26291,
11473,,Surface,29,Image 1,1,26292,
3652,,Surface,29,Image 1,1,26294,
12349,,Surface,29,Image 1,1,26295,
12139,,Surface,29,Image 1,1,26296,
11659,,Surface,29,Image 1,1,26297,
8972,,Surface,29,Image 1,1,26298,
9604,,Surface,29,Image 1,1,26299,
12506,,Surface,29,Image 1,1,26301,
12380,,Surface,29,Image 1,1,26304,
7296,,Surface,29,Image 1,1,26305,
6373,,Surface,29,Image 1,1,26307,
6681,,Surface,29,Image 1,1,26308,
7306,,Surface,29,Image 1,1,26309,
9393,,Surface,29,Image 1,1,26310,
10131,,Surface,29,Image 1,1,26311,
6517,,Surface,29,Image 1,1,26312,
12471,,Surface,29,Image 1,1,26313,
9462,,Surface,29,Image 1,1,26315,
11538,,Surface,29,Image 1,1,26317,
13607,,Surface,29,Image 1,1,26318,
11547,,Surface,29,Image 1,1,26319,
9130,,Surface,29,Image 1,1,26320,
7769,,Surface,29,Image 1,1,26321,
8599,,Surface,29,Image 1,1,26322,
10099,,Surface,29,Image 1,1,26323,
9887,,Surface,29,Image 1,1,26324,
13411,,Surface,29,Image 1,1,26326,
6875,,Surface,29,Image 1,1,26327,
11894,,Surface,29,Image 1,1,26328,
7962,,Surface,29,Image 1,1,26329,
6151,,Surface,29,Image 1,1,26330,
7852,,Surface,29,Image 1,1,26331,
5367,,Surface,29,Image 1,1,26332,
9297,,Surface,29,Image 1,1,26334,
9665,,Surface,29,Image 1,1,26336,
11324,,Surface,29,Image 1,1,26338,
6718,,Surface,29,Image 1,1,26339,
10280,,Surface,29,Image 1,1,26340,
5780,,Surface,29,Image 1,1,26342,
11908,,Surface,29,Image 1,1,26343,
9191,,Surface,29,Image 1,1,26344,
7524,,Surface,29,Image 1,1,26345,
9822,,Surface,29,Image 1,1,26348,
9413,,Surface,29,Image 1,1,26349,
7049,,Surface,29,Image 1,1,26350,
11716,,Surface,29,Image 1,1,26351,
3548,,Surface,29,Image 1,1,26352,
6253,,Surface,29,Image 1,1,26353,
5187,,Surface,29,Image 1,1,26354,
5461,,Surface,29,Image 1,1,26355,
11563,,Surface,29,Image 1,1,26357,
7514,,Surface,29,Image 1,1,26359,
9789,,Surface,29,Image 1,1,26362,
10755,,Surface,29,Image 1,1,26364,
10141,,Surface,29,Image 1,1,26365,
13098,,Surface,29,Image 1,1,26366,
11023,,Surface,29,Image 1,1,26368,
9645,,Surface,29,Image 1,1,26369,
11172,,Surface,29,Image 1,1,26370,
9168,,Surface,29,Image 1,1,26371,
6302,,Surface,29,Image 1,1,26375,
10206,,Surface,29,Image 1,1,26382,
15999,,Surface,29,Image 1,1,26383,
13394,,Surface,29,Image 1,1,26384,
8409,,Surface,29,Image 1,1,26385,
10723,,Surface,29,Image 1,1,26386,
11682,,Surface,29,Image 1,1,26387,
10955,,Surface,29,Image 1,1,26388,
11941,,Surface,29,Image 1,1,26389,
7076,,Surface,29,Image 1,1,26390,
9490,,Surface,29,Image 1,1,26391,
6629,,Surface,29,Image 1,1,26392,
13984,,Surface,29,Image 1,1,26393,
20920,,Surface,29,Image 1,1,26394,
9467,,Surface,29,Image 1,1,26395,
7135,,Surface,29,Image 1,1,26396,
18198,,Surface,29,Image 1,1,26397,
14705,,Surface,29,Image 1,1,26398,
9227,,Surface,29,Image 1,1,26399,
12243,,Surface,29,Image 1,1,26401,
9515,,Surface,29,Image 1,1,26402,
12536,,Surface,29,Image 1,1,26404,
8667,,Surface,29,Image 1,1,26406,
9492,,Surface,29,Image 1,1,26407,
12558,,Surface,29,Image 1,1,26408,
13937,,Surface,29,Image 1,1,26409,
7156,,Surface,29,Image 1,1,26410,
8277,,Surface,29,Image 1,1,26411,
9731,,Surface,29,Image 1,1,26412,
10571,,Surface,29,Image 1,1,26413,
9905,,Surface,29,Image 1,1,26414,
10804,,Surface,29,Image 1,1,26415,
9878,,Surface,29,Image 1,1,26417,
7898,,Surface,29,Image 1,1,26418,
13131,,Surface,29,Image 1,1,26419,
10799,,Surface,29,Image 1,1,26420,
11124,,Surface,29,Image 1,1,26421,
15176,,Surface,29,Image 1,1,26423,
4795,,Surface,29,Image 1,1,26425,
10728,,Surface,29,Image 1,1,26426,
12570,,Surface,29,Image 1,1,26427,
12405,,Surface,29,Image 1,1,26428,
9864,,Surface,29,Image 1,1,26429,
7265,,Surface,29,Image 1,1,26430,
10001,,Surface,29,Image 1,1,26431,
9930,,Surface,29,Image 1,1,26432,
10214,,Surface,29,Image 1,1,26433,
14458,,Surface,29,Image 1,1,26434,
17257,,Surface,29,Image 1,1,26435,
12487,,Surface,29,Image 1,1,26436,
11604,,Surface,29,Image 1,1,26437,
15219,,Surface,29,Image 1,1,26438,
10849,,Surface,29,Image 1,1,26439,
17517,,Surface,29,Image 1,1,26440,
14906,,Surface,29,Image 1,1,26441,
11234,,Surface,29,Image 1,1,26442,
17128,,Surface,29,Image 1,1,26443,
9951,,Surface,29,Image 1,1,26444,
15536,,Surface,29,Image 1,1,26446,
13525,,Surface,29,Image 1,1,26448,
12028,,Surface,29,Image 1,1,26451,
9929,,Surface,29,Image 1,1,26452,
11176,,Surface,29,Image 1,1,26453,
11639,,Surface,29,Image 1,1,26456,
11583,,Surface,29,Image 1,1,26457,
4844,,Surface,29,Image 1,1,26458,
13170,,Surface,29,Image 1,1,26459,
8386,,Surface,29,Image 1,1,26460,
8892,,Surface,29,Image 1,1,26461,
7551,,Surface,29,Image 1,1,26462,
8795,,Surface,29,Image 1,1,26463,
11495,,Surface,29,Image 1,1,26464,
12299,,Surface,29,Image 1,1,26465,
13718,,Surface,29,Image 1,1,26466,
11334,,Surface,29,Image 1,1,26467,
12074,,Surface,29,Image 1,1,26468,
11098,,Surface,29,Image 1,1,26469,
13895,,Surface,29,Image 1,1,26471,
8846,,Surface,29,Image 1,1,26472,
15342,,Surface,29,Image 1,1,26473,
11421,,Surface,29,Image 1,1,26474,
7104,,Surface,29,Image 1,1,26475,
6189,,Surface,29,Image 1,1,26476,
10133,,Surface,29,Image 1,1,26477,
10384,,Surface,29,Image 1,1,26478,
9505,,Surface,29,Image 1,1,26480,
12055,,Surface,29,Image 1,1,26481,
8558,,Surface,29,Image 1,1,26482,
10948,,Surface,29,Image 1,1,26483,
15341,,Surface,29,Image 1,1,26484,
11661,,Surface,29,Image 1,1,26485,
8295,,Surface,29,Image 1,1,26486,
10204,,Surface,29,Image 1,1,26487,
10430,,Surface,29,Image 1,1,26488,
10934,,Surface,29,Image 1,1,26489,
