
Intensity Mean Ch=23 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
126.951,,Surface,23,Image 1,1,26181,
140.563,,Surface,23,Image 1,1,26182,
200.825,,Surface,23,Image 1,1,26183,
1866.02,,Surface,23,Image 1,1,26184,
99.8241,,Surface,23,Image 1,1,26185,
52.174,,Surface,23,Image 1,1,26186,
74.1897,,Surface,23,Image 1,1,26189,
71.8236,,Surface,23,Image 1,1,26190,
1935.94,,Surface,23,Image 1,1,26192,
156.587,,Surface,23,Image 1,1,26193,
89.9865,,Surface,23,Image 1,1,26194,
117.778,,Surface,23,Image 1,1,26195,
34.9399,,Surface,23,Image 1,1,26196,
23.5378,,Surface,23,Image 1,1,26197,
621.194,,Surface,23,Image 1,1,26198,
160.425,,Surface,23,Image 1,1,26199,
120.336,,Surface,23,Image 1,1,26200,
27.4168,,Surface,23,Image 1,1,26201,
118.196,,Surface,23,Image 1,1,26203,
53.0188,,Surface,23,Image 1,1,26204,
89.069,,Surface,23,Image 1,1,26205,
111.945,,Surface,23,Image 1,1,26206,
84.15,,Surface,23,Image 1,1,26207,
197.855,,Surface,23,Image 1,1,26208,
16.4507,,Surface,23,Image 1,1,26209,
1045.06,,Surface,23,Image 1,1,26211,
72.0263,,Surface,23,Image 1,1,26212,
136.301,,Surface,23,Image 1,1,26213,
36.9882,,Surface,23,Image 1,1,26214,
102.03,,Surface,23,Image 1,1,26215,
105.667,,Surface,23,Image 1,1,26216,
28.9374,,Surface,23,Image 1,1,26217,
234.174,,Surface,23,Image 1,1,26218,
57.0747,,Surface,23,Image 1,1,26219,
66.5579,,Surface,23,Image 1,1,26220,
215.43,,Surface,23,Image 1,1,26221,
242.955,,Surface,23,Image 1,1,26222,
64.2431,,Surface,23,Image 1,1,26225,
984.994,,Surface,23,Image 1,1,26226,
789.35,,Surface,23,Image 1,1,26227,
125.082,,Surface,23,Image 1,1,26228,
52.7587,,Surface,23,Image 1,1,26229,
112.075,,Surface,23,Image 1,1,26230,
987.41,,Surface,23,Image 1,1,26231,
220.835,,Surface,23,Image 1,1,26232,
97.8013,,Surface,23,Image 1,1,26233,
138.102,,Surface,23,Image 1,1,26235,
961.82,,Surface,23,Image 1,1,26236,
22.1998,,Surface,23,Image 1,1,26237,
22.9789,,Surface,23,Image 1,1,26238,
41.5716,,Surface,23,Image 1,1,26241,
12.5974,,Surface,23,Image 1,1,26242,
73.2815,,Surface,23,Image 1,1,26245,
73.6368,,Surface,23,Image 1,1,26246,
45.9885,,Surface,23,Image 1,1,26247,
45.6299,,Surface,23,Image 1,1,26248,
255.607,,Surface,23,Image 1,1,26249,
239.017,,Surface,23,Image 1,1,26250,
11.2163,,Surface,23,Image 1,1,26251,
221.278,,Surface,23,Image 1,1,26252,
79.8036,,Surface,23,Image 1,1,26253,
19.3355,,Surface,23,Image 1,1,26254,
160.941,,Surface,23,Image 1,1,26255,
12.3838,,Surface,23,Image 1,1,26256,
59.9432,,Surface,23,Image 1,1,26258,
136.131,,Surface,23,Image 1,1,26259,
32.9199,,Surface,23,Image 1,1,26260,
79.0358,,Surface,23,Image 1,1,26261,
37.6424,,Surface,23,Image 1,1,26262,
29.2916,,Surface,23,Image 1,1,26263,
205.614,,Surface,23,Image 1,1,26264,
44.5062,,Surface,23,Image 1,1,26265,
20.4788,,Surface,23,Image 1,1,26266,
1592.76,,Surface,23,Image 1,1,26267,
46.5931,,Surface,23,Image 1,1,26268,
523.594,,Surface,23,Image 1,1,26269,
501.864,,Surface,23,Image 1,1,26270,
202.658,,Surface,23,Image 1,1,26271,
24.8204,,Surface,23,Image 1,1,26272,
659.992,,Surface,23,Image 1,1,26273,
83.3175,,Surface,23,Image 1,1,26274,
1701.24,,Surface,23,Image 1,1,26275,
158.149,,Surface,23,Image 1,1,26276,
272.24,,Surface,23,Image 1,1,26277,
331.088,,Surface,23,Image 1,1,26279,
91.6235,,Surface,23,Image 1,1,26280,
193.748,,Surface,23,Image 1,1,26281,
85.1474,,Surface,23,Image 1,1,26282,
84.953,,Surface,23,Image 1,1,26283,
42.9049,,Surface,23,Image 1,1,26284,
76.6332,,Surface,23,Image 1,1,26285,
71.5621,,Surface,23,Image 1,1,26286,
97.8241,,Surface,23,Image 1,1,26287,
60.6898,,Surface,23,Image 1,1,26289,
87.4373,,Surface,23,Image 1,1,26290,
54.586,,Surface,23,Image 1,1,26291,
150.141,,Surface,23,Image 1,1,26292,
12.6166,,Surface,23,Image 1,1,26294,
123.794,,Surface,23,Image 1,1,26295,
48.9747,,Surface,23,Image 1,1,26296,
1229.37,,Surface,23,Image 1,1,26297,
