
Intensity Median Ch=25 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
1708,,Surface,25,Image 1,1,26181,
1082,,Surface,25,Image 1,1,26182,
2212,,Surface,25,Image 1,1,26183,
1932,,Surface,25,Image 1,1,26184,
1300,,Surface,25,Image 1,1,26185,
1366,,Surface,25,Image 1,1,26186,
1596,,Surface,25,Image 1,1,26189,
2140,,Surface,25,Image 1,1,26190,
1612,,Surface,25,Image 1,1,26192,
938,,Surface,25,Image 1,1,26193,
1604,,Surface,25,Image 1,1,26194,
1860,,Surface,25,Image 1,1,26195,
1380,,Surface,25,Image 1,1,26196,
1198,,Surface,25,Image 1,1,26197,
1076,,Surface,25,Image 1,1,26198,
2444,,Surface,25,Image 1,1,26199,
1748,,Surface,25,Image 1,1,26200,
766,,Surface,25,Image 1,1,26201,
1028,,Surface,25,Image 1,1,26203,
1956,,Surface,25,Image 1,1,26204,
1186,,Surface,25,Image 1,1,26205,
2184,,Surface,25,Image 1,1,26206,
1108,,Surface,25,Image 1,1,26207,
1290,,Surface,25,Image 1,1,26208,
1242,,Surface,25,Image 1,1,26209,
1118,,Surface,25,Image 1,1,26211,
1148,,Surface,25,Image 1,1,26212,
1532,,Surface,25,Image 1,1,26213,
894,,Surface,25,Image 1,1,26214,
996,,Surface,25,Image 1,1,26215,
1284,,Surface,25,Image 1,1,26216,
1252,,Surface,25,Image 1,1,26217,
1308,,Surface,25,Image 1,1,26218,
1086,,Surface,25,Image 1,1,26219,
1892,,Surface,25,Image 1,1,26220,
1276,,Surface,25,Image 1,1,26221,
1588,,Surface,25,Image 1,1,26222,
972,,Surface,25,Image 1,1,26225,
1500,,Surface,25,Image 1,1,26226,
2284,,Surface,25,Image 1,1,26227,
1348,,Surface,25,Image 1,1,26228,
1244,,Surface,25,Image 1,1,26229,
1156,,Surface,25,Image 1,1,26230,
1460,,Surface,25,Image 1,1,26231,
1688,,Surface,25,Image 1,1,26232,
1484,,Surface,25,Image 1,1,26233,
1860,,Surface,25,Image 1,1,26235,
1212,,Surface,25,Image 1,1,26236,
974,,Surface,25,Image 1,1,26237,
1262,,Surface,25,Image 1,1,26238,
2084,,Surface,25,Image 1,1,26241,
1218,,Surface,25,Image 1,1,26242,
1212,,Surface,25,Image 1,1,26245,
1508,,Surface,25,Image 1,1,26246,
1284,,Surface,25,Image 1,1,26247,
1508,,Surface,25,Image 1,1,26248,
830,,Surface,25,Image 1,1,26249,
1532,,Surface,25,Image 1,1,26250,
1150,,Surface,25,Image 1,1,26251,
2012,,Surface,25,Image 1,1,26252,
2936,,Surface,25,Image 1,1,26253,
1340,,Surface,25,Image 1,1,26254,
1036,,Surface,25,Image 1,1,26255,
1290,,Surface,25,Image 1,1,26256,
1020,,Surface,25,Image 1,1,26258,
2196,,Surface,25,Image 1,1,26259,
1174,,Surface,25,Image 1,1,26260,
1444,,Surface,25,Image 1,1,26261,
914,,Surface,25,Image 1,1,26262,
954,,Surface,25,Image 1,1,26263,
1564,,Surface,25,Image 1,1,26264,
1324,,Surface,25,Image 1,1,26265,
902,,Surface,25,Image 1,1,26266,
1356,,Surface,25,Image 1,1,26267,
1700,,Surface,25,Image 1,1,26268,
1074,,Surface,25,Image 1,1,26269,
1006,,Surface,25,Image 1,1,26270,
1204,,Surface,25,Image 1,1,26271,
830,,Surface,25,Image 1,1,26272,
1892,,Surface,25,Image 1,1,26273,
1364,,Surface,25,Image 1,1,26274,
1388,,Surface,25,Image 1,1,26275,
988,,Surface,25,Image 1,1,26276,
193,,Surface,25,Image 1,1,26277,
1452,,Surface,25,Image 1,1,26279,
1212,,Surface,25,Image 1,1,26280,
1340,,Surface,25,Image 1,1,26281,
810,,Surface,25,Image 1,1,26282,
1236,,Surface,25,Image 1,1,26283,
798,,Surface,25,Image 1,1,26284,
1260,,Surface,25,Image 1,1,26285,
1756,,Surface,25,Image 1,1,26286,
1180,,Surface,25,Image 1,1,26287,
2060,,Surface,25,Image 1,1,26289,
1732,,Surface,25,Image 1,1,26290,
1106,,Surface,25,Image 1,1,26291,
1868,,Surface,25,Image 1,1,26292,
355,,Surface,25,Image 1,1,26294,
2004,,Surface,25,Image 1,1,26295,
1364,,Surface,25,Image 1,1,26296,
1804,,Surface,25,Image 1,1,26297,
1268,,Surface,25,Image 1,1,26298,
1172,,Surface,25,Image 1,1,26299,
1692,,Surface,25,Image 1,1,26301,
1428,,Surface,25,Image 1,1,26304,
1018,,Surface,25,Image 1,1,26305,
1150,,Surface,25,Image 1,1,26307,
938,,Surface,25,Image 1,1,26308,
866,,Surface,25,Image 1,1,26309,
1308,,Surface,25,Image 1,1,26310,
1604,,Surface,25,Image 1,1,26311,
930,,Surface,25,Image 1,1,26312,
1996,,Surface,25,Image 1,1,26313,
870,,Surface,25,Image 1,1,26315,
2444,,Surface,25,Image 1,1,26317,
1908,,Surface,25,Image 1,1,26318,
1684,,Surface,25,Image 1,1,26319,
1788,,Surface,25,Image 1,1,26320,
1174,,Surface,25,Image 1,1,26321,
1084,,Surface,25,Image 1,1,26322,
1428,,Surface,25,Image 1,1,26323,
1340,,Surface,25,Image 1,1,26324,
1892,,Surface,25,Image 1,1,26326,
854,,Surface,25,Image 1,1,26327,
1700,,Surface,25,Image 1,1,26328,
986,,Surface,25,Image 1,1,26329,
1002,,Surface,25,Image 1,1,26330,
1228,,Surface,25,Image 1,1,26331,
710,,Surface,25,Image 1,1,26332,
1220,,Surface,25,Image 1,1,26334,
1412,,Surface,25,Image 1,1,26336,
1532,,Surface,25,Image 1,1,26338,
918,,Surface,25,Image 1,1,26339,
1124,,Surface,25,Image 1,1,26340,
942,,Surface,25,Image 1,1,26342,
1540,,Surface,25,Image 1,1,26343,
1588,,Surface,25,Image 1,1,26344,
914,,Surface,25,Image 1,1,26345,
1228,,Surface,25,Image 1,1,26348,
1524,,Surface,25,Image 1,1,26349,
1226,,Surface,25,Image 1,1,26350,
1972,,Surface,25,Image 1,1,26351,
401,,Surface,25,Image 1,1,26352,
470,,Surface,25,Image 1,1,26353,
690,,Surface,25,Image 1,1,26354,
706,,Surface,25,Image 1,1,26355,
2060,,Surface,25,Image 1,1,26357,
1030,,Surface,25,Image 1,1,26359,
1604,,Surface,25,Image 1,1,26362,
1964,,Surface,25,Image 1,1,26364,
1108,,Surface,25,Image 1,1,26365,
1348,,Surface,25,Image 1,1,26366,
1348,,Surface,25,Image 1,1,26368,
1260,,Surface,25,Image 1,1,26369,
1492,,Surface,25,Image 1,1,26370,
1204,,Surface,25,Image 1,1,26371,
762,,Surface,25,Image 1,1,26375,
1180,,Surface,25,Image 1,1,26382,
