
Intensity Outside Ch=14 Img=1
 ==================== 
Distance to Surface,Image Intensity Mean Outside,Intensity Mean Outside,Intensity Mean minus Std Outside,Intensity Mean plus Std Outside,Unit,Channel,Collection,Image,Time,ID,
0.1345,46.8037,109.297,-280.767,499.361,,14,Intensity Outside,Image 1,1,,
0.4035,46.8037,94.8499,-258.846,448.546,,14,Intensity Outside,Image 1,1,,
0.6725,46.8037,83.2767,-240.547,407.1,,14,Intensity Outside,Image 1,1,,
0.9415,46.8037,74.4898,-226.398,375.377,,14,Intensity Outside,Image 1,1,,
1.2105,46.8037,67.7807,-215.689,351.25,,14,Intensity Outside,Image 1,1,,
1.4795,46.8037,62.5677,-207.693,332.829,,14,Intensity Outside,Image 1,1,,
1.7485,46.8037,58.4044,-202.345,319.154,,14,Intensity Outside,Image 1,1,,
2.0175,46.8037,54.8918,-198.527,308.311,,14,Intensity Outside,Image 1,1,,
2.2865,46.8037,51.7386,-195.657,299.134,,14,Intensity Outside,Image 1,1,,
2.5555,46.8037,48.8693,-194.12,291.859,,14,Intensity Outside,Image 1,1,,
2.8245,46.8037,46.087,-193.515,285.689,,14,Intensity Outside,Image 1,1,,
3.0935,46.8037,43.3139,-192.562,279.189,,14,Intensity Outside,Image 1,1,,
3.3625,46.8037,40.5839,-190.967,272.135,,14,Intensity Outside,Image 1,1,,
3.6315,46.8037,38.2545,-189.971,266.48,,14,Intensity Outside,Image 1,1,,
3.9005,46.8037,36.8294,-190.991,264.65,,14,Intensity Outside,Image 1,1,,
4.1695,46.8037,35.4106,-192.934,263.755,,14,Intensity Outside,Image 1,1,,
4.4385,46.8037,33.7825,-195.884,263.449,,14,Intensity Outside,Image 1,1,,
4.7075,46.8037,31.9913,-198.736,262.719,,14,Intensity Outside,Image 1,1,,
4.9765,46.8037,30.1029,-200.155,260.36,,14,Intensity Outside,Image 1,1,,
5.2455,46.8037,28.0916,-199.872,256.055,,14,Intensity Outside,Image 1,1,,
5.5145,46.8037,26.0197,-198.508,250.547,,14,Intensity Outside,Image 1,1,,
5.7835,46.8037,23.8781,-195.876,243.632,,14,Intensity Outside,Image 1,1,,
6.0525,46.8037,21.7149,-192.056,235.486,,14,Intensity Outside,Image 1,1,,
6.3215,46.8037,19.5265,-186.655,225.708,,14,Intensity Outside,Image 1,1,,
6.5905,46.8037,17.3434,-180.534,215.221,,14,Intensity Outside,Image 1,1,,
6.8595,46.8037,15.18,-173.369,203.729,,14,Intensity Outside,Image 1,1,,
7.1285,46.8037,13.0748,-163.714,189.864,,14,Intensity Outside,Image 1,1,,
7.3975,46.8037,11.4349,-153.585,176.455,,14,Intensity Outside,Image 1,1,,
7.6665,46.8037,9.9386,-140.851,160.728,,14,Intensity Outside,Image 1,1,,
7.9355,46.8037,8.58847,-125.99,143.167,,14,Intensity Outside,Image 1,1,,
8.2045,46.8037,7.43384,-112.488,127.355,,14,Intensity Outside,Image 1,1,,
8.4735,46.8037,6.51264,-101.5,114.526,,14,Intensity Outside,Image 1,1,,
8.7425,46.8037,5.85159,-93.3672,105.07,,14,Intensity Outside,Image 1,1,,
9.0115,46.8037,5.42133,-87.9186,98.7613,,14,Intensity Outside,Image 1,1,,
9.2805,46.8037,5.14879,-84.0571,94.3547,,14,Intensity Outside,Image 1,1,,
9.5495,46.8037,4.92326,-80.452,90.2986,,14,Intensity Outside,Image 1,1,,
9.8185,46.8037,4.71797,-77.1885,86.6244,,14,Intensity Outside,Image 1,1,,
10.0875,46.8037,4.54459,-74.2485,83.3376,,14,Intensity Outside,Image 1,1,,
10.3565,46.8037,4.39454,-71.5274,80.3165,,14,Intensity Outside,Image 1,1,,
10.6255,46.8037,4.25875,-69.0225,77.54,,14,Intensity Outside,Image 1,1,,
10.8945,46.8037,4.12317,-66.4457,74.692,,14,Intensity Outside,Image 1,1,,
