
Intensity StdDev Ch=32 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
182.001,,Surface,32,Image 1,1,26181,
94.8601,,Surface,32,Image 1,1,26182,
267.511,,Surface,32,Image 1,1,26183,
313.892,,Surface,32,Image 1,1,26184,
224.388,,Surface,32,Image 1,1,26185,
292.619,,Surface,32,Image 1,1,26186,
351.592,,Surface,32,Image 1,1,26189,
445.957,,Surface,32,Image 1,1,26190,
380.025,,Surface,32,Image 1,1,26192,
74.1922,,Surface,32,Image 1,1,26193,
116.449,,Surface,32,Image 1,1,26194,
256.896,,Surface,32,Image 1,1,26195,
417.357,,Surface,32,Image 1,1,26196,
141.551,,Surface,32,Image 1,1,26197,
75.2622,,Surface,32,Image 1,1,26198,
268.693,,Surface,32,Image 1,1,26199,
135.917,,Surface,32,Image 1,1,26200,
76.7122,,Surface,32,Image 1,1,26201,
199.701,,Surface,32,Image 1,1,26203,
262.903,,Surface,32,Image 1,1,26204,
120.308,,Surface,32,Image 1,1,26205,
158.755,,Surface,32,Image 1,1,26206,
197.389,,Surface,32,Image 1,1,26207,
505.334,,Surface,32,Image 1,1,26208,
115.665,,Surface,32,Image 1,1,26209,
220.512,,Surface,32,Image 1,1,26211,
130.248,,Surface,32,Image 1,1,26212,
144.956,,Surface,32,Image 1,1,26213,
53.7472,,Surface,32,Image 1,1,26214,
65.8673,,Surface,32,Image 1,1,26215,
229.6,,Surface,32,Image 1,1,26216,
116.503,,Surface,32,Image 1,1,26217,
262.12,,Surface,32,Image 1,1,26218,
90.9017,,Surface,32,Image 1,1,26219,
252.818,,Surface,32,Image 1,1,26220,
317.606,,Surface,32,Image 1,1,26221,
406.153,,Surface,32,Image 1,1,26222,
173.151,,Surface,32,Image 1,1,26225,
258.808,,Surface,32,Image 1,1,26226,
410.496,,Surface,32,Image 1,1,26227,
315.546,,Surface,32,Image 1,1,26228,
171.398,,Surface,32,Image 1,1,26229,
194.294,,Surface,32,Image 1,1,26230,
272.275,,Surface,32,Image 1,1,26231,
220.845,,Surface,32,Image 1,1,26232,
164.179,,Surface,32,Image 1,1,26233,
143.534,,Surface,32,Image 1,1,26235,
195.144,,Surface,32,Image 1,1,26236,
100.572,,Surface,32,Image 1,1,26237,
292.36,,Surface,32,Image 1,1,26238,
155.537,,Surface,32,Image 1,1,26241,
75.8336,,Surface,32,Image 1,1,26242,
343.478,,Surface,32,Image 1,1,26245,
388.984,,Surface,32,Image 1,1,26246,
123.377,,Surface,32,Image 1,1,26247,
254.107,,Surface,32,Image 1,1,26248,
195.402,,Surface,32,Image 1,1,26249,
243.471,,Surface,32,Image 1,1,26250,
108.79,,Surface,32,Image 1,1,26251,
299.188,,Surface,32,Image 1,1,26252,
236.642,,Surface,32,Image 1,1,26253,
184.17,,Surface,32,Image 1,1,26254,
93.1301,,Surface,32,Image 1,1,26255,
53.2485,,Surface,32,Image 1,1,26256,
108.808,,Surface,32,Image 1,1,26258,
254.147,,Surface,32,Image 1,1,26259,
164.988,,Surface,32,Image 1,1,26260,
186.091,,Surface,32,Image 1,1,26261,
78.954,,Surface,32,Image 1,1,26262,
55.3542,,Surface,32,Image 1,1,26263,
1342.32,,Surface,32,Image 1,1,26264,
57.7172,,Surface,32,Image 1,1,26265,
195.355,,Surface,32,Image 1,1,26266,
1040.96,,Surface,32,Image 1,1,26267,
371.27,,Surface,32,Image 1,1,26268,
67.3035,,Surface,32,Image 1,1,26269,
257.131,,Surface,32,Image 1,1,26270,
66.3886,,Surface,32,Image 1,1,26271,
71.567,,Surface,32,Image 1,1,26272,
231.828,,Surface,32,Image 1,1,26273,
380.916,,Surface,32,Image 1,1,26274,
158.784,,Surface,32,Image 1,1,26275,
280.874,,Surface,32,Image 1,1,26276,
293.899,,Surface,32,Image 1,1,26277,
93.5618,,Surface,32,Image 1,1,26279,
198.272,,Surface,32,Image 1,1,26280,
217.583,,Surface,32,Image 1,1,26281,
67.2611,,Surface,32,Image 1,1,26282,
141.19,,Surface,32,Image 1,1,26283,
111.68,,Surface,32,Image 1,1,26284,
252.778,,Surface,32,Image 1,1,26285,
183.382,,Surface,32,Image 1,1,26286,
363.23,,Surface,32,Image 1,1,26287,
491.594,,Surface,32,Image 1,1,26289,
192.291,,Surface,32,Image 1,1,26290,
125.42,,Surface,32,Image 1,1,26291,
495.385,,Surface,32,Image 1,1,26292,
65.6041,,Surface,32,Image 1,1,26294,
466.694,,Surface,32,Image 1,1,26295,
377.03,,Surface,32,Image 1,1,26296,
373.341,,Surface,32,Image 1,1,26297,
261.951,,Surface,32,Image 1,1,26298,
194.161,,Surface,32,Image 1,1,26299,
232.903,,Surface,32,Image 1,1,26301,
237.014,,Surface,32,Image 1,1,26304,
88.9505,,Surface,32,Image 1,1,26305,
105.188,,Surface,32,Image 1,1,26307,
61.8733,,Surface,32,Image 1,1,26308,
151.189,,Surface,32,Image 1,1,26309,
136.125,,Surface,32,Image 1,1,26310,
253.642,,Surface,32,Image 1,1,26311,
282.015,,Surface,32,Image 1,1,26312,
252.947,,Surface,32,Image 1,1,26313,
99.3708,,Surface,32,Image 1,1,26315,
239.837,,Surface,32,Image 1,1,26317,
523.148,,Surface,32,Image 1,1,26318,
253.961,,Surface,32,Image 1,1,26319,
198.749,,Surface,32,Image 1,1,26320,
69.7478,,Surface,32,Image 1,1,26321,
260.749,,Surface,32,Image 1,1,26322,
126.756,,Surface,32,Image 1,1,26323,
272.432,,Surface,32,Image 1,1,26324,
277.754,,Surface,32,Image 1,1,26326,
161.733,,Surface,32,Image 1,1,26327,
290.245,,Surface,32,Image 1,1,26328,
70.3332,,Surface,32,Image 1,1,26329,
70.3107,,Surface,32,Image 1,1,26330,
271.254,,Surface,32,Image 1,1,26331,
60.0154,,Surface,32,Image 1,1,26332,
107.61,,Surface,32,Image 1,1,26334,
121.866,,Surface,32,Image 1,1,26336,
342.531,,Surface,32,Image 1,1,26338,
80.6301,,Surface,32,Image 1,1,26339,
72.948,,Surface,32,Image 1,1,26340,
258.221,,Surface,32,Image 1,1,26342,
152.388,,Surface,32,Image 1,1,26343,
218.454,,Surface,32,Image 1,1,26344,
162.98,,Surface,32,Image 1,1,26345,
443.574,,Surface,32,Image 1,1,26348,
257.197,,Surface,32,Image 1,1,26349,
152.601,,Surface,32,Image 1,1,26350,
189.179,,Surface,32,Image 1,1,26351,
43.0404,,Surface,32,Image 1,1,26352,
127.81,,Surface,32,Image 1,1,26353,
28.4569,,Surface,32,Image 1,1,26354,
197.473,,Surface,32,Image 1,1,26355,
106.336,,Surface,32,Image 1,1,26357,
153.913,,Surface,32,Image 1,1,26359,
346.371,,Surface,32,Image 1,1,26362,
166.705,,Surface,32,Image 1,1,26364,
248.433,,Surface,32,Image 1,1,26365,
32.1389,,Surface,32,Image 1,1,26366,
231.08,,Surface,32,Image 1,1,26368,
92.9495,,Surface,32,Image 1,1,26369,
311.229,,Surface,32,Image 1,1,26370,
247.064,,Surface,32,Image 1,1,26371,
94.8602,,Surface,32,Image 1,1,26375,
167.904,,Surface,32,Image 1,1,26382,
281.992,,Surface,32,Image 1,1,26383,
180.745,,Surface,32,Image 1,1,26384,
74.5681,,Surface,32,Image 1,1,26385,
280.538,,Surface,32,Image 1,1,26386,
82.5861,,Surface,32,Image 1,1,26387,
339.801,,Surface,32,Image 1,1,26388,
529.107,,Surface,32,Image 1,1,26389,
71.232,,Surface,32,Image 1,1,26390,
241.686,,Surface,32,Image 1,1,26391,
23.1513,,Surface,32,Image 1,1,26392,
112.782,,Surface,32,Image 1,1,26393,
271.046,,Surface,32,Image 1,1,26394,
128.49,,Surface,32,Image 1,1,26395,
140.439,,Surface,32,Image 1,1,26396,
717.344,,Surface,32,Image 1,1,26397,
275.527,,Surface,32,Image 1,1,26398,
171.146,,Surface,32,Image 1,1,26399,
257.933,,Surface,32,Image 1,1,26401,
89.5909,,Surface,32,Image 1,1,26402,
398.469,,Surface,32,Image 1,1,26404,
95.8278,,Surface,32,Image 1,1,26406,
144.288,,Surface,32,Image 1,1,26407,
60.8451,,Surface,32,Image 1,1,26408,
456.927,,Surface,32,Image 1,1,26409,
47.8881,,Surface,32,Image 1,1,26410,
88.795,,Surface,32,Image 1,1,26411,
26.5606,,Surface,32,Image 1,1,26412,
146.522,,Surface,32,Image 1,1,26413,
54.8066,,Surface,32,Image 1,1,26414,
306.454,,Surface,32,Image 1,1,26415,
169.395,,Surface,32,Image 1,1,26417,
33.1844,,Surface,32,Image 1,1,26418,
191.633,,Surface,32,Image 1,1,26419,
140.036,,Surface,32,Image 1,1,26420,
180.014,,Surface,32,Image 1,1,26421,
121.666,,Surface,32,Image 1,1,26423,
143.638,,Surface,32,Image 1,1,26425,
183.688,,Surface,32,Image 1,1,26426,
340.991,,Surface,32,Image 1,1,26427,
120.729,,Surface,32,Image 1,1,26428,
338.366,,Surface,32,Image 1,1,26429,
54.7681,,Surface,32,Image 1,1,26430,
322.487,,Surface,32,Image 1,1,26431,
54.5744,,Surface,32,Image 1,1,26432,
83.0872,,Surface,32,Image 1,1,26433,
523.66,,Surface,32,Image 1,1,26434,
112.055,,Surface,32,Image 1,1,26435,
621.857,,Surface,32,Image 1,1,26436,
215.931,,Surface,32,Image 1,1,26437,
213.502,,Surface,32,Image 1,1,26438,
132.636,,Surface,32,Image 1,1,26439,
204.482,,Surface,32,Image 1,1,26440,
234.006,,Surface,32,Image 1,1,26441,
108.168,,Surface,32,Image 1,1,26442,
361.572,,Surface,32,Image 1,1,26443,
167.629,,Surface,32,Image 1,1,26444,
143.757,,Surface,32,Image 1,1,26446,
303.721,,Surface,32,Image 1,1,26448,
348.875,,Surface,32,Image 1,1,26451,
276.361,,Surface,32,Image 1,1,26452,
148.858,,Surface,32,Image 1,1,26453,
131.27,,Surface,32,Image 1,1,26456,
160.774,,Surface,32,Image 1,1,26457,
71.3949,,Surface,32,Image 1,1,26458,
95.466,,Surface,32,Image 1,1,26459,
156.528,,Surface,32,Image 1,1,26460,
194.403,,Surface,32,Image 1,1,26461,
44.6933,,Surface,32,Image 1,1,26462,
39.1729,,Surface,32,Image 1,1,26463,
104.169,,Surface,32,Image 1,1,26464,
109.509,,Surface,32,Image 1,1,26465,
597.474,,Surface,32,Image 1,1,26466,
298.117,,Surface,32,Image 1,1,26467,
252.79,,Surface,32,Image 1,1,26468,
171.033,,Surface,32,Image 1,1,26469,
195.923,,Surface,32,Image 1,1,26471,
30.1155,,Surface,32,Image 1,1,26472,
142.427,,Surface,32,Image 1,1,26473,
431.983,,Surface,32,Image 1,1,26474,
105.354,,Surface,32,Image 1,1,26475,
188.395,,Surface,32,Image 1,1,26476,
64.0512,,Surface,32,Image 1,1,26477,
79.9517,,Surface,32,Image 1,1,26478,
326.181,,Surface,32,Image 1,1,26480,
150.693,,Surface,32,Image 1,1,26481,
190.12,,Surface,32,Image 1,1,26482,
155.095,,Surface,32,Image 1,1,26483,
303.708,,Surface,32,Image 1,1,26484,
171.837,,Surface,32,Image 1,1,26485,
43.704,,Surface,32,Image 1,1,26486,
120.455,,Surface,32,Image 1,1,26487,
104.193,,Surface,32,Image 1,1,26488,
324.66,,Surface,32,Image 1,1,26489,
136.123,,Surface,32,Image 1,1,26490,
404.051,,Surface,32,Image 1,1,26491,
110.044,,Surface,32,Image 1,1,26492,
135.39,,Surface,32,Image 1,1,26493,
212.044,,Surface,32,Image 1,1,26494,
141.449,,Surface,32,Image 1,1,26495,
113.16,,Surface,32,Image 1,1,26497,
422.874,,Surface,32,Image 1,1,26498,
52.2094,,Surface,32,Image 1,1,26499,
138.138,,Surface,32,Image 1,1,26502,
148.578,,Surface,32,Image 1,1,26503,
201.168,,Surface,32,Image 1,1,26504,
300.974,,Surface,32,Image 1,1,26506,
75.8077,,Surface,32,Image 1,1,26507,
71.5467,,Surface,32,Image 1,1,26509,
160.619,,Surface,32,Image 1,1,26510,
267.744,,Surface,32,Image 1,1,26512,
220.548,,Surface,32,Image 1,1,26513,
180.493,,Surface,32,Image 1,1,26514,
140.769,,Surface,32,Image 1,1,26515,
343.802,,Surface,32,Image 1,1,26516,
161.944,,Surface,32,Image 1,1,26517,
123.735,,Surface,32,Image 1,1,26518,
150.194,,Surface,32,Image 1,1,26521,
69.0549,,Surface,32,Image 1,1,26522,
182.213,,Surface,32,Image 1,1,26523,
198.654,,Surface,32,Image 1,1,26524,
112.96,,Surface,32,Image 1,1,26525,
28.8296,,Surface,32,Image 1,1,26526,
208.46,,Surface,32,Image 1,1,26527,
130.932,,Surface,32,Image 1,1,26528,
115.8,,Surface,32,Image 1,1,26529,
86.7199,,Surface,32,Image 1,1,26530,
202.725,,Surface,32,Image 1,1,26531,
61.9691,,Surface,32,Image 1,1,26532,
148.63,,Surface,32,Image 1,1,26533,
18.2162,,Surface,32,Image 1,1,26534,
135.621,,Surface,32,Image 1,1,26535,
96.756,,Surface,32,Image 1,1,26536,
93.5709,,Surface,32,Image 1,1,26537,
206.975,,Surface,32,Image 1,1,26538,
70.6994,,Surface,32,Image 1,1,26539,
76.9018,,Surface,32,Image 1,1,26541,
144.769,,Surface,32,Image 1,1,26542,
271.199,,Surface,32,Image 1,1,26543,
57.1414,,Surface,32,Image 1,1,26544,
95.1994,,Surface,32,Image 1,1,26545,
436.702,,Surface,32,Image 1,1,26546,
24.3015,,Surface,32,Image 1,1,26547,
150.573,,Surface,32,Image 1,1,26548,
291.172,,Surface,32,Image 1,1,26549,
102.308,,Surface,32,Image 1,1,26550,
60.6123,,Surface,32,Image 1,1,26551,
123.787,,Surface,32,Image 1,1,26552,
414.263,,Surface,32,Image 1,1,26553,
230.169,,Surface,32,Image 1,1,26554,
30.5507,,Surface,32,Image 1,1,26555,
90.7547,,Surface,32,Image 1,1,26556,
215.965,,Surface,32,Image 1,1,26557,
185.388,,Surface,32,Image 1,1,26558,
151.839,,Surface,32,Image 1,1,26559,
149.982,,Surface,32,Image 1,1,26560,
27.7396,,Surface,32,Image 1,1,26561,
239.712,,Surface,32,Image 1,1,26562,
81.7933,,Surface,32,Image 1,1,26563,
15.5817,,Surface,32,Image 1,1,26564,
470.93,,Surface,32,Image 1,1,26565,
45.8919,,Surface,32,Image 1,1,26567,
169.171,,Surface,32,Image 1,1,26568,
88.8686,,Surface,32,Image 1,1,26569,
321.639,,Surface,32,Image 1,1,26570,
251.803,,Surface,32,Image 1,1,26571,
339.546,,Surface,32,Image 1,1,26572,
108.209,,Surface,32,Image 1,1,26573,
176.837,,Surface,32,Image 1,1,26574,
98.0116,,Surface,32,Image 1,1,26575,
175.955,,Surface,32,Image 1,1,26576,
229.699,,Surface,32,Image 1,1,26577,
126.515,,Surface,32,Image 1,1,26578,
211.147,,Surface,32,Image 1,1,26580,
67.5579,,Surface,32,Image 1,1,26581,
107.064,,Surface,32,Image 1,1,26582,
285.669,,Surface,32,Image 1,1,26583,
209.684,,Surface,32,Image 1,1,26584,
231.479,,Surface,32,Image 1,1,26585,
62.9224,,Surface,32,Image 1,1,26586,
160.616,,Surface,32,Image 1,1,26587,
145.249,,Surface,32,Image 1,1,26589,
132.096,,Surface,32,Image 1,1,26591,
614.415,,Surface,32,Image 1,1,26592,
209.905,,Surface,32,Image 1,1,26593,
267.102,,Surface,32,Image 1,1,26594,
282.558,,Surface,32,Image 1,1,26595,
342.15,,Surface,32,Image 1,1,26597,
46.6798,,Surface,32,Image 1,1,26598,
257.695,,Surface,32,Image 1,1,26599,
56.9538,,Surface,32,Image 1,1,26600,
231.997,,Surface,32,Image 1,1,26601,
53.8425,,Surface,32,Image 1,1,26602,
538.826,,Surface,32,Image 1,1,26603,
260.842,,Surface,32,Image 1,1,26604,
132.931,,Surface,32,Image 1,1,26606,
90.0951,,Surface,32,Image 1,1,26607,
96.2437,,Surface,32,Image 1,1,26608,
188.163,,Surface,32,Image 1,1,26609,
119.015,,Surface,32,Image 1,1,26610,
184.526,,Surface,32,Image 1,1,26611,
155.625,,Surface,32,Image 1,1,26612,
148.754,,Surface,32,Image 1,1,26614,
441.734,,Surface,32,Image 1,1,26616,
86.477,,Surface,32,Image 1,1,26617,
118.135,,Surface,32,Image 1,1,26621,
168.707,,Surface,32,Image 1,1,26622,
82.753,,Surface,32,Image 1,1,26624,
57.6503,,Surface,32,Image 1,1,26626,
454.245,,Surface,32,Image 1,1,26627,
268.493,,Surface,32,Image 1,1,26628,
250.576,,Surface,32,Image 1,1,26630,
86.8445,,Surface,32,Image 1,1,26632,
91.5644,,Surface,32,Image 1,1,26633,
369.759,,Surface,32,Image 1,1,26635,
285.663,,Surface,32,Image 1,1,26636,
154.873,,Surface,32,Image 1,1,26637,
206.44,,Surface,32,Image 1,1,26638,
111.837,,Surface,32,Image 1,1,26639,
46.7173,,Surface,32,Image 1,1,26640,
55.4923,,Surface,32,Image 1,1,26641,
86.5043,,Surface,32,Image 1,1,26642,
101.794,,Surface,32,Image 1,1,26643,
150.975,,Surface,32,Image 1,1,26644,
243.783,,Surface,32,Image 1,1,26645,
169.543,,Surface,32,Image 1,1,26646,
412.083,,Surface,32,Image 1,1,26647,
151.328,,Surface,32,Image 1,1,26649,
39.6378,,Surface,32,Image 1,1,26652,
122.753,,Surface,32,Image 1,1,26654,
143.393,,Surface,32,Image 1,1,26655,
40.4226,,Surface,32,Image 1,1,26658,
315.041,,Surface,32,Image 1,1,26659,
300.197,,Surface,32,Image 1,1,26660,
35.0622,,Surface,32,Image 1,1,26661,
193.71,,Surface,32,Image 1,1,26662,
234.351,,Surface,32,Image 1,1,26663,
244.166,,Surface,32,Image 1,1,26664,
93.3869,,Surface,32,Image 1,1,26665,
184.888,,Surface,32,Image 1,1,26666,
428.792,,Surface,32,Image 1,1,26667,
136.432,,Surface,32,Image 1,1,26668,
181.492,,Surface,32,Image 1,1,26669,
134.967,,Surface,32,Image 1,1,26670,
251.64,,Surface,32,Image 1,1,26671,
352.491,,Surface,32,Image 1,1,26672,
19.103,,Surface,32,Image 1,1,26673,
52.9476,,Surface,32,Image 1,1,26674,
89.3535,,Surface,32,Image 1,1,26675,
23.3253,,Surface,32,Image 1,1,26676,
150.86,,Surface,32,Image 1,1,26677,
29.9698,,Surface,32,Image 1,1,26678,
204.949,,Surface,32,Image 1,1,26679,
46.6748,,Surface,32,Image 1,1,26681,
190.67,,Surface,32,Image 1,1,26682,
102.36,,Surface,32,Image 1,1,26683,
162.041,,Surface,32,Image 1,1,26686,
69.5441,,Surface,32,Image 1,1,26688,
100.381,,Surface,32,Image 1,1,26689,
156.985,,Surface,32,Image 1,1,26690,
229.646,,Surface,32,Image 1,1,26691,
87.633,,Surface,32,Image 1,1,26692,
259.437,,Surface,32,Image 1,1,26694,
260.538,,Surface,32,Image 1,1,26695,
179.233,,Surface,32,Image 1,1,26696,
46.3544,,Surface,32,Image 1,1,26697,
28.7959,,Surface,32,Image 1,1,26699,
511.609,,Surface,32,Image 1,1,26700,
21.3649,,Surface,32,Image 1,1,26701,
94.8378,,Surface,32,Image 1,1,26702,
279.196,,Surface,32,Image 1,1,26703,
80.2533,,Surface,32,Image 1,1,26704,
233.663,,Surface,32,Image 1,1,26705,
134.583,,Surface,32,Image 1,1,26706,
51.7709,,Surface,32,Image 1,1,26707,
131.512,,Surface,32,Image 1,1,26708,
205.376,,Surface,32,Image 1,1,26709,
232.826,,Surface,32,Image 1,1,26710,
148.569,,Surface,32,Image 1,1,26711,
523.44,,Surface,32,Image 1,1,26712,
290.71,,Surface,32,Image 1,1,26713,
115.097,,Surface,32,Image 1,1,26714,
18.9846,,Surface,32,Image 1,1,26716,
147.391,,Surface,32,Image 1,1,26717,
48.2654,,Surface,32,Image 1,1,26718,
134.794,,Surface,32,Image 1,1,26719,
58.0373,,Surface,32,Image 1,1,26720,
98.6532,,Surface,32,Image 1,1,26722,
77.2352,,Surface,32,Image 1,1,26723,
140.621,,Surface,32,Image 1,1,26724,
77.3129,,Surface,32,Image 1,1,26725,
92.8553,,Surface,32,Image 1,1,26726,
137.729,,Surface,32,Image 1,1,26727,
30.7815,,Surface,32,Image 1,1,26728,
149.708,,Surface,32,Image 1,1,26729,
231.454,,Surface,32,Image 1,1,26730,
51.4016,,Surface,32,Image 1,1,26731,
75.208,,Surface,32,Image 1,1,26732,
96.7665,,Surface,32,Image 1,1,26733,
77.7085,,Surface,32,Image 1,1,26734,
52.4298,,Surface,32,Image 1,1,26735,
142.596,,Surface,32,Image 1,1,26736,
73.9095,,Surface,32,Image 1,1,26737,
201.784,,Surface,32,Image 1,1,26739,
137.81,,Surface,32,Image 1,1,26740,
117.841,,Surface,32,Image 1,1,26741,
173.39,,Surface,32,Image 1,1,26742,
212.307,,Surface,32,Image 1,1,26743,
190.281,,Surface,32,Image 1,1,26745,
80.0694,,Surface,32,Image 1,1,26746,
25.9492,,Surface,32,Image 1,1,26747,
300.505,,Surface,32,Image 1,1,26748,
54.4731,,Surface,32,Image 1,1,26749,
44.0138,,Surface,32,Image 1,1,26750,
126.865,,Surface,32,Image 1,1,26751,
31.6772,,Surface,32,Image 1,1,26752,
19.2634,,Surface,32,Image 1,1,26753,
181.944,,Surface,32,Image 1,1,26754,
83.3337,,Surface,32,Image 1,1,26755,
88.7303,,Surface,32,Image 1,1,26756,
29.4796,,Surface,32,Image 1,1,26758,
133.969,,Surface,32,Image 1,1,26759,
36.1976,,Surface,32,Image 1,1,26760,
70.4673,,Surface,32,Image 1,1,26761,
88.8549,,Surface,32,Image 1,1,26762,
60.401,,Surface,32,Image 1,1,26763,
168.606,,Surface,32,Image 1,1,26764,
105.584,,Surface,32,Image 1,1,26765,
156.863,,Surface,32,Image 1,1,26766,
112.308,,Surface,32,Image 1,1,26767,
131.659,,Surface,32,Image 1,1,26768,
223.033,,Surface,32,Image 1,1,26771,
54.0031,,Surface,32,Image 1,1,26772,
43.9898,,Surface,32,Image 1,1,26773,
34.4161,,Surface,32,Image 1,1,26774,
73.5871,,Surface,32,Image 1,1,26776,
407.777,,Surface,32,Image 1,1,26777,
195.808,,Surface,32,Image 1,1,26778,
16.0446,,Surface,32,Image 1,1,26779,
176.893,,Surface,32,Image 1,1,26780,
520.891,,Surface,32,Image 1,1,26781,
222.321,,Surface,32,Image 1,1,26783,
117.128,,Surface,32,Image 1,1,26784,
64.7215,,Surface,32,Image 1,1,26785,
167.307,,Surface,32,Image 1,1,26786,
333.851,,Surface,32,Image 1,1,26787,
104.229,,Surface,32,Image 1,1,26788,
181.958,,Surface,32,Image 1,1,26789,
168.655,,Surface,32,Image 1,1,26790,
177.616,,Surface,32,Image 1,1,26791,
71.7156,,Surface,32,Image 1,1,26792,
360.293,,Surface,32,Image 1,1,26793,
30.2369,,Surface,32,Image 1,1,26794,
118.649,,Surface,32,Image 1,1,26795,
113.298,,Surface,32,Image 1,1,26796,
81.0765,,Surface,32,Image 1,1,26797,
69.198,,Surface,32,Image 1,1,26798,
99.0891,,Surface,32,Image 1,1,26799,
104.015,,Surface,32,Image 1,1,26800,
84.627,,Surface,32,Image 1,1,26801,
511.656,,Surface,32,Image 1,1,26802,
766.329,,Surface,32,Image 1,1,26803,
436.949,,Surface,32,Image 1,1,26804,
159.752,,Surface,32,Image 1,1,26805,
340.437,,Surface,32,Image 1,1,26806,
84.29,,Surface,32,Image 1,1,26807,
221.776,,Surface,32,Image 1,1,26808,
199.598,,Surface,32,Image 1,1,26809,
178.161,,Surface,32,Image 1,1,26810,
127.152,,Surface,32,Image 1,1,26811,
26.2391,,Surface,32,Image 1,1,26812,
