
Intensity Sum Ch=9 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
2.23763e+09,,Surface,9,Image 1,1,26181,
2.0645e+08,,Surface,9,Image 1,1,26182,
2.69709e+09,,Surface,9,Image 1,1,26183,
1.59416e+09,,Surface,9,Image 1,1,26184,
8.06691e+08,,Surface,9,Image 1,1,26185,
5.88606e+08,,Surface,9,Image 1,1,26186,
8.86352e+08,,Surface,9,Image 1,1,26189,
9.34787e+08,,Surface,9,Image 1,1,26190,
1.61621e+09,,Surface,9,Image 1,1,26192,
6.44688e+08,,Surface,9,Image 1,1,26193,
9.42517e+08,,Surface,9,Image 1,1,26194,
1.19638e+09,,Surface,9,Image 1,1,26195,
4.69471e+08,,Surface,9,Image 1,1,26196,
5.3531e+08,,Surface,9,Image 1,1,26197,
4.50465e+08,,Surface,9,Image 1,1,26198,
1.58536e+09,,Surface,9,Image 1,1,26199,
1.18451e+09,,Surface,9,Image 1,1,26200,
2.74103e+08,,Surface,9,Image 1,1,26201,
6.61624e+08,,Surface,9,Image 1,1,26203,
1.23274e+09,,Surface,9,Image 1,1,26204,
4.06843e+08,,Surface,9,Image 1,1,26205,
2.77947e+09,,Surface,9,Image 1,1,26206,
4.6896e+08,,Surface,9,Image 1,1,26207,
2.70758e+08,,Surface,9,Image 1,1,26208,
5.48333e+08,,Surface,9,Image 1,1,26209,
4.28308e+08,,Surface,9,Image 1,1,26211,
2.65077e+08,,Surface,9,Image 1,1,26212,
8.09598e+08,,Surface,9,Image 1,1,26213,
3.10376e+08,,Surface,9,Image 1,1,26214,
6.88356e+08,,Surface,9,Image 1,1,26215,
7.04554e+08,,Surface,9,Image 1,1,26216,
9.09214e+08,,Surface,9,Image 1,1,26217,
1.45957e+09,,Surface,9,Image 1,1,26218,
2.70042e+08,,Surface,9,Image 1,1,26219,
2.36482e+09,,Surface,9,Image 1,1,26220,
1.75251e+09,,Surface,9,Image 1,1,26221,
9.67052e+08,,Surface,9,Image 1,1,26222,
1.93969e+08,,Surface,9,Image 1,1,26225,
9.27732e+08,,Surface,9,Image 1,1,26226,
3.13712e+09,,Surface,9,Image 1,1,26227,
6.208e+08,,Surface,9,Image 1,1,26228,
1.23276e+09,,Surface,9,Image 1,1,26229,
2.75554e+08,,Surface,9,Image 1,1,26230,
8.95099e+08,,Surface,9,Image 1,1,26231,
1.07317e+09,,Surface,9,Image 1,1,26232,
4.39081e+08,,Surface,9,Image 1,1,26233,
1.73187e+09,,Surface,9,Image 1,1,26235,
2.1626e+09,,Surface,9,Image 1,1,26236,
2.64854e+08,,Surface,9,Image 1,1,26237,
4.52554e+08,,Surface,9,Image 1,1,26238,
8.24979e+08,,Surface,9,Image 1,1,26241,
4.21222e+08,,Surface,9,Image 1,1,26242,
7.53668e+08,,Surface,9,Image 1,1,26245,
7.88324e+08,,Surface,9,Image 1,1,26246,
5.61313e+08,,Surface,9,Image 1,1,26247,
9.05452e+08,,Surface,9,Image 1,1,26248,
4.33621e+08,,Surface,9,Image 1,1,26249,
1.03369e+09,,Surface,9,Image 1,1,26250,
3.17881e+08,,Surface,9,Image 1,1,26251,
1.07487e+09,,Surface,9,Image 1,1,26252,
1.30189e+09,,Surface,9,Image 1,1,26253,
5.66563e+08,,Surface,9,Image 1,1,26254,
3.82304e+08,,Surface,9,Image 1,1,26255,
2.57786e+08,,Surface,9,Image 1,1,26256,
7.81026e+08,,Surface,9,Image 1,1,26258,
2.35066e+09,,Surface,9,Image 1,1,26259,
4.30912e+08,,Surface,9,Image 1,1,26260,
5.86824e+08,,Surface,9,Image 1,1,26261,
4.12933e+08,,Surface,9,Image 1,1,26262,
2.47113e+08,,Surface,9,Image 1,1,26263,
1.19813e+09,,Surface,9,Image 1,1,26264,
1.33297e+09,,Surface,9,Image 1,1,26265,
