
Intensity Sum of Square Ch=29 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
7.0485e+12,,Surface,29,Image 1,1,26181,
3.82009e+11,,Surface,29,Image 1,1,26182,
7.80694e+12,,Surface,29,Image 1,1,26183,
5.19773e+12,,Surface,29,Image 1,1,26184,
1.75018e+12,,Surface,29,Image 1,1,26185,
1.47621e+12,,Surface,29,Image 1,1,26186,
2.66218e+12,,Surface,29,Image 1,1,26189,
2.94524e+12,,Surface,29,Image 1,1,26190,
5.40876e+12,,Surface,29,Image 1,1,26192,
1.03892e+12,,Surface,29,Image 1,1,26193,
2.49373e+12,,Surface,29,Image 1,1,26194,
3.86719e+12,,Surface,29,Image 1,1,26195,
1.31623e+12,,Surface,29,Image 1,1,26196,
1.00867e+12,,Surface,29,Image 1,1,26197,
8.91488e+11,,Surface,29,Image 1,1,26198,
5.00587e+12,,Surface,29,Image 1,1,26199,
3.52284e+12,,Surface,29,Image 1,1,26200,
3.03645e+11,,Surface,29,Image 1,1,26201,
1.63178e+12,,Surface,29,Image 1,1,26203,
4.38836e+12,,Surface,29,Image 1,1,26204,
7.5004e+11,,Surface,29,Image 1,1,26205,
1.00343e+13,,Surface,29,Image 1,1,26206,
9.24045e+11,,Surface,29,Image 1,1,26207,
5.37388e+11,,Surface,29,Image 1,1,26208,
1.0606e+12,,Surface,29,Image 1,1,26209,
7.79669e+11,,Surface,29,Image 1,1,26211,
5.43466e+11,,Surface,29,Image 1,1,26212,
2.02273e+12,,Surface,29,Image 1,1,26213,
4.31914e+11,,Surface,29,Image 1,1,26214,
1.29053e+12,,Surface,29,Image 1,1,26215,
1.63488e+12,,Surface,29,Image 1,1,26216,
1.9801e+12,,Surface,29,Image 1,1,26217,
3.49343e+12,,Surface,29,Image 1,1,26218,
4.52275e+11,,Surface,29,Image 1,1,26219,
6.98808e+12,,Surface,29,Image 1,1,26220,
5.59877e+12,,Surface,29,Image 1,1,26221,
3.23306e+12,,Surface,29,Image 1,1,26222,
3.5402e+11,,Surface,29,Image 1,1,26225,
2.52531e+12,,Surface,29,Image 1,1,26226,
9.07927e+12,,Surface,29,Image 1,1,26227,
1.31083e+12,,Surface,29,Image 1,1,26228,
2.53425e+12,,Surface,29,Image 1,1,26229,
7.15587e+11,,Surface,29,Image 1,1,26230,
2.22014e+12,,Surface,29,Image 1,1,26231,
3.61902e+12,,Surface,29,Image 1,1,26232,
1.06818e+12,,Surface,29,Image 1,1,26233,
4.74449e+12,,Surface,29,Image 1,1,26235,
4.44205e+12,,Surface,29,Image 1,1,26236,
3.83769e+11,,Surface,29,Image 1,1,26237,
9.53068e+11,,Surface,29,Image 1,1,26238,
2.5912e+12,,Surface,29,Image 1,1,26241,
7.72496e+11,,Surface,29,Image 1,1,26242,
1.84265e+12,,Surface,29,Image 1,1,26245,
2.96702e+12,,Surface,29,Image 1,1,26246,
1.19876e+12,,Surface,29,Image 1,1,26247,
2.28999e+12,,Surface,29,Image 1,1,26248,
4.70338e+11,,Surface,29,Image 1,1,26249,
2.67353e+12,,Surface,29,Image 1,1,26250,
4.77248e+11,,Surface,29,Image 1,1,26251,
2.96956e+12,,Surface,29,Image 1,1,26252,
5.22208e+12,,Surface,29,Image 1,1,26253,
1.20114e+12,,Surface,29,Image 1,1,26254,
6.21102e+11,,Surface,29,Image 1,1,26255,
4.8623e+11,,Surface,29,Image 1,1,26256,
1.3956e+12,,Surface,29,Image 1,1,26258,
6.51487e+12,,Surface,29,Image 1,1,26259,
